	use_training_form	n_task	aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	Model	accuracy
41	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	65.786
42	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	63.928999999999995
43	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	63.037
44	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	60.178999999999995
45	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	62.678
46	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	62.144000000000005
47	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	60.178999999999995
48	stump_with_memoization	1	0	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	71.286
49	stump_with_memoization	1	0	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	70.678
50	stump_with_memoization	1	0	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	61.428999999999995
51	stump_with_memoization	1	0	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	61.964
52	stump_with_memoization	1	0	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	61.964
53	stump_with_memoization	1	0	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	60.001
54	stump_with_memoization	1	0	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	61.072
55	stump_with_memoization	1	0	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	61.964
56	stump_with_memoization	1	0	3	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	69.393
57	stump_with_memoization	1	0	3	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	68.678
58	stump_with_memoization	1	0	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	59.641000000000005
59	stump_with_memoization	1	0	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	60.177
60	stump_with_memoization	1	0	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	60.53399999999999
61	stump_with_memoization	1	0	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	58.39399999999999
62	stump_with_memoization	1	0	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	59.82000000000001
63	stump_with_memoization	1	0	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	60.53399999999999
64	stump_with_memoization	1	0	3	40	75	False	"[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	69.929
65	stump_with_memoization	1	0	3	40	75	False	"[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	69.25
66	stump_with_memoization	1	0	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	60.535000000000004
67	stump_with_memoization	1	0	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	60.178999999999995
68	stump_with_memoization	1	0	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	60.536
69	stump_with_memoization	1	0	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	61.071000000000005
70	stump_with_memoization	1	0	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	60.178999999999995
71	stump_with_memoization	1	0	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	60.536
72	stump_with_memoization	2	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	83.182
73	stump_with_memoization	2	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	82.36299999999999
74	stump_with_memoization	2	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	75.91
75	stump_with_memoization	2	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	75.454
76	stump_with_memoization	2	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	75.909
77	stump_with_memoization	2	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	77.273
78	stump_with_memoization	2	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	76.817
79	stump_with_memoization	2	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	75.909
80	stump_with_memoization	2	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	82.635
81	stump_with_memoization	2	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	81.546
82	stump_with_memoization	2	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	73.18199999999999
83	stump_with_memoization	2	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	74.09099999999998
84	stump_with_memoization	2	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	72.274
85	stump_with_memoization	2	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	75.455
86	stump_with_memoization	2	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	75.90799999999999
87	stump_with_memoization	2	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	72.274
88	stump_with_memoization	2	1	1	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	82.636
89	stump_with_memoization	2	1	1	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	80.908
90	stump_with_memoization	2	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	74.546
91	stump_with_memoization	2	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	73.18199999999999
92	stump_with_memoization	2	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	72.272
93	stump_with_memoization	2	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	75.91
94	stump_with_memoization	2	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	74.546
95	stump_with_memoization	2	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	72.272
96	stump_with_memoization	2	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	79.18199999999999
97	stump_with_memoization	2	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	77.271
98	stump_with_memoization	2	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	75.454
99	stump_with_memoization	2	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	75.909
100	stump_with_memoization	2	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	75.454
101	stump_with_memoization	2	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	75.0
102	stump_with_memoization	2	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	75.0
103	stump_with_memoization	2	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	75.454
104	stump_with_memoization	2	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	85.547
105	stump_with_memoization	2	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	85.455
106	stump_with_memoization	2	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	77.27099999999999
107	stump_with_memoization	2	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	78.18
108	stump_with_memoization	2	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	74.547
109	stump_with_memoization	2	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	76.816
110	stump_with_memoization	2	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	78.18
111	stump_with_memoization	2	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	74.547
112	stump_with_memoization	2	1	2	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	79.82000000000001
113	stump_with_memoization	2	1	2	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	78.91099999999999
114	stump_with_memoization	2	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	75.90799999999999
115	stump_with_memoization	2	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	72.727
116	stump_with_memoization	2	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	71.362
117	stump_with_memoization	2	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	75.454
118	stump_with_memoization	2	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	73.181
119	stump_with_memoization	2	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	71.362
120	stump_with_memoization	2	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	82.90899999999999
121	stump_with_memoization	2	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	81.09
122	stump_with_memoization	2	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	74.09100000000001
123	stump_with_memoization	2	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	71.364
124	stump_with_memoization	2	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	64.546
125	stump_with_memoization	2	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	74.545
126	stump_with_memoization	2	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	70.909
127	stump_with_memoization	2	1	3	40	75	False	"[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	64.546
128	stump_with_memoization	2	1	3	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	81.36499999999998
129	stump_with_memoization	2	1	3	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	82.275
130	stump_with_memoization	2	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	76.818
131	stump_with_memoization	2	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	75.001
132	stump_with_memoization	2	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	75.455
133	stump_with_memoization	2	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	78.18199999999999
134	stump_with_memoization	2	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	76.365
135	stump_with_memoization	2	1	3	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	75.455
136	stump_with_memoization	2	1	3	40	75	False	"[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	84.454
137	stump_with_memoization	2	1	3	40	75	False	"[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	84.636
138	stump_with_memoization	2	1	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	75.91000000000001
139	stump_with_memoization	2	1	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	74.09100000000001
140	stump_with_memoization	2	1	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	72.728
141	stump_with_memoization	2	1	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	77.273
142	stump_with_memoization	2	1	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	74.545
143	stump_with_memoization	2	1	3	40	75	False	"[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	72.728
144	stump_with_memoization	3	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	82.72900000000001
145	stump_with_memoization	3	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	81.91
146	stump_with_memoization	3	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	82.72699999999999
147	stump_with_memoization	3	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	75.455
148	stump_with_memoization	3	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	68.18199999999999
149	stump_with_memoization	3	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	81.818
150	stump_with_memoization	3	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	75.455
151	stump_with_memoization	3	1	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	68.18199999999999
152	stump_with_memoization	3	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	82.81899999999999
153	stump_with_memoization	3	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	82.728
154	stump_with_memoization	3	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	82.726
155	stump_with_memoization	3	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	76.36299999999999
156	stump_with_memoization	3	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	68.636
157	stump_with_memoization	3	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	81.36299999999999
158	stump_with_memoization	3	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	76.36299999999999
159	stump_with_memoization	3	1	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	68.636
160	stump_with_memoization	3	1	1	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	75.09100000000001
161	stump_with_memoization	3	1	1	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	76.089
162	stump_with_memoization	3	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	71.36399999999999
163	stump_with_memoization	3	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	68.637
164	stump_with_memoization	3	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	62.727
165	stump_with_memoization	3	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	69.09200000000001
166	stump_with_memoization	3	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	66.364
167	stump_with_memoization	3	1	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	62.727
168	stump_with_memoization	3	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	85.63699999999999
169	stump_with_memoization	3	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	85.273
170	stump_with_memoization	3	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	79.545
171	stump_with_memoization	3	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	79.09100000000001
172	stump_with_memoization	3	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	78.182
173	stump_with_memoization	3	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	77.272
174	stump_with_memoization	3	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	78.18100000000001
175	stump_with_memoization	3	1	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	78.182
176	stump_with_memoization	3	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	85.545
177	stump_with_memoization	3	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	85.818
178	stump_with_memoization	3	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	79.999
179	stump_with_memoization	3	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	78.636
180	stump_with_memoization	3	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	76.364
181	stump_with_memoization	3	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	79.54499999999999
182	stump_with_memoization	3	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	78.636
183	stump_with_memoization	3	1	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	76.364
184	stump_with_memoization	3	1	2	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	78.09
185	stump_with_memoization	3	1	2	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	77.819
186	stump_with_memoization	3	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	74.091
187	stump_with_memoization	3	1	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	72.726
