AMBH-MIN-High-Risk-x,AMBH-MIN-High-Risk-y,AMBH-MIN-Low-Risk-x,AMBH-MIN-Low-Risk-y,AMBH-M-High-Risk-x,AMBH-M-High-Risk-y,AMBH-M-Low-Risk-x,AMBH-M-Low-Risk-y,AMBH-MAX-High-Risk-x,AMBH-MAX-High-Risk-y,AMBH-MAX-Low-Risk-x,AMBH-MAX-Low-Risk-y,AMBH-FM-High-Risk-x,AMBH-FM-High-Risk-y,AMBH-FM-Low-Risk-x,AMBH-FM-Low-Risk-y,AMBH-B-High-Risk-x,AMBH-B-High-Risk-y,AMBH-B-Low-Risk-x,AMBH-B-Low-Risk-y,AMBT-MIN-High-Risk-x,AMBT-MIN-High-Risk-y,AMBT-MIN-Low-Risk-x,AMBT-MIN-Low-Risk-y,AMBT-M-High-Risk-x,AMBT-M-High-Risk-y,AMBT-M-Low-Risk-x,AMBT-M-Low-Risk-y,AMBT-MAX-High-Risk-x,AMBT-MAX-High-Risk-y,AMBT-MAX-Low-Risk-x,AMBT-MAX-Low-Risk-y,AMBT-FM-High-Risk-x,AMBT-FM-High-Risk-y,AMBT-FM-Low-Risk-x,AMBT-FM-Low-Risk-y,AMBT-B-High-Risk-x,AMBT-B-High-Risk-y,AMBT-B-Low-Risk-x,AMBT-B-Low-Risk-y,GASP-MIN-High-Risk-x,GASP-MIN-High-Risk-y,GASP-MIN-Low-Risk-x,GASP-MIN-Low-Risk-y,GASP-M-High-Risk-x,GASP-M-High-Risk-y,GASP-M-Low-Risk-x,GASP-M-Low-Risk-y,GASP-MAX-High-Risk-x,GASP-MAX-High-Risk-y,GASP-MAX-Low-Risk-x,GASP-MAX-Low-Risk-y,GASP-FM-High-Risk-x,GASP-FM-High-Risk-y,GASP-FM-Low-Risk-x,GASP-FM-Low-Risk-y,GASP-B-High-Risk-x,GASP-B-High-Risk-y,GASP-B-Low-Risk-x,GASP-B-Low-Risk-y,GASF-MIN-High-Risk-x,GASF-MIN-High-Risk-y,GASF-MIN-Low-Risk-x,GASF-MIN-Low-Risk-y,GASF-M-High-Risk-x,GASF-M-High-Risk-y,GASF-M-Low-Risk-x,GASF-M-Low-Risk-y,GASF-MAX-High-Risk-x,GASF-MAX-High-Risk-y,GASF-MAX-Low-Risk-x,GASF-MAX-Low-Risk-y,GASF-FM-High-Risk-x,GASF-FM-High-Risk-y,GASF-FM-Low-Risk-x,GASF-FM-Low-Risk-y,GASF-B-High-Risk-x,GASF-B-High-Risk-y,GASF-B-Low-Risk-x,GASF-B-Low-Risk-y,IGVP-MIN-High-Risk-x,IGVP-MIN-High-Risk-y,IGVP-MIN-Low-Risk-x,IGVP-MIN-Low-Risk-y,IGVP-M-High-Risk-x,IGVP-M-High-Risk-y,IGVP-M-Low-Risk-x,IGVP-M-Low-Risk-y,IGVP-MAX-High-Risk-x,IGVP-MAX-High-Risk-y,IGVP-MAX-Low-Risk-x,IGVP-MAX-Low-Risk-y,IGVP-FM-High-Risk-x,IGVP-FM-High-Risk-y,IGVP-FM-Low-Risk-x,IGVP-FM-Low-Risk-y,IGVP-B-High-Risk-x,IGVP-B-High-Risk-y,IGVP-B-Low-Risk-x,IGVP-B-Low-Risk-y
71.44529152624436,0.015371871972396365,71.44529152624436,0.015371871972396365,77.6870995180331,0.010752175505685944,77.6870995180331,0.010752175505685944,83.68484486574755,0.005534478062223858,83.68484486574755,0.005534478062223858,2.988539578856256,0.05744981787758058,2.988539578856256,0.05744981787758058,3.803887107026782,0.4712559527734152,3.803887107026782,0.4712559527734152,572.0495752886721,0.041584309846030384,572.0495752886721,0.041584309846030384,578.0171608965104,0.03663177999520739,578.0171608965104,0.03663177999520739,595.76133150897,0.00951912376489362,595.76133150897,0.00951912376489362,3.230277727673621,0.07239808240272098,3.230277727673621,0.07239808240272098,3.7197648604035853,0.15217113502756133,3.7197648604035853,0.15217113502756133,32.65821143089513,0.13650267869398913,32.65821143089513,0.13650267869398913,33.624965701680026,0.13814528670361959,33.624965701680026,0.13814528670361959,35.77540459426834,0.1182936761183545,35.77540459426834,0.1182936761183545,3.243511048277722,0.06763629831025357,3.243511048277722,0.06763629831025357,3.7175764098139696,0.15423156569893293,3.7175764098139696,0.15423156569893293,561.5092660083651,0.03087695601783185,561.5092660083651,0.03087695601783185,567.6456550892512,0.031145140746918393,567.6456550892512,0.031145140746918393,584.3520643844461,0.021186885172663313,584.3520643844461,0.021186885172663313,3.238569378645339,0.07191213188092975,3.238569378645339,0.07191213188092975,3.6083715413445314,0.03033749316235644,3.6083715413445314,0.03033749316235644,559.216001872688,0.01498483669993274,559.216001872688,0.01498483669993274,565.4931450686576,0.033459723770851796,565.4931450686576,0.033459723770851796,582.2160672093967,0.027228256427205295,582.2160672093967,0.027228256427205295,3.2475915227535177,0.0856323746356288,3.2475915227535177,0.0856323746356288,3.6083715413445314,0.02670426044830183,3.6083715413445314,0.02670426044830183
71.98236066537791,0.015097084712422692,71.98236066537791,0.015097084712422692,78.26693713225157,0.009919854277398974,78.26693713225157,0.009919854277398974,84.30944377398018,0.005007086744138653,84.30944377398018,0.005007086744138653,3.046640362595984,0.05463273297442335,3.046640362595984,0.05463273297442335,3.82970665370058,0.5034461407938471,3.82970665370058,0.5034461407938471,573.026685690428,0.04055253352451867,573.026685690428,0.04055253352451867,578.8848284390156,0.03538047662129447,578.8848284390156,0.03538047662129447,596.3358875784545,0.009137469950982831,596.3358875784545,0.009137469950982831,3.2944376826770587,0.07051509514476986,3.2944376826770587,0.07051509514476986,3.7439186200155374,0.17271888952773715,3.7439186200155374,0.17271888952773715,32.864144330516815,0.1360554062097796,32.864144330516815,0.1360554062097796,33.82328482448557,0.13927151648921,33.82328482448557,0.13927151648921,35.94988092286771,0.10620445976262198,35.94988092286771,0.10620445976262198,3.307226118540647,0.06564912211163974,3.307226118540647,0.06564912211163974,3.741686833770682,0.17542371716968458,3.741686833770682,0.17542371716968458,562.4346613748675,0.029213004464057037,562.4346613748675,0.029213004464057037,568.464697764286,0.033164588692148216,568.464697764286,0.033164588692148216,584.8554112039401,0.019659122124239762,584.8554112039401,0.019659122124239762,3.30247471287594,0.0699582773344803,3.30247471287594,0.0699582773344803,3.6303194926582845,0.04034949402814762,3.6303194926582845,0.04034949402814762,560.1092979493749,0.018660536582239397,560.1092979493749,0.018660536582239397,566.2791865551657,0.03558551871999657,566.2791865551657,0.03558551871999657,582.6930982432461,0.02635453520581465,582.6930982432461,0.02635453520581465,3.3119844241941814,0.08297389989727054,3.3119844241941814,0.08297389989727054,3.6303194926582845,0.03551721929423789,3.6303194926582845,0.03551721929423789
72.51942980451146,0.014731559515469322,72.51942980451146,0.014731559515469322,78.84677474647006,0.009075970816472038,78.84677474647006,0.009075970816472038,84.9340426822128,0.004538409568040833,84.9340426822128,0.004538409568040833,3.1047411463357117,0.05161318199973245,3.1047411463357117,0.05161318199973245,3.8555262003743778,0.532850141088978,3.8555262003743778,0.532850141088978,574.003796092184,0.03912133319708639,574.003796092184,0.03912133319708639,579.7524959815207,0.034017577597515565,579.7524959815207,0.034017577597515565,596.910443647939,0.008656912371635146,596.910443647939,0.008656912371635146,3.358597637680497,0.06860599388749176,3.358597637680497,0.06860599388749176,3.7680723796274895,0.19381749137709364,3.7680723796274895,0.19381749137709364,33.0700772301385,0.13601514148875862,33.0700772301385,0.13601514148875862,34.02160394729112,0.14148084042688627,34.02160394729112,0.14148084042688627,36.12435725146708,0.09391234090175296,36.12435725146708,0.09391234090175296,3.3709411888035725,0.0636829490757485,3.3709411888035725,0.0636829490757485,3.765797257727394,0.19725025139589925,3.765797257727394,0.19725025139589925,563.3600567413697,0.02782059058742135,563.3600567413697,0.02782059058742135,569.2837404393207,0.03532463334084382,569.2837404393207,0.03532463334084382,585.358758023434,0.018323484894905397,585.358758023434,0.018323484894905397,3.366380047106541,0.06798055370315324,3.366380047106541,0.06798055370315324,3.6522674439720375,0.052790626880907666,3.6522674439720375,0.052790626880907666,561.0025940260618,0.022439361735983657,561.0025940260618,0.022439361735983657,567.0652280416737,0.037543642591026896,567.0652280416737,0.037543642591026896,583.1701292770955,0.025383586364794035,583.1701292770955,0.025383586364794035,3.3763773256348455,0.08017680000092284,3.3763773256348455,0.08017680000092284,3.6522674439720375,0.04646839611672712,3.6522674439720375,0.04646839611672712
73.05649894364501,0.014277563993894704,73.05649894364501,0.014277563993894704,79.42661236068854,0.00823409464631057,79.42661236068854,0.00823409464631057,85.55864159044542,0.004128425357752284,85.55864159044542,0.004128425357752284,3.1628419300754396,0.048444274330894224,3.1628419300754396,0.048444274330894224,3.8813457470481754,0.5587442181404941,3.8813457470481754,0.5587442181404941,574.9809064939399,0.03738045818682452,574.9809064939399,0.03738045818682452,580.6201635240259,0.032646073229533584,580.6201635240259,0.032646073229533584,597.4849997174236,0.008118048763525305,597.4849997174236,0.008118048763525305,3.422757592683935,0.06666698444412847,3.422757592683935,0.06666698444412847,3.792226139239442,0.21502633333846832,3.792226139239442,0.21502633333846832,33.27601012976019,0.13661795403085364,33.27601012976019,0.13661795403085364,34.21992307009666,0.1436989265511164,34.21992307009666,0.1436989265511164,36.29883358006646,0.08210089118066773,36.29883358006646,0.08210089118066773,3.4346562590664975,0.0617304087949172,3.4346562590664975,0.0617304087949172,3.7899076816841064,0.21926079368949425,3.7899076816841064,0.21926079368949425,564.285452107872,0.027335343508183892,564.285452107872,0.027335343508183892,570.1027831143554,0.03719376104008323,570.1027831143554,0.03719376104008323,585.862104842928,0.017230365942026763,585.862104842928,0.017230365942026763,3.4302853813371414,0.06594840002174944,3.4302853813371414,0.06594840002174944,3.6742153952857906,0.06794158644374122,3.6742153952857906,0.06794158644374122,561.8958901027487,0.026064249912744187,561.8958901027487,0.026064249912744187,567.8512695281818,0.03936349793262909,567.8512695281818,0.03936349793262909,583.647160310945,0.024326185946493013,583.647160310945,0.024326185946493013,3.440770227075509,0.07725307735461867,3.440770227075509,0.07725307735461867,3.6742153952857906,0.05980486950437106,3.6742153952857906,0.05980486950437106
73.59356808277856,0.01373998190070213,73.59356808277856,0.01373998190070213,80.00644997490701,0.007407039356301466,80.00644997490701,0.007407039356301466,86.18324049867805,0.0037748595536033504,86.18324049867805,0.0037748595536033504,3.2209427138151674,0.045195481790881564,3.2209427138151674,0.045195481790881564,3.907165293721973,0.5804661149581796,3.907165293721973,0.5804661149581796,575.9580168956958,0.03532589457310486,575.9580168956958,0.03532589457310486,581.4878310665309,0.031242451882129683,581.4878310665309,0.031242451882129683,598.0595557869082,0.007582698038410181,598.0595557869082,0.007582698038410181,3.486917547687373,0.06468883136178141,3.486917547687373,0.06468883136178141,3.816379898851394,0.23584998679593466,3.816379898851394,0.23584998679593466,33.481943029381874,0.13743258591530189,33.481943029381874,0.13743258591530189,34.418242192902206,0.144944880687195,34.418242192902206,0.144944880687195,36.47330990866583,0.07128513785604704,36.47330990866583,0.07128513785604704,3.498371329329423,0.05977921549259024,3.498371329329423,0.05977921549259024,3.8140181056408187,0.240945325161427,3.8140181056408187,0.240945325161427,565.2108474743743,0.028191700180263762,565.2108474743743,0.028191700180263762,570.92182578939,0.03838130781623225,570.92182578939,0.03838130781623225,586.3654516624221,0.016390096905955453,586.3654516624221,0.016390096905955453,3.4941907155677425,0.06383352955772896,3.4941907155677425,0.06383352955772896,3.6961633465995436,0.0860150606920894,3.6961633465995436,0.0860150606920894,562.7891861794355,0.029350890589648595,562.7891861794355,0.029350890589648595,568.6373110146899,0.040917442445794754,568.6373110146899,0.040917442445794754,584.1241913447944,0.023209499983605896,584.1241913447944,0.023209499983605896,3.505163128516173,0.07421579908333654,3.505163128516173,0.07421579908333654,3.6961633465995436,0.07571385581878529,3.6961633465995436,0.07571385581878529
74.13063722191211,0.01312610191908063,74.13063722191211,0.01312610191908063,80.58628758912549,0.006606423885453821,80.58628758912549,0.006606423885453821,86.80783940691067,0.0034734973150330308,86.80783940691067,0.0034734973150330308,3.279043497554895,0.04194881440797631,3.279043497554895,0.04194881440797631,3.9329848403957706,0.5974431166784526,3.9329848403957706,0.5974431166784526,576.9351272974517,0.03305388203542557,576.9351272974517,0.03305388203542557,582.3554986090361,0.0296962710183925,582.3554986090361,0.0296962710183925,598.6341118563927,0.007124523871856635,598.6341118563927,0.007124523871856635,3.551077502690811,0.06265700973906412,3.551077502690811,0.06265700973906412,3.8405336584633463,0.2557558425201293,3.8405336584633463,0.2557558425201293,33.68787592900356,0.13769518375103953,33.68787592900356,0.13769518375103953,34.61656131570775,0.14437266215612693,34.61656131570775,0.14437266215612693,36.6477862372652,0.06174644987101263,36.6477862372652,0.06174644987101263,3.562086399592348,0.0578134171235065,3.562086399592348,0.0578134171235065,3.838128529597531,0.26175204217202064,3.838128529597531,0.26175204217202064,566.1362428408765,0.0304818399057807,566.1362428408765,0.0304818399057807,571.7408684644247,0.038642150115983036,571.7408684644247,0.038642150115983036,586.868798481916,0.015774739691189647,586.868798481916,0.015774739691189647,3.558096049798343,0.06161193396644229,3.558096049798343,0.06161193396644229,3.7181112979132966,0.10712062148124651,3.7181112979132966,0.10712062148124651,563.6824822561225,0.03236757758065543,563.6824822561225,0.03236757758065543,569.4233525011979,0.04204800324183564,569.4233525011979,0.04204800324183564,584.6012223786438,0.02207408506429276,584.6012223786438,0.02207408506429276,3.5695560299568365,0.0710787687511155,3.5695560299568365,0.0710787687511155,3.7181112979132966,0.09429180453738457,3.7181112979132966,0.09429180453738457
74.66770636104567,0.012445305514715305,74.66770636104567,0.012445305514715305,81.16612520334397,0.005842318765813898,81.16612520334397,0.005842318765813898,87.4324383151433,0.0032185803519111343,87.4324383151433,0.0032185803519111343,3.337144281294623,0.0387924108402301,3.337144281294623,0.0387924108402301,3.958804387069568,0.6092171135456812,3.958804387069568,0.6092171135456812,577.9122376992075,0.030792181215916016,577.9122376992075,0.030792181215916016,583.2231661515412,0.027889430783160654,583.2231661515412,0.027889430783160654,599.2086679258773,0.006815774870231399,599.2086679258773,0.006815774870231399,3.615237457694249,0.06055277006395643,3.615237457694249,0.06055277006395643,3.8646874180752984,0.27419576646627347,3.8646874180752984,0.27419576646627347,33.89380882862525,0.1368080847563061,33.89380882862525,0.1368080847563061,34.8148804385133,0.14119524200570024,34.8148804385133,0.14119524200570024,36.82226256586458,0.05353729213298897,36.82226256586458,0.05353729213298897,3.6258014698552734,0.05581505532794827,3.6258014698552734,0.05581505532794827,3.862238953554243,0.28110958198541725,3.862238953554243,0.28110958198541725,567.0616382073788,0.03386727302373888,567.0616382073788,0.03386727302373888,572.5599111394594,0.037940412649077174,572.5599111394594,0.037940412649077174,587.37214530141,0.015326474533557405,587.37214530141,0.015326474533557405,3.622001384028944,0.05926542870785577,3.622001384028944,0.05926542870785577,3.7400592492270497,0.13122943199098588,3.7400592492270497,0.13122943199098588,564.5757783328094,0.035364514934031255,564.5757783328094,0.035364514934031255,570.209393987706,0.042704492132363985,570.209393987706,0.042704492132363985,585.0782534124933,0.02096792319941895,585.0782534124933,0.02096792319941895,3.6339489313975,0.0678562409174796,3.6339489313975,0.0678562409174796,3.7400592492270497,0.11551333235134673,3.7400592492270497,0.11551333235134673
75.20477550017922,0.011708673665981398,75.20477550017922,0.011708673665981398,81.74596281756244,0.005122991544405263,81.74596281756244,0.005122991544405263,88.05703722337593,0.0030032596027557514,88.05703722337593,0.0030032596027557514,3.395245065034351,0.03581217062072329,3.395245065034351,0.03581217062072329,3.9846239337433658,0.6154651341871604,3.9846239337433658,0.6154651341871604,578.8893481009634,0.028722787625752186,578.8893481009634,0.028722787625752186,584.0908336940464,0.025753958856765822,584.0908336940464,0.025753958856765822,599.7832239953618,0.006712538864664559,599.7832239953618,0.006712538864664559,3.6793974126976874,0.058354987413957414,3.6793974126976874,0.058354987413957414,3.8888411776872505,0.2906306235964135,3.8888411776872505,0.2906306235964135,34.09974172824693,0.13456676824018338,34.09974172824693,0.13456676824018338,35.01319956131884,0.13475510773891805,35.01319956131884,0.13475510773891805,36.99673889446395,0.046537227970206124,36.99673889446395,0.046537227970206124,3.6895165401181984,0.05376603302770718,3.6895165401181984,0.05376603302770718,3.8863493775109554,0.29845245864356623,3.8863493775109554,0.29845245864356623,567.9870335738811,0.03759957179685173,567.9870335738811,0.03759957179685173,573.378953814494,0.03645166540451695,573.378953814494,0.03645166540451695,587.8754921209039,0.014970830188643416,587.8754921209039,0.014970830188643416,3.6859067182595444,0.056782652407904685,3.6859067182595444,0.056782652407904685,3.7620072005408027,0.15814257705451698,3.7620072005408027,0.15814257705451698,565.4690744094962,0.03843104357485299,565.4690744094962,0.03843104357485299,570.9954354742141,0.04297573757751508,570.9954354742141,0.04297573757751508,585.5552844463427,0.019938588424615357,585.5552844463427,0.019938588424615357,3.698341832838164,0.06456267441831978,3.698341832838164,0.06456267441831978,3.7620072005408027,0.13920334626954492,3.7620072005408027,0.13920334626954492
75.74184463931277,0.010928535948292059,75.74184463931277,0.010928535948292059,82.32580043178092,0.004454758545407107,82.32580043178092,0.004454758545407107,88.68163613160854,0.002820073652248798,88.68163613160854,0.002820073652248798,3.453345848774079,0.033082629428181354,3.453345848774079,0.033082629428181354,4.010443480417163,0.6160140650651978,4.010443480417163,0.6160140650651978,579.8664585027193,0.02681453228192809,579.8664585027193,0.02681453228192809,584.9585012365516,0.023293164030198425,584.9585012365516,0.023293164030198425,600.3577800648463,0.006841785714754431,600.3577800648463,0.006841785714754431,3.743557367701125,0.05604256641501317,3.743557367701125,0.05604256641501317,3.912994937299203,0.3045561836707523,3.912994937299203,0.3045561836707523,34.30567462786862,0.130977252558874,34.30567462786862,0.130977252558874,35.211518684124385,0.124788597175266,35.211518684124385,0.124788597175266,37.17121522306332,0.04053386247443799,37.17121522306332,0.04053386247443799,3.7532316103811234,0.05164996739474458,3.7532316103811234,0.05164996739474458,3.9104598014676677,0.3132481808562779,3.9104598014676677,0.3132481808562779,568.9124289403834,0.04069239610399039,568.9124289403834,0.04069239610399039,574.1979964895287,0.03450107034485225,574.1979964895287,0.03450107034485225,588.3788389403979,0.014632012022992759,588.3788389403979,0.014632012022992759,3.7498120524901455,0.05415951569707936,3.7498120524901455,0.05415951569707936,3.783955151854556,0.18746732716801584,3.783955151854556,0.18746732716801584,566.3623704861832,0.04128515929694004,566.3623704861832,0.04128515929694004,571.7814769607221,0.042998232500485276,571.7814769607221,0.042998232500485276,586.0323154801922,0.019025352127193192,586.0323154801922,0.019025352127193192,3.7627347342788275,0.06121253116598115,3.7627347342788275,0.06121253116598115,3.783955151854556,0.1650161502616666,3.783955151854556,0.1650161502616666
76.27891377844632,0.010117987307718164,76.27891377844632,0.010117987307718164,82.9056380459994,0.003841942855623488,82.9056380459994,0.003841942855623488,89.30623503984117,0.0026614224470806547,89.30623503984117,0.0026614224470806547,3.511446632513807,0.0306585942204785,3.511446632513807,0.0306585942204785,4.036263027090961,0.6108486198638337,4.036263027090961,0.6108486198638337,580.8435689044752,0.024880708556917347,580.8435689044752,0.024880708556917347,585.8261687790567,0.020590482097107614,585.8261687790567,0.020590482097107614,600.932336134331,0.00719345358848114,600.932336134331,0.00719345358848114,3.8077173227045633,0.0535971056741532,3.8077173227045633,0.0535971056741532,3.937148696911155,0.31552869448375864,3.937148696911155,0.31552869448375864,34.511607527490305,0.12590859013199818,34.511607527490305,0.12590859013199818,35.40983780692993,0.1116851624130565,35.40983780692993,0.1116851624130565,37.345691551662696,0.03531280975867323,37.345691551662696,0.03531280975867323,3.816946680644049,0.04945382142069656,3.816946680644049,0.04945382142069656,3.93457022542438,0.3250242635257003,3.93457022542438,0.3250242635257003,569.8378243068856,0.04222486305760761,569.8378243068856,0.04222486305760761,575.0170391645634,0.03245536430732942,575.0170391645634,0.03245536430732942,588.882185759892,0.014247201094419203,588.882185759892,0.014247201094419203,3.813717386720746,0.05139916318886242,3.813717386720746,0.05139916318886242,3.8059031031683093,0.21860565521685713,3.8059031031683093,0.21860565521685713,567.25566656287,0.04346683792341696,567.25566656287,0.04346683792341696,572.5675184472302,0.04282574436567134,572.5675184472302,0.04282574436567134,586.5093465140416,0.01825317522390679,586.5093465140416,0.01825317522390679,3.827127635719491,0.05782013613176191,3.827127635719491,0.05782013613176191,3.8059031031683093,0.19242533722681426,3.8059031031683093,0.19242533722681426
