AMBH-MAX-High-Risk-x,AMBH-MAX-High-Risk-y,AMBH-MAX-Low-Risk-x,AMBH-MAX-Low-Risk-y
-10.004991369146149,4.781388116048557e-7,-7.6876379801421395,1.0933090112796861e-7
-9.380392460913525,7.273791643735983e-7,-7.110618000442218,1.6801239640096278e-7
-8.755793552680899,1.1475032659880035e-6,-6.533598020742297,2.913369820756184e-7
-8.131194644448275,1.8182888085904735e-6,-5.956578041042376,5.172237094297482e-7
-7.50659573621565,2.858592861768594e-6,-5.379558061342456,9.101807574363186e-7
-6.881996827983025,4.439319473770187e-6,-4.802538081642535,1.573287300428161e-6
-6.2573979197504,6.799972231744666e-6,-4.225518101942614,2.6651826456414173e-6
-5.632799011517776,1.0268925310176202e-5,-3.6484981222426924,4.422868351826592e-6
-5.0082001032851515,1.5287296722511502e-5,-3.0714781425427713,7.190962904537468e-6
-4.383601195052527,2.2435945177623486e-5,-2.49445816284285,1.1457675313799598e-5
-3.7590022868199022,3.246464757024004e-5,-1.9174381831429292,1.789719187311377e-5
-3.1344033785872774,4.632197880521188e-5,-1.3404182034430083,2.74174558555983e-5
-2.509804470354653,6.518386373308149e-5,-0.7633982237430872,4.121157462937966e-5
-1.8852055621220283,9.047827872949415e-5,-0.18637824404316616,6.081046715891119e-5
-1.2606066538894036,0.00012390323931765063,0.39064173565675486,8.813402807630293e-5
-0.636007745656779,0.00016743511404272883,0.9676617153566759,0.0001255381381883223
-0.011408837424154274,0.0002233245317528604,1.544681695056597,0.00017585527073084555
0.6131900708084704,0.00029407774121682995,2.121701674756518,0.00024242700810599878
1.237788979041095,0.0003824222242900044,2.6987216544564387,0.00032912706077497926
1.8623878872737196,0.0004912565734538846,3.27574163415636,0.0004403727805863823
2.4869867955063443,0.0006235859687854861,3.852761613856281,0.0005811211082776188
3.111585703738969,0.0007824458215233704,4.429781593556202,0.0007568410822017793
3.7361846119715936,0.0009708170634176056,5.006801573256123,0.0009734497255302921
4.360783520204218,0.0011915369506403874,5.583821552956044,0.0012371923985093646
4.985382428436843,0.0014472089945224292,6.160841532655965,0.0015544445005798591
5.609981336669468,0.0017401147312297621,6.737861512355886,0.0019314113200625189
6.234580244902093,0.0020721286557307756,7.314881492055807,0.002373709490943875
6.859179153134717,0.0024446360810841576,7.8919014717557285,0.0028858287323315556
7.4837780613673415,0.0028584523630627813,8.46892145145565,0.0034704963202912883
8.108376969599966,0.0033137413085288117,9.04594143115557,0.004127996517876825
8.73297587783259,0.0038099310533052056,9.622961410855492,0.004855527650745335
9.357574786065216,0.004345627466884918,10.199981390555413,0.005646703207030561
9.98217369429784,0.004918528169744697,10.777001370255332,0.006491312163765384
10.606772602530464,0.005525344178773226,11.354021349955254,0.007375441098913011
11.23137151076309,0.006161740379492638,11.931041329655175,0.008282023699284869
11.855970418995714,0.006822309602527884,12.508061309355096,0.00919182463759515
12.48056932722834,0.007500597128534181,13.085081289055017,0.01008479301402841
13.105168235460964,0.00818919213766389,13.662101268754938,0.010941648983693262
13.729767143693588,0.008879899414425647,14.23912124845486,0.011745511286912985
14.354366051926213,0.009563998396168295,14.81614122815478,0.01248334709206393
14.978964960158837,0.010232587790974513,15.393161207854702,0.013147037537583783
15.603563868391461,0.01087700335599749,15.970181187554623,0.013733903376928869
16.228162776624085,0.011489285283830022,16.547201167254542,0.014246617181452342
16.852761684856713,0.012062661486668014,17.124221146954465,0.014692526258407959
17.477360593089337,0.012592005411408192,17.701241126654384,0.015082504372355603
18.10195950132196,0.013074223181132603,18.278261106354307,0.015429521518007517
18.726558409554585,0.013508525764694171,18.855281086054227,0.015747155232426126
19.35115731778721,0.01389654791562358,19.43230106575415,0.01604825820836221
19.975756226019836,0.014242286574085916,20.00932104545407,0.016343948594994703
20.60035513425246,0.014551846462844686,20.586341025153992,0.0166430130344354
21.224954042485084,0.014832998366984608,21.16336100485391,0.01695172532858217
21.849552950717708,0.015094574303649235,21.740380984553834,0.01727400423942657
22.474151858950332,0.015345741478036735,22.317400964253753,0.017611778184803927
23.098750767182956,0.015595211590167714,22.894420943953676,0.017965402442501874
23.723349675415584,0.01585045191728152,23.471440923653596,0.01833398818559567
24.347948583648208,0.0161169682824892,24.04846090335352,0.018715546873000834
24.97254749188083,0.01639772676428299,24.625480883053438,0.01910691683753049
25.597146400113456,0.01669277076309554,25.202500862753357,0.01950350669289747
