index,attributenames,attributeabbrs,attributenamesnormsorted,attributeabbrsnormsorted,meanmvarnormsorted,minmvarnormsorted,maxmvarnormsorted,DNHistogramMode5varnormsorted,DNHistogramMode10varnormsorted,SBBinaryStatsmeanlongstretch1varnormsorted,DNOutlierIncludep001mdrmdvarnormsorted,DNOutlierIncluden001mdrmdvarnormsorted,COf1ecacvarnormsorted,COFirstMinacvarnormsorted,SPSummarieswelchrectarea51varnormsorted,SPSummarieswelchrectcentroidvarnormsorted,FCLocalSimplemean3stderrvarnormsorted,COtrev1numvarnormsorted,COHistogramAMIeven25varnormsorted,INAutoMutualInfoStats40gaussianfmmivarnormsorted,MDhrvclassicpnn40varnormsorted,SBBinaryStatsdifflongstretch0varnormsorted,SBMotifThreequantilehhvarnormsorted,FCLocalSimplemean1tauresratvarnormsorted,COEmbed2Disttaudexpfitmeandiffvarnormsorted,SCFluctAnal2dfa5012logipropr1varnormsorted,SCFluctAnal2rsrangefit501logipropr1varnormsorted,SBTransitionMatrix3acsumdiagcovvarnormsorted,PDPeriodicityWangth001varnormsorted,meannormsorted
0,Ambient_air_humidity,AMB_H,Ambient_air_humidity,AMB_H,0.11343439940415101,0.1009132927562563,0.12037531035147332,0.038505583724891414,0.03379979116266269,0.039893442020359195,0.045586301801322615,0.045195413175444475,0.0,0.0516330277309486,0.0,0.02664986896642637,NaN,0.026109125174097875,0.03961494945964055,0.0,0.029479031694723407,0.039879751114443245,0.12500580774055614,0.03630002407573336,0.04226778835402977,0.0,0.0,0.036595005369594,0.0,0.0413015797531981
1,Ambient_air_temperature,AMB_T,Exhaust_temperature_3,EX_T3,0.05936008348067942,0.06090277208571276,0.05792516051239189,0.040033667060430794,0.04036222874572953,0.04001736001576281,0.03976469510685886,0.03999434390111704,0.0,0.03906013672937474,0.0,0.040712172511320956,NaN,0.0404748184362319,0.040489691076796445,0.0,0.0394741942129839,0.040034894735917786,0.12500580774055636,0.041060201051182736,0.040244201858714454,0.0,0.0,0.04100894155593718,0.0,0.03608022378407081
2,Gas_fuel_valve_position,GAS_P,Power_output,POWER,0.0031502708637266012,0.0031827515030302717,0.0030630910786083646,0.04085095017581079,0.04154665016646406,0.04001886339197825,0.040514213324682496,0.04150033338832245,0.0,0.04066672921403399,0.0,0.03574203143810695,NaN,0.038341714126133845,0.04036303048769223,0.0,0.036284238207140086,0.0400387485833176,0.24996515355666216,0.04114230608700551,0.040901772370019705,0.0,0.0,0.041258704706624724,0.0,0.034105481361223336
3,Gas_fuel_mass_flow_rate,GAS_F,Exhaust_temperature_12,EX_T12,0.039042131670423044,0.04042430486085188,0.03931645404816178,0.040313750083613965,0.03983128857370083,0.04001921160043996,0.03793434307635234,0.038253606952712384,0.0,0.03811678940055303,0.0,0.04419011248401105,NaN,0.04252640246930312,0.03959005082129854,0.0,0.03720079487654437,0.04003686865775654,0.12500580774055636,0.04042759220651841,0.03901712305408904,0.0,0.0,0.0403864451840407,0.0,0.03340137824003864
4,Compr_IGV_position,IGV_P,Exhaust_temperature_10,EX_T10,0.036295615160652286,0.03924198147145837,0.03474336978157375,0.0402732954766919,0.03977842481961845,0.040019548754665214,0.03735979059925435,0.037697482723873806,0.0,0.03636517437805924,0.0,0.044421131086895146,NaN,0.04380218989602524,0.0394384387305008,0.0,0.03522785389805693,0.04003661984407957,0.12500580774055636,0.04015893802818991,0.03741759944015811,0.0,0.0,0.04007201071139939,0.0,0.03280646968923787
5,Compressor_outlet_temperature,IGV_T,Exhaust_temperature_6,EX_T6,0.07315345365445917,0.0720984716201991,0.07331074582787576,0.04092036892415487,0.039121544780294185,0.04002018990040356,0.03980078329186355,0.039663028079068345,0.0,0.03916610161358065,0.0,0.04091428126933273,NaN,0.04208129598383989,0.04018822900690329,0.0,0.03582631401431639,0.04003775332860921,2.6257284150441375e-26,0.040961547713567026,0.04090137912822648,0.0,0.0,0.040967863398427916,0.0,0.032463889647296754
6,Compressor_outlet_pressure,IGV_T,Exhaust_temperature_7,EX_T7,0.07245915655099659,0.07165839065856652,0.07278194548435787,0.04045648493167182,0.04026926435609556,0.04002385437992841,0.03857739201119007,0.03816482905672941,0.0,0.038351938524072274,0.0,0.04368689473806297,NaN,0.04255771046434246,0.039998948841633,0.0,0.03682778953451743,0.04003113488479689,2.6257284150441375e-26,0.0404397136102701,0.0408165299070144,0.0,0.0,0.04031600950592995,0.0,0.03239241614334066
7,Rotational_speed,SPEED,Exhaust_temperature_4,EX_T4,0.06986915713725322,0.06964021646871842,0.06960587410732533,0.04056448790236743,0.040417890089633084,0.04002343984604586,0.04045392487708316,0.04050863578364762,0.0,0.03988370200405144,0.0,0.038744351889461556,NaN,0.040011995444303054,0.04025457251246503,0.0,0.04035691448871846,0.040034231232779244,2.6257284150441375e-26,0.041141351377286334,0.041733637342874476,0.0,0.0,0.04103716456713268,0.0,0.03226173112796443
8,Power_output,POWER,Exhaust_temperature_5,EX_T5,0.07048964804631379,0.06942693959777026,0.07097570312946459,0.04049176074041416,0.04062366231831381,0.04002416942568033,0.03992159481924717,0.04040694360483383,0.0,0.039920130878102304,0.0,0.04002094863509653,NaN,0.04027933046011453,0.04013597064754255,0.0,0.03725703686240225,0.040038129313720784,2.6257284150441375e-26,0.04111457404279073,0.04101865682455473,0.0,0.0,0.04111237191350657,0.0,0.03221906546916121
9,Exhaust_temperature_1,EX_T1,Compressor_outlet_temperature,IGV_T,0.029262842393345985,0.02713153383331407,0.030882159431805754,0.04103792661137788,0.038508020325272,0.04001921160043998,0.043163353363702806,0.0441692354580784,0.0,0.04440366471926875,0.0,0.0304648845057118,NaN,0.03336022455239249,0.041006577175905216,0.0,0.03811109138951551,0.04003887575475181,0.1250058077405563,0.04005166957191999,0.04313195771716847,0.0,0.0,0.04015087116592495,0.0,0.03207916280460218
