index,attributenamesnormsorted,attributeabbrsnormsorted,meanmvarnormsorted,minmvarnormsorted,maxmvarnormsorted,DNHistogramMode5varnormsorted,DNHistogramMode10varnormsorted,SBBinaryStatsmeanlongstretch1varnormsorted,DNOutlierIncludep001mdrmdvarnormsorted,DNOutlierIncluden001mdrmdvarnormsorted,COf1ecacvarnormsorted,COFirstMinacvarnormsorted,SPSummarieswelchrectarea51varnormsorted,SPSummarieswelchrectcentroidvarnormsorted,FCLocalSimplemean3stderrvarnormsorted,COtrev1numvarnormsorted,COHistogramAMIeven25varnormsorted,INAutoMutualInfoStats40gaussianfmmivarnormsorted,MDhrvclassicpnn40varnormsorted,SBBinaryStatsdifflongstretch0varnormsorted,SBMotifThreequantilehhvarnormsorted,FCLocalSimplemean1tauresratvarnormsorted,COEmbed2Disttaudexpfitmeandiffvarnormsorted,SCFluctAnal2dfa5012logipropr1varnormsorted,SCFluctAnal2rsrangefit501logipropr1varnormsorted,SBTransitionMatrix3acsumdiagcovvarnormsorted,PDPeriodicityWangth001varnormsorted,meannormsorted
28,EEG_B29,EEG_B29,0.00025197082669477445,0.00014457146143376535,0.00040436565266668454,0.01848163834358953,0.019018890342071847,0.01684222715221569,0.017190051210477755,0.021976587888122595,0.016402430583383747,0.014438811292189054,0.017038319236320126,0.01592924743674267,0.015195778117844241,0.018478119105444252,0.017009466281188212,0.01564532353971802,0.012779199569230194,0.022295415856737045,0.01713662348266469,0.017278640462814396,0.019154533285847552,0.0,0.0,0.01660426198131918,0.017155878130856003,0.013874094049582883
29,EEG_B13,EEG_B13,0.0028621874615461923,0.0014409221902017297,0.003031754466667661,0.016318156555177526,0.017178759902789588,0.01982050364274614,0.01759987142316641,0.019852292836009342,0.01635689357454589,0.01705516036865414,0.01770541555955232,0.014668734886151183,0.01745829031253452,0.015445097105483198,0.017907449251001583,0.016107421703338395,0.012106928001399704,0.014357525551971376,0.015429558911439269,0.016865764245084645,0.01750141778179676,0.0,0.0,0.016685191214666745,0.018293702795359863,0.013681959989651367
30,EEG_B27,EEG_B27,0.0005033829597605146,0.00014457146143376535,0.0010117703362215113,0.017344063751258933,0.01800207345065858,0.018131914097085425,0.017445721816128263,0.02131059172989393,0.015586407385009972,0.01696596665013833,0.018109362460940078,0.016952455954312492,0.014600063470959728,0.018505147797171117,0.017685031801006917,0.01905809502718669,0.0143958787543854,0.014557250117860746,0.0191041619666072,0.016526379802329023,0.01616096153747171,0.0,0.0,0.01081236126917563,0.01718982458479156,0.0136041375272715
31,EEG_B36,EEG_B36,5.028242661314798e-5,0.0,8.08520547289106e-5,0.01871254610577822,0.015559571020890896,0.01679144434879396,0.01575699687498399,0.01859570531414227,0.01813647987992811,0.02033897577201292,0.01873771556152911,0.015962329267862077,0.01590571513425947,0.015331300043707679,0.016372920926411082,0.01779346591661432,0.019083900379492365,0.014138641362028605,0.017536501796878084,0.01507615544425731,0.017861312750584987,0.0,0.0,0.014973913357241509,0.015873196938222273,0.013546796907078454
32,EEG_B28,EEG_B28,0.0003269754463927154,0.00014457146143376535,0.0005222584336741472,0.017592257007019118,0.015928755907516398,0.019789101715992633,0.018086534659998894,0.021452756484576965,0.01507639288602635,0.013787531973470463,0.018195020072083658,0.016065022467110848,0.015269302799387787,0.01973630181064415,0.016811926785678267,0.016070960469497863,0.015258988956792044,0.016308323637402384,0.014542178957904738,0.01612260810317103,0.016612441647791434,0.0,0.0,0.013387380139831321,0.01694587739557858,0.013361338768759019
33,EEG_B46,EEG_B46,0.0,0.0,1.9073603005451915e-5,0.01672609419800859,0.013260371500053528,0.01447825085380125,0.01657380045138805,0.01218463844720718,0.014522662858558385,0.019039885779184765,0.014957915303134842,0.017132857826511097,0.0171290029563302,0.015706895953042668,0.017240141526451147,0.019109140754563336,0.018003163085927296,0.01828234550956474,0.0173975181374773,0.018298621363391842,0.015858315967824544,0.0,0.0,0.020354105395203315,0.01690354740443627,0.013327133955002632
34,EEG_B32,EEG_B32,0.00012584573994012864,0.0,0.0002519875866673283,0.016247715200953507,0.015207057605151291,0.016921958606863366,0.01731780408472237,0.019221697081603182,0.017517176559733665,0.011027812253168753,0.01651216441396315,0.019885500121851096,0.01492055899258258,0.013651335519647128,0.01851264123714519,0.016331562340841918,0.01688064787836073,0.02257584308151787,0.018430728272521523,0.014483211002389869,0.016086323244390403,0.0,0.0,0.01309946500576554,0.01748613452278777,0.013307806814102732
35,EEG_B14,EEG_B14,0.0028410967770501035,0.0014409221902017297,0.00323745431786462,0.01510649789950002,0.017421424214006966,0.022121676087653554,0.018140007141220476,0.020706368953927506,0.01503814179860253,0.016190972340367208,0.017353475517695543,0.013710951023716738,0.01651534079890159,0.015712328765577176,0.017232667351080047,0.015565492627730479,0.006953746309583453,0.015125652298109787,0.015614170794989815,0.01785811191242511,0.016897872890352494,0.0,0.0,0.014153271366267319,0.017056787469772895,0.013279777233863886
36,EEG_B52,EEG_B52,0.0,0.0,4.768400751362979e-6,0.014540235073824993,0.01641426248531169,0.01686896785546678,0.016647537305453586,0.013647163035925749,0.017364172210038505,0.020340957854646614,0.015326062231483533,0.01739293039993347,0.01704708388275994,0.016055302354812135,0.016063266258234704,0.014288581838390753,0.018421954241583154,0.016173045079692413,0.016918485862330034,0.013784844594141926,0.018523256392391,0.0,0.0,0.01843667544653046,0.016123328704063203,0.013215315260310638
37,EEG_B60,EEG_B60,0.0,0.0,4.768400751362979e-6,0.016980176848025174,0.01631251222587649,0.01355410196254684,0.015607337585279182,0.014357789065737335,0.014522662858558381,0.020573357043446334,0.015479324941771419,0.015395703244573917,0.016774030428631525,0.015435623543436477,0.01719740843175325,0.017922423543671146,0.01472922298015795,0.017608855694356378,0.01797960987262317,0.016619434267630916,0.016454141602318596,0.0,0.0,0.019989001545030614,0.015864950836051703,0.013174497476889126
38,EEG_B57,EEG_B57,0.0,0.0,4.768400751362979e-6,0.016635411866541175,0.01652156854147005,0.012265641655440874,0.014585941374984937,0.012033527943847168,0.016198424783790293,0.015057221073899014,0.01619947322819494,0.01699508055181561,0.017962035718474767,0.016312403063913936,0.01839871828716013,0.014963690368131805,0.020638901161990034,0.018426332987298913,0.01543438440370176,0.015937002102440097,0.016679742363248914,0.0,0.0,0.021405049606270852,0.015140530760366208,0.013111834009749315
