class_names,EEG_B2-TR,EEG_B2-FM,EEG_B2-FMAI,EEG_B2-LP,EEG_B2-C,EEG_B3-TR,EEG_B3-FM,EEG_B3-FMAI,EEG_B3-LP,EEG_B3-C,EEG_B4-TR,EEG_B4-FM,EEG_B4-FMAI,EEG_B4-LP,EEG_B4-C,EEG_B1-TR,EEG_B1-FM,EEG_B1-FMAI,EEG_B1-LP,EEG_B1-C,EEG_B5-TR,EEG_B5-FM,EEG_B5-FMAI,EEG_B5-LP,EEG_B5-C,EEG_B6-TR,EEG_B6-FM,EEG_B6-FMAI,EEG_B6-LP,EEG_B6-C,EEG_B7-TR,EEG_B7-FM,EEG_B7-FMAI,EEG_B7-LP,EEG_B7-C,EEG_B8-TR,EEG_B8-FM,EEG_B8-FMAI,EEG_B8-LP,EEG_B8-C,EEG_B9-TR,EEG_B9-FM,EEG_B9-FMAI,EEG_B9-LP,EEG_B9-C,EEG_B24-TR,EEG_B24-FM,EEG_B24-FMAI,EEG_B24-LP,EEG_B24-C
10.0,"[-2.4545, -0.7037]","[5.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-2.3182, -0.7157]","[5.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-2.0517, -0.7305]","[5.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-2.4967, -0.6996]","[5.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-1.5717, -0.71]","[3.0, 3.0]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[-1.0286, -0.662]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 2.0]","[-1.1118, -0.7819]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[-1.6629, -0.7105]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[-2.3889, -0.7181]","[2.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[3.0, 3.0]","[-3.9686, -2.7224]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[3.0, 1.0]"
11.0,"[-0.452, -2.1914, -3.0884]","[3.0, 5.0, 1.0]","[1.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-0.4649, -1.6666, -3.3116]","[3.0, 3.0, 1.0]","[1.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-0.4752, -0.7121, -3.6121]","[3.0, 3.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 1.0]","[-0.4481, -2.32, -3.0129]","[3.0, 5.0, 1.0]","[3.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-0.3388, -0.841, -3.46]","[3.0, 2.0, 1.0]","[1.0, 3.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[-2.1947, -0.8586, -2.2777]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 2.0, 1.0]","[2.0, 2.0, 1.0]","[-3.95, -1.5667, -2.0634]","[2.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-4.0342, -2.1942, -2.6516]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 1.0]","[2.0, 1.0, 1.0]","[-1.2306, -1.9566, -2.8331]","[2.0, 1.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 1.0]","[2.0, 1.0, 2.0]","[-2.0328, 0.7156, -2.1523]","[2.0, 5.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 1.0]","[1.0, 1.0, 2.0]"
12.0,"[1.8065, -1.8872, -1.6692]","[1.0, 5.0, 2.0]","[1.0, 1.0, 3.0]","[3.0, 2.0, 2.0]","[2.0, 1.0, 1.0]","[-1.1532, -1.6876, -1.6027]","[2.0, 5.0, 2.0]","[3.0, 3.0, 1.0]","[3.0, 2.0, 2.0]","[2.0, 1.0, 1.0]","[-2.3368, -1.2382, -1.4338]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 1.0]","[2.5145, -1.9409, -1.6872]","[1.0, 5.0, 2.0]","[1.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[2.0, 1.0, 1.0]","[-2.3397, -1.3247, -1.0643]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[-3.4654, -2.2511, -0.8575]","[2.0, 2.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 2.0]","[-3.7258, -1.2839, -1.4954]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 1.0]","[-3.4454, -1.1121, -2.3565]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 1.0]","[-3.323, -1.3029, -3.369]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 1.0]","[-3.3711, -1.398, -3.2634]","[3.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 1.0]","[2.0, 1.0, 1.0]"
13.0,"[2.2543, -1.8607]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 2.0]","[2.1727, -1.7177]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 2.0]","[0.802, -1.4419]","[3.0, 3.0]","[3.0, 3.0]","[1.0, 2.0]","[2.0, 2.0]","[2.2293, -1.9012]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 2.0]","[1.3977, -1.3487]","[3.0, 3.0]","[1.0, 1.0]","[1.0, 2.0]","[1.0, 2.0]","[1.6536, -3.029]","[3.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[1.0592, -2.3273]","[5.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 2.0]","[0.9094, -1.0011]","[5.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[0.8765, -0.0093]","[5.0, 1.0]","[1.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[0.3094, -1.7566]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 2.0]"
14.0,"[-2.0823, -2.1417]","[5.0, 1.0]","[3.0, 3.0]","[3.0, 2.0]","[1.0, 2.0]","[-2.025, -2.0342]","[3.0, 1.0]","[3.0, 3.0]","[3.0, 2.0]","[1.0, 2.0]","[-1.9176, -2.5154]","[3.0, 1.0]","[1.0, 1.0]","[3.0, 2.0]","[1.0, 2.0]","[-2.1014, -2.147]","[5.0, 1.0]","[3.0, 3.0]","[3.0, 2.0]","[1.0, 2.0]","[-1.6458, 3.3955]","[3.0, 2.0]","[1.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[-1.1116, 3.0474]","[3.0, 1.0]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[-0.7367, 2.78]","[3.0, 1.0]","[3.0, 1.0]","[3.0, 3.0]","[2.0, 3.0]","[-0.6311, 2.6047]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[-0.8014, 1.6415]","[3.0, 2.0]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[1.8249, -0.8945]","[1.0, 2.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 2.0]"
15.0,"[-1.1697, 1.549]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-1.1349, 1.5239]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-1.048, 1.3932]","[3.0, 2.0]","[1.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-1.1789, 1.5535]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-0.9137, 0.7518]","[3.0, 2.0]","[1.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-1.088, -0.7697]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[2.0, 1.0]","[-1.5321, -1.3493]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-1.8873, -1.9255]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.1718, -2.214]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.8519, -2.4376]","[5.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]"
16.0,"[-2.5292, -1.958, -2.8696]","[5.0, 5.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 1.0, 1.0]","[-2.4565, -1.9005, -2.8466]","[5.0, 5.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 3.0, 2.0]","[1.0, 1.0, 1.0]","[-2.1647, -1.7404, -2.7648]","[5.0, 5.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 3.0, 2.0]","[1.0, 1.0, 1.0]","[-2.5371, -1.9728, -2.8756]","[3.0, 5.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 1.0, 1.0]","[-1.5414, -1.3721, -2.3608]","[5.0, 5.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-1.1546, -1.642, -4.0277]","[5.0, 5.0, 1.0]","[1.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-2.3343, -2.2853, -3.621]","[1.0, 5.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-3.6139, -2.5365, -2.3562]","[1.0, 5.0, 1.0]","[1.0, 1.0, 3.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-3.6066, -2.684, -1.846]","[1.0, 5.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[2.3186, -2.6714, 2.9626]","[1.0, 5.0, 2.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[2.0, 1.0, 2.0]"
17.0,"[-2.913, -1.9234]","[1.0, 2.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 1.0]","[-2.9628, -2.0634]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-3.0313, -2.1869]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-2.8954, -1.8784]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-3.0819, -1.7786]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-3.077, -0.6158]","[1.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 2.0]","[-3.0955, 0.3682]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-3.2739, 0.3992]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-3.6162, -0.1605]","[1.0, 2.0]","[1.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[0.6068, -0.5813]","[5.0, 3.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 3.0]"
18.0,"[-0.8129, -0.3702, -0.8599, -1.6927, -0.4242]","[3.0, 2.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 1.0, 3.0, 1.0]","[3.0, 2.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 2.0]","[-0.8376, 0.0837, -0.8453, -1.3259, -0.3954]","[3.0, 2.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 1.0, 3.0, 3.0]","[3.0, 2.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 2.0]","[-0.9948, 0.5851, -0.7676, -0.7467, -0.4131]","[3.0, 2.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 1.0, 3.0, 3.0]","[3.0, 2.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 3.0, 2.0]","[-0.8117, -0.5328, -0.8616, -1.8096, -0.4346]","[3.0, 2.0, 3.0, 1.0, 3.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[3.0, 2.0, 3.0, 2.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 2.0]","[-1.652, 0.8588, -0.5307, -0.7957, -1.2356]","[3.0, 2.0, 3.0, 5.0, 1.0]","[3.0, 3.0, 3.0, 1.0, 3.0]","[3.0, 2.0, 3.0, 2.0, 2.0]","[1.0, 2.0, 2.0, 3.0, 2.0]","[-2.7542, 0.9543, -0.9739, -0.6874, -3.5785]","[3.0, 2.0, 3.0, 2.0, 1.0]","[3.0, 3.0, 1.0, 3.0, 1.0]","[3.0, 2.0, 3.0, 2.0, 2.0]","[1.0, 2.0, 3.0, 2.0, 2.0]","[-2.0599, 1.0082, -1.1352, 0.6799, -2.9934]","[2.0, 2.0, 2.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 1.0, 3.0]","[2.0, 2.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 3.0, 2.0, 2.0]","[-0.9406, 0.9413, -1.0965, 1.0531, -1.5222]","[2.0, 2.0, 2.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 1.0, 3.0]","[2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 2.0, 3.0]","[-0.9932, 0.7736, -0.832, 1.201, -0.8169]","[2.0, 2.0, 2.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 1.0, 1.0]","[2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 3.0, 2.0, 3.0]","[0.7411, 0.8051, -0.3989, -2.2182, -0.3885]","[5.0, 3.0, 1.0, 3.0, 1.0]","[3.0, 1.0, 1.0, 3.0, 1.0]","[1.0, 1.0, 2.0, 3.0, 2.0]","[1.0, 1.0, 2.0, 1.0, 3.0]"
19.0,"[-2.6483, -1.128, -1.3839, -0.7109, -3.0557]","[2.0, 5.0, 3.0, 2.0, 1.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 2.0, 1.0, 2.0]","[-2.281, -1.1625, -1.3956, -0.7775, -3.3454]","[2.0, 5.0, 3.0, 2.0, 1.0]","[3.0, 1.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 2.0, 1.0, 2.0]","[-1.1071, -1.1829, -1.4424, -1.0949, -3.7174]","[2.0, 5.0, 3.0, 2.0, 1.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 2.0, 1.0, 2.0]","[-2.6716, -1.1147, -1.3811, -0.7006, -2.9669]","[2.0, 5.0, 3.0, 2.0, 1.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 2.0]","[1.0, 2.0, 2.0, 1.0, 2.0]","[-0.141, -1.0955, -1.676, -1.9977, -2.9802]","[2.0, 5.0, 2.0, 3.0, 1.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0, 1.0]","[1.0, 3.0, 2.0, 1.0, 1.0]","[0.2341, -1.4091, -2.3589, -2.471, -1.4081]","[2.0, 5.0, 2.0, 2.0, 5.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0, 2.0]","[1.0, 3.0, 2.0, 1.0, 1.0]","[-0.0724, -1.4405, -3.2274, -2.4706, -1.0916]","[2.0, 5.0, 2.0, 2.0, 5.0]","[3.0, 3.0, 3.0, 3.0, 1.0]","[2.0, 2.0, 2.0, 2.0, 3.0]","[1.0, 3.0, 2.0, 1.0, 2.0]","[-0.2104, -1.2002, -3.3626, -2.3694, -1.3195]","[1.0, 5.0, 2.0, 2.0, 5.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0, 3.0]","[1.0, 2.0, 2.0, 1.0, 1.0]","[-0.1405, -1.2574, -3.3226, -2.2391, -1.6581]","[2.0, 1.0, 3.0, 2.0, 5.0]","[3.0, 3.0, 3.0, 1.0, 3.0]","[1.0, 2.0, 2.0, 2.0, 3.0]","[1.0, 2.0, 2.0, 1.0, 1.0]","[1.555, 3.0528, -2.1123, -2.7073, -2.4918]","[2.0, 2.0, 3.0, 2.0, 5.0]","[3.0, 3.0, 3.0, 3.0, 1.0]","[1.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 3.0, 2.0, 1.0, 1.0]"
20.0,"[-3.1758, -0.7086]","[1.0, 5.0]","[1.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[-3.1955, -0.8054]","[1.0, 5.0]","[3.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[-3.2666, -1.0324]","[1.0, 5.0]","[1.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[-3.1766, -0.681]","[1.0, 5.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[-2.181, -1.5754]","[1.0, 5.0]","[3.0, 3.0]","[1.0, 3.0]","[2.0, 1.0]","[-0.8509, -2.2431]","[5.0, 3.0]","[3.0, 1.0]","[2.0, 3.0]","[3.0, 1.0]","[-0.8358, -2.4403]","[5.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[3.0, 1.0]","[-0.6769, -2.8037]","[3.0, 2.0]","[3.0, 3.0]","[3.0, 2.0]","[2.0, 1.0]","[-0.5159, -3.1533]","[3.0, 1.0]","[1.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[-0.4409, -2.485]","[5.0, 2.0]","[3.0, 1.0]","[3.0, 2.0]","[2.0, 1.0]"
21.0,"[0.6474, -1.8165, -0.0839]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[0.5554, -1.852, -0.0841]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[-0.0407, -1.8971, -0.0833]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[0.659, -1.8051, -0.0838]","[2.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[-2.4325, -1.7274, -0.0659]","[1.0, 2.0, 1.0]","[3.0, 3.0, 3.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[-3.5414, -0.4703, 0.0431]","[1.0, 2.0, 1.0]","[1.0, 3.0, 3.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[-3.1727, 0.4856, 0.0171]","[1.0, 2.0, 1.0]","[1.0, 3.0, 3.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[-3.0988, 0.9266, 0.0406]","[1.0, 2.0, 1.0]","[1.0, 3.0, 1.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[-3.2241, 1.651, 0.1757]","[1.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[-2.7692, 3.3375, 2.3201]","[1.0, 1.0, 1.0]","[1.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[1.0, 3.0, 2.0]"
22.0,[-3.0433],[1.0],[3.0],[2.0],[1.0],[-2.968],[1.0],[3.0],[2.0],[1.0],[-2.6159],[1.0],[3.0],[2.0],[1.0],[-3.0564],[1.0],[3.0],[2.0],[1.0],[-1.1206],[5.0],[3.0],[3.0],[2.0],[-0.8749],[5.0],[3.0],[2.0],[2.0],[-1.0802],[2.0],[1.0],[2.0],[2.0],[-1.1269],[2.0],[3.0],[2.0],[2.0],[-1.437],[2.0],[3.0],[2.0],[2.0],[-1.0564],[5.0],[1.0],[2.0],[2.0]
23.0,"[-2.6148, -4.7071, -1.8374]","[1.0, 1.0, 3.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 3.0]","[2.0, 1.0, 1.0]","[-2.7351, -4.5261, -1.7101]","[1.0, 1.0, 3.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 3.0]","[2.0, 1.0, 1.0]","[-3.0189, -2.884, -1.172]","[1.0, 1.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 3.0]","[2.0, 1.0, 1.0]","[-2.5812, -4.7016, -1.8641]","[1.0, 1.0, 3.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 3.0]","[2.0, 2.0, 1.0]","[-3.5562, -0.2584, 1.016]","[1.0, 3.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 3.0, 3.0]","[1.0, 3.0, 1.0]","[-3.6589, -1.7127, 2.5024]","[1.0, 2.0, 2.0]","[1.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[1.0, 3.0, 2.0]","[-3.1605, -0.294, 2.0565]","[2.0, 2.0, 2.0]","[3.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-3.1138, -0.6573, 1.8127]","[1.0, 2.0, 2.0]","[1.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-3.1818, -2.0745, 2.0231]","[1.0, 3.0, 2.0]","[1.0, 3.0, 3.0]","[1.0, 3.0, 2.0]","[1.0, 3.0, 1.0]","[3.2782, -1.1193, 2.7429]","[1.0, 3.0, 3.0]","[1.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[2.0, 2.0, 1.0]"
24.0,"[3.9, -1.9973]","[2.0, 3.0]","[3.0, 3.0]","[3.0, 2.0]","[2.0, 1.0]","[4.425, -2.0683]","[1.0, 3.0]","[3.0, 3.0]","[3.0, 2.0]","[1.0, 1.0]","[4.0237, -2.0937]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]","[3.6549, -1.9815]","[2.0, 3.0]","[3.0, 3.0]","[3.0, 2.0]","[2.0, 1.0]","[4.1199, -0.5849]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[2.0, 2.0]","[-1.778, 1.8663]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[2.0, 2.0]","[-1.9576, 2.825]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[3.0, 2.0]","[-1.2593, 2.2109]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[3.0, 2.0]","[-2.2169, 2.0159]","[3.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[3.0, 2.0]","[-0.7204, 0.6755]","[3.0, 1.0]","[1.0, 3.0]","[3.0, 2.0]","[2.0, 2.0]"
25.0,"[-0.776, -0.909, -3.0168]","[2.0, 3.0, 3.0]","[3.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[3.0, 2.0, 2.0]","[-0.8422, -0.9684, -2.2261]","[2.0, 3.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[3.0, 2.0, 2.0]","[-1.3584, -1.039, -1.2943]","[2.0, 3.0, 5.0]","[3.0, 1.0, 1.0]","[2.0, 3.0, 2.0]","[3.0, 2.0, 2.0]","[-0.8258, -0.8894, -3.1996]","[2.0, 3.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 3.0, 2.0]","[3.0, 2.0, 2.0]","[-1.7722, -0.9062, -1.0378]","[3.0, 3.0, 2.0]","[1.0, 3.0, 3.0]","[2.0, 3.0, 2.0]","[3.0, 2.0, 2.0]","[-0.9251, -0.8128, -0.9899]","[3.0, 3.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 2.0, 2.0]","[3.0, 2.0, 2.0]","[-0.3281, -0.7348, -0.9596]","[3.0, 3.0, 3.0]","[3.0, 3.0, 3.0]","[3.0, 3.0, 2.0]","[3.0, 2.0, 2.0]","[-0.3379, -0.5821, -0.8247]","[3.0, 3.0, 3.0]","[3.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 2.0, 2.0]","[-0.5081, -0.609, -0.6089]","[3.0, 3.0, 3.0]","[1.0, 3.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 2.0, 2.0]","[-2.1953, -0.7178, -0.8229]","[2.0, 3.0, 5.0]","[3.0, 1.0, 1.0]","[2.0, 3.0, 2.0]","[3.0, 2.0, 2.0]"
