Dataseed	use_training_form	n_task_use_aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
4	stump_with_memoization	(1,false)	2	40	(100,75)	false	Any[]	TestOp_80	21.43	60.71	64.29	57.14	60.0	61.54	62.07	15	0.7107142857142857	0.6008928571428571	83.915	69f72d66c0f16805a2ba57f63d6aa6afa55ab9fa0a3ab4204bfd49ec4cb661ca	21.43	60.71	60.71	60.71	60.71	60.71	60.71	13	0.7107142857142857	0.6008928571428571	44.124	da64e1b27a6dc230c418a69ca3bd69750ee95678197709da104193a6c6fca5d7	17.86	58.93	60.71	57.14	58.62	59.26	59.65	15	0.7107142857142857	0.6008928571428571	44.243	5fd6a8cbd53df2843dfb9180b60180cb373e69c9edd41057e9cab8dcdf8d9a13	21.43	60.71	60.71	60.71	60.71	60.71	60.71	13	0.7107142857142857	0.6008928571428571	43.876	da64e1b27a6dc230c418a69ca3bd69750ee95678197709da104193a6c6fca5d7	32.86	66.43	70.0	62.86	65.4	67.79	67.54	0.0	149000.0	0.014923469387755092	0.003730867346938774	0.005484693877551024	0.005484693877551023	0.0038043339592531214	0.003907705112960763	0.003951227956882028	0.0	472.0	0.0	("f0e64c4d74986e7a6188f8c46a6c332b077e44cf19b6fdd956a3c602470a8f32", "7ddce656c92205149167b92f4ffcd0cbf4db9b2ce211b78ed0ed88342793aa99", "a81a376d819b02a825747a1d4fc1eeba077712830a17055be405db05fdaf4e49", "6b7e8e68cb85a0b9b867b46424782be77cddf88d6663a4e42acb80bb732b72d6", "d017db9fb050eca535948dfbd88aba563e5d79454eee53a41224193d2c84981c")	30.0	65.0	68.57	61.43	64.07	66.13	66.22	27.08	298400.0	0.004209183673469395	0.0010522959183673487	0.0008928571428571422	0.002168367346938778	0.0011393897135683968	0.0010428426518536403	0.0008305662897386706	0.00013117706946511122	1654.0	3353.187	("3365240ffeb03995186f7d0ce1a350e015b797b7ff618d924f854d009a4ead96", "e76d26a27880d0f1f10e4fc81dfeddce8702a227a9ce744605e38162a58cb7c4", "264dcdc972f1fa40e6a5a281704bac3adeb7da59c67ab86b32d57cfed7d8aa24", "c023746bc808259e1fc643341d14845842b09532d7f592370d99188822d0d5c6", "630425bc03cd572e05ed9b168936c51d6cf7c3d7d1ec2ad3ecf75cf8bf8f4266")	
5	stump_with_memoization	(1,false)	2	40	(100,75)	false	Any[]	TestOp_80	35.71	67.86	82.14	53.57	63.89	75.0	71.88	17	0.6880952380952382	0.6265625	49.608	9683f24aaea2e7a5dad67e67b0325a05ca3f26d0ec3fd06baea6e9d03cfb16a8	35.71	67.86	75.0	60.71	65.62	70.83	70.0	5	0.6543650793650794	0.6265625	21.885	084eb2863795b49e7bdbc82d8facbfe7c7e486c59da3bf6c6b8de4b32e01d9ee	35.71	67.86	82.14	53.57	63.89	75.0	71.88	17	0.6880952380952382	0.6265625	32.361	1340d88e72291bf7efd1644501dacedf61b19d33ff6727462120fe4568ef57a7	35.71	67.86	75.0	60.71	65.62	70.83	70.0	5	0.6543650793650794	0.6265625	21.198	084eb2863795b49e7bdbc82d8facbfe7c7e486c59da3bf6c6b8de4b32e01d9ee	21.43	60.71	61.43	60.0	60.65	60.8	61.02	0.0	145400.0	0.008290816326530621	0.0020727040816326554	0.0015306122448979624	0.0034438775510204096	0.0020979503225569598	0.0020521046636946447	0.0017037464973014113	0.0	178.0	0.0	("56051f767f1ac93bfdd98bb65da95e7c8f11542c83070a1923e1ece320a31d00", "a74d0edbf2a69e4429ae426d451fbba67de9505f31585aa6f895e75d57cc6863", "aeaafd270ed2f064ee5bed56de69007a436060c02f013ef6765954eed2cb877c", "d030226a38ab0ef56525f47d44f4df1b02061887fd3071ba9d0954de668a5fd9", "7d3ac8e829dc9d6f2a9e641e591e20fdb26144a13d82545da438a8bf70ebebec")	25.71	62.86	64.29	61.43	62.56	63.28	63.35	28.7	292080.0	0.0008928571428571477	0.0002232142857142869	0.0012755102040816354	0.0015306122448979613	0.00034590847447296626	0.00029085120068433125	0.0003236848386694723	7.05302676524648e-5	423.2	2840.519	("ad65af89be5c5e71a08a23d8ece6bd8ef05be2b369ce5820c3ae628425a215ce", "875e143144c70def15c0bacaebcdb22c477260e14f95efa3216adf3bf5957816", "ac9ff663a96dd4e45bb58e8b9db455b7ff3e148545946a6da6d2f1174ae97270", "c77a2b0e297b6854b3ef91ce98ffc600c083e9ce234207f1d5bffc3c214f048c", "9a195f312abee57f8c3606b53a0efbc312774d10b70b9c4b9a9340fe780cac70")	
6	stump_with_memoization	(1,false)	2	40	(100,75)	false	Any[]	TestOp_80	17.86	58.93	57.14	60.71	59.26	58.62	58.18	23	0.6152255639097745	0.5634868421052632	45.838	a9c4f32307163920e656c8a15a61d9ee57e980799f2fde429107a7db8b17dedb	25.0	62.5	67.86	57.14	61.29	64.0	64.41	9	0.7761904761904762	0.6708333333333333	34.736	5655909cb7d22cccfe30b70d456442ac2f560694271a8b4cf071f7cdb8114917	10.71	55.36	57.14	53.57	55.17	55.56	56.14	27	0.6152255639097745	0.5634868421052632	36.621	d3a277990ae1fb99b3f249d7dd306857f1f6ade87287c36c1da800d3fc4a2562	25.0	62.5	67.86	57.14	61.29	64.0	64.41	9	0.7761904761904762	0.6708333333333333	35.27	5655909cb7d22cccfe30b70d456442ac2f560694271a8b4cf071f7cdb8114917	27.14	63.57	66.43	60.71	62.85	64.57	64.49	0.0	151880.0	0.00229591836734694	0.000573979591836735	0.003571428571428574	0.001913265306122451	0.0004313893139080916	0.0010011873218874557	0.0011495314167104813	0.0	341.19999999999993	0.0	("d7b884d295eccee8212a5f0a827597b6add50b9bc5f950db9bd0f1167fa9d8cf", "489f9149d844466f6ca2da51e033cb923f23ac06119dfbe4f44500452a112ff5", "3911585dbfed0c696788f1ef8fd6227a54799f5e795b5941e9749fc3577ec102", "927d1c22bdade7a431efd53a2c93cbe47e4774a033f36a1766c49769a5bfffd1", "a7adbd678fc8988f831c13751b16bc74f84ea660a2d433d8b7c9c421d18e2245")	26.43	63.21	66.43	60.0	62.44	64.11	64.36	29.12	303840.0	0.0016581632653061248	0.00041454081632653125	0.0003826530612244895	0.0008928571428571446	0.0004420116062987079	0.0004025447845390855	0.0003338985384124359	0.00041506774218811313	398.8	2734.844	("e74b93617299b510722795706f182f1d5ff8db43ea5c1fb3d179c3ff3a8f05a1", "71d078b17c5d51be8ab9b29f54761258bff059502871d262302cd2c49cfc226b", "c5201f289264996eeb21cc52b007809dd527599ae48193e5bb643964867052fa", "58159628026432b6e6e3e8e5479ffccb4c85448cbc292a30d3da664898fedc0f", "041eb7ffc41d6832813aa0666628bd01694ce106bb097ca4bf4d709cc1738da2")	
7	stump_with_memoization	(1,false)	2	40	(100,75)	false	Any[]	TestOp_80	28.57	64.29	57.14	71.43	66.67	62.5	61.54	17	0.7285714285714286	0.61875	47.56	314e4949704cab99faa21a5ed50a20638a57cb04f5d0377cd8df7489bc0547ca	3.57	51.79	57.14	46.43	51.61	52.0	54.24	5	0.5783613445378152	0.5268382352941177	21.076	96cf4bb363fb2454f88d0c52c8f98a2d9751c9627da97b8eda079bd0703bc0a5	25.0	62.5	57.14	67.86	64.0	61.29	60.38	15	0.7285714285714286	0.61875	30.253	1d7417cbe52d6ccaf987f9b6fe1fa9c8694855e7ac2ba3b3d8e75b1e1f9b33f6	3.57	51.79	57.14	46.43	51.61	52.0	54.24	5	0.5783613445378152	0.5268382352941177	21.511	96cf4bb363fb2454f88d0c52c8f98a2d9751c9627da97b8eda079bd0703bc0a5	35.0	67.5	70.0	65.0	66.76	68.44	68.29	0.0	151160.0	0.004719387755102041	0.0011798469387755103	0.0016581632653061209	0.0028061224489795934	0.001317363573941543	0.001262162085865944	0.001045387804177496	0.0	442.8	0.0	("faa1bbc72a4d7954a09a0c7cbf1a05ac386c9c7d321889f864e7f779eded7f40", "7f4a30e2149b612706720b2cdb3162e3aae02903b71981812a29e8eccbf92d79", "bff2c5368d7829ccb5adcff4f142a6a8583bf20299fc4761c3da091c06a1ba83", "b1d485c756ef230e44350594065ad028936802f1eb17f330422ce98e42880c76", "f2fdf6c115900503a4dd27ea120aebe9e1e4499a772bdd82cc22ab784e672e25")	33.57	66.79	70.0	63.57	65.74	68.03	67.78	31.24	304240.0	0.0022959183673469333	0.0005739795918367334	0.0016581632653061209	0.00025510204081632785	0.0003408038206611114	0.0009915565752928372	0.0007936191524138946	5.482026783616589e-5	1758.7999999999997	2618.013	("48a436b324597db4799b693cddc186c6f58f19b03d852f7e81de2e032550722c", "82cff72fff1a865c15d09434fd807f7a4bf369653e9ab48a11692515ed18bc67", "1062217e6e2974eb3033f62e79a573f146d8110db7b0c29b981190e06599db39", "3fc0128a1b3244f52414c79417f16e0b77328056c2a9e74617de327c11cbb1b0", "2725696da2b9cf06521633c7a3693ec6c0e6349686f137aa6ffb968a79ba322d")	
8	stump_with_memoization	(1,false)	2	40	(100,75)	false	Any[]	TestOp_80	28.57	64.29	64.29	64.29	64.29	64.29	64.29	37	0.8214285714285715	0.6875	47.294	df47c60d70094991739a90575703210da251bc076f8c8b0e817bc588f3619fa4	42.86	71.43	60.71	82.14	77.27	67.65	68.0	5	0.6967532467532467	0.6397727272727273	24.67	7d69d9a766b19facfd8468a677e3b4961b2cf9155fc3ec9066d7a92ce3877efb	28.57	64.29	64.29	64.29	64.29	64.29	64.29	37	0.8214285714285715	0.6875	38.509	7e8a2ae2060001fb61fcc03eb9d04b88d102d043432d8bb269aacd6a3e0ab1ff	42.86	71.43	60.71	82.14	77.27	67.65	68.0	5	0.6967532467532467	0.6397727272727273	24.203	7d69d9a766b19facfd8468a677e3b4961b2cf9155fc3ec9066d7a92ce3877efb	31.43	65.71	58.57	72.86	68.45	63.73	63.09	0.0	151560.0	0.002168367346938777	0.0005420918367346942	0.00038265306122448945	0.0016581632653061209	0.0011790128558310385	0.0003156566011741661	0.0004246163957356005	0.0	560.8	0.0	("9ad8fb684c7971aac1a2cd58c54c619cb84e59fa557c8562c36365c5d021f9ec", "733d8c7933df108c32ce0bf8d122173ce7e748f326f6606e808370e05eca9730", "20624810f4bcf53ededdb4a29562b29695d3613081f6649707810fd1e6fc058b", "1ab6ff82bd7ed623f79b6fb9fc66530c20206d2c5807d67ae29c032966346fc7", "639856292403f3be8c64f66970622c20f7fa3104f358f8fa2e59c88b42879bf6")	35.0	67.5	62.14	72.86	69.63	65.82	65.65	31.06	305640.0	0.0002551020408163279	6.377551020408196e-5	0.00038265306122449184	0.0003826530612244895	0.00014678994082840247	8.024545828997552e-5	0.00011138121127988845	0.00012138773592293874	1686.7999999999997	2822.175	("51356f317f5e98265c092c16f72e70eeb1331167f08918d1930f2c80a6ab6749", "b3c23c4df555fee05534ac6fe977cbd43a21ea56b7c9766e8a3163a364144899", "89c58fbec34301b51f2cca1f067f7b6c8b391244e5b88819f9dfd739a39c1479", "43818a2bbdd9a5ed342dd2f96e4884fd5224bd9c48664605407bd31c0f00fe8a", "74f80d7ab964a1bc771fff1828984c943bdfac54f18d8324bf46a60ea67ce05c")	
9	stump_with_memoization	(1,false)	2	40	(100,75)	false	Any[]	TestOp_80	14.29	57.14	53.57	60.71	57.69	56.67	55.56	23	0.6285714285714287	0.5634868421052632	43.655	d5c9cee21c72dd6df0934b21a0e2bfec0edb3c3c1ef5494ff6a38832f1078d43	32.14	66.07	64.29	67.86	66.67	65.52	65.45	5	0.6297619047619047	0.6020833333333333	21.3	309c657a17f7f200cc55a0cabd32027dab1cd7f3725600f11969c35db972c8fd	17.86	58.93	57.14	60.71	59.26	58.62	58.18	23	0.6285714285714287	0.5634868421052632	34.382	e936fccb3a4590ca55fa5d17b3e6f918aa95de34ba5d068ee63ea5bc63e3a0be	32.14	66.07	64.29	67.86	66.67	65.52	65.45	5	0.6297619047619047	0.6020833333333333	21.02	309c657a17f7f200cc55a0cabd32027dab1cd7f3725600f11969c35db972c8fd	26.43	63.21	55.0	71.43	65.77	61.39	59.89	0.0	144280.0	0.0010204081632653116	0.00025510204081632785	0.0010204081632653053	0.0	0.00018174527540397922	0.00027243872350430986	0.0006105427816793265	0.0	359.2	0.0	("218d5fd4134d8a7a948606bb2ab319f60e5282c5acb86a0bd8ea30611d90affa", "54afd2f47e07fe559b9a0382caeeb64e7a8c47f5c62de9f2e56b61ad246af5d8", "1b64373c7a50dd9cabe45950816df21f2c11d564787cba178c9c168bd8ca5104", "532612a874a0426a53dbc8019099a0367927644c9f79f1f6399520741fb378f9", "0d6e872188aa5951e38bfadd889d95a44783d23e83d5d2b015caa8b3ed0716d4")	22.86	61.43	52.86	70.0	63.81	59.76	57.81	28.5	288560.0	0.00038265306122449184	9.566326530612295e-5	0.00025510204081632634	0.00038265306122448945	0.00018559401802871486	6.512557699915168e-5	0.00013395548821686676	0.0003289216070169953	626.8	2707.018	("d612b8e448759b9e56cd0358d4b42bf62cb081ba3ea6cd3d2186d58633aa0c60", "09f4acdbd4704771aac2f0811925fc9c5c057c1d085d63cdca893f94a13b2285", "b470b2202e02106373fccc5ab6b309859c498ec1bea3dfac9ad48e370bd1841e", "e0d7d6c411c043bb98e42b0a1e52918c846a3725cb7288ebb75c503da9a6ead7", "6077306f033c4dc266c03bf02fd869d69e83d2591e3e576fd609621a1cadacdd")	
10	stump_with_memoization	(1,false)	2	40	(100,75)	false	Any[]	TestOp_80	39.29	69.64	71.43	67.86	68.97	70.37	70.18	9	0.7190476190476189	0.6645833333333333	32.459	8038084eb5ee83a52ba3d761e1d868137638056c9dc9df3d8a6ea150e8c7a168	39.29	69.64	71.43	67.86	68.97	70.37	70.18	9	0.7190476190476189	0.6645833333333333	31.574	8038084eb5ee83a52ba3d761e1d868137638056c9dc9df3d8a6ea150e8c7a168	39.29	69.64	71.43	67.86	68.97	70.37	70.18	9	0.7190476190476189	0.6645833333333333	31.456	8038084eb5ee83a52ba3d761e1d868137638056c9dc9df3d8a6ea150e8c7a168	39.29	69.64	71.43	67.86	68.97	70.37	70.18	9	0.7190476190476189	0.6645833333333333	31.548	8038084eb5ee83a52ba3d761e1d868137638056c9dc9df3d8a6ea150e8c7a168	37.14	68.57	62.86	74.29	71.12	66.64	66.69	0.0	148160.0	0.00229591836734694	0.000573979591836735	0.00038265306122449184	0.0021683673469387738	0.001329909682839739	0.00028596187104308076	0.0003988291888672035	0.0	910.7999999999998	0.0	("e4c75a350707bf70e236bd5127c4288c388827c42fc9661eb788b757fb61c420", "765ac101498eee818bb30691c2678cacd9024ed74e5f5f32c3fa86e33ac3266d", "9082d14ed2861c3b41a5142dd9bbda94c7a4f24949b45d585a5ebb027e34719a", "5a93bf7afe3cc4e40e84fc940ac1d436083ee556dabb8942f99502e5d3311397", "24e5ac361760581c98288d49d45ae6c1824d4a0ad8fe001d3fdd60d483c23c83")	42.14	71.07	64.29	77.86	74.43	68.56	68.96	27.35	295360.0	0.0015306122448979556	0.0003826530612244889	0.0006377551020408177	0.000892857142857142	0.0007523025158803845	0.0003013157139577593	0.00043925743311581136	0.000620643746573733	2658.7999999999997	2857.353	("9ca3b813754cd2c7d7c801eac09b6cfe7f7b3dd36e7dee2c0bfde7cea2f7ea3a", "4961de6f68372e980b06538b2967473ce1d1b57687f97328b9cf0b1cab208194", "9ecd89e31d2decb50dccf535353820c8fec4ad8cc65bb316d86f14365871b34a", "7134e866a40ed16e9cce0c220cdfd85a25f2e7f882136c864ccef6fe9c4242e4", "8d8cf4ade00083f7a82547d66dc49cad4ed5982f161303c04084ab5807476211")	
1	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	28.57	64.29	75.0	53.57	61.76	68.18	67.74	23	0.6190476190476191	0.5833333333333334	33.405	5ab07ed4f58d43251c9cde1c3b27b346b5d857859bfba039a98f3a12aaa0941f	32.14	66.07	64.29	67.86	66.67	65.52	65.45	9	0.6211038961038962	0.5833333333333334	6.566	22c93eae537cc8978e4331bcaedc97a66d3a2b6b6cd32d30ce8839b1d868c7c2	25.0	62.5	75.0	50.0	60.0	66.67	66.67	23	0.6190476190476191	0.5833333333333334	7.645	133b2b332428d9a65b41163d4c870a2d43dbee544231cd28da0fd08156c6cab2	32.14	66.07	64.29	67.86	66.67	65.52	65.45	9	0.6211038961038962	0.5833333333333334	6.63	22c93eae537cc8978e4331bcaedc97a66d3a2b6b6cd32d30ce8839b1d868c7c2	41.43	70.71	74.29	67.14	69.65	72.3	71.76	0.0	141720.0	0.002933673469387747	0.0007334183673469366	0.0008928571428571422	0.005994897959183678	0.0017754805732649892	0.00015633107877282475	0.00021183270649526985	0.0	493.19999999999993	0.0	("de3921d73b1d0e89448051a1ab2256c72f5f9041959e1babe60be499176217f1", "32ec181245536201db37c21b311cd2acb870c5aba67a35d69a008408547dbca8", "6cbba2a5014afceb3c37742b09dbe0256deba1a9bf536ac12b21b73300a8dabf", "78be6c4fbc5a56d58fb132a45221be09b14d9b59bc8fcdc3431fdc1575a1159c", "eb3f4d026c68c69f87d417e213300ec759b2d860587bf8056c5a2d08c6e36500")	41.43	70.71	75.0	66.43	69.11	72.79	71.88	26.9	283720.0	0.0042091836734693905	0.0010522959183673474	0.002551020408163263	0.0016581632653061241	0.0008568770125480763	0.00190495310881554	0.0011201936329990308	0.00034654240739290465	853.2	3935.565	("5d8c8ca840127cc1abcd046e1edcb71e22d108962501c17ef6d16759aec0c2fc", "ded705adf885f025b8fe9b5d21c02b592ef56b0c6cc52a43c60900d45d6547c4", "fdd78310b5932b526554fb8508124809ea8d59f67cee2edcde7e43f237419a55", "b0bc9efb6dc01e3181a0f35a352440bdea2d20c397abc7158df6372a6863f2e6", "152c22fe5b5542c2426fec0412b01679e20c543d2acd28a8f2c9746190741748")	
2	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	32.14	66.07	53.57	78.57	71.43	62.86	61.22	17	0.746904761904762	0.6570833333333334	532.654	0c8fbaa029607aa5bd694c143156b1aeb3f014730e1a1140133e5bd2cbae9e65	35.71	67.86	53.57	82.14	75.0	63.89	62.5	11	0.746904761904762	0.6570833333333334	8.509	7d2fe7944b4f9d229b7192c934a1b9f891a0a31c6b422f779869b6790d564ee1	32.14	66.07	53.57	78.57	71.43	62.86	61.22	17	0.746904761904762	0.6570833333333334	49.911	0c8fbaa029607aa5bd694c143156b1aeb3f014730e1a1140133e5bd2cbae9e65	35.71	67.86	53.57	82.14	75.0	63.89	62.5	11	0.746904761904762	0.6570833333333334	8.296	7d2fe7944b4f9d229b7192c934a1b9f891a0a31c6b422f779869b6790d564ee1	31.43	65.71	67.14	64.29	65.36	66.23	66.17	0.0	141400.0	0.004719387755102043	0.0011798469387755107	0.0021683673469387738	0.0025510204081632673	0.00126411918127639	0.0014866256088234089	0.0011506732378784672	0.0	58.0	0.0	("defd44b80b64ae9c18d7ec6f966ffd48e9893ade18d533daa5e447fb8460578d", "056021dabfef9903774f081d0cbe16d8ed60442e9c7604fa870a3226d81e36d4", "8b49eea823a874ff12f924d7897c783c2446fab95ee78534ab46f1cda72399f3", "4d339f72d665cb78c882da10dae8b59cc35acf47eef1ef9605082869273850f7", "56b86cb0255fb91e24a5291aa546439b69c1b8b1c186eca5d28b8a2760c369e8")	35.0	67.5	70.71	64.29	66.52	68.71	68.51	28.85	281920.0	0.0021683673469387703	0.0005420918367346926	0.000892857142857142	0.0019132653061224513	0.0006606872699302505	0.0005664673441393021	0.0004289749329061615	0.00012138773592293875	1043.2	3256.058	("0460ac877782a4a583748fe8f10b638898558b8c56556f1c2a94d755eae22f62", "c53c38e64ffc817ed2c4a3633de19494287d08fe21da0006856856ebc5f5aa90", "6f450cc83c05fe51360c5dd55e233e5d447a95f9ad85013bc1ef3950222cbf71", "1d22afedc422f18ece8af069f8ce3007440462e55c07633a6be1ba61ab4161d0", "1af4a80abac0a4ca30bc839a929025d5514d0413fb88889866e6b8ea5e14c0e7")	
3	stump_with_memoization	(1,false)	3	40	(100,75)	false	Any[]	TestOp_80	32.14	66.07	60.71	71.43	68.0	64.52	64.15	9	0.5976190476190476	0.5475000000000001	11.546	02a0533713aafb7e69468b5de0f4bd37ab800f4715c497cc7b4561b4d873b75d	35.71	67.86	60.71	75.0	70.83	65.62	65.38	7	0.6152255639097745	0.5634868421052632	6.1	50e2d35259bcb99bc248712fb1fbf83189cfd0ae518ffc6e77a5ef4b6b9fadbe	32.14	66.07	60.71	71.43	68.0	64.52	64.15	9	0.5976190476190476	0.5475000000000001	6.268	02a0533713aafb7e69468b5de0f4bd37ab800f4715c497cc7b4561b4d873b75d	35.71	67.86	60.71	75.0	70.83	65.62	65.38	7	0.6152255639097745	0.5634868421052632	6.1	50e2d35259bcb99bc248712fb1fbf83189cfd0ae518ffc6e77a5ef4b6b9fadbe	43.57	71.79	57.86	85.71	80.63	67.08	67.18	0.0	142800.0	0.0028061224489795878	0.0007015306122448969	0.0021683673469387772	0.0031887755102040847	0.0034753716301335336	0.0004665060686734945	0.001013083291693415	0.0	1352.0	0.0	("171d75f330772d9c77ba22814bd79f65ef982fc5631ba748c31479f0becd7709", "468e7756647ca1fb353c30d4ce00b2829aca296ff56a6608541c9aee6ff2460b", "4b73c53a574c776ee7b185c6f1ae1fedf758e548f40511a55d6c97be9ff28806", "984fe07eeed66098512663f3d6f9b0dc090673f8120dfefde7a3d8bb000b12b3", "ca5e4781571402add8105341cb96e4e3642cdd0098f282ad0c6ee6707d146cbe")	46.43	73.21	57.14	89.29	84.52	67.61	68.05	25.13	284880.0	0.0031887755102040865	0.0007971938775510216	0.0019132653061224513	0.001913265306122451	0.0034549879162191176	0.0005755233308322111	0.0012278029907941137	0.00030738507322421426	2105.2	3126.605	("b4cd0fe4b072aef565503edc6013b12edafadce541871169ccdb485a5da0df52", "ebd44d86f86e54e566aa241bc5bb772ff6170f4c1f4f5fe1c8f7a8d46805963b", "9e245f1922c102a63d5c1a5f30159fb03f5ce422529cf479a49ce76534b146ff", "747bab7344bb9320f998bdfb85515a03f033cd00b8cc8628ac444aea2eeb1bb7", "87db55d0e4dc2722e869a11c43b7de8f23581c5a4d19193dfdacef9cc6db9aee")	
