Dataseed	Params-combination	T(entropy,2,0.01,0.4)	T(entropy,2,0.01,0.5)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.4)	T(entropy,4,0.01,0.5)	T(entropy,4,0.01,0.6)	RF(0.7,50,half,all)	RF(0.7,50,half,all)σ²	RF(0.7,50,half,all)t	
1	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(96.9, 32.14, 66.07, 66.07, 60.71, 71.43, 68.0, 64.52, 64.15, 47, 59.555, d6507be36cce27f71be90edd7f105c696988f49066b9f449eb56a15b1aea3ffc)	(88.05, 21.43, 60.71, 60.71, 67.86, 53.57, 59.38, 62.5, 63.33, 27, 8.593, d6226aaab35cbc1885c1d613fdb0df5e4e9847e24e188878de551c3516cd6da6)	(83.19, 17.86, 58.93, 58.93, 78.57, 39.29, 56.41, 64.71, 65.67, 17, 8.342, f5799a76ce50fffef8eded695fe4f84ce32af6dbd67acb5872cfe581eac66282)	(94.69, 32.14, 66.07, 66.07, 57.14, 75.0, 69.57, 63.64, 62.75, 39, 8.546, 9ed53a934675fb4a3d696831dac03b32a5d8b505b78dd710ae68dcbe18c2a7f4)	(86.73, 25.0, 62.5, 62.5, 67.86, 57.14, 61.29, 64.0, 64.41, 23, 8.515, aa953335cfedbea7a5ae48f66a8cf24c4f40bc277376ddbc14cec453ded43c5e)	(83.19, 17.86, 58.93, 58.93, 78.57, 39.29, 56.41, 64.71, 65.67, 17, 8.231, f5799a76ce50fffef8eded695fe4f84ce32af6dbd67acb5872cfe581eac66282)	(99.38, 62.14, 81.07, 81.07, 80.71, 81.43, 81.38, 81.09, 80.94, 33.89, 163280.0)	(0.0, 0.68, 0.17, 0.17, 0.42, 0.22, 0.19, 0.3, 0.19, 0.04, 51720.0)	(386.779, ("b81b5b8ebbe5df3a4ca6df86e569902a25aa61f625c7291ee1a9088bf2cfa13b", "c494d9445e06b9d0e3ca68ce20a7c8726a8b28371c99b70018a743929a765c4e", "d92380667ed9146de66eefe64d6849715273f30ed25f41b135f68a621cf33603", "96ae6ef3cef3a43448e92c090d6b874377b2ab87c2dda066bf7ef4e72db9ed4a", "ef69cd89c8dc85cbf0a66b30ea7ffc04e55fc0eb297fddd2db0e37875047ea26"))	
2	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(96.46, 7.14, 53.57, 53.57, 67.86, 39.29, 52.78, 55.0, 59.38, 41, 19.158, 6505f0934b0bf1be4fbe5fe0178015707cf5b7432ffa49a25cc984fc29da1b2d)	(95.13, 14.29, 57.14, 57.14, 75.0, 39.29, 55.26, 61.11, 63.64, 37, 7.434, 68bec416bb7d1ec8490fcf4cff980c078ac75ab5d28bf57b45ef9653a70d892d)	(79.2, 21.43, 60.71, 60.71, 75.0, 46.43, 58.33, 65.0, 65.62, 13, 6.277, 76a632d60d305cfaa25810aa6fc07e5729ae865115d9b0d0745838ad4a604426)	(93.36, 14.29, 57.14, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 35, 7.427, 1f442b7262d3b183d705959df561c5eff085aa0743a8ccf28a27c55d47c74344)	(92.48, 21.43, 60.71, 60.71, 71.43, 50.0, 58.82, 63.64, 64.52, 33, 7.375, 589ecc7cdaaa79b9c65496b6b0932cb091307aad62f38534453fb566b92dcaea)	(79.2, 21.43, 60.71, 60.71, 75.0, 46.43, 58.33, 65.0, 65.62, 13, 5.923, 76a632d60d305cfaa25810aa6fc07e5729ae865115d9b0d0745838ad4a604426)	(100.0, 22.86, 61.43, 61.43, 68.57, 54.29, 59.83, 63.82, 63.81, 33.57, 165520.0)	(0.0, 0.8, 0.2, 0.2, 0.79, 0.09, 0.13, 0.35, 0.34, 0.06, 76120.0)	(353.522, ("adcbc904f81c90e2ac5d81856481fb9b3dd260668d13f800aebf92eb6827cf3e", "d2a24a168d8f6b8a64af2b33779cb1a0116ec0ea677eee734565d90085ab8dcd", "1bd69b32e6bc3411894c1f51edb24d1c13f0ea1d77498fc2c39d67cd4588868e", "fa17b3283a9c32aab5385eae4312ac98cc23180b48a4732a68d922020e6488bb", "65ab5eb784138059cc1e7b5dbc3c8470165f09b6ea2a7020490f0057bf2c4b75"))	
3	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(96.9, 10.71, 55.36, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 37, 12.684, 4327cc756e714d5df7c8d44ce3e34bb1171a77a2b9c69355e709a2a6b406a5a2)	(90.27, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 21, 5.872, b11246c298411d3d135e2845841feea41eaba613a8ab2330204bd594fbc10651)	(78.32, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 9, 3.945, 5b026690be62bc1a946b125f22726b6e6bdd19bca5fd9949a1f32dc58b0ab18e)	(94.69, 10.71, 55.36, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 33, 5.899, a64dda493760eef265b4acb01f326797f6481fdb0cd73ceb53a8f501eae0a6f2)	(90.27, 17.86, 58.93, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 21, 5.246, b11246c298411d3d135e2845841feea41eaba613a8ab2330204bd594fbc10651)	(78.32, 14.29, 57.14, 57.14, 60.71, 53.57, 56.67, 57.69, 58.62, 9, 4.492, 5b026690be62bc1a946b125f22726b6e6bdd19bca5fd9949a1f32dc58b0ab18e)	(99.38, 32.86, 66.43, 66.43, 57.86, 75.0, 69.53, 64.31, 63.04, 29.96, 161680.0)	(0.0, 1.43, 0.36, 0.36, 0.92, 0.13, 0.34, 0.36, 0.62, 0.02, 41120.0)	(287.109, ("e90c27430ad77a737945ecdab6a440f328d0f546f96e208887d78b69bafea316", "083116484c789084c13e29acb029360437421364655d5032ca5259db2c7e7c24", "5ad0630f7497eb6a6841e22f6e3c3f70c02c64151020166785645d0499c2ec0c", "1454f06d587405ab342548ca0033656914721c913acce1aab9d0320e3dd50c4b", "b1964478222a76d2c048bd2e949cdea01beb3156b2554d4a345346d3d87fa1d4"))	
4	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(93.36, 10.71, 55.36, 55.36, 64.29, 46.43, 54.55, 56.52, 59.02, 33, 10.228, df83998005da46f909c02b117ca1ad41e2add9ae5eb2e6504f80bbf83fba1a48)	(93.36, 14.29, 57.14, 57.14, 67.86, 46.43, 55.88, 59.09, 61.29, 31, 5.921, 6d36b47d80cbc7806c9a81ba543551ca802c0983778f34402cb5e20933e4afac)	(80.53, 17.86, 58.93, 58.93, 75.0, 42.86, 56.76, 63.16, 64.62, 13, 4.183, 8a9a5ee0d1d221865480d1d136db60e79e6064b30f6d2ac731ef76e908c8e07a)	(93.81, 14.29, 57.14, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 35, 5.524, af8f9b02a41446b84aac1d82c9fb8ec3ebdb82bfb19dc0e8a07ac2c532def496)	(93.81, 14.29, 57.14, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 35, 5.527, af8f9b02a41446b84aac1d82c9fb8ec3ebdb82bfb19dc0e8a07ac2c532def496)	(80.53, 17.86, 58.93, 58.93, 75.0, 42.86, 56.76, 63.16, 64.62, 13, 4.167, 8a9a5ee0d1d221865480d1d136db60e79e6064b30f6d2ac731ef76e908c8e07a)	(99.73, 48.57, 74.29, 74.29, 75.0, 73.57, 74.03, 74.64, 74.48, 33.1, 161840.0)	(0.0, 0.23, 0.06, 0.06, 0.06, 0.17, 0.09, 0.05, 0.05, 0.03, 9080.0)	(295.707, ("3c6b8c1b6a137cd0bb2b1a38fe04e910f633706849996f65e1f8f3dec1c0e704", "7f0d0706e6f896a861c39f129597ee5e56a354a7b8d1b4ed48ba7c54df77069d", "fb4d9980fdfa248bf0fd65c600a6db1d8718be2285b8705ff4afc3c1d5815bdb", "6eeeb50d8a24b0bb06fdeaeb0eb8d39fdc3c032bd10e6fe598d21da9925578dd", "41bf0e760fb593708c6a90cbf9d1b966a69c3d4201eea9c652867be23d336dcd"))	
5	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(93.36, 17.86, 58.93, 58.93, 67.86, 50.0, 57.58, 60.87, 62.3, 43, 8.045, 1615418e379bcb91b4d9d4b04210393c92057af8b15313e5595338ec749dd47b)	(88.05, 17.86, 58.93, 58.93, 67.86, 50.0, 57.58, 60.87, 62.3, 29, 5.521, 52bfd70506c091d90477788de3596aecaf3e87fc08ec24596af1dbfaf5d63922)	(76.99, 21.43, 60.71, 60.71, 67.86, 53.57, 59.38, 62.5, 63.33, 9, 4.51, 1bfad4587170f56c320db2189aee37e15875bbd717db1fe0cfa7ad9d92c2f26e)	(93.36, 28.57, 64.29, 64.29, 75.0, 53.57, 61.76, 68.18, 67.74, 39, 5.598, fa38c9e1632989811d81e576303c53160a439541e95582c0cbae742ddacfc641)	(89.38, 28.57, 64.29, 64.29, 71.43, 57.14, 62.5, 66.67, 66.67, 29, 5.805, f472ec6b2558d4da9ebef95389ade283a5737ca5b7b66e3aca503d343cda3e26)	(76.99, 21.43, 60.71, 60.71, 67.86, 53.57, 59.38, 62.5, 63.33, 9, 4.835, 1bfad4587170f56c320db2189aee37e15875bbd717db1fe0cfa7ad9d92c2f26e)	(99.73, 50.0, 75.0, 75.0, 70.71, 79.29, 77.4, 73.29, 73.77, 32.77, 164560.0)	(0.0, 0.7, 0.18, 0.18, 0.54, 0.22, 0.19, 0.28, 0.25, 0.04, 94280.0)	(360.99, ("858eb89a92d1fcf660918302f682e948ec4665438d5090883a98ef642ee283ae", "26091961a7af82b51219ae3d74c6b91fba73f0e1096ddaafcdafb1a122fa52bb", "2702fb21c4633c2662d23285ef9a92b8bf90da950ee4be3873828eb6f5b58a51", "a2896c0a5e62a7264d6ac8c78765ea60e9301da1695594a1f64b5a1c28c41b95", "6ea23b83ebedf0b36c28c2f32ec919a695ab18c5bb94112aa548539b1a9aa1fd"))	
6	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(95.58, 25.0, 62.5, 62.5, 57.14, 67.86, 64.0, 61.29, 60.38, 33, 6.878, c3f961cb24c11df7bf7189904f08824cdb57e48f4ecd96a63af1cc3ce34a9f0c)	(91.15, 21.43, 60.71, 60.71, 53.57, 67.86, 62.5, 59.38, 57.69, 25, 6.157, 80f8cf206c3e3795ebe39c997607be62d9b6679e8f3431c49df182587255700b)	(82.3, 35.71, 67.86, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 13, 4.85, cd1b6c2dd17a3eb021eb8a69dd5a92a5511f8343e6ac83cbf3981e523480aecc)	(94.69, 21.43, 60.71, 60.71, 53.57, 67.86, 62.5, 59.38, 57.69, 33, 6.44, e9038869c23e1f691879cc1ed306207cbfc81563746ac21acc07c7a5639e7176)	(90.27, 17.86, 58.93, 58.93, 50.0, 67.86, 60.87, 57.58, 54.9, 25, 6.142, 91e63eb5d91f2f4644769622cae266e0ae7991f0e287a2441fb8efb168bea9ab)	(81.86, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 13, 4.878, 28dc32ba519f6e0da9e69f0cbf893c71913b8154ef1e7872e4877ae19e9a8e9a)	(99.65, 31.43, 65.71, 65.71, 66.43, 65.0, 65.56, 66.26, 65.82, 32.12, 158560.0)	(0.0, 0.85, 0.21, 0.21, 0.68, 0.41, 0.22, 0.32, 0.29, 0.04, 114680.0)	(350.665, ("88dcfdfe0dc5f3aee292bf32b92a0774ba8814692edde9a710bec9cf88eb52de", "7b85a439f400582c20760eaf252b0879bed98f486fd440714d578716a90ac2f9", "d39b7b771cfeaf1b5b1871a6c5eceb77b724bba06cca43a8532cfbf5111ad8b8", "d87362a92edd7e93c51b29172269bbdda410ce7c743994bfdf37262c33be0df5", "614e4e438a1a07508ff21b46c34b81403216d803aab604aacddba30bd0a237b0"))	
7	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(95.58, 35.71, 67.86, 67.86, 75.0, 60.71, 65.62, 70.83, 70.0, 35, 10.0, 90263e9293b7d4585056b671ac359cc8f7e7b3e583250588d01da921f4363796)	(92.04, 28.57, 64.29, 64.29, 71.43, 57.14, 62.5, 66.67, 66.67, 27, 8.452, 3720d1e1d01c3c962266d89dbd44367544ec3d10bfa3d401e3be4ec7d12f1305)	(76.99, 28.57, 64.29, 64.29, 85.71, 42.86, 60.0, 75.0, 70.59, 9, 6.33, e0505f5ff813990594d43b7ef2fa9d409181c0792e4ff845e872f9a86ac75b73)	(95.58, 39.29, 69.64, 69.64, 78.57, 60.71, 66.67, 73.91, 72.13, 33, 8.441, 020c99a881ef03b40bc91575cd3d0d676c66a319297f5fed07d5d8a01cd8f877)	(92.04, 32.14, 66.07, 66.07, 75.0, 57.14, 63.64, 69.57, 68.85, 25, 8.446, 6fa598dba1da8e887d3a9f99980058eee4b42df6c586b5a6f39a713967599e04)	(76.99, 28.57, 64.29, 64.29, 85.71, 42.86, 60.0, 75.0, 70.59, 9, 6.323, e0505f5ff813990594d43b7ef2fa9d409181c0792e4ff845e872f9a86ac75b73)	(99.91, 42.86, 71.43, 71.43, 81.43, 61.43, 67.88, 76.87, 74.02, 33.27, 161600.0)	(0.0, 0.13, 0.03, 0.03, 0.09, 0.09, 0.03, 0.08, 0.03, 0.05, 52400.0)	(338.524, ("e485be7904d870b0de0f5393743d306eb198dcab62e2b02b5f6748d8b6bc7585", "fcd2a95205fa72f9b7fc417aa12de5713781cd9930f727a70211e8ab26dc7b55", "9fb1ae34dc23d84a747fe0d3368a84b3852015bb90c367b236d32d630657722a", "1e28c2eeb51618913444b4bf08e81b0ff5d9765aaf8c30ca058d516b118bc9e8", "d17bb8f56897657b0f519ca569c7dd79a5e8d54c22c90b0769dd469eaf7facfa"))	
8	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(93.81, 10.71, 55.36, 55.36, 46.43, 64.29, 56.52, 54.55, 50.98, 35, 6.853, 920c0f25bff2baaec1d1c20064b2852ead262e81268a2ee5fef378f6e7f1b05c)	(92.04, 10.71, 55.36, 55.36, 46.43, 64.29, 56.52, 54.55, 50.98, 27, 6.409, 6ea88e2b28a869f49fc2732b05774aa018d36bfbcf2f3c0e006de648ae5f48fa)	(77.43, 10.71, 55.36, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 9, 3.83, 5c474fecdc699c73d0e5d4eb75d42ec3ca724a39c65433f9e3a343a894785564)	(93.36, 7.14, 53.57, 53.57, 46.43, 60.71, 54.17, 53.12, 50.0, 35, 5.576, 5bb38408572c86ae02a02322ed9b821fb4200f29ca435b619b7d27456d8daf66)	(91.59, 10.71, 55.36, 55.36, 46.43, 64.29, 56.52, 54.55, 50.98, 27, 5.545, 3ba3bf2f5c76ae16951328b193cc7d1de21d66003f1cff9cd1f225f89f8d2874)	(77.43, 10.71, 55.36, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 9, 3.828, 5c474fecdc699c73d0e5d4eb75d42ec3ca724a39c65433f9e3a343a894785564)	(99.47, 22.14, 61.07, 61.07, 51.43, 70.71, 64.08, 59.25, 56.85, 32.12, 161280.0)	(0.0, 0.98, 0.25, 0.25, 0.42, 0.73, 0.41, 0.17, 0.29, 0.1, 6120.0)	(324.743, ("da538a0d54d17b8084eea727ba6abab0f58c312dd48eefc9da9f2a2729d49139", "8f13261d9afa406a15058ccdf8210bf6de47d18aadbbc486d070a4500e9f7067", "058b95d39a961edc5066fd4dc80a70d93488628240ad56d1c479e644852c41af", "9ea0e368e07b59397cfadbb5e4f48b9656596f5c05efac1404aa3845efaaa291", "3a54f6f1012bf5b835cf1b3b020fc901e996b965eb2708aca44fb7d52b2297a7"))	
9	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(92.92, 3.57, 51.79, 51.79, 75.0, 28.57, 51.22, 53.33, 60.87, 27, 11.096, 7386e6830f3a13da8680302984592b726b8ea27c32b62d28c2779725941bcef0)	(88.94, 3.57, 51.79, 51.79, 75.0, 28.57, 51.22, 53.33, 60.87, 19, 11.081, 8f55bdf9d01123b09e56f12ad2fdde29797714e6fc96c3a185b8eec10f0e165a)	(88.94, 3.57, 51.79, 51.79, 75.0, 28.57, 51.22, 53.33, 60.87, 19, 10.42, 8f55bdf9d01123b09e56f12ad2fdde29797714e6fc96c3a185b8eec10f0e165a)	(92.04, 3.57, 51.79, 51.79, 75.0, 28.57, 51.22, 53.33, 60.87, 25, 10.75, da706448a0c41b15b01ab2648adbceda9754b7dbaf2394babbdf794e523ba5ca)	(88.94, 3.57, 51.79, 51.79, 75.0, 28.57, 51.22, 53.33, 60.87, 19, 10.42, 8f55bdf9d01123b09e56f12ad2fdde29797714e6fc96c3a185b8eec10f0e165a)	(88.94, 3.57, 51.79, 51.79, 75.0, 28.57, 51.22, 53.33, 60.87, 19, 10.674, 8f55bdf9d01123b09e56f12ad2fdde29797714e6fc96c3a185b8eec10f0e165a)	(99.91, 20.71, 60.36, 60.36, 64.29, 56.43, 59.78, 61.11, 61.89, 31.77, 157640.0)	(0.0, 0.47, 0.12, 0.12, 0.06, 0.47, 0.14, 0.1, 0.06, 0.02, 45080.0)	(271.353, ("52bc1b0f8371709d9bbf3d681f41d9c2639317f10e2256563caa9e14a4af4679", "782005671a94f35e7dfe89df2406befc7678ee9edc33489a90347660e5b92eb6", "374246fa852df88db3cece467c1eae52f62ebf5eb2eb624c20adc4fdca19fb9e", "84127185b6fb5ada7454dd08832d43865f8e2c643189671e749d1727947d07c0", "be9d9198cf8e1bb7829283fccaad5b337a17abdb649aa75de7313749d4cc2137"))	
10	8000,stump_with_memoization,(1,false,"c",["NG","Normalize"]),30,(50,100,75),false,TestOp_80,IA7,htkmel	(95.58, 10.71, 55.36, 55.36, 46.43, 64.29, 56.52, 54.55, 50.98, 37, 7.121, 251404781d0a84ddadf93d4cc6d4e2174a9b22ae416558d4002edb52f0199bcd)	(92.48, 17.86, 58.93, 58.93, 46.43, 71.43, 61.9, 57.14, 53.06, 33, 7.638, 910b2d57df6db738733ad035c97f49aff5ac52960c435c4d8369ed956ff64697)	(81.42, 10.71, 55.36, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 15, 6.389, a7838947d07d38f0c5ac3d3741686cd11241778f277f1a469932a2d63140e375)	(93.36, 10.71, 55.36, 55.36, 46.43, 64.29, 56.52, 54.55, 50.98, 33, 7.166, 3af186ed7c61d5b3a03e6b86ea31d2db6bee91faed9e4f9ffb99e8705c9db471)	(90.27, 17.86, 58.93, 58.93, 46.43, 71.43, 61.9, 57.14, 53.06, 29, 7.029, f7758ed34f7d84c6f0fc9fe498d8e474bb7d25ea646dec1a623fb01b87deca28)	(81.42, 10.71, 55.36, 55.36, 60.71, 50.0, 54.84, 56.0, 57.63, 15, 6.556, a7838947d07d38f0c5ac3d3741686cd11241778f277f1a469932a2d63140e375)	(99.65, 50.0, 75.0, 75.0, 66.43, 83.57, 80.49, 71.42, 72.63, 33.81, 164360.0)	(0.0, 0.32, 0.08, 0.08, 0.23, 0.29, 0.3, 0.07, 0.1, 0.02, 24280.0)	(311.186, ("88deffbde523b6eafa17a6fb6ee39ffa87dc81ae5eac7278050e010bd48198b6", "e565721f600195750bf959793f0e7fa1dbf40d23417cc90957a67228ad614c4b", "cf893ecc3a87961eeaf464626338983ab289d38ec8a14bafa4564557727afe12", "7e9ac0268cd335f3614287acfae18e946b04f4b0732187083515875588e1f050", "6604c1a01abb402d624d209963426e45549221da471ffa1f05be5bdb9357bd2e"))	
