TIMESTAMP;FILE NAME;COMP TIME;ARGS;
11/07/2021 16:51:46;dataset_dc485ec73de3f1246175e1ce1df4e6baada206f378827b65c874d716f45824b2.jld;00:01:44;(1, 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 4, sumpower = false, dither = false), (max_points = 10, ma_size = 45, ma_step = 30), Any[], false);
12/07/2021 02:36:48;dataset_bbe88ffd663dab1e1dff7edb802833909eb430b7af0fd30f673d655720fe8635.jld;00:01:37;(1, 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 4, sumpower = false, dither = false), (max_points = 20, ma_size = 45, ma_step = 30), Any[], false);
12/07/2021 20:02:37;dataset_86ac77a9b8e40780f5f917e49d2b00cb01860e1269993f6c085d0ff2eb0940e2.jld;00:01:39;(1, 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 10, ma_size = 45, ma_step = 30), Any[], false);
12/07/2021 20:10:33;dataset_e33599ca339ceca3e268fdff03994fb351e9d833874c0438dcf9a6eafeee2476.jld;00:00:12;(1, 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 2, sumpower = false, dither = false), (max_points = 20, ma_size = 45, ma_step = 30), Any[], false);
