TIMESTAMP	FILE NAME	COMP TIME	ARGS	
30/09/2021 15:32:52	dataset_61c5486beda9b19a15a9695959b401b8bc2d4db305b58f642fda42ac441cf252.jld	00:00:24	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[noise_gate!, normalize!], false)	
30/09/2021 15:33:00	dataset_5da570ebc75a9e04a2ddb132a848ac508c30bdc4d4b70c5b57b00a68d83699cd.jld	00:00:08	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :htkmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[noise_gate!, normalize!], false)	
30/09/2021 15:33:07	dataset_3120759db4ba0503737ef2cd330ba549ba39710bafe1e2998fc655d9d6e2c1a4.jld	00:00:07	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[noise_gate!, normalize!], false)	
30/09/2021 15:33:19	dataset_08408bc979007958f5b1434439bf2d853ea58e71cace434cc26498089c02aa40.jld	00:00:11	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), [normalize!], false)	
30/09/2021 15:33:43	dataset_29c55992a86ed90b93e6641905a4a62272661f7ef15158067ac995b1b0a88132.jld	00:00:07	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :htkmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), [normalize!], false)	
30/09/2021 15:33:51	dataset_3ba001190a308b831c645db56f12bbcbf7ce291fca00b78cf8eafc7306d602a6.jld	00:00:07	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), [normalize!], false)	
30/09/2021 15:33:54	dataset_f68fe9f4bee9c49b6a1047c740178b593f2fb71169e51a57f7442552a0c23ad7.jld	00:00:04	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), [normalize!], false)	
30/09/2021 15:33:57	dataset_68c51c30e22ebc965e6c1df664c3707a8c5b653b7d5ea8aac8cfff9cee553aaf.jld	00:00:03	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :htkmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), [normalize!], false)	
30/09/2021 15:34:01	dataset_1b171965f826c07af00bf0614124115e3de6b1368b060a842543a40127784dd7.jld	00:00:03	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), [normalize!], false)	
