class_names,EEG_B2-TR,EEG_B2-FM,EEG_B2-FMAI,EEG_B2-LP,EEG_B2-C,EEG_B3-TR,EEG_B3-FM,EEG_B3-FMAI,EEG_B3-LP,EEG_B3-C,EEG_B4-TR,EEG_B4-FM,EEG_B4-FMAI,EEG_B4-LP,EEG_B4-C,EEG_B1-TR,EEG_B1-FM,EEG_B1-FMAI,EEG_B1-LP,EEG_B1-C,EEG_B5-TR,EEG_B5-FM,EEG_B5-FMAI,EEG_B5-LP,EEG_B5-C,EEG_B6-TR,EEG_B6-FM,EEG_B6-FMAI,EEG_B6-LP,EEG_B6-C,EEG_B7-TR,EEG_B7-FM,EEG_B7-FMAI,EEG_B7-LP,EEG_B7-C,EEG_B8-TR,EEG_B8-FM,EEG_B8-FMAI,EEG_B8-LP,EEG_B8-C,EEG_B9-TR,EEG_B9-FM,EEG_B9-FMAI,EEG_B9-LP,EEG_B9-C,EEG_B20-TR,EEG_B20-FM,EEG_B20-FMAI,EEG_B20-LP,EEG_B20-C,EEG_B11-TR,EEG_B11-FM,EEG_B11-FMAI,EEG_B11-LP,EEG_B11-C,EEG_B10-TR,EEG_B10-FM,EEG_B10-FMAI,EEG_B10-LP,EEG_B10-C,EEG_B24-TR,EEG_B24-FM,EEG_B24-FMAI,EEG_B24-LP,EEG_B24-C,EEG_B33-TR,EEG_B33-FM,EEG_B33-FMAI,EEG_B33-LP,EEG_B33-C,EEG_B19-TR,EEG_B19-FM,EEG_B19-FMAI,EEG_B19-LP,EEG_B19-C,EEG_B34-TR,EEG_B34-FM,EEG_B34-FMAI,EEG_B34-LP,EEG_B34-C,EEG_B42-TR,EEG_B42-FM,EEG_B42-FMAI,EEG_B42-LP,EEG_B42-C,EEG_B25-TR,EEG_B25-FM,EEG_B25-FMAI,EEG_B25-LP,EEG_B25-C,EEG_B23-TR,EEG_B23-FM,EEG_B23-FMAI,EEG_B23-LP,EEG_B23-C,EEG_B22-TR,EEG_B22-FM,EEG_B22-FMAI,EEG_B22-LP,EEG_B22-C,EEG_B17-TR,EEG_B17-FM,EEG_B17-FMAI,EEG_B17-LP,EEG_B17-C,EEG_B12-TR,EEG_B12-FM,EEG_B12-FMAI,EEG_B12-LP,EEG_B12-C,EEG_B27-TR,EEG_B27-FM,EEG_B27-FMAI,EEG_B27-LP,EEG_B27-C,EEG_B26-TR,EEG_B26-FM,EEG_B26-FMAI,EEG_B26-LP,EEG_B26-C,EEG_B15-TR,EEG_B15-FM,EEG_B15-FMAI,EEG_B15-LP,EEG_B15-C
0.0,"[-1.9508, -3.0782, -1.0286]","[2.0, 2.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 3.0]","[1.0, 1.0, 3.0]","[-1.9986, -3.1162, -0.9957]","[2.0, 2.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 3.0]","[1.0, 1.0, 3.0]","[-2.1003, -3.2475, -0.8663]","[5.0, 2.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 3.0]","[1.0, 1.0, 3.0]","[-1.9371, -3.0688, -1.0355]","[2.0, 2.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 3.0]","[1.0, 1.0, 3.0]","[-2.2593, -3.784, -0.4687]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-2.4598, -3.5828, -0.4263]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.6076, -3.8262, -1.027]","[1.0, 2.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.5914, -3.8213, -1.0682]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.2858, -3.8409, -1.0147]","[1.0, 2.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.7056, -3.045, -0.6738]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-1.5217, -1.4973, -1.0228]","[1.0, 2.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-1.7488, 1.3403, -0.594]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.6825, 0.61, -1.2667]","[1.0, 3.0, 5.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 3.0]","[-2.2898, -0.4466, -0.5661]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-2.595, -0.8352, -0.6491]","[1.0, 3.0, 5.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 3.0]","[-2.0079, -3.9245, -0.8942]","[5.0, 2.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-1.844, -2.2756, -0.5202]","[5.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-2.6249, -4.3312, -1.2995]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-2.5861, -3.436, -1.4884]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 3.0]","[-2.5465, -4.3887, -1.4352]","[1.0, 1.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-2.1248, -4.1947, -1.0902]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-1.907, -3.6808, -1.0982]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.2491, -4.0017, -1.1727]","[1.0, 1.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-2.4094, -3.7555, -1.2611]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-2.3481, 0.8456, -0.8268]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]"
1.0,[-2.918],[5.0],[3.0],[2.0],[1.0],[-2.7019],[3.0],[3.0],[2.0],[1.0],[-2.1802],[3.0],[1.0],[3.0],[1.0],[-2.971],[2.0],[3.0],[2.0],[1.0],[-1.5392],[3.0],[1.0],[3.0],[1.0],[-1.5053],[3.0],[1.0],[3.0],[1.0],[-2.0987],[3.0],[3.0],[3.0],[1.0],[-2.7377],[3.0],[3.0],[2.0],[1.0],[-2.9568],[2.0],[3.0],[2.0],[1.0],[-2.5942],[2.0],[3.0],[2.0],[2.0],[-1.737],[2.0],[3.0],[2.0],[1.0],[-2.542],[2.0],[3.0],[2.0],[1.0],[-1.1467],[2.0],[3.0],[2.0],[2.0],[-1.2549],[2.0],[3.0],[2.0],[1.0],[-1.1362],[2.0],[3.0],[2.0],[2.0],[-1.0921],[2.0],[3.0],[2.0],[2.0],[-1.7917],[5.0],[1.0],[2.0],[1.0],[-1.0256],[2.0],[3.0],[2.0],[2.0],[-1.748],[2.0],[3.0],[2.0],[2.0],[-2.503],[2.0],[3.0],[2.0],[2.0],[-0.3094],[1.0],[1.0],[2.0],[1.0],[-1.1499],[3.0],[3.0],[2.0],[2.0],[-0.7814],[3.0],[1.0],[2.0],[2.0],[-0.8752],[3.0],[3.0],[2.0],[2.0],[-0.7298],[2.0],[3.0],[2.0],[2.0]
2.0,"[-2.5749, -2.9849, 0.6156]","[5.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.4969, -3.0254, 0.6071]","[3.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.3422, -3.2863, 0.5896]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.5975, -2.9827, 0.6182]","[5.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.1407, -4.1989, 0.5185]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.1383, -4.3574, 0.9295]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 1.0]","[-2.8241, -4.3622, 1.3215]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-3.735, -4.3918, 1.3201]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[1.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-3.2113, -4.4026, 1.8244]","[2.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.2136, -4.6493, 0.1933]","[2.0, 1.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-0.9137, -4.7816, 2.3867]","[5.0, 1.0, 1.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-1.3577, -4.6036, 2.8469]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-0.0895, -4.8244, -1.6159]","[3.0, 1.0, 1.0]","[1.0, 3.0, 1.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-1.3236, -3.4958, -3.2794]","[3.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[3.0, 1.0, 2.0]","[-0.8365, -4.6235, 0.4034]","[2.0, 1.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[5.0582, -3.7624, 0.2121]","[1.0, 1.0, 1.0]","[1.0, 3.0, 1.0]","[3.0, 2.0, 2.0]","[3.0, 1.0, 2.0]","[-1.4269, -3.6134, 0.2256]","[1.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-0.0259, -4.567, 0.3028]","[3.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-0.2386, -4.7503, 1.0805]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-0.8561, -4.6257, 3.793]","[3.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[0.5517, -4.6958, 3.772]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-0.7165, -4.8317, 1.5541]","[5.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[2.0, 1.0, 2.0]","[2.0, 1.0, 2.0]","[0.6871, -3.6668, 2.3132]","[3.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[1.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[0.1055, -4.0666, 2.2486]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[1.0, 2.0, 2.0]","[2.0, 1.0, 2.0]","[-3.8132, -4.6219, 0.4009]","[1.0, 1.0, 2.0]","[3.0, 1.0, 3.0]","[1.0, 2.0, 2.0]","[1.0, 2.0, 2.0]"
3.0,"[-1.168, -2.4795]","[1.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[-1.8088, -2.4812]","[1.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[-2.8857, -2.4823]","[1.0, 5.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[-0.9687, -2.479]","[1.0, 5.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[2.8973, -2.4365]","[1.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[0.4551, -2.0181]","[3.0, 5.0]","[3.0, 1.0]","[1.0, 3.0]","[1.0, 1.0]","[0.785, -2.077]","[3.0, 5.0]","[3.0, 1.0]","[1.0, 3.0]","[2.0, 1.0]","[1.4932, -2.0321]","[3.0, 5.0]","[3.0, 3.0]","[1.0, 3.0]","[2.0, 1.0]","[2.4057, -1.6957]","[3.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[3.3915, -0.3599]","[2.0, 3.0]","[3.0, 1.0]","[2.0, 3.0]","[2.0, 2.0]","[1.7274, -1.6459]","[2.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[2.9849, -0.7338]","[2.0, 3.0]","[3.0, 1.0]","[2.0, 3.0]","[2.0, 2.0]","[1.4007, -0.5295]","[5.0, 3.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 3.0]","[3.0209, -0.8877]","[2.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 2.0]","[3.6957, -0.7309]","[3.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 2.0]","[1.8993, -1.6868]","[2.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[2.0367, -2.0357]","[3.0, 5.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[1.7328, -1.333]","[2.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[2.2599, -0.5698]","[2.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 3.0]","[3.0421, -1.1556]","[2.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 2.0]","[4.1987, -1.1789]","[1.0, 5.0]","[1.0, 1.0]","[2.0, 3.0]","[2.0, 2.0]","[1.9659, -2.1396]","[2.0, 5.0]","[3.0, 3.0]","[1.0, 3.0]","[2.0, 1.0]","[2.1482, -1.5374]","[2.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[2.2658, -1.8704]","[2.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[3.6455, -0.5259]","[2.0, 3.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 3.0]"
4.0,"[-2.8485, -0.9397]","[5.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.8513, -0.9622]","[5.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.8631, -1.0261]","[5.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.8478, -0.9337]","[5.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.9439, -1.2677]","[5.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.3181, -1.4325]","[1.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.3233, -0.9985]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-3.4091, -1.0133]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-3.8375, -1.2521]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[-3.2575, -2.4179]","[1.0, 2.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-4.0175, -1.3055]","[1.0, 1.0]","[3.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[-4.5228, -2.1412]","[1.0, 2.0]","[1.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[-0.9123, -1.7305]","[1.0, 1.0]","[3.0, 1.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.901, -1.3971]","[1.0, 1.0]","[3.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[-2.9261, -1.8428]","[1.0, 2.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.2824, -1.2249]","[1.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.302, -1.3603]","[1.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.4519, -1.305]","[1.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.9673, -2.017]","[1.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.7827, -1.7699]","[1.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-4.0041, -1.2128]","[1.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.3884, -0.8826]","[1.0, 1.0]","[1.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[-3.2858, -0.9733]","[1.0, 1.0]","[1.0, 3.0]","[1.0, 3.0]","[1.0, 2.0]","[-3.2614, -1.0472]","[1.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-4.4874, -2.3207]","[1.0, 2.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]"
5.0,"[-2.6696, -3.394, -1.4552]","[3.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.6046, -3.4283, -1.4491]","[3.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.5057, -3.5965, -1.5086]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.6908, -3.3894, -1.4598]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.4485, -4.3283, -2.1152]","[3.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-2.4993, -3.7576, -0.4232]","[3.0, 2.0, 1.0]","[1.0, 3.0, 3.0]","[3.0, 1.0, 2.0]","[1.0, 1.0, 3.0]","[-2.4236, 0.4244, 0.1503]","[3.0, 2.0, 1.0]","[1.0, 3.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 2.0, 2.0]","[-2.2043, 1.3356, 0.13]","[3.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 2.0, 2.0]","[-2.26, 1.1526, 0.4123]","[3.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 2.0, 2.0]","[-3.2006, -1.924, -1.846]","[2.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-2.9426, -1.1103, -0.7783]","[2.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 2.0]","[1.0, 2.0, 2.0]","[-2.6571, 0.4442, 0.3068]","[3.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 2.0, 2.0]","[-0.9805, -2.9367, -2.3349]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[1.1667, -3.3614, -1.7232]","[1.0, 1.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-2.7031, -2.1749, -1.7846]","[3.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[2.986, -3.2453, -1.719]","[1.0, 1.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 1.0, 2.0]","[2.0, 1.0, 2.0]","[1.8482, -3.4164, -2.0126]","[1.0, 1.0, 1.0]","[1.0, 1.0, 3.0]","[3.0, 1.0, 2.0]","[3.0, 1.0, 2.0]","[0.4144, -3.0814, -2.2632]","[2.0, 1.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-1.7529, -2.7394, -2.3313]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-2.341, -2.4046, -2.1939]","[2.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-2.8807, -3.4595, -1.6381]","[1.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-3.1103, -2.0049, -1.7934]","[2.0, 2.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[1.5576, -3.2829, -2.0685]","[1.0, 1.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 1.0, 2.0]","[2.0, 1.0, 2.0]","[1.2972, -3.2211, -2.1732]","[2.0, 1.0, 1.0]","[3.0, 1.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-3.3536, -3.1304, -1.6017]","[3.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 2.0]","[1.0, 2.0, 2.0]"
6.0,"[-2.115, -4.4391]","[3.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-2.1621, -4.3889]","[3.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 1.0]","[-2.1929, -4.3292]","[3.0, 1.0]","[3.0, 1.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.0975, -4.4674]","[3.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 1.0]","[-1.7967, -3.6233]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 1.0]","[1.0, 1.0]","[1.1573, -1.3209]","[2.0, 1.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[1.5596, 0.8291]","[3.0, 2.0]","[3.0, 3.0]","[1.0, 1.0]","[1.0, 1.0]","[1.6755, 2.1467]","[3.0, 2.0]","[1.0, 3.0]","[1.0, 1.0]","[1.0, 1.0]","[1.61, 3.2748]","[3.0, 2.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 1.0]","[-0.0053, 2.9799]","[3.0, 1.0]","[3.0, 1.0]","[1.0, 2.0]","[1.0, 2.0]","[1.2554, 0.1779]","[3.0, 1.0]","[3.0, 3.0]","[1.0, 1.0]","[1.0, 1.0]","[1.5812, 2.7977]","[3.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 1.0]","[-0.6768, 1.3261]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 2.0]","[1.0321, 0.6763]","[3.0, 5.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-0.6782, 3.9007]","[3.0, 1.0]","[3.0, 1.0]","[1.0, 2.0]","[1.0, 2.0]","[0.8284, 1.2696]","[3.0, 3.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-0.6195, 3.2458]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-1.6151, 1.0584]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 2.0]","[0.2924, 1.5773]","[2.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 3.0]","[0.6983, 1.5739]","[2.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 3.0]","[-0.3752, 3.5507]","[2.0, 3.0]","[3.0, 1.0]","[1.0, 2.0]","[1.0, 1.0]","[0.3942, 0.7539]","[2.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-0.7327, 1.6529]","[2.0, 3.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-1.6902, 0.9769]","[2.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[1.3237, -1.1487]","[3.0, 2.0]","[3.0, 3.0]","[1.0, 1.0]","[1.0, 1.0]"
