Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	n_chunks	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(1.0,50,half,all)K	RF(1.0,50,half,all)accuracy	RF(1.0,50,half,all)safe_macro_sensitivity	RF(1.0,50,half,all)safe_macro_specificity	RF(1.0,50,half,all)safe_macro_PPV	RF(1.0,50,half,all)safe_macro_NPV	RF(1.0,50,half,all)safe_macro_F1	RF(1.0,50,half,all)oob_error	RF(1.0,50,half,all)n_nodes	RF(1.0,50,half,all)σ² K	RF(1.0,50,half,all)σ² accuracy	RF(1.0,50,half,all)σ² safe_macro_sensitivity	RF(1.0,50,half,all)σ² safe_macro_specificity	RF(1.0,50,half,all)σ² safe_macro_PPV	RF(1.0,50,half,all)σ² safe_macro_NPV	RF(1.0,50,half,all)σ² safe_macro_F1	RF(1.0,50,half,all)σ² oob_error	RF(1.0,50,half,all)σ² n_nodes	RF(1.0,50,half,all)t	RF(1.0,50,half,all)hash	RF(1.0,100,half,all)K	RF(1.0,100,half,all)accuracy	RF(1.0,100,half,all)safe_macro_sensitivity	RF(1.0,100,half,all)safe_macro_specificity	RF(1.0,100,half,all)safe_macro_PPV	RF(1.0,100,half,all)safe_macro_NPV	RF(1.0,100,half,all)safe_macro_F1	RF(1.0,100,half,all)oob_error	RF(1.0,100,half,all)n_nodes	RF(1.0,100,half,all)σ² K	RF(1.0,100,half,all)σ² accuracy	RF(1.0,100,half,all)σ² safe_macro_sensitivity	RF(1.0,100,half,all)σ² safe_macro_specificity	RF(1.0,100,half,all)σ² safe_macro_PPV	RF(1.0,100,half,all)σ² safe_macro_NPV	RF(1.0,100,half,all)σ² safe_macro_F1	RF(1.0,100,half,all)σ² oob_error	RF(1.0,100,half,all)σ² n_nodes	RF(1.0,100,half,all)t	RF(1.0,100,half,all)hash
nothing	stump_with_memoization	TestOp_80	FingerMovements	"(false,""interval"")"	missing	10.22	55	49.02	61.22	56.82	53.57	52.63	67	0.58	0.49	5652.865	ee193c3bdb6250f45905aa0ac4bfd33ae8b6de563b509fa4cf8494b3d28cc5f0	19.78	60	66.67	53.06	59.65	60.47	62.96	29	0.594	0.5295	769.452	4136bd1819e07637ea923cc99c8521f72e729ad123ff4d49c5882fbf60681e9d	4.27	52	45.1	59.18	53.49	50.88	48.94	63	0.58	0.49	828.039	cc976244c585ffc6bcd6a0aeca264f4e30d58e51f77fb277c3296e2705265bc9	19.78	60	66.67	53.06	59.65	60.47	62.96	29	0.594	0.5295	763.407	4136bd1819e07637ea923cc99c8521f72e729ad123ff4d49c5882fbf60681e9d	-5.49	47	35.29	59.18	47.37	46.77	40.45	0	292400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""4b30d622cedf38093f9b8840ebc48e273301eec446a59f9fe6a6a1ae1b06ad96"",)"	-1.67	49	41.18	57.14	50	48.28	45.16	42.09	586200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6418.714	"(""6b0cef4a73f443deb02045111927c462ddf54317d2b620238a96c0b64bfd317c"",)"
nothing	stump_with_memoization	TestOp_80	Libras	"(false,""interval"")"	missing	51.19	54.44	54.44	96.75	59.65	96.75	55.56	79	-Inf	-Inf	73.168	0ff15c2297b069a52f9804a254b0158fa3c9eab8dca943b62100c12365bb619a	52.38	55.56	55.56	96.83	62.34	96.83	56.8	63	-Inf	-Inf	4.838	b3a8f508429eea179ad056e6889b135af354983a55e5d64b41a0b45064593657	47.62	51.11	51.11	96.51	61.24	96.51	52.82	59	-Inf	-Inf	4.97	177ea9130ea660e9426e93995c7cb4bdcce689eccf1661fa6f71e25facf05080	48.81	52.22	52.22	96.59	62.32	96.6	53.72	51	-Inf	-Inf	4.829	1ffa5a74cc0bb9342223e8b3a2b8b92044f601bc8fe808dec12f91c65504ebe2	74.4	76.11	76.11	98.29	77.78	98.31	75.86	0	451400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""5f2ee24ecd716fb0a1e43c80d3fc522c2cd7c9b35e0ec8a486eaf647cd7f4838"",)"	77.38	78.89	78.89	98.49	80.93	98.51	78.43	30.56	900600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	183.174	"(""72728dfc41683f79ce8a55f372615cf58ce8209bff0d4e12598f26508b4aaf2c"",)"
nothing	stump_with_memoization	TestOp_80	LSST	"(false,""interval"")"	missing	38.05	47.89	35.48	95.58	35.7	95.56	35.31	919	-Inf	-Inf	571.428	ec5c33c59c3d9816d82f22ebb3b37ee604cb4562643d40e9c2742539977cf9b0	39.57	49.64	34.57	95.67	33.08	95.69	33.65	603	-Inf	-Inf	94.903	24cdfa84c4709ee32136a33d1e726fa697de8a7ec193554e105636136234065e	38.28	48.38	34.38	95.59	34.37	95.58	34.09	631	-Inf	-Inf	94.356	5016d948c3bc5e5f133cca5c6e0727922977bee478514179b9af88669a76f1eb	38.76	48.99	34.67	95.61	34.03	95.62	34.05	489	-Inf	-Inf	92.904	844b42f346927aa7be523f787fc6aecfba799354541a69968f7d2927f48530a7	55.88	65	40.8	96.71	NaN	97.15	41.78	0	4159200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""43f753ee9a8ae3fff2b5432781c234b4fb1beabad68e78312d53bd5052cf99e1"",)"	56.49	65.61	41.02	96.74	NaN	97.24	42.06	36.64	8319600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3830.407	"(""c7be6a2cd268ff83c6d0d7e96ba62a5e746f222cf958a5805084823900adf55d"",)"
nothing	stump_with_memoization	TestOp_80	NATOPS	"(false,""interval"")"	missing	81.33	84.44	84.44	96.89	85.11	96.87	84.71	21	0.83	0.7025	528.642	620adf775a635f9235510fd94733148f2728f7228706a3be3399d943621ca4b0	85.33	87.78	87.78	97.56	90.44	97.65	87.64	13	0.83	0.7025	16.47	3cbcb5e0a7b28968e7b5555be634dc54a6770422ffcaf46ce433c43a9dfa37e7	86.67	88.89	88.89	97.78	92	97.9	88.78	19	0.83	0.7025	19.961	a232552d0a37342862546ce3db632dac45bfe4f8c2bd02ca6a99861baee05aeb	85.33	87.78	87.78	97.56	90.44	97.65	87.64	13	0.83	0.7025	16.424	3cbcb5e0a7b28968e7b5555be634dc54a6770422ffcaf46ce433c43a9dfa37e7	88.67	90.56	90.56	98.11	91	98.11	90.68	0	121400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""03c52581657c491b8106b6e79e0afba02c037e6879b206c6db57b849143eaeb2"",)"	89.33	91.11	91.11	98.22	91.21	98.22	91.14	13.33	241000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1524.113	"(""688d73b4309e8c767f2d740fc88af15f5b90c885f44e74609e02562e35a859bb"",)"
nothing	stump_with_memoization	TestOp_80	RacketSports	"(false,""interval"")"	missing	52.48	64.47	66.48	87.89	65.58	88.02	65.84	37	0.81280701754386	0.697412280701754	2.643	c5ce5ed9bd6e725bcfc161d9c08aff8578dd73dd04f21fd1160d4fe41bf8db0c	48.2	61.18	63.44	86.83	61.38	87.02	62.3	19	0.746451355661882	0.647198963317385	0.584	375d37e1dd1106dd67b1e404bb1411570f410cece8e88df8b21c76cb47c70504	52.57	64.47	66.43	87.95	64.72	88.12	65.39	31	0.81280701754386	0.697412280701754	0.697	ff75b29da2b7dcc2e8f6e63f8de626a0580cb2c537ba374ec2eef4e5fd1073c3	46.56	59.87	62.28	86.44	59.17	86.75	60.43	19	0.746451355661882	0.647198963317385	0.634	49b295112824fa12432399592bdccee3f0f856e4cb6a358a47160e642653683b	76.26	82.24	83.6	93.93	83.02	93.97	83.23	0	155800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""b27af4478e3d6a4e49a7357d69ce2b4d80a33923c260dda3d36725d052c160b4"",)"	76.27	82.24	83.56	93.94	82.92	94.01	83.07	14.67	312000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.861	"(""cb4513b579af6d2be658985a54a3286d9eec5cb6bbe4186f47c2033dbc1c1830"",)"
nothing	stump_with_memoization	TestOp_80	FingerMovements	"(true,""one_world"")"	missing	11.82	56	60.78	51.02	56.36	55.56	58.49	71	-Inf	-Inf	138.819	9449bddbad98f1138ecf120eff8a4012ed1545ff70774a27e4389dd4cac94c77	15.7	58	66.67	48.98	57.63	58.54	61.82	47	0.563333333333333	0.485833333333333	140.541	33820fdf54f63e39c3851aa720bc81e6307102531a03d0181dddb36c09b2bfd7	17.87	59	62.75	55.1	59.26	58.7	60.95	65	-Inf	-Inf	138.928	0de5cc39f1263b2adaabc572ed97ee70416f2bc9f906e31bed961feb7aaab9ca	15.7	58	66.67	48.98	57.63	58.54	61.82	47	0.563333333333333	0.485833333333333	138.102	33820fdf54f63e39c3851aa720bc81e6307102531a03d0181dddb36c09b2bfd7	0.36	50	41.18	59.18	51.22	49.15	45.65	0	256200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""6d592ac9c62501881b971c26d267665ec2d3d8aa4aa47860408b9b61003f7edd"",)"	16.03	58	56.86	59.18	59.18	56.86	58	51.9	511800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	622.033	"(""bc37440ab792f8330696ab0f4f20dca51a4c285361f561c4746774736688f248"",)"
nothing	stump_with_memoization	TestOp_80	Libras	"(true,""one_world"")"	missing	50.6	53.89	53.89	96.71	53.73	96.73	52.78	93	-Inf	-Inf	2.22	c682c1dde5258a736fef4bf154d03e2f965fefccab85870ef3a1db14c0e20071	52.98	56.11	56.11	96.87	55.9	96.89	54.91	71	-Inf	-Inf	2.157	ed1c0b4e77a2a00351f3b7a58e91340cecf4c14df6a146badead96e8f79e6eaf	46.43	50	50	96.43	53.58	96.46	48.83	67	-Inf	-Inf	2.176	34e81120f67d096853647c4a64adff2af51e1b8a4b4fcf8e5e5575f60f637de7	46.43	50	50	96.43	53.58	96.46	48.83	51	-Inf	-Inf	2.273	62e9433771fb8d5c22069cb33004c30aece27e698a3c872a387701d6fb3253ad	66.67	68.89	68.89	97.78	71.29	97.8	68.18	0	364000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""df00b36e44ffeb2682383d8bed0f8bfd2c01607cc0c9f5c3a80d8189141e8ebc"",)"	64.88	67.22	67.22	97.66	70.12	97.68	66.37	30.56	730600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.238	"(""f8af1cf6bce65d83631efdd866ce96aa924892771c0d3167d75c3acc81838a7a"",)"
nothing	stump_with_memoization	TestOp_80	LSST	"(true,""one_world"")"	missing	22.71	34.59	23.82	94.53	24.45	94.49	23.91	995	-Inf	-Inf	1787.491	c457146080bf3d521273d51548be441793e478d2c3ea4e2fe073a29fd2efac24	23.91	36.42	24.06	94.59	26.28	94.59	24.83	733	-Inf	-Inf	1760.764	94ede65e5532c35e8cfc030efa8912258c334f92739b1b3b85a9965cbc26e9ff	22.68	34.83	24.41	94.5	25.47	94.48	24.82	719	-Inf	-Inf	1731.577	e8ae9b4aab6e5ed2ef304e360878009aeb38e4e712bdcb399b6e812f6bf12ecc	23.46	35.97	24.24	94.55	25.93	94.55	24.92	575	-Inf	-Inf	1712.513	735379d5cbb86da6e196522b49add85d8937e8993b9fffc7be6128366009323a	37.1	51.7	29.44	95.34	NaN	96.01	31.1	0	4281200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""985ed57276c69b4e8827608d5b3b9799b398eb021c402e0484416058939cee87"",)"	37.71	52.6	29.04	95.36	NaN	96.19	29.86	49.31	8555200	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7123.516	"(""fd28a3e46fccdd8d37dd292d8e3c7118ce8babf43c6fabc97883fdb27610de00"",)"
nothing	stump_with_memoization	TestOp_80	NATOPS	"(true,""one_world"")"	missing	64	70	70	94	72.99	94.06	70.18	31	0.779005847953216	0.652733918128655	29.438	aa45ec9287cbd2ee95c075ed0ebe6886acdb53cd1c093f77e0b93007ef0f4ce1	68	73.33	73.33	94.67	75.81	94.78	73.09	17	0.779005847953216	0.652733918128655	28.276	75e06c831bedb446a7fe162030f63d7e4faadcd816af70e8b52c5b7b5cbd67ec	66	71.67	71.67	94.33	74.31	94.38	71.87	29	0.779005847953216	0.654351851851852	29.392	86de22eff73d41d51dd5660ca36dedcbe24af4c25ed96e84629cfd64403aecb1	68	73.33	73.33	94.67	75.81	94.78	73.09	17	0.779005847953216	0.652733918128655	28.249	75e06c831bedb446a7fe162030f63d7e4faadcd816af70e8b52c5b7b5cbd67ec	80.67	83.89	83.89	96.78	84.45	96.79	83.92	0	136800	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""02390431c7b444388e26c5bd3d5781a5c0afbf5e8891ca42fae241c49ffb923e"",)"	79.33	82.78	82.78	96.56	83.49	96.58	82.74	27.78	274400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	159.651	"(""8cc6a3223e5c4f4a0b68073a158880471b4a7439a2331c3cd47c32890b6d366d"",)"
nothing	stump_with_memoization	TestOp_80	RacketSports	"(true,""one_world"")"	missing	43.57	57.89	58.52	85.77	58.82	85.99	58.02	31	0.697966507177034	0.607805023923445	3.449	747d3d4a793514f3d13fc8f07bb4f41787d2682db3f37cd569feaabb1ab49fcf	43.68	57.89	58.63	85.83	58.19	86.19	57.32	19	0.632631578947368	0.563355263157895	3.388	4d3a5eb18291026cdf130c09d1ea608ec04f0e7187124bdb37b57339c2da6b68	43.57	57.89	58.41	85.79	58.42	85.93	58.1	29	0.697966507177034	0.607805023923445	3.429	94c6eb6e915d3701fa6675426d63626073959a2396af75df03eb2f954b15b28b	43.68	57.89	58.63	85.83	58.19	86.19	57.32	19	0.632631578947368	0.563355263157895	3.383	ac8d4d2b3d05b76b7d4103bb377bdcc569dd4be7d54f231db6d56b05870f1c07	80.64	85.53	86.27	95.08	86.3	95.15	86.07	0	151600	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	"(""5a29897469f923188bba351756bfdeb2886c78ba0f13a0521100a3c5a220d103"",)"	76.26	82.24	83.14	93.98	82.84	94.06	82.77	21.85	305000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.309	"(""bd853c3278a3b92e5ddb616e5601b4d2361467701aa105d26bc8a7fca42efb87"",)"
