AMBH-MIN-High-Risk-x,AMBH-MIN-High-Risk-y,AMBH-MIN-Low-Risk-x,AMBH-MIN-Low-Risk-y,AMBH-FM-High-Risk-x,AMBH-FM-High-Risk-y,AMBH-FM-Low-Risk-x,AMBH-FM-Low-Risk-y,AMBH-MAX-High-Risk-x,AMBH-MAX-High-Risk-y,AMBH-MAX-Low-Risk-x,AMBH-MAX-Low-Risk-y,AMBH-M-High-Risk-x,AMBH-M-High-Risk-y,AMBH-M-Low-Risk-x,AMBH-M-Low-Risk-y,AMBH-C-High-Risk-x,AMBH-C-High-Risk-y,AMBH-C-Low-Risk-x,AMBH-C-Low-Risk-y,AMBT-MIN-High-Risk-x,AMBT-MIN-High-Risk-y,AMBT-MIN-Low-Risk-x,AMBT-MIN-Low-Risk-y,AMBT-FM-High-Risk-x,AMBT-FM-High-Risk-y,AMBT-FM-Low-Risk-x,AMBT-FM-Low-Risk-y,AMBT-MAX-High-Risk-x,AMBT-MAX-High-Risk-y,AMBT-MAX-Low-Risk-x,AMBT-MAX-Low-Risk-y,AMBT-M-High-Risk-x,AMBT-M-High-Risk-y,AMBT-M-Low-Risk-x,AMBT-M-Low-Risk-y,AMBT-C-High-Risk-x,AMBT-C-High-Risk-y,AMBT-C-Low-Risk-x,AMBT-C-Low-Risk-y,SPEED-MIN-High-Risk-x,SPEED-MIN-High-Risk-y,SPEED-MIN-Low-Risk-x,SPEED-MIN-Low-Risk-y,SPEED-FM-High-Risk-x,SPEED-FM-High-Risk-y,SPEED-FM-Low-Risk-x,SPEED-FM-Low-Risk-y,SPEED-MAX-High-Risk-x,SPEED-MAX-High-Risk-y,SPEED-MAX-Low-Risk-x,SPEED-MAX-Low-Risk-y,SPEED-M-High-Risk-x,SPEED-M-High-Risk-y,SPEED-M-Low-Risk-x,SPEED-M-Low-Risk-y,SPEED-C-High-Risk-x,SPEED-C-High-Risk-y,SPEED-C-Low-Risk-x,SPEED-C-Low-Risk-y,EXT5-MIN-High-Risk-x,EXT5-MIN-High-Risk-y,EXT5-MIN-Low-Risk-x,EXT5-MIN-Low-Risk-y,EXT5-FM-High-Risk-x,EXT5-FM-High-Risk-y,EXT5-FM-Low-Risk-x,EXT5-FM-Low-Risk-y,EXT5-MAX-High-Risk-x,EXT5-MAX-High-Risk-y,EXT5-MAX-Low-Risk-x,EXT5-MAX-Low-Risk-y,EXT5-M-High-Risk-x,EXT5-M-High-Risk-y,EXT5-M-Low-Risk-x,EXT5-M-Low-Risk-y,EXT5-C-High-Risk-x,EXT5-C-High-Risk-y,EXT5-C-Low-Risk-x,EXT5-C-Low-Risk-y,EXT4-MIN-High-Risk-x,EXT4-MIN-High-Risk-y,EXT4-MIN-Low-Risk-x,EXT4-MIN-Low-Risk-y,EXT4-FM-High-Risk-x,EXT4-FM-High-Risk-y,EXT4-FM-Low-Risk-x,EXT4-FM-Low-Risk-y,EXT4-MAX-High-Risk-x,EXT4-MAX-High-Risk-y,EXT4-MAX-Low-Risk-x,EXT4-MAX-Low-Risk-y,EXT4-M-High-Risk-x,EXT4-M-High-Risk-y,EXT4-M-Low-Risk-x,EXT4-M-Low-Risk-y,EXT4-C-High-Risk-x,EXT4-C-High-Risk-y,EXT4-C-Low-Risk-x,EXT4-C-Low-Risk-y
-8.207962076932972,6.257265135745093e-7,-6.3555214591799505,2.0704646852887087e-7,-10.421385210098759,4.3357281277467407e-7,-7.616505870158248,2.6735528640742246e-7,-8.253251472538476,2.3648734494563507e-7,-6.0653315662667096,8.54478626677313e-8,-7.644523870599297,4.064576542894827e-7,-6.295815977427893,1.0647339056535365e-7,-3.2935761562647166,1.9310339823608303e-7,-1.4666496169796561,9.261385615078055e-8,2.115763241539371,4.0043166887659965e-7,4.646238058576204,2.936825946830979e-7,-7.651149874721151,4.7423704083948694e-7,-6.207295768948887,6.594119042580004e-8,8.254534817007496,9.240485293249279e-7,4.815866627297266,2.0816179957527936e-7,8.139062774200966,4.110780154142901e-7,4.737228065180693,2.2882053126060954e-7,0.057223006243896535,1.4374063497468726e-7,1.066683466681602,7.836955879358954e-8,6549.938396866488,5.184998543567021e-7,6547.779047125786,1.1907454132820127e-7,-2.8735220784381115,1.694231077828956e-6,-2.309132092026064,1.4997768678681745e-6,6602.077725041687,4.893282071272154e-7,6606.339724038172,8.329165900011759e-7,6600.620409043796,9.924568937069723e-7,6601.673448254701,1.1891454903434351e-7,-3.1014571438032057,5.816533019145087e-6,-4.618264184052128,5.0340816857286084e-8,415.15866266157394,1.7306517029080926e-7,415.0870723819764,3.301036609559826e-8,-7.999074632602715,2.9247905401108554e-6,-5.145531028048405,5.899136362523816e-6,516.2772337129024,1.6793220560584744e-7,425.96473115696074,3.147843567030684e-8,445.3054043031302,6.732029614764378e-8,423.59959196896335,2.4979654278944885e-8,-2.8512729960053598,1.6297475816440254e-7,-1.2545984040335112,8.054888527286863e-8,415.19922912513834,2.478709240100185e-7,415.76229965510174,2.884834645777712e-8,-8.174875534785132,3.268280000534585e-6,-5.408360640329578,3.7932347965763394e-6,523.9054719185403,5.571168586504527e-7,428.57907722906833,5.079366708571342e-8,446.5797730303117,1.138447761583894e-7,425.1452951377077,2.324269317566241e-8,-2.951965756765982,3.522720979565186e-7,-1.2545984040335112,7.321218094213933e-8
-7.694594116360782,8.876402752067136e-7,-5.818676017379147,3.708083084941194e-7,-10.065391388891737,7.01402354845726e-7,-7.258551037292336,5.445579388241306e-7,-7.635875075829547,3.399130375880688e-7,-5.500241801781617,1.1819260137491127e-7,-7.081209057829455,6.733317001905715e-7,-5.744508781674848,1.8062361456627762e-7,-3.014243732583664,3.136345782728256e-7,-1.190602887160765,1.412370121589568e-7,2.323836977805307,7.819377835538432e-7,4.8434467213040815,6.130897279099656e-7,-7.30792223778928,7.107080723156578e-7,-5.858478726044878,1.2950938916400644e-7,8.438568637942094,8.500766743679833e-7,5.018625756671163,3.068763033953204e-7,8.318678726219046,5.981291906786979e-7,4.936819240405008,4.2658030564357573e-7,0.3531303127138071,2.414164783060002e-7,1.3624956931471137,1.85878610907686e-7,6550.2570255411965,3.003654212884177e-6,6548.1064089637175,1.745659341865158e-5,-2.633587183177427,4.670809750897398e-6,-2.039693578538365,5.53664735323145e-6,6602.371646900564,1.0814679245552128e-5,6606.5005333443205,1.0108458214368455e-5,6600.695848148884,1.8224539944444728e-6,6601.739263347618,1.9990429491301144e-7,-2.793904810699656,1.160450550039549e-5,-4.285417307830499,1.1518129167775727e-7,416.206867056935,6.587562236765043e-7,416.1383430113033,6.761173196589975e-8,-7.642300013179573,5.488877259482994e-6,-4.827485490078069,1.3231782640816815e-5,516.8386886504612,1.3675430895254693e-7,426.9732263212124,3.793184602529642e-8,446.209610792546,1.771111897586053e-7,424.6126840094763,3.6101823445156e-8,-2.5512602020756576,2.8595532629349664e-7,-0.9706325909276468,1.8941893044743808e-7,416.23440219925754,6.351479626021118e-7,416.81932528670876,7.014230280100175e-8,-7.8314094490083965,5.920171634385962e-6,-5.082648473090084,8.408215921253958e-6,524.4254732057911,9.236319493344247e-7,429.5763764528968,4.442820866090713e-8,447.4749079747307,1.438044227564106e-7,426.1559177996403,3.8445197511061125e-8,-2.6459158496628064,6.072957329639194e-7,-0.9706325909276468,1.872037231032131e-7
-7.181226155788591,1.369826379875594e-6,-5.2818305755783435,6.964854236435336e-7,-9.709397567684713,1.1678754819532955e-6,-6.9005962044264235,1.094177316804945e-6,-7.018498679120618,5.422601117865966e-7,-4.9351520372965245,2.0379304271900267e-7,-6.517894245059613,1.1174462391005947e-6,-5.193201585921805,3.347344676285502e-7,-2.734911308902612,5.501526387963196e-7,-0.914556157341874,2.8616376163803636e-7,2.531910714071243,1.6190713032937509e-6,5.040655384031958,1.3156161351135508e-6,-6.964694600857409,1.1398309785448645e-6,-5.50966168314087,2.6151266202534273e-7,8.622602458876692,1.1877262814286027e-6,5.22138488604506,6.063565937530768e-7,8.498294678237126,1.1006581879779986e-6,5.136410415629322,8.944731351556712e-7,0.6490376191837177,4.535955542639414e-7,1.6583079196126251,4.520998561163836e-7,6550.575654215905,1.909567574180704e-5,6548.433770801649,0.00012799730794612384,-2.3936522879167423,1.2533102508621718e-5,-1.7702550650506659,1.904788242091171e-5,6602.665568759442,9.769416676355558e-5,6606.66134265047,8.787069615820542e-5,6600.7712872539705,3.5106307341870035e-6,6601.805078440536,4.184918977401253e-7,-2.4863524775961063,2.2574979049916345e-5,-3.9525704316088692,2.807679084559922e-7,417.2550714522961,2.303918882989864e-6,417.1896136406301,2.2336469128136916e-7,-7.28552539375643,1.0110178561328898e-5,-4.5094399521077335,2.850569345431264e-5,517.40014358802,1.8631783581857243e-7,427.98172148546405,1.1829360276216505e-7,447.11381728196176,5.513646773147585e-7,425.6257760499892,1.1537147387719049e-7,-2.2512474081459555,5.576565327647387e-7,-0.6866667778217823,4.867294311705628e-7,417.26957527337674,1.9798569889351025e-6,417.8763509183158,2.3740712479458636e-7,-7.487943363231662,1.0544185566114806e-5,-4.756936305850592,1.7950365687504633e-5,524.9454744930421,1.7876378291181716e-6,430.57367567672526,1.2815250156839043e-7,448.3700429191496,3.677518253764056e-7,427.1665404615729,1.247927155867412e-7,-2.3398659425596304,1.140874456069252e-6,-0.6866667778217823,4.862816679063187e-7
-6.6678581952164,2.1676466758169254e-6,-4.74498513377754,1.3005938658205985e-6,-9.35340374647769,1.9464174573791127e-6,-6.542641371560512,2.1496848281410407e-6,-6.401122282411688,8.909946485247122e-7,-4.370062272811432,3.7132684584273433e-7,-5.954579432289771,1.8362154122442133e-6,-4.64189439016876,6.242211895024497e-7,-2.455578885221559,9.747607708932015e-7,-0.638509427522983,6.075045700559833e-7,2.739984450337179,3.280236633247391e-6,5.237864046759836,2.743508296672026e-6,-6.621466963925538,1.8581673887374528e-6,-5.16084464023686,5.215346103715212e-7,8.80663627981129,2.045463240376577e-6,5.424144015418957,1.2508788390208637e-6,8.677910630255207,2.1262102790986503e-6,5.336001590853637,1.8600248890221494e-6,0.9449449256536283,8.633672843183504e-7,1.9541201460781368,1.0589017635864728e-6,6550.894282890614,8.176647303655193e-5,6548.761132639581,0.00048331584568065246,-2.1537173926560578,3.2204656828017654e-5,-1.5008165515629668,6.116474773018465e-5,6602.959490618319,0.00047673173883992174,6606.822151956619,0.0005489483388222816,6600.846726359058,6.682640235471382e-6,6601.870893533453,8.819510331825598e-7,-2.1788001444925564,4.2728914063117075e-5,-3.6197235553872398,6.763742951276797e-7,418.3032758476571,7.092404090721094e-6,418.240884269957,6.774193072833779e-7,-6.928750774333286,1.8218583249238752e-5,-4.191394414137397,5.896396062809784e-5,517.9615985255788,3.290848337500485e-7,428.9902166497157,3.606013012691367e-7,448.01802377137756,1.5651104907388192e-6,426.63886809050217,3.511904193648219e-7,-1.9512346142162533,1.0959887896566655e-6,-0.40270096471591793,1.189817473943311e-6,418.304748347496,5.64102034150582e-6,418.9333765499228,7.272543506064988e-7,-7.144477277454927,1.8414734363478848e-5,-4.431224138611098,3.688471967734364e-5,525.4654757802929,3.5006894783951027e-6,431.5709749005537,3.8617489649561687e-7,449.2651778635686,9.637791560496156e-7,428.17716312350547,3.7884043997071794e-7,-2.033816035456455,2.1485271740839807e-6,-0.40270096471591793,1.1904552662689304e-6
-6.154490234644209,3.4292425340631815e-6,-4.208139691976736,2.3811294254605376e-6,-8.997409925270668,3.214293544735458e-6,-6.184686538694599,4.120925667399078e-6,-5.783745885702759,1.4629769098872814e-6,-3.8049725083263395,6.739157900348403e-7,-5.391264619519928,2.9755297046618613e-6,-4.090587194415716,1.1449908235172668e-6,-2.1762464615405066,1.7071616803421285e-6,-0.362462697704092,1.2674425145431378e-6,2.948058186603115,6.396491701088358e-6,5.435072709487713,5.503090434033631e-6,-6.278239326993668,3.0166820403021433e-6,-4.812027597332851,1.0171544781001352e-6,8.990670100745888,3.705242959397559e-6,5.626903144792854,2.519644409462174e-6,8.85752658227329,4.067458260998969e-6,5.535592766077952,3.7371488906989825e-6,1.240852232123539,1.6174096509824488e-6,2.249932372543648,2.368958362757301e-6,6551.212911565322,0.00023568040213142738,6549.088494477513,0.0009175629540480296,-1.9137824973953732,7.912629160479634e-5,-1.2313780380752675,0.00018405502625652438,6603.253412477196,0.0012379137050147215,6606.982961262768,0.0025187689882244157,6600.922165464146,1.2381764368116777e-5,6601.936708626371,1.7877477263539276e-6,-1.8712478113890065,7.865698248414432e-5,-3.2868766791656103,1.5873279985356704e-6,419.3514802430182,1.9179184049769037e-5,419.29215489928384,1.810633985264154e-6,-6.571976154910144,3.20941748197856e-5,-3.8733488761670616,0.00011713523058575426,518.5230534631376,6.120710131518603e-7,429.99871181396736,9.687723721446551e-7,448.9222302607933,3.9746968462611725e-6,427.6519601310151,9.419040635694209e-7,-1.6512218202865512,2.114537533539629e-6,-0.1187351516100535,2.7213220778232737e-6,419.3399214216152,1.4385815058512441e-5,419.9904021815298,1.963968831710794e-6,-6.801011191678192,3.1512350222482335e-5,-4.105511971371605,7.296743563889763e-5,525.9854770675438,6.683528895479185e-6,432.5682741243822,1.0299515913630986e-6,450.1603128079876,2.3276726873716627e-6,429.18778578543805,1.0118858390784081e-6,-1.727766128353279,3.9655868640475766e-6,-0.1187351516100535,2.724322823843828e-6
-5.641122274072019,5.3725706209251105e-6,-3.671294250175933,4.259875395735691e-6,-8.641416104063644,5.241251284688886e-6,-5.826731705828688,7.704693183925304e-6,-5.166369488993829,2.3755947087678032e-6,-3.239882743841247,1.1992251033210443e-6,-4.827949806750087,4.748646840857518e-6,-3.5392799986626717,2.0545035012831113e-6,-1.8969140378594542,2.9373888255879167e-6,-0.08641596788520098,2.566900896365798e-6,3.1561319228690508,1.1968315526607044e-5,5.632281372215591,1.0600087025176563e-5,-5.935011690061796,4.841868239027214e-6,-4.4632105544288425,1.935739595766428e-6,9.174703921680486,6.680607085933765e-6,5.8296622741667505,4.892177040898283e-6,9.03714253429137,7.601228645315317e-6,5.735183941302266,7.2216782934697574e-6,1.5367595385934496,2.960999569066036e-6,2.5457445990091596,5.06276939432393e-6,6551.531540240031,0.0004595297557485051,6549.415856315445,0.0009176718031285742,-1.6738476021346886,0.00018588089884597815,-0.9619395245875685,0.0005197471832075962,6603.5473343360745,0.001723391777300014,6607.143770568917,0.008675529293698254,6600.997604569233,2.225152958298615e-5,6602.002523719289,3.458890489280719e-6,-1.5636954782854569,0.00014082832975646165,-2.954029802943981,3.6176944541077563e-6,420.39968463837926,4.556145527439548e-5,420.34342552861074,4.261156999627591e-6,-6.215201535487001,5.52674277180687e-5,-3.555303338196726,0.00022356774615114094,519.0845084006963,1.1237026556387697e-6,431.007206978219,2.2816013773452325e-6,449.8264367502091,9.019762457515013e-6,428.66505217152803,2.2178889905377643e-6,-1.3512090263568493,3.9807077145259665e-6,0.16523066149581092,5.817117245201509e-6,420.3750944957344,3.280635700088408e-5,421.04742781313684,4.68007437653517e-6,-6.457545105901457,5.2833648208769904e-5,-3.7797998041321117,0.00013903484386208477,526.5054783547946,1.23414049987991e-5,433.56557334821065,2.4092664469949067e-6,451.05544775240656,5.134177231422843e-6,430.19840844737064,2.3711638159262805e-6,-1.4217162212501033,7.137127927971942e-6,0.16523066149581092,5.827747305982012e-6
-5.127754313499828,8.307769936604093e-6,-3.1344488083751294,7.441893772643926e-6,-8.285422282856622,8.429076079810027e-6,-5.468776872962775,1.404881645503231e-5,-4.5489930922849,3.8021046257552537e-6,-2.6747929793561545,2.084795009253959e-6,-4.264634993980244,7.4604822231783e-6,-2.9879728029096277,3.6021312297074282e-6,-1.6175816141784018,4.957941746603911e-6,0.18963076193369005,5.037055711145655e-6,3.3642056591349867,2.147494552778184e-5,5.8294900349434675,1.9604372232224777e-5,-5.591784053129926,7.664174059649475e-6,-4.114393511524834,3.5933334227955527e-6,9.358737742615084,1.181532034807642e-5,6.032421403540647,9.136372293920835e-6,9.21675848630945,1.3838223966566866e-5,5.9347751165265805,1.341309516917022e-5,1.83266684506336,5.288794831805888e-6,2.8415568254746715,1.0349624573926519e-5,6551.85016891474,0.0006095717112958027,6549.743218153377,0.0004811838814340219,-1.433912706874004,0.0004173884686598517,-0.6925010110998693,0.0013748096138118916,6603.841256194952,0.0013504008202251995,6607.304579875066,0.02289667639315726,6601.073043674321,3.87560140073262e-5,6602.068338812206,6.380236698451114e-6,-1.256143145181907,0.0002452708684448979,-2.6211829267223514,7.997432108064473e-6,421.44788903374035,9.509656094998209e-5,421.39469615793763,8.847307669574978e-6,-5.858426916063858,9.304748813689701e-5,-3.23725780022639,0.0004101751283506738,519.6459633382551,2.007878786178807e-6,432.0157021424706,4.70904190264132e-6,450.7306432396249,1.8287922312083538e-5,429.67814421204093,4.587239912429153e-6,-1.051196232427147,7.302863711857732e-6,0.44919647460167533,1.163223732578933e-5,421.4102675698536,6.69265354502957e-5,422.10445344474385,9.87738544097727e-6,-6.114079020124722,8.679322309422144e-5,-3.4540876368926186,0.0002553167694322678,527.0254796420454,2.2005045175004234e-5,434.5628725720391,4.939749578680708e-6,451.95058269682556,1.0335543635952571e-5,431.2090311093032,4.876121572542358e-6,-1.1156663141469276,1.2516073490507206e-5,0.44919647460167533,1.166690005905524e-5
-4.614386352927637,1.2664987914747794e-5,-2.5976033665743263,1.2694680752664001e-5,-7.9294284616496,1.3364659388268585e-5,-5.110822040096863,2.4984846535549555e-5,-3.9316166955759706,5.991744829879631e-6,-2.109703214871062,3.5387873192949116e-6,-3.7013201812104017,1.1537757292718887e-5,-2.4366656071565838,6.170644576056761e-6,-1.3382491904973495,8.207386604079936e-6,0.4656774917525811,9.577456423637276e-6,3.5722793954009227,3.6948395517857336e-5,6.026698697671345,3.4817604294259396e-5,-5.2485564161980545,1.1954763984958205e-5,-3.7655764686208246,6.506723949883942e-6,9.542771563549682,2.0426193896314617e-5,6.235180532914544,1.640937089893324e-5,9.39637443832753,2.4533131731185876e-5,6.134366291750895,2.3946705960753435e-5,2.128574151533271,9.214513087425491e-6,3.137369051940183,2.026898785476794e-5,6552.168797589448,0.000553647594548225,6550.0705799913085,0.0001285605591731459,-1.1939778116133195,0.0008953009364995012,-0.4230624976121702,0.003391380804741098,6604.13517805383,0.000918072448264613,6607.465389181215,0.04708281772278006,6601.148482779408,6.54115337693817e-5,6602.134153905124,1.1219886354636443e-5,-0.9485908120783572,0.0004156112451141847,-2.288336050500722,1.71334582668381e-5,422.4960934291014,0.00017442472104093942,422.44596678726447,1.6267894511992064e-5,-5.5016522966407155,0.00015318627885073434,-2.9192122622560546,0.000723816181857444,520.2074182758138,3.4847501328238997e-6,433.0241973067223,8.516426026592416e-6,451.63484972904064,3.3126702682243495e-5,430.6912362525539,8.345003016636542e-6,-0.7511834384974448,1.3054078697110061e-5,0.7331622877075398,2.179370948727888e-5,422.44544064397286,0.00012221301067965985,423.1614790763509,1.8571435713859997e-5,-5.770612934347987,0.00013972138669713808,-3.1283754696531254,0.0004521518371599553,527.5454809292963,3.7874522019158975e-5,435.5601717958675,8.875107810876748e-6,452.84571764124456,1.8989254890558473e-5,432.2196537712358,8.810177888155524e-6,-0.809616407043752,2.1394010383166683e-5,0.7331622877075398,2.189899909126325e-5
-4.101018392355447,1.9027380076359623e-5,-2.060757924773523,2.1147718298837327e-5,-7.573434640442577,2.0889190183031036e-5,-4.752867207230952,4.334207706516491e-5,-3.314240298867041,9.295049095147112e-6,-1.5446134503859694,5.866575559556608e-6,-3.1380053684405596,1.7565023383321333e-5,-1.8853584114035395,1.0330202529835741e-5,-1.058916766816297,1.3327338296902359e-5,0.7417242215714721,1.7652230675078153e-5,3.7803531316668586,6.095618325591357e-5,6.223907360399223,5.939392421582923e-5,-4.905328779266184,1.837134002511176e-5,-3.4167594257168155,1.1495160007284345e-5,9.72680538448428,3.449221483653009e-5,6.437939662288441,2.8351141636915324e-5,9.575990390345611,4.236156480165843e-5,6.33395746697521,4.11048004941561e-5,2.4244814580031813,1.56614438387237e-5,3.4331812784056943,3.808786915661555e-5,6552.487426264157,0.0003463881765507926,6550.39794182924,1.6292546140906363e-5,-0.954042916352635,0.0018329013270102657,-0.1536239841244711,0.007757086950696685,6604.429099912707,0.001353744069975742,6607.6261984873645,0.07659793581376255,6601.223921884496,0.00010698049527027464,6602.199968998041,1.8813890900712948e-5,-0.6410384789748074,0.0006853380762312388,-1.9554891742790925,3.554631989763468e-5,423.5442978244625,0.00028119558498147177,423.49723741659136,2.6670400307408082e-5,-5.144877677217573,0.00024666776688678563,-2.601166724285719,0.001229399091669392,520.7688732133726,5.878266731313975e-6,434.0326924709739,1.3495230178766637e-5,452.53905621845644,5.360396296903658e-5,431.7043282930668,1.3389673078212372e-5,-0.45117064456774275,2.2738688221803916e-5,1.017128100813404,3.8344635126637e-5,423.48061371809206,0.00019992132678480601,424.2185047079579,3.137532824981193e-5,-5.427146848571252,0.00022044882206001093,-2.802663302413632,0.0007727962052995419,528.0654822165471,6.292572503495242e-5,436.557471019696,1.3970127319966053e-5,453.7408525856635,3.184325252217068e-5,433.2302764331684,1.4024999904579394e-5,-0.5035664999405763,3.5667954333566954e-5,1.017128100813404,3.8642870026317504e-5
-3.587650431783256,2.8168353769137955e-5,-1.523912482972719,3.440998835851139e-5,-7.217440819235554,3.218572215919924e-5,-4.394912374365039,7.334833297137689e-5,-2.696863902158112,1.4194494366290832e-5,-0.9795236859008769,9.503298790253246e-6,-2.5746905556707174,2.6325905496411562e-5,-1.3340512156504953,1.6905164755052217e-5,-0.7795843431352445,2.123419307107799e-5,1.0177709513903632,3.1551832629199694e-5,3.9884268679327946,9.642723394155174e-5,6.4211160231271,9.734140375264211e-5,-4.562101142334313,2.7813132590182035e-5,-3.0679423828128067,1.9817401867960882e-5,9.910839205418878,5.688709002299675e-5,6.640698791662338,4.7138923786138597e-5,9.755606342363691,7.126212071978166e-5,6.533548642199524,6.785866016184805e-5,2.7203887644730917,2.5973281846767283e-5,3.7289935048712057,6.877737053508026e-5,6552.806054938866,0.00014995736197241262,6550.725303667172,1.2799420976750132e-6,-0.7141080210919505,0.0035777666647300453,0.11581452936322804,0.016357598913073278,6604.723021771584,0.0022140802281656337,6607.787007793513,0.10108742842630453,6601.299360989583,0.00016955328396310422,6602.265784090959,3.0091853965696914e-5,-0.3334861458712576,0.0011000102432348869,-1.6226422980574633,7.137191854561298e-5,424.59250221982353,0.00039852157787089614,424.5485080459182,3.943624969640402e-5,-4.788103057794429,0.0003885838561618904,-2.283121186315383,0.0020115039665098357,521.3303281509313,9.65105070087069e-6,435.0411876352256,1.873575580469966e-5,453.44326270787224,7.747719370686079e-5,432.71742033357975,1.9056370662626777e-5,-0.15115785063804063,3.8603784931690035e-5,1.3010939139192685,6.356406801907743e-5,424.51578679221126,0.0002932724001537257,425.2755303395649,4.8175386695261666e-5,-5.083680762794517,0.0003409502927222086,-2.4769511351741387,0.0012758066696584348,528.585483503798,0.00010092102889980303,437.55477024352444,1.9261941710754794e-5,454.6359875300825,4.8740241368856465e-5,434.240899095101,1.979123962537299e-5,-0.19751659283740067,5.804397375360759e-5,1.3010939139192685,6.435210798626745e-5
