Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	
3	20	autocor	300	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	93.75	54.35	77.17	77.17	73.91	80.43	79.07	75.51	76.4	57	3.872	cc557b2142a01f5a33671808fb8867bbb59a61677112ee27303291d3fdff7304	87.77	54.35	77.17	77.17	78.26	76.09	76.6	77.78	77.42	33	3.479	d9a18ba0965812ab25dc7ff5f0d262143dd2a741c71ad4d1c5c875a053b54dd9	78.53	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.797	1717fd9da3ab3de38b09f35a0c8ffc59bc594f15cc4ceeb08edf1e9b0d347f8e	92.39	45.65	72.83	72.83	69.57	76.09	74.42	71.43	71.91	55	3.596	08ba3926503d6bfb8b5c319cb5c1a25ec00725c6336dfa3b58befdb2c8c39cd2	87.23	54.35	77.17	77.17	76.09	78.26	77.78	76.6	76.92	33	3.465	399fecb45338c02ca4cdc8e47f7a29bde539e245e69dcb44d02368db9c25bdc4	78.53	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.819	1717fd9da3ab3de38b09f35a0c8ffc59bc594f15cc4ceeb08edf1e9b0d347f8e	99.29	44.78	72.39	72.39	70.87	73.91	73.48	71.69	72.01	25.49	281880.0	0.0	0.65	0.16	0.16	0.16	0.64	0.31	0.11	0.11	0.01	197120.0	83.243	("7a888ddcdc4ea0b0a561f8160a0ea5767e12926eee18a0c2e518344777802d80", "4ef90e91d0c26448a68d3d7f6b546ad01e9d2803bb15fa5730d6a0271c9e8cba", "65ede240c7373abadefdbb87c47f8d57381161a4d56f2fb1eace4f367fcb88be", "cc6ee6f55878fe9476a77a2f4d5940a2d3b45cd39220cb289b26e9353102a6bf", "54e57b48d6a61b69760a86b1b5691ac5b84f9777d83b52782f41f03638444d0b")	
4	20	autocor	300	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	93.75	45.65	72.83	72.83	73.91	71.74	72.34	73.33	73.12	59	3.694	c534aea36f5a0ae998ac10a9279d83c83a8155ffb6858561631d70dc487e1c64	86.41	50.0	75.0	75.0	73.91	76.09	75.56	74.47	74.73	25	3.268	8ff24b9d285b644de72f6618488bdc0a4863d1c0739267e93fccbbe9c48a78db	82.07	26.09	63.04	63.04	60.87	65.22	63.64	62.5	62.22	17	2.924	bcd72f293e2ad951e8bec5361354c6bbd97595c59a4e75524234b08cb2d6ab0b	92.12	47.83	73.91	73.91	78.26	69.57	72.0	76.19	75.0	53	3.815	6fb905bafd2af951288fe23f6fa26199c7c2cdb686ead94b58d2b3b371a341af	86.14	45.65	72.83	72.83	76.09	69.57	71.43	74.42	73.68	25	3.066	66f3080a9d2e87d2ddc1539671c92f42c1f32f23b09f04ae393a5f7c70e1e2a2	82.07	26.09	63.04	63.04	60.87	65.22	63.64	62.5	62.22	17	2.949	bcd72f293e2ad951e8bec5361354c6bbd97595c59a4e75524234b08cb2d6ab0b	99.57	48.26	74.13	74.13	70.43	77.83	76.17	72.52	73.12	25.49	274600.0	0.0	0.03	0.01	0.01	0.09	0.13	0.05	0.02	0.01	0.02	210400.0	80.164	("aa983bff7f9e20383f15e3fac715f7868e2f7c9ef1f0d38628c2c2aa2283fecf", "918fac8c1322b18973daf14eb3b4b4c3994ed63d455792a6c22ef49545156b21", "d149757565ad7769ed659e844512c5bf8e0934d5b86254b8e8f54dad6472bea6", "87ddfd18dc7d257060fe5c3335702f5d21f40aad74c79813033ec8618e442576", "c1b17f81565390cdc55e449f3677b7222c7d2872dac84a1a7dcf141cc3fb7067")	
5	20	autocor	300	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	91.58	43.48	71.74	71.74	80.43	63.04	68.52	76.32	74.0	47	3.58	d35903a4ae61e2cb0e960dd7c3413bc6a948fc922abb67751896190b02982b0b	89.4	41.3	70.65	70.65	80.43	60.87	67.27	75.68	73.27	41	3.697	41e99c3127e9be790dc7583c6aeae31e373f45d3ae7877064b42366f029bd7da	80.98	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	15	2.618	635265fe3363d095b9c04ad9296dd99a4387839b4388531c77dc25a741ce2f08	90.49	43.48	71.74	71.74	80.43	63.04	68.52	76.32	74.0	41	3.525	7edfddd60858a48b1d7e53d6b1e06cbf7f8375ca0143849f4b1ca7ee98be9f8c	88.32	41.3	70.65	70.65	80.43	60.87	67.27	75.68	73.27	37	3.684	4b00fc0f81eff9fad908ce7977cbb7ef378614d66a62afa0263709eb9ad6f9f4	80.98	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	15	2.525	635265fe3363d095b9c04ad9296dd99a4387839b4388531c77dc25a741ce2f08	99.24	50.43	75.22	75.22	79.13	71.3	73.48	77.34	76.17	25.05	285720.0	0.0	0.25	0.06	0.06	0.04	0.2	0.1	0.04	0.04	0.02	35120.0	76.067	("13144d2b2dd9945f08cb369bba414ee33eb9740c31f28b9d9a0d5420286e56e7", "061e1deab4b0c7926e6b171f03a8294c5be8602423922afc60c718c458b0b14b", "cf0c9e460c6aa07f830d47a46f5a58d196a68e420e88233d517c99b04d3f7091", "1e1b599c5f0e6c797031da5e92befc66ccfad1695f10b52dce82d4b84ca02c32", "c1bacea307767021c94dd1514fcb6e5a9632f3b4d66cc9f02615e323d50ee2ad")	
6	20	autocor	300	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	94.84	58.7	79.35	79.35	78.26	80.43	80.0	78.72	79.12	71	3.847	f67e9c095d16ab66c35d62ad1ed0605a0863bddae9c83b6d4186cf9aaec0374a	85.6	60.87	80.43	80.43	76.09	84.78	83.33	78.0	79.55	33	3.4	546dae89fe1722bf86fd563124e9b975796fa728a8759156412b48e8706ff567	82.34	63.04	81.52	81.52	78.26	84.78	83.72	79.59	80.9	19	3.155	5216525d8140af08d7788e33dd06e4c3fb1dc17d75adad3f9bf31b4d8e8ef40b	93.21	47.83	73.91	73.91	69.57	78.26	76.19	72.0	72.73	63	3.716	07badbfb60ca3d160788f2923d7265c44e28e766d7edb3d9863b047bec351df3	85.05	63.04	81.52	81.52	78.26	84.78	83.72	79.59	80.9	29	3.476	69089584c8ffd61c907d365dc11a5946608bf22b064b385e7ef515d2c1d1f8d4	82.34	63.04	81.52	81.52	78.26	84.78	83.72	79.59	80.9	19	2.995	5216525d8140af08d7788e33dd06e4c3fb1dc17d75adad3f9bf31b4d8e8ef40b	99.51	58.7	79.35	79.35	76.96	81.74	81.01	78.08	78.85	27.28	287480.0	0.0	0.17	0.04	0.04	0.11	0.23	0.15	0.05	0.04	0.01	53920.0	88.363	("d131d9f4bde2c7abda9435769cb2bc8ade7d87f24a41a7272c719229092c23e3", "7c881e02c9caabccedb4179bb975c0f252b0c812d2c0759fd524f34aeb767083", "8272dfdbe1c2b7c87c9f8e4637cca02300d2d2d9102b02b3c20eb307b8e56c47", "3597dbfc66723c64a4662b3759bbc9a220f4b05a61cfea8f35304645e3edccb7", "8acff0db58a4191f21f8569f741937bb1db85784b299d5f1e1681482ba6fbda1")	
7	20	autocor	300	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	94.84	36.96	68.48	68.48	63.04	73.91	70.73	66.67	66.67	55	4.982	62d29242c9880634a38aae35d1bb8c908bded09e0ebfc8b7474ebde0bf9cfcac	86.96	45.65	72.83	72.83	65.22	80.43	76.92	69.81	70.59	31	4.878	0cf3156d8940039f3a30e0bdd5bb833f03f81d5c6e4201d341f809317613f88c	80.98	39.13	69.57	69.57	56.52	82.61	76.47	65.52	65.0	21	4.425	761e4b4d5ffa80c12bd713184e2e3f629e00c49b04b6367bbed16a9ee411b895	92.39	43.48	71.74	71.74	65.22	78.26	75.0	69.23	69.77	47	4.85	1c82297474fc1c7c3e478283c5bbe1d6525c7a08b92141659f7f71c89378e18a	86.41	47.83	73.91	73.91	67.39	80.43	77.5	71.15	72.09	29	4.902	359d2e5c81de98ea23978bb4b71a44933254706e0b117a23a781035c3607a372	80.98	41.3	70.65	70.65	58.7	82.61	77.14	66.67	66.67	21	4.45	254971748c18261ec6e526c6ee81662cb2528d00c6a54c6da2dea2e567b5a085	99.46	46.52	73.26	73.26	59.13	87.39	82.52	68.15	68.84	25.65	281600.0	0.0	0.13	0.03	0.03	0.08	0.08	0.1	0.02	0.05	0.02	131800.0	85.403	("f2d833c6670d868671e3926a0b175f8d039c15be8776cf0c42b1213fc88245d6", "a5a45eb614755b6c9d9a517eb102afbfe4dab3844632b74fdd8ad998cb2ffa27", "b0e0dba47f19d4e6e54ad64494b157896f4dd265d2d89de184efaffd9541e8a3", "39ac8bf8c33799272ac045a9a956d47cb7c8a5f3c03ee424fc0ca3bf515a3ea7", "62ecd2907e549031f1d4d4983acf6723dca23d8f2149eaa2682c94b4ccf970c6")	
8	20	autocor	300	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	94.57	52.17	76.09	76.09	73.91	78.26	77.27	75.0	75.56	63	3.733	9e9595e217bb5352c61b440f0d3359349af7898bd22bf564ceb2b704af539b80	91.58	54.35	77.17	77.17	76.09	78.26	77.78	76.6	76.92	49	3.694	b05a52d9e1308a9c1ced9b5b97ae1dd8d158d9871c26bbfd9aba7cf55504058d	85.6	60.87	80.43	80.43	71.74	89.13	86.84	75.93	78.57	27	3.199	508b23351e62ebe6818a31610713b6bcbc558ee921c87545c8d0058fbe5b8b27	92.93	52.17	76.09	76.09	73.91	78.26	77.27	75.0	75.56	53	3.74	3aafb4533742790d49e112083b2a17d9b4157bd0b01da7f079c23eec6d717138	90.76	54.35	77.17	77.17	76.09	78.26	77.78	76.6	76.92	43	3.691	28810c0f9868c72a55b5136fa86c42e5b96f2d6ee3bf8fc588ce4d003e7b4c6e	85.33	60.87	80.43	80.43	71.74	89.13	86.84	75.93	78.57	27	3.197	92b75691ad753ff9fecb8062327b5cf30ea0c63287da5a02c89587b4d5940564	99.4	68.26	84.13	84.13	76.09	92.17	90.74	79.5	82.69	24.73	276560.0	0.0	0.13	0.03	0.03	0.19	0.04	0.04	0.08	0.06	0.02	191680.0	77.004	("dedc72e9d9b1d8f285ea67f5985c5e6328c0e545520c4e099c0cd7fa7200667e", "2c388279f2957c83af654b879954a68829396c5af65f662f9a556a1d1252ff45", "647ceb1e8c1d1f2d5b4fd0e61236f300565bb05a463520739e1e03e8b89ce213", "15159e2f6bcdd452b9a1e98e9351f533b63598390a42ce379cecf14e1b419d94", "12d136ab9cae3c4789fa0b2a7beb0d697655686a7f572f01b4c2d50d71393ff2")	
9	20	autocor	300	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	93.48	43.48	71.74	71.74	71.74	71.74	71.74	71.74	71.74	51	3.297	49f9860935410aa9d438129ddbf4c9b45407101ef415dc2404cfd2a6f0273478	88.32	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	39	3.439	40da6b4b18e60e1c090190e3370357cd3ddb3fb862a7c072cbb80801f81f8ce0	85.87	50.0	75.0	75.0	76.09	73.91	74.47	75.56	75.27	31	3.164	72ce3b295e46ad87c8406afe404f1ef2846de817f4943a5713c251c584fd5158	92.66	41.3	70.65	70.65	73.91	67.39	69.39	72.09	71.58	51	3.266	e370f0a1d28bbf891caef4b0f77c75ce43019e5f2f2695a8c03325273b5b4b8f	87.5	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	37	3.407	bbe7a5cb8178d9078cc9496bd9141cd1ad84b372da4bb2319d3a4fe273496423	85.87	50.0	75.0	75.0	76.09	73.91	74.47	75.56	75.27	31	3.186	72ce3b295e46ad87c8406afe404f1ef2846de817f4943a5713c251c584fd5158	99.57	49.57	74.78	74.78	70.0	79.57	77.43	72.62	73.52	23.7	280120.0	0.0	0.25	0.06	0.06	0.06	0.09	0.09	0.05	0.06	0.05	140520.0	80.585	("430ac3cf98f756918e25420f9625d3a8eb13f8eea211a16b6daf41b699c74557", "75c60a2355a22ead1030192bce85767b63e9f3632fe6e3eb744250c7d108034f", "5f7a30ed77754fdffd2d5926cb429d74cc92141864e737ac6bfc27c716860e3e", "80bb501aab40dc964b374cea232e292240195e4aec0aa7f25222ea30ace3b8d9", "29f197bb4e69591689a863481fe1bec4de162fe831ff4ef4a2fea67ab38dca26")	
10	20	autocor	300	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	95.38	56.52	78.26	78.26	78.26	78.26	78.26	78.26	78.26	63	4.134	b347a2091454e23a7b6eb8076cf20106e093d38dbb5d647a1569b5912a5a1a03	91.3	56.52	78.26	78.26	80.43	76.09	77.08	79.55	78.72	49	4.209	18b14035766bb8b3daf6d282c80e10bca4df6b91d2da11a8dbe7de486993173a	88.86	58.7	79.35	79.35	80.43	78.26	78.72	80.0	79.57	41	4.158	3358c1cab7bce25d170219efc4e3f1662dd193f75d235212dbc99db3d89d48c6	93.75	56.52	78.26	78.26	78.26	78.26	78.26	78.26	78.26	59	4.349	2ad61975908c64545bb738677be952f9c704f0d9344f2676cad0afeaa4391629	90.22	56.52	78.26	78.26	80.43	76.09	77.08	79.55	78.72	47	4.2	d4230517ff817a2c21f7eaa732f9c81e25bd2f191daffd551b2e3e68b6a37a19	88.86	58.7	79.35	79.35	80.43	78.26	78.72	80.0	79.57	41	4.14	3358c1cab7bce25d170219efc4e3f1662dd193f75d235212dbc99db3d89d48c6	99.67	61.3	80.65	80.65	83.48	77.83	79.04	82.49	81.19	27.17	288240.0	0.0	0.17	0.04	0.04	0.04	0.08	0.05	0.04	0.04	0.02	148480.0	85.753	("b0ea5a3dba9168757249d4363e362b593c16dcfdf986f3422503fd7f826e118f", "6c11b611771e7fd2c0653ffdea5c8674974e73cfc7fff468fe276db634f48754", "6b70cc0e21047dacab3a9957a420be4ab667f8c578987505b5a4a24c13ab9156", "ce18e78db00d8e693dd915970922593c389b1c92de884895abd64f7c5c74b3e0", "de3efbe962b8945b79c7839f98f941f0990fbc0007e126e8ed1f001281e69871")	
1	20	fft	200	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	95.92	34.78	67.39	67.39	63.04	71.74	69.05	66.0	65.91	77	5.206	1cef8344bb875dc1febcc532a6c66064b4f653df0175265e01f3a8c06a6a29b1	85.05	52.17	76.09	76.09	69.57	82.61	80.0	73.08	74.42	25	3.817	187c6d1265256d744c65d22e964192da04322af8a562289457c9a5cca2e65807	78.26	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.875	c12cff1fc577f007b3afbe5ffaac5775be38dce7435378c53dc4a0ef44b80d93	94.57	30.43	65.22	65.22	63.04	67.39	65.91	64.58	64.44	65	4.264	96ce376cf244ad4639a4c9e0de6a418a38aaea7f253175829b0cea77e445ece7	85.6	52.17	76.09	76.09	69.57	82.61	80.0	73.08	74.42	27	2.905	95c81b7bb2c97783f3e1ff10168a04a017eb1a854849b71424ab5ab7f8a09b4d	78.26	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.933	c12cff1fc577f007b3afbe5ffaac5775be38dce7435378c53dc4a0ef44b80d93	99.46	45.22	72.61	72.61	63.48	81.74	77.85	69.14	69.85	23.86	282400.0	0.0	0.15	0.04	0.04	0.1	0.2	0.13	0.02	0.04	0.02	126600.0	82.693	("62cd9b948b0305e481776d907d810be9a9dccb1ca9a077bbe7076ed4e161fb20", "6b735e6c0b79ef56b0bf6fbf01306c3bd24c2e792ea4451625dbd8d047b91e62", "1cacfb100741a17927cda10a70fd5f9a1ccde688132f304ee0a769420c7ce59c", "90f21cf73bdf8e66b62396abfeb6b789dec85c0b240c9c69c7e29d886983b1c0", "ee709961b9b17385a9a5c02bd87e52d3eb50c358a1c0f57173421626338a4d52")	
2	20	fft	200	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	97.01	41.3	70.65	70.65	73.91	67.39	69.39	72.09	71.58	69	3.86	177d9069643af7d055b79c89ba2380dea462e1f45ce733496878471f60e67282	88.59	41.3	70.65	70.65	82.61	58.7	66.67	77.14	73.79	39	3.546	efd4582ad964b0baf9be46500258482d06cfc695e4c5de37817854d94c41ee2d	82.61	45.65	72.83	72.83	78.26	67.39	70.59	75.61	74.23	21	2.945	aa8b29a8592a0221db2a6968d7996fe24851746d5fad21dc60074692f729a1f9	94.57	34.78	67.39	67.39	71.74	63.04	66.0	69.05	68.75	59	3.292	566a05cd4538330e22318d7a726f76a35d654734a5553adb9cd6de95596b1769	87.5	36.96	68.48	68.48	82.61	54.35	64.41	75.76	72.38	35	3.46	3660ab6198603a4aada63de26492ca7ccad3e8a933ee8b25dc976ddb0b47e5bb	82.61	45.65	72.83	72.83	78.26	67.39	70.59	75.61	74.23	21	2.943	aa8b29a8592a0221db2a6968d7996fe24851746d5fad21dc60074692f729a1f9	99.62	54.78	77.39	77.39	72.17	82.61	80.54	74.84	76.12	27.61	290560.0	0.0	0.46	0.11	0.11	0.17	0.07	0.11	0.12	0.14	0.02	186680.0	94.564	("714a99d85ef8e5895c52227bd748adca0770ee796f71f3faa0aa093defe30bce", "1d1b146aafcd7cf74fba1c484e0c068cce610f2417594e412f7e59bd71636ad2", "c06985bf1020a0189ea605254c5c1cbf02bed0eba442098d5b46ee47309cb61f", "776de071740a121b4499242d1dc5b97843dcb2cd7a01094c32809fab98b0c2aa", "ad617a1edca605f55c5524db6431c75997e9edf4b2f87730b258190a562e03c4")	
3	20	fft	200	700	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	93.75	54.35	77.17	77.17	73.91	80.43	79.07	75.51	76.4	57	3.699	0eec3ac00e3f3c0cfedfaa795b668064042496065d345970be7f1d05ce39cb39	87.77	54.35	77.17	77.17	78.26	76.09	76.6	77.78	77.42	33	3.548	4ad391de3eef44ec58c53d11e62ac0b757886cc6b152dc698e7cf4ad32016703	78.53	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.891	98427f60493bacb183998c72e16a87ff1d598a57307e438b485542146a1ea31c	92.39	45.65	72.83	72.83	69.57	76.09	74.42	71.43	71.91	55	3.511	c484082f91b4ce8e18004d743c1cc8ffbf73ef6679a3c4dfedeaeb25bc95f8b7	87.23	54.35	77.17	77.17	76.09	78.26	77.78	76.6	76.92	33	3.44	785c4a1d28dd2c43cc2af29ee55384ba6593fa3306395734fc2e616ddfd9eb79	78.53	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.811	98427f60493bacb183998c72e16a87ff1d598a57307e438b485542146a1ea31c	99.24	44.78	72.39	72.39	70.87	73.91	73.48	71.69	72.01	25.05	281840.0	0.0	0.65	0.16	0.16	0.16	0.64	0.31	0.11	0.11	0.01	195480.0	85.011	("c3f6d67beeaa82c7bc6bf2d77932ff5ff4829398dcea325ce644ef74e5f87931", "58cfc1fe5fb5bea48f74e40c656f8059904ecf205f6f33f73d048e772b5f2ead", "6452551efc708d427f5dc36b112bf4ab1c569e62e5d4551d5a890dbe3eed5095", "3089808e1cc5c298a67543b28ff5439d77971f4ffdccff1bd553f757944362f7", "762b8a1f367b761f54a14a731266892e6e705a9ede0827b14cbff8bd6587e358")	
