Dataseed	Params-combination	T(entropy,2,0.01,0.4)	T(entropy,2,0.01,0.5)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.4)	T(entropy,4,0.01,0.5)	T(entropy,4,0.01,0.6)	T(gini,2,0.01,0.4)	T(gini,2,0.01,0.5)	T(gini,2,0.01,0.6)	T(gini,4,0.01,0.4)	T(gini,4,0.01,0.5)	T(gini,4,0.01,0.6)	RF(1.0,50,half,all)	RF(1.0,50,half,all)σ²	RF(1.0,50,half,all)t	RF(1.0,100,half,all)	RF(1.0,100,half,all)σ²	RF(1.0,100,half,all)t	
1	false,false,(120,100),Any[],false,stump_with_memoization,40,TestOp_80	(29.17, 64.58, 62.5, 66.67, 65.22, 64.0, 63.83, 29, 0.6597222222222222, 0.5711805555555556, 46.343, bc4cd7b52f8631a7af13d768701ef75f565441e9fc76bc676747e29861594c39)	(41.67, 70.83, 66.67, 75.0, 72.73, 69.23, 69.57, 15, 0.7000000000000001, 0.6625000000000001, 12.467, 3b16545fe4526923d80c0361c4c5845d88c0be788010eafb34eb007b30f7e885)	(45.83, 72.92, 70.83, 75.0, 73.91, 72.0, 72.34, 11, 0.7000000000000001, 0.6625000000000001, 11.688, f0205e7af891aa4c254292c8650ba3c57110644a4fa8b5a05bc1ade4c2d7c1f8)	(29.17, 64.58, 58.33, 70.83, 66.67, 62.96, 62.22, 25, 0.6597222222222222, 0.5711805555555556, 15.398, e27e18f965950b28d89b587632596610ed77e6fa593b66bfcc1ffe51a1672f97)	(41.67, 70.83, 66.67, 75.0, 72.73, 69.23, 69.57, 13, 0.7000000000000001, 0.6625000000000001, 12.428, dd098da56c34a1a326881606ddcef3c865fc969cb894e9e7f3b83590c678bf94)	(45.83, 72.92, 70.83, 75.0, 73.91, 72.0, 72.34, 11, 0.7000000000000001, 0.6625000000000001, 11.658, f0205e7af891aa4c254292c8650ba3c57110644a4fa8b5a05bc1ade4c2d7c1f8)	(54.17, 77.08, 66.67, 87.5, 84.21, 72.41, 74.42, 9, 0.8208333333333334, 0.6864583333333334, 12.311, 86ba3b2d3f3539635af7849cd9e24980ab6881a5da40fb2edf9ffde90027f30b)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.009, c27a108e1c1ed531fa1e26b1ab33df6c7737044d9b8c4d7d5634d968b282650d)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, c27a108e1c1ed531fa1e26b1ab33df6c7737044d9b8c4d7d5634d968b282650d)	(54.17, 77.08, 66.67, 87.5, 84.21, 72.41, 74.42, 9, 0.8208333333333334, 0.6864583333333334, 11.042, 86ba3b2d3f3539635af7849cd9e24980ab6881a5da40fb2edf9ffde90027f30b)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, c27a108e1c1ed531fa1e26b1ab33df6c7737044d9b8c4d7d5634d968b282650d)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, c27a108e1c1ed531fa1e26b1ab33df6c7737044d9b8c4d7d5634d968b282650d)	(30.0, 65.0, 55.83, 74.17, 68.45, 62.71, 61.42, 0.0, 148040.0)	(0.0012152777777777748, 0.0003038194444444437, 0.0013888888888888907, 0.0012152777777777756, 0.0006114955786236062, 0.00027570191413795803, 0.0006051684925010687, 0.0, 818.8)	(0.0, ("6a47e43828974cfc6a89ae628dcbc7de47b3a0790325ee464ea80ddf8f323b32", "d20cccae80f600cc9a5dfc633183ddc00db01640f60c0672f7c07f1f56121053", "3fcb8e39a40348cf21c019979c28e06e6d7245b5ca57db232afa8c3080988cfc", "031c74d90821bdc31fcc9fc3dd93a4180a8a102436ff8088246f0774853a8085", "51a694d660d6b428e6c41201d989c32dc9685e82f2a773d86ce8a61e5012a5fa"))	(26.67, 63.33, 55.0, 71.67, 66.0, 61.47, 59.95, 29.05, 297720.0)	(0.0005208333333333352, 0.0001302083333333338, 0.0012152777777777793, 0.0003472222222222216, 8.333333333333275e-5, 0.0001940245233896036, 0.0004920509985445054, 0.0006565096952908582, 1463.2)	(773.259, ("fbb5954336885b94140f63785e340b3b0db65eb55fb4739df1fe9092591fc85e", "fa4dbaf88515239a476ffeeb94a074cdca3f8932310af39fb01644e876cc2fff", "6e2ca935bdc4eb5c9a12d8eebebb9f46dc35eeb27b6a8577f0ba9bb28d9538d1", "9ac02677ddf44e8f75ec6b4f9b3d33e94b5720884100c7ca80a27121bc55b72e", "50e18abd41fa019702269e174365298e6b77b42700d69bfda1c4f128b7f3f41c"))	
2	false,false,(120,100),Any[],false,stump_with_memoization,40,TestOp_80	(6.88, 54.17, 34.78, 72.0, 53.33, 54.55, 42.11, 21, 0.6333333333333334, 0.5458333333333334, 18.999, 18396f768a77269d26404f9b5e7142f35e99f1a64b42f6abc661207df0059b44)	(11.27, 56.25, 39.13, 72.0, 56.25, 56.25, 46.15, 13, 0.6333333333333334, 0.5458333333333334, 12.122, 7b237f32696eea228cf85d4277d8d9b0d0346b71edd1d7e0308e70f23a810a45)	(10.95, 56.25, 34.78, 76.0, 57.14, 55.88, 43.24, 11, 0.6333333333333334, 0.5458333333333334, 11.965, 7d6a8b67e679b3f929cc167664f7b2140ad03e3dca55cf474f8351e3fa970fda)	(3.16, 52.08, 39.13, 64.0, 50.0, 53.33, 43.9, 17, 0.6333333333333334, 0.5458333333333334, 13.356, f104391c66651bc43c694ff329144d1048b047ef87758f0b972f580c4eba7322)	(11.27, 56.25, 39.13, 72.0, 56.25, 56.25, 46.15, 13, 0.6333333333333334, 0.5458333333333334, 12.071, 7b237f32696eea228cf85d4277d8d9b0d0346b71edd1d7e0308e70f23a810a45)	(10.95, 56.25, 34.78, 76.0, 57.14, 55.88, 43.24, 11, 0.6333333333333334, 0.5458333333333334, 11.774, 7d6a8b67e679b3f929cc167664f7b2140ad03e3dca55cf474f8351e3fa970fda)	(15.34, 58.33, 39.13, 76.0, 60.0, 57.58, 47.37, 7, 0.6333333333333334, 0.5895833333333333, 6.378, 32440828089ae05a9175888aa8bde1d01c174ef0f299ec43f9b201abc71b207c)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, d29f189fa02527a1ef280117d0720cbcb013313a86e2a16691b7af0a278cf107)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, d29f189fa02527a1ef280117d0720cbcb013313a86e2a16691b7af0a278cf107)	(15.34, 58.33, 39.13, 76.0, 60.0, 57.58, 47.37, 7, 0.6333333333333334, 0.5895833333333333, 6.128, 32440828089ae05a9175888aa8bde1d01c174ef0f299ec43f9b201abc71b207c)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, d29f189fa02527a1ef280117d0720cbcb013313a86e2a16691b7af0a278cf107)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, d29f189fa02527a1ef280117d0720cbcb013313a86e2a16691b7af0a278cf107)	(31.79, 66.25, 53.91, 77.6, 68.85, 64.69, 60.45, 0.0, 155880.0)	(0.0030700834204904536, 0.0007378472222222218, 0.0015122873345935705, 0.0004800000000000008, 0.001121709705372924, 0.0005474246024331948, 0.0013264503501182346, 0.0, 403.19999999999993)	(0.0, ("b6f7308caf717e426fd31282c4d4284a9541ba97c84fd1f707eecb25f3830ba5", "2cb044f64d3501a31482ba139b2d68b5c664a20ecbe4be19a75484c0f67da061", "c17169209670e8978553154d983a10040b08f5fa562cf0552fd3ad9ebe264281", "e8d870a941a62dfdaf8881670827a05e35e517c12e92a434c558b80c92ca81eb", "83252f98c1457bd04a476db099cb20510d2fc6b908b020a633fad645969f4416"))	(30.06, 65.42, 52.17, 77.6, 68.25, 63.81, 59.11, 33.16, 311080.0)	(0.006720845863731572, 0.0016493055555555564, 0.0018903591682419634, 0.00208, 0.0033601916255189368, 0.0009837349317255906, 0.0022718953732593565, 0.0003462603878116348, 181.20000000000002)	(709.737, ("6392114040fb139b8adaf03c4dfd76fb065ac8030fbf3a54391e8635d74fe5ed", "920cc40b79f04ac9282c81f71e51186de06264aba11e3f17c6594e0618d176e1", "d3c1bd4bb6363dd7f1e915dab2cc657dea794834aede8f31eff7bb6a135a7f7b", "112e98ae49a44ec339267a0edf046d9aa4224da3b355b3ecf143d0ad47fd2aa5", "5bb5a08697ed7494e95fef4df660366999d814f7739797d87bee377431291737"))	
3	false,false,(120,100),Any[],false,stump_with_memoization,40,TestOp_80	(37.72, 68.75, 73.91, 64.0, 65.38, 72.73, 69.39, 31, 0.8208333333333334, 0.6864583333333334, 19.271, e22108471f734af825b88712568de67a0a6088c2fcbdfeca50b6a67525e35c78)	(41.57, 70.83, 69.57, 72.0, 69.57, 72.0, 69.57, 19, 0.8208333333333334, 0.6864583333333334, 11.317, 04f0df51ccef061825fd7b3f908ea27680619acc8ed8f6545f747fa5d8a50edc)	(41.57, 70.83, 69.57, 72.0, 69.57, 72.0, 69.57, 17, 0.8208333333333334, 0.6864583333333334, 10.886, e2818cc3d0ef3031718122878ddb4f35d90568457379bf48d1bc0d36484bd450)	(33.45, 66.67, 69.57, 64.0, 64.0, 69.57, 66.67, 31, 0.8208333333333334, 0.6864583333333334, 13.54, c2b82e8f2355264cf88271ae106d784c53862341f444036b03af67c077e1a7f0)	(41.57, 70.83, 69.57, 72.0, 69.57, 72.0, 69.57, 19, 0.8208333333333334, 0.6864583333333334, 11.234, 04f0df51ccef061825fd7b3f908ea27680619acc8ed8f6545f747fa5d8a50edc)	(41.57, 70.83, 69.57, 72.0, 69.57, 72.0, 69.57, 17, 0.8208333333333334, 0.6864583333333334, 10.868, e2818cc3d0ef3031718122878ddb4f35d90568457379bf48d1bc0d36484bd450)	(41.36, 70.83, 65.22, 76.0, 71.43, 70.37, 68.18, 9, 0.7732142857142857, 0.7102678571428571, 10.292, 04f7f8cc5e02494da5215f4756f20c93db7b7997b64a89ed98de93f34be11c29)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, 2e53d9952aee32e796648b5b5f27872036b349b07a49b488239bd389df13eacf)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.001, 2e53d9952aee32e796648b5b5f27872036b349b07a49b488239bd389df13eacf)	(41.36, 70.83, 65.22, 76.0, 71.43, 70.37, 68.18, 9, 0.7732142857142857, 0.7102678571428571, 9.989, 04f7f8cc5e02494da5215f4756f20c93db7b7997b64a89ed98de93f34be11c29)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, 2e53d9952aee32e796648b5b5f27872036b349b07a49b488239bd389df13eacf)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, 2e53d9952aee32e796648b5b5f27872036b349b07a49b488239bd389df13eacf)	(45.81, 72.92, 73.04, 72.8, 71.59, 74.63, 72.14, 0.0, 153440.0)	(0.0023592963963621257, 0.0006510416666666666, 0.0013232514177693774, 0.005920000000000003, 0.0020444858918117668, 0.00012179503413121699, 0.00017488123943834588, 0.0, 674.8)	(0.0, ("df33166ead26e290c53cfced53ba60231d1576d8c4180951041f47052ff38e9b", "b1899a00cb25872902de999c756f11b2808ed67ade15d975517afb4b1c78a481", "853ff441f5a336b08ec89b2fc877d35b6b599f3c34eb7f648d64303855b13046", "8093f83a762681f8c64151e612973011ee19d9eef9fdc30d319c1b2395eb1732", "ea87576949d5972e2db05a23bf88dcea9be41c837a4172ac4e5cb7280baffd3e"))	(44.94, 72.5, 72.17, 72.8, 70.94, 74.07, 71.52, 33.68, 307160.0)	(0.0012640218456969603, 0.0003038194444444437, 0.0015122873345935742, 0.0003200000000000005, 0.00020273399921191666, 0.0006996064920974053, 0.0005148243316373469, 0.00036011080332409997, 362.8)	(746.855, ("d00598b08b37edc4bdffab0751730b765cf3fa4e41dc07dde80ef06e2e5bd64f", "b70c2efa40766bc3ebcec5ad5b500a0e6fa392e3d5f147c860f49d99fcf27520", "bb1fb31b580822de61e22e50918f1587f09727393592a747f7bd89d33dbb2ced", "523230ec9ceaa47fcb8ab710c8fb2c387e795f7c9d4b24f298d910f95429f13a", "759aea3c54f257d6daf51bdb9a28343180ee1ca673754f2b29ec9fcf372ec645"))	
4	false,false,(120,100),Any[],false,stump_with_memoization,40,TestOp_80	(32.98, 66.67, 60.87, 72.0, 66.67, 66.67, 63.64, 27, 0.7486111111111111, 0.6434027777777778, 31.205, cfb15061d276390b7a24ba6bb355f31f729d5319faaf6aeb3fe9f019a5d76022)	(37.28, 68.75, 65.22, 72.0, 68.18, 69.23, 66.67, 15, 0.6433333333333333, 0.6008333333333333, 17.461, 333fa40ea96bf7c57d1cc6df465087ed78eb192f2aee3b5f4403c3b469c188df)	(28.17, 64.58, 47.83, 80.0, 68.75, 62.5, 56.41, 9, 0.6006410256410256, 0.5895833333333333, 13.124, 042ec4215dc4a5d4b2a42a441364b799c833575ed2de305ec8d7a6d41bb6b40a)	(41.36, 70.83, 65.22, 76.0, 71.43, 70.37, 68.18, 29, 0.7486111111111111, 0.6434027777777778, 21.828, 11a96ab6becb793cafaeb7241c293ffb58bad62e0ae9e66a14d6008730954234)	(37.28, 68.75, 65.22, 72.0, 68.18, 69.23, 66.67, 15, 0.6433333333333333, 0.6008333333333333, 17.846, 333fa40ea96bf7c57d1cc6df465087ed78eb192f2aee3b5f4403c3b469c188df)	(28.17, 64.58, 47.83, 80.0, 68.75, 62.5, 56.41, 9, 0.6006410256410256, 0.5895833333333333, 13.095, 042ec4215dc4a5d4b2a42a441364b799c833575ed2de305ec8d7a6d41bb6b40a)	(32.28, 66.67, 47.83, 84.0, 73.33, 63.64, 57.89, 7, 0.6465909090909091, 0.6542613636363637, 9.947, 37824808a385ea48af4b8d132fb6e7617d92000789d78e7f9a72f1b30813c6d0)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, ee776f7a1d173aae7f1c060046f0a933e3e1a34d5919a41971d8d3f806da5512)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, ee776f7a1d173aae7f1c060046f0a933e3e1a34d5919a41971d8d3f806da5512)	(32.28, 66.67, 47.83, 84.0, 73.33, 63.64, 57.89, 7, 0.6465909090909091, 0.6542613636363637, 10.078, 37824808a385ea48af4b8d132fb6e7617d92000789d78e7f9a72f1b30813c6d0)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.0, ee776f7a1d173aae7f1c060046f0a933e3e1a34d5919a41971d8d3f806da5512)	(0.0, 52.08, 0.0, 100.0, NaN, 52.08, 0.0, 1, -Inf, -Inf, 0.001, ee776f7a1d173aae7f1c060046f0a933e3e1a34d5919a41971d8d3f806da5512)	(35.74, 67.92, 66.96, 68.8, 66.42, 69.49, 66.6, 0.0, 153680.0)	(0.007552442724022699, 0.0018663194444444435, 0.004347826086956516, 0.0027199999999999993, 0.0020098399405824004, 0.0021414158801571406, 0.0024218579377375308, 0.0, 353.19999999999993)	(0.0, ("8ea115f64c7a41619e0f4da927d35860f17504400a52cf28e6b1e751bcf7f806", "54f9aab2b345eaba75932bb1f5497fb231c90db45441f96ad0a6be06d1b5c4ba", "6cab1e7cd237db3b42a42b133323015f75e284f9926a4925e3e15e2e918934f2", "4c9f2b5ffc599f86e21f13bde4eed984e115c1cfff2c0c952adcab980c1f1cb5", "f1fe04bab414fea95811fe38d941976a4651a1f903791063a49fedfa8d2ea8bc"))	(44.81, 72.5, 68.7, 76.0, 73.07, 72.44, 70.61, 31.51, 307280.0)	(0.009560969349987715, 0.0024739583333333324, 0.0022684310018903564, 0.008800000000000002, 0.004795662861385857, 0.0013025362310723253, 0.0018394834339691781, 0.0005289369033524741, 889.2)	(701.381, ("bbef0571b75e6f8fc679ddb4b949523a3f0a910848862efe401e3c2e945228b6", "eb8493bf597b536a24c6e0ae349f441213bdd3d8dbca9b734ef79c0b80a2c3be", "f288134f69823d21182430afb0cf1d25870045ac935ccd2c782ea99983a3a815", "61d8bd5f7885496c29f47ef79284cd1ccd0d7f530c5cef02f60c277a76b71a92", "dd5eff07109e98d238954dfa47f0c4644237d88c8088bac48875b95328f29d57"))	
5	false,false,(120,100),Any[],false,stump_with_memoization,40,TestOp_80	(37.28, 68.75, 68.18, 69.23, 65.22, 72.0, 66.67, 31, 0.8208333333333334, 0.6864583333333334, 17.023, 59c4e335900fff31e3b53f1f200df212a2a3ac0c075b7c9eb3b4c8a37a82ca65)	(28.92, 64.58, 63.64, 65.38, 60.87, 68.0, 62.22, 25, 0.8208333333333334, 0.6864583333333334, 12.741, d78296c0c1003f6c5581b4bf750b4c82168e4988d0aa68091c011e0e3c694890)	(25.52, 62.5, 68.18, 57.69, 57.69, 68.18, 62.5, 17, 0.8208333333333334, 0.6864583333333334, 11.698, b1d4c2967acedc87c087b3b481904b88352f980991aa7acadf877080cf4cd9a4)	(36.84, 68.75, 63.64, 73.08, 66.67, 70.37, 65.12, 31, 0.8208333333333334, 0.6864583333333334, 13.641, d82b862304508bdd2ca97520156231b4aef397b9bb0060f858b1bc00315ef2b1)	(28.42, 64.58, 59.09, 69.23, 61.9, 66.67, 60.47, 25, 0.8208333333333334, 0.6864583333333334, 12.531, 8396828d8de4d95f8c3a822e7306993c9abc0f85ca16af4702cb95b02dd24fc1)	(25.52, 62.5, 68.18, 57.69, 57.69, 68.18, 62.5, 17, 0.8208333333333334, 0.6864583333333334, 11.705, b1d4c2967acedc87c087b3b481904b88352f980991aa7acadf877080cf4cd9a4)	(40.43, 70.83, 59.09, 80.77, 72.22, 70.0, 65.0, 11, 0.6801666666666666, 0.6502916666666666, 6.533, cadc8399e40ff2e221eb1867ce986b8a5138837afe52ab7cdc58a2914157322e)	(0.0, 54.17, 0.0, 100.0, NaN, 54.17, 0.0, 1, -Inf, -Inf, 0.001, bde22b4936f74cadfadad810e73091186ab2986f3657b8e192addbbfd9f1a233)	(0.0, 54.17, 0.0, 100.0, NaN, 54.17, 0.0, 1, -Inf, -Inf, 0.0, bde22b4936f74cadfadad810e73091186ab2986f3657b8e192addbbfd9f1a233)	(40.43, 70.83, 59.09, 80.77, 72.22, 70.0, 65.0, 11, 0.6801666666666666, 0.6502916666666666, 6.131, cadc8399e40ff2e221eb1867ce986b8a5138837afe52ab7cdc58a2914157322e)	(0.0, 54.17, 0.0, 100.0, NaN, 54.17, 0.0, 1, -Inf, -Inf, 0.0, bde22b4936f74cadfadad810e73091186ab2986f3657b8e192addbbfd9f1a233)	(0.0, 54.17, 0.0, 100.0, NaN, 54.17, 0.0, 1, -Inf, -Inf, 0.001, bde22b4936f74cadfadad810e73091186ab2986f3657b8e192addbbfd9f1a233)	(42.38, 71.67, 62.73, 79.23, 72.05, 71.54, 66.98, 0.0, 159920.0)	(0.0031241434146201262, 0.0007812499999999996, 0.0014462809917355345, 0.001923076923076924, 0.0018266067493751064, 0.0005264631978807217, 0.0009449080107446129, 0.0, 321.2)	(0.0, ("e3111371c396a59d1cf8a7457dac6c97b7e44591651168951a41d59551fac00c", "a65ca9519c8894c1f83d83694862bf139f3234230e504b23b69a7f9e3721a2fe", "99f817ee864383439dac32a8bd522c918b6dbeada98707144a7d60f6d6fc6eed", "05ba6176ac0d531acd448e8d36e0d71adb6a2a1ea7e9d099839f28e16504e911", "567f887a34dae238f3a93fc22a0d422d6f6c5b61ef48927497a7a5f259edad9c"))	(50.04, 75.42, 67.27, 82.31, 76.4, 74.81, 71.51, 34.32, 319760.0)	(0.009222041494169757, 0.002256944444444442, 0.002479338842975208, 0.0026627218934911208, 0.003944564139393319, 0.00148625030670215, 0.002846456528278575, 0.0003379501385041554, 486.8)	(632.188, ("558d7e33bb9463506c93c87c2527f3829885fe01c0e4fb981e39910fc17f8395", "09742d4cc627faaf8ff800f7a06662f5726320aa7273ac0762fd41951f1dedd6", "abfe9e05e041824f94a657b291ab3d4436b37b49105bccae1c396d63681308ba", "655c6800a8ae6d7a1d422382488cb35c2431caca9b6f5e51a1f1ab0c23969559", "35c5d3dde2f191bb3a0f0e22a6dc8f49ce7934197ea31af5d53fcedebc53046b"))	
6	false,false,(120,100),Any[],false,stump_with_memoization,40,TestOp_80	(16.67, 58.33, 62.5, 54.17, 57.69, 59.09, 60.0, 23, 0.6016666666666666, 0.5279166666666666, 14.499, 3a0b3275bac08a5c7d203e4c051afd063d4e66daea9c386b140fee56e858f266)	(16.67, 58.33, 62.5, 54.17, 57.69, 59.09, 60.0, 15, 0.5844298245614035, 0.5490679824561403, 8.649, 83881de6f4cb64c16061d8ec3dfe653db9af3be09da605f9b8f7e7036c861390)	(16.67, 58.33, 54.17, 62.5, 59.09, 57.69, 56.52, 7, -Inf, -Inf, 5.091, 0b57b1d4f1c4c9aaf790dc39a3b05d603df41ba78a33a3105e05bd8e2ebae2e7)	(16.67, 58.33, 62.5, 54.17, 57.69, 59.09, 60.0, 21, 0.6016666666666666, 0.5279166666666666, 12.922, 231af808dd6ac65a2c1991521756b78227c9c07a9d6206edcb395a2db737bec3)	(16.67, 58.33, 62.5, 54.17, 57.69, 59.09, 60.0, 13, 0.5844298245614035, 0.5490679824561403, 8.171, 265183684ef0137c130c678bb1b26bac15b3a2674ff68efee9e74bb0f04b4534)	(16.67, 58.33, 54.17, 62.5, 59.09, 57.69, 56.52, 7, -Inf, -Inf, 4.598, 0b57b1d4f1c4c9aaf790dc39a3b05d603df41ba78a33a3105e05bd8e2ebae2e7)	(16.67, 58.33, 54.17, 62.5, 59.09, 57.69, 56.52, 7, -Inf, -Inf, 4.819, 0b57b1d4f1c4c9aaf790dc39a3b05d603df41ba78a33a3105e05bd8e2ebae2e7)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, a7e2818e9f4a9d11df884cdbebf9d751d4c6be547156be3a6a2969e2081ba957)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, a7e2818e9f4a9d11df884cdbebf9d751d4c6be547156be3a6a2969e2081ba957)	(16.67, 58.33, 54.17, 62.5, 59.09, 57.69, 56.52, 7, -Inf, -Inf, 4.793, 0b57b1d4f1c4c9aaf790dc39a3b05d603df41ba78a33a3105e05bd8e2ebae2e7)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, a7e2818e9f4a9d11df884cdbebf9d751d4c6be547156be3a6a2969e2081ba957)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, a7e2818e9f4a9d11df884cdbebf9d751d4c6be547156be3a6a2969e2081ba957)	(41.67, 70.83, 60.0, 81.67, 76.99, 67.35, 67.09, 0.0, 148920.0)	(0.001736111111111108, 0.000434027777777777, 0.005729166666666668, 0.003125000000000001, 0.0015544310883914738, 0.000979585126600553, 0.0016230139417765764, 0.0, 353.19999999999993)	(0.0, ("6b9445c5d7c542a126592336436af8315ce76f7576cf5d0e121da8d04bde659d", "afc64791c76215da6fb6b53d729a2335d27f3a9aa514bf7b5d897b950708c3b3", "b2f1b5e82303c80181984d57ce6762e9967733755948baf2ad6cd22771aa3093", "2973987ad984d933db5b92f619fa9669e73a8ea1e76a00b1a7b47932ad76c579", "1a76c4d786c5aeafdebc7692dd5514b14695a4b4ff6797eb05f7ce21bb556673"))	(43.33, 71.67, 62.5, 80.83, 77.28, 68.33, 68.79, 29.37, 296240.0)	(0.003993055555555557, 0.0009982638888888892, 0.0026041666666666665, 0.007465277777777782, 0.004225343473030952, 0.00043598738570174993, 0.0008044384951464718, 7.479224376731349e-5, 602.8)	(623.169, ("43de1d9a0d76e6b5080c053e168530c83d23478b7ff1b018dc6a1ae0b46ed732", "6dd53e851fe2f9b5658dd934a305ee5399bf8a64681316273d2a66415da07cf1", "16d28b1b1c289f8951554b2f7a7f9c88855e8258bbc30a7e937308241559c41a", "acc27dde83afbfdbe5f6a912f24d968a4d588d81c214dcd716261abb024aa33e", "2cfdefecb5e124874af9d7b6d1116ab8619b079f56092dc2472e83da52218aba"))	
