Dataseed	Params-combination	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.6)	T(entropy,2,0.01,0.7)	T(entropy,4,0.01,0.7)	T(gini,2,0.01,0.3)	T(gini,4,0.01,0.3)	T(gini,2,0.01,0.4)	T(gini,4,0.01,0.4)	RF(0.7,50,half,all)	RF(0.7,50,half,all)σ²	RF(0.7,50,half,all)t	RF(0.7,100,half,all)	RF(0.7,100,half,all)σ²	RF(0.7,100,half,all)t	
1	false,true,true,(120,100),Any["NG","Normalize"],false,stump_with_memoization,40,TestOp_80	(31.82, 65.91, 68.18, 63.64, 65.22, 66.67, 66.67, 9, 0.8363636363636364, 0.7136363636363636, 34.44, 18ce7dd295e29664a4cd9215e3a701b60c13d299ab3841af92f12ab7d52b82eb)	(31.82, 65.91, 68.18, 63.64, 65.22, 66.67, 66.67, 9, 0.8363636363636364, 0.7136363636363636, 10.942, 18ce7dd295e29664a4cd9215e3a701b60c13d299ab3841af92f12ab7d52b82eb)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.011, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(45.45, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 11, 0.8363636363636364, 0.7136363636363636, 13.513, cfdf74c8cab11525b396c84c2ba4bf36acee743d9205fc315b5db3a5e41e7539)	(45.45, 72.73, 72.73, 72.73, 72.73, 72.73, 72.73, 11, 0.8363636363636364, 0.7136363636363636, 10.313, cfdf74c8cab11525b396c84c2ba4bf36acee743d9205fc315b5db3a5e41e7539)	(36.36, 68.18, 63.64, 72.73, 70.0, 66.67, 66.67, 9, 0.8363636363636364, 0.7136363636363636, 8.796, 110ef2547afb7cf87016e7b0cbedfefbf0707a57ed9223b3e7c1231c8c54f917)	(36.36, 68.18, 63.64, 72.73, 70.0, 66.67, 66.67, 9, 0.8363636363636364, 0.7136363636363636, 8.645, 110ef2547afb7cf87016e7b0cbedfefbf0707a57ed9223b3e7c1231c8c54f917)	(41.82, 70.91, 72.73, 69.09, 70.48, 71.69, 71.46, 0.0, 110840.0)	(0.003512396694214882, 0.0008780991735537206, 0.00103305785123967, 0.005578512396694213, 0.0019766003781987794, 0.0003417954921076879, 0.00043017396922492173, 0.0, 422.8)	(0.0, ("a6f9bba2f852ba097bcc25d2749a96b14e31d36c0d120878cfa01fbb75f483d7", "6612ec8c6a3b80ce9520d0dddffbe25576fd1345cc52959cdb411faf34ae04b9", "f42ff8f1d4293e0b93c03ecc4c878af7d5c6bea9398925cbced00791fed66f02", "ccc85edeac3ecbdb8282e0ce79e880a57562ee278569d0c1d9d9bcd74da04145", "774ea2292572f5e9a90bb128fdab78c12480c209b59aa44ced2f7270c3002a79"))	(44.55, 72.27, 71.82, 72.73, 72.51, 72.13, 72.12, 25.73, 222840.0)	(0.002479338842975202, 0.0006198347107438005, 0.0014462809917355388, 0.00103305785123967, 0.0006631259939388473, 0.000832872531495269, 0.0007293365115611365, 0.00010099734881959286, 636.8)	(378.611, ("3eff6d7626d031299c1931fc81c9c9a49d2bf9d6e7368fa168441becb704c1df", "58b9915ea49868b51fd36e9292c48640b53a8cf3464eeb298f5465e7bd5eb28c", "cabc3bf0d5114897c2ea528503f714ad389e0af21d8719956cae50fb0bc0ff83", "cb76bab7ebce089b9153b327787f2e908163d87e0b2b4a33af551a55eca8a465", "2ea04b6235156eb241fde2905cbfad5b4a446ac5d7c8bd24e609f69f23dcb44c"))	
2	false,true,true,(120,100),Any["NG","Normalize"],false,stump_with_memoization,40,TestOp_80	(40.91, 70.45, 63.64, 77.27, 73.68, 68.0, 68.29, 13, 0.8272727272727273, 0.6977272727272728, 15.248, c6acaad4ae80e4f7cf94ee8c2d931e99308a135e44ccd501e110a17be1692127)	(40.91, 70.45, 63.64, 77.27, 73.68, 68.0, 68.29, 13, 0.8272727272727273, 0.6977272727272728, 9.622, c6acaad4ae80e4f7cf94ee8c2d931e99308a135e44ccd501e110a17be1692127)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(40.91, 70.45, 77.27, 63.64, 68.0, 73.68, 72.34, 15, 0.8272727272727273, 0.6977272727272728, 12.127, b05b684aa5ee8fa1c81e8eb85b37607c194691f73f6402cab7a9babb826d411b)	(40.91, 70.45, 77.27, 63.64, 68.0, 73.68, 72.34, 15, 0.8272727272727273, 0.6977272727272728, 12.175, b05b684aa5ee8fa1c81e8eb85b37607c194691f73f6402cab7a9babb826d411b)	(40.91, 70.45, 68.18, 72.73, 71.43, 69.57, 69.77, 7, 0.8272727272727273, 0.6977272727272728, 8.143, 06d86d5b3cf70397f4ed0d5dc1875470d432ee7528ffc3e5aad4dfb044f431ee)	(40.91, 70.45, 68.18, 72.73, 71.43, 69.57, 69.77, 7, 0.8272727272727273, 0.6977272727272728, 8.173, 06d86d5b3cf70397f4ed0d5dc1875470d432ee7528ffc3e5aad4dfb044f431ee)	(43.64, 71.82, 73.64, 70.0, 71.22, 72.56, 72.36, 0.0, 110480.0)	(0.008884297520661163, 0.0022210743801652907, 0.0014462809917355375, 0.004752066115702478, 0.0026879701292005804, 0.0017929372095289275, 0.0017553292873127716, 0.0, 647.1999999999999)	(0.0, ("238986b62b0d070045df4889a0d073833f1327f1dc70bfcef3995e2ee7b8025e", "07592cddaee6a0b73645cf1910171ab1babce33f60dab68548d2c8c8f26c6aac", "651fbbab448061461a00652dc2aaf71af9d91add117a14a64819edcad0188306", "17ee7e8bde1ad95ab550dd3a4c2a76912eb4e4726d89883a615f16989620c004", "b4eccf759ab42d72e8e48a7474c1664488671598d6d937ea763e33875d5195c9"))	(42.73, 71.36, 70.0, 72.73, 72.31, 70.81, 70.98, 26.97, 221400.0)	(0.0037190082644628173, 0.0009297520661157043, 0.0016528925619834728, 0.005165289256198351, 0.0023504473720923954, 0.0005840555336107049, 0.0006417196300672338, 0.0001578083575306156, 626.0)	(370.997, ("8758417b0d09ae8500c2b750a356e1b1c1e2ad772b0244d8c49eff7465051714", "1329fcb41a60199c2a93fe10425c68b8303b512bcd37417eb1505cb30f4c4f15", "d66664f0a7fda1e9c614604b9ad607de2b51a6fee9d72fe186ab5ca229c3d48d", "6b1d0068ef1693db779e3e8be0a9fae85898d6fbb9918c7f26c64f33f349e393", "4c23fc7e16f0012ea0996599559d29ac6ea27dbe24ba304ae75a0e5f09703d11"))	
3	false,true,true,(120,100),Any["NG","Normalize"],false,stump_with_memoization,40,TestOp_80	(50.0, 75.0, 72.73, 77.27, 76.19, 73.91, 74.42, 19, 0.8454545454545455, 0.7295454545454546, 21.261, 3b18f6d3d92470968ce36a123bc76f71762201cfd126ea0c546c48c97bbad8ba)	(50.0, 75.0, 72.73, 77.27, 76.19, 73.91, 74.42, 19, 0.8454545454545455, 0.7295454545454546, 14.85, 3b18f6d3d92470968ce36a123bc76f71762201cfd126ea0c546c48c97bbad8ba)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(63.64, 81.82, 81.82, 81.82, 81.82, 81.82, 81.82, 19, 0.8454545454545455, 0.7295454545454546, 7.959, df1507c8dde05391f8b19bd436b1b431bf5cbedd945e7c11f86b86d3d7e3d8ef)	(63.64, 81.82, 81.82, 81.82, 81.82, 81.82, 81.82, 19, 0.8454545454545455, 0.7295454545454546, 7.36, 8b018056f79fdac2b1e126f48f0fc6421025d12c8025494bd47af00fe46ad943)	(54.55, 77.27, 81.82, 72.73, 75.0, 80.0, 78.26, 13, 0.8454545454545455, 0.7295454545454546, 6.896, 25102c36768dc4a0aedf5d53e65bd22df56eb0c9c2298369fac9bd7b7d6c0a15)	(54.55, 77.27, 81.82, 72.73, 75.0, 80.0, 78.26, 13, 0.8454545454545455, 0.7295454545454546, 7.096, 25102c36768dc4a0aedf5d53e65bd22df56eb0c9c2298369fac9bd7b7d6c0a15)	(61.82, 80.91, 74.55, 87.27, 85.75, 77.42, 79.65, 0.0, 113520.0)	(0.0026859504132231466, 0.0006714876033057866, 0.0006198347107438005, 0.0035123966942148753, 0.002695128910188089, 0.00022970707614064286, 0.00047994847616285026, 0.0, 787.1999999999999)	(0.0, ("3c46387230abac654cb03653d9f709559a92470cf62d660ea27acbc0c06197de", "be3e0636e41290d36d320ef931bbaeba53fb04baa0a93405d968bccfe30e5803", "5b8fd35f528d1de23886c4da751d4cfee9c9c097bc963e0d147fabe1fff0c869", "0ee27fd23df404f0d6269f89d46061617a24172c5f9236cd3abade7e23909701", "d5f9191883101b20041d715b331b5957368ae05f8a595d6a751d8fa602d7afd2"))	(62.73, 81.36, 74.55, 88.18, 86.63, 77.63, 80.02, 26.63, 223960.0)	(0.001446280991735543, 0.0003615702479338857, 0.0006198347107438005, 0.0026859504132231396, 0.0025478368210149855, 0.0001484431492673939, 0.0002446097656729683, 0.00015149602322939097, 218.8)	(318.135, ("79fe17c634b1a950efdeb2842ebb271dce494fa117c38d920e0648121265212d", "cb214d5e9249bceecace965b20bdaf9430df060377f07e877a9e880946f962fd", "46bd804641ed9d230790b4b36cc038766e6561db8daccd931fc8df6e9894eb10", "aa5fbd4f68d7e4ce47bcda2c28d7851cff615817f884c7faae4e0365f872fb31", "a97a61a254956fe95eee12d087ec9d6eb41014193a3ff13150d31d3eddb346b3"))	
4	false,true,true,(120,100),Any["NG","Normalize"],false,stump_with_memoization,40,TestOp_80	(36.36, 68.18, 59.09, 77.27, 72.22, 65.38, 65.0, 11, 0.8409090909090909, 0.7215909090909092, 15.52, 2bc90e57c47fcbdba7d8719b86bc82bdfa37bc46baef74513f2f9ba9f678d82a)	(36.36, 68.18, 59.09, 77.27, 72.22, 65.38, 65.0, 11, 0.8409090909090909, 0.7215909090909092, 11.873, 2bc90e57c47fcbdba7d8719b86bc82bdfa37bc46baef74513f2f9ba9f678d82a)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(50.0, 75.0, 63.64, 86.36, 82.35, 70.37, 71.79, 15, 0.8409090909090909, 0.7215909090909092, 10.525, 85649fec0e14a4827ca5ccf7caaa5058560bdb8611e03df486fc701c25b0f31e)	(50.0, 75.0, 63.64, 86.36, 82.35, 70.37, 71.79, 15, 0.8409090909090909, 0.7215909090909092, 10.436, eddf76af7cce50ef92e97ddaeacaa0cef05498c5cbb970ad36e811022617caf1)	(45.45, 72.73, 59.09, 86.36, 81.25, 67.86, 68.42, 9, 0.8409090909090909, 0.7215909090909092, 8.034, 6b637f9587eafaef24971e5ab76bee0fe6cd4894df61acc6dd093467969271b5)	(45.45, 72.73, 59.09, 86.36, 81.25, 67.86, 68.42, 9, 0.8409090909090909, 0.7215909090909092, 7.972, 6b637f9587eafaef24971e5ab76bee0fe6cd4894df61acc6dd093467969271b5)	(39.09, 69.55, 59.09, 80.0, 75.4, 66.04, 66.1, 0.0, 102000.0)	(0.006818181818181826, 0.0017045454545454564, 0.0, 0.006818181818181816, 0.006716747247016177, 0.0005153344425106202, 0.0009602683545547922, 0.0, 430.0)	(0.0, ("00097735ae74a46d96e707c143a4990cd9f316137d9a6684b8e3e070590262a6", "316c6cedc0957a0fdeabd975d0c2f41062ffbca7d547f1185327b6bae2fe2166", "02b3b8ddb449f8e44d4ce41372cc3416c3b11323a2897d450077fbc56f0064bc", "7d5707e2c5a9aec68225de2c204a215329a6a054e8373de1f30fcc6bbb3d95ff", "6bd12593cee829e6fb2ab1a4c08f650f773f90a68c7fdcdeb339203c62a06fe3"))	(38.18, 69.09, 59.09, 79.09, 74.11, 65.91, 65.66, 21.8, 203360.0)	(0.002685950413223147, 0.0006714876033057867, 0.00103305785123967, 0.0026859504132231414, 0.0022352634136443244, 0.0003474370486987497, 0.0006768209062050945, 0.0004955182426461305, 514.8)	(368.814, ("3ad6c795fd9e3c75e5626d7b30fdd19ff11e5c1971ed50888c178ad493526995", "77d995c8b79aaf12a95bac2f26cc0915cfe92fffd50b3cedce15f9d0dad90bf8", "ddbf2deff5474c8032a75059ae580955ab73a97bbaf95f697ede4b20cb8f9fca", "8f3aae029cf4a17ac57c326d9df68d51dd053ca63abeb922376d5ced9ba8b905", "9c5b1707e8453be79d800b7eb73b8359509d6638e3df666a13a26807d63f32a7"))	
5	false,true,true,(120,100),Any["NG","Normalize"],false,stump_with_memoization,40,TestOp_80	(54.55, 77.27, 77.27, 77.27, 77.27, 77.27, 77.27, 11, 0.8409090909090909, 0.7215909090909092, 11.051, a65f51d60d1794a4f083393377e9e6a55e3a99a48ec667e614a33eee2aaf1315)	(54.55, 77.27, 77.27, 77.27, 77.27, 77.27, 77.27, 11, 0.8409090909090909, 0.7215909090909092, 6.69, a65f51d60d1794a4f083393377e9e6a55e3a99a48ec667e614a33eee2aaf1315)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(54.55, 77.27, 81.82, 72.73, 75.0, 80.0, 78.26, 15, 0.8409090909090909, 0.7215909090909092, 8.446, 7b4785ca115e2622c589b11d387831f452821f07a37561c6772b283101243e73)	(59.09, 79.55, 81.82, 77.27, 78.26, 80.95, 80.0, 17, 0.8409090909090909, 0.7215909090909092, 8.664, 9309396d5b3c89b9bd81d9ca9fac5ce69dee32d65f5e32989adbffbe62985f69)	(54.55, 77.27, 81.82, 72.73, 75.0, 80.0, 78.26, 13, 0.8409090909090909, 0.7215909090909092, 8.449, 99a4800b0bf25391af2aedf18b7e31d743e3e441e45f3ef47412e8289b8e2929)	(54.55, 77.27, 81.82, 72.73, 75.0, 80.0, 78.26, 13, 0.8409090909090909, 0.7215909090909092, 8.352, 99a4800b0bf25391af2aedf18b7e31d743e3e441e45f3ef47412e8289b8e2929)	(63.64, 81.82, 87.27, 76.36, 78.72, 85.89, 82.73, 0.0, 110800.0)	(0.00826446280991736, 0.00206611570247934, 0.0035123966942148745, 0.00247933884297521, 0.0015445679578528209, 0.0036601528884868777, 0.001930744177858255, 0.0, 878.0)	(0.0, ("5ad52a7c64edd23a6865a76d30fe0469b9e4b1e4e79258ebcf01cdd5b0386b1c", "26f69533b1ab2942291d36dbccd1effcffa1ec9d7cc1f142eb980c1269479cbc", "5b129eeecf4531e0dcf930c15b0cb9bb38f8616f19c4fb2952876993df0faf83", "2043c89aa5dd4d65379c74e9458b1d25eaafeb935ede66433f3a1309b5e7fced", "e891f1f488476370b5d1e8d7aaef60603875538a0f988725a31a4fb7810c8b13"))	(61.82, 80.91, 83.64, 78.18, 79.3, 82.79, 81.39, 25.06, 220040.0)	(0.0026859504132231466, 0.0006714876033057867, 0.0016528925619834717, 0.000413223140495869, 0.00040431326063522326, 0.0013034191638087735, 0.0007796014025033904, 7.259184446408236e-5, 1092.8)	(381.029, ("1ffd65156589150a6501f6fb0a44f1a0ab393221228bff02e5dd78db8d3a2db2", "cbe1312d64923acb2e3b4365549e60ed4974316e677dca918e0f0546f7d47e5d", "bd887d0615228fcb84ddfc9ebd5c6c0547aa880a5c9ceeb366f961b59908f042", "85b1be437c8b91660929d663430bf6cff58f06192a4e6907c803746711447824", "7ce8b3e3e7b846b51891c346950fefb71a2bab2bb8142c58e096591e7100a235"))	
6	false,true,true,(120,100),Any["NG","Normalize"],false,stump_with_memoization,40,TestOp_80	(63.64, 81.82, 63.64, 100.0, 100.0, 73.33, 77.78, 7, 0.8318181818181819, 0.7153030303030302, 11.933, ba85456f353973bc747807a5fabc672389c6840bd9faa311bea7288a266072c1)	(63.64, 81.82, 63.64, 100.0, 100.0, 73.33, 77.78, 7, 0.8318181818181819, 0.7153030303030302, 10.304, ba85456f353973bc747807a5fabc672389c6840bd9faa311bea7288a266072c1)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(31.82, 65.91, 59.09, 72.73, 68.42, 64.0, 63.41, 15, 0.8318181818181819, 0.7056818181818182, 11.24, 4a82e9399f080003949e061e2c6fd315aa373df57eb7d26bb795d3ad7e93cd1d)	(36.36, 68.18, 59.09, 77.27, 72.22, 65.38, 65.0, 15, 0.8318181818181819, 0.7056818181818182, 10.439, c033e7aed9d05c5e30f35ccbc6f163f793ee935617621fea902aa63a1fc7706f)	(31.82, 65.91, 59.09, 72.73, 68.42, 64.0, 63.41, 13, 0.8318181818181819, 0.7056818181818182, 10.342, 2cd4b8481b87c0199ae023e2b44501b1793800d88e7ebd277aacdad105294e80)	(31.82, 65.91, 59.09, 72.73, 68.42, 64.0, 63.41, 13, 0.8318181818181819, 0.7056818181818182, 10.283, 2cd4b8481b87c0199ae023e2b44501b1793800d88e7ebd277aacdad105294e80)	(53.64, 76.82, 70.0, 83.64, 81.26, 73.76, 75.05, 0.0, 111280.0)	(0.00041322314049586705, 0.00010330578512396676, 0.002685950413223141, 0.0016528925619834715, 0.0006819468672252573, 0.0006574907054057531, 0.00042105122649578147, 0.0, 257.2)	(0.0, ("e45eb06ec3a8d33df1d5b0ba8221fae0bf7cba761ff6a3587875d5aa0e2aa74e", "c64c4dc05586d6bac3025fc9592082e133f38ff0695af211289a737b83d67150", "7073bcc1c62c057191cadfabc7aa34740f409bc40de4ca5ddd200d214acfa5ad", "28ac8b93e1567e2bbe0b0fabf18f29947267c12f12b3685a5bbcbff8e78f607a", "abf5dbb598bccbfbd51286689b513afd50b6668df6b2ae6b04d7d2b8a091a072"))	(51.82, 75.91, 67.27, 84.55, 81.38, 72.1, 73.63, 25.17, 222600.0)	(0.004752066115702472, 0.0011880165289256176, 0.0014462809917355378, 0.0016528925619834721, 0.0018953662612185185, 0.0009230064691033338, 0.0013783508180730522, 6.943567731347006e-5, 430.0)	(371.506, ("6daa56e0812a6c8ed2553ccba3a84730dd36491a18f958824236f68a2b584dc5", "1ba5c7c9e16b52466b34a9287fd23a27f340c5cad1c9355bc9f35eb68c64cc45", "ab3f06f9bddac231bf7af6e14c26c41b0f1bdaa9051254ac3509d741ca799ed4", "30241982c12a8fab65ea8ea7906ab5a7bda65ab5d98489d8327049f22a739ce1", "f376975161598d6291d73e05241ce99c3c10a36f592d054f9c1629fa829eace3"))	
7	false,true,true,(120,100),Any["NG","Normalize"],false,stump_with_memoization,40,TestOp_80	(50.0, 75.0, 86.36, 63.64, 70.37, 82.35, 77.55, 25, 0.8454545454545455, 0.7295454545454546, 17.764, 993d27f4e86aca00a941e2dead6983b6f9344af36c91a3ac6446b624d235bcc2)	(50.0, 75.0, 86.36, 63.64, 70.37, 82.35, 77.55, 25, 0.8454545454545455, 0.7295454545454546, 15.422, 993d27f4e86aca00a941e2dead6983b6f9344af36c91a3ac6446b624d235bcc2)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(63.64, 81.82, 81.82, 81.82, 81.82, 81.82, 81.82, 25, 0.8454545454545455, 0.7295454545454546, 10.349, 94843c39b22c8d4d801b893825d34397a47991a0fb544aec995be04fdc34ac40)	(59.09, 79.55, 81.82, 77.27, 78.26, 80.95, 80.0, 21, 0.8454545454545455, 0.7295454545454546, 10.199, e75be22ef6dff22fb9ad07b97e2a5e2befa90f539dc41cfcd236ea9e70a106e4)	(63.64, 81.82, 77.27, 86.36, 85.0, 79.17, 80.95, 7, 0.8454545454545455, 0.7295454545454546, 5.97, b3fcf45965f199117552ae5fb95e146627cea95c847922ee65710a38aebe8563)	(63.64, 81.82, 77.27, 86.36, 85.0, 79.17, 80.95, 7, 0.8454545454545455, 0.7295454545454546, 5.881, b3fcf45965f199117552ae5fb95e146627cea95c847922ee65710a38aebe8563)	(59.09, 79.55, 76.36, 82.73, 81.6, 77.81, 78.87, 0.0, 116680.0)	(0.004132231404958686, 0.0010330578512396714, 0.0014462809917355378, 0.0014462809917355378, 0.0013747634039841833, 0.00107072345295193, 0.001108977516723369, 0.0, 619.1999999999999)	(0.0, ("04d4ae53713a1de8df32fee15a856b15343cc02ea08f0cb93d38ff255a1a3aae", "a27d991b3326c09256d3feeea286bdc79e755277d22a146435485e795b7b4850", "c91d90932cfb8946abe1b6d3720fc68ce7d576709d2db4137ff0fbea6e6afa0d", "c1e7291e8627d9cfc3d5f0b583ba19bfe49bcfa76d0a4dc17bc543554a632ad2", "82892c9935b881a5cee252ad8b3a3dff921c5399a750013b44e8d3af517b20e7"))	(57.27, 78.64, 77.27, 80.0, 79.46, 77.93, 78.33, 26.32, 234560.0)	(0.001652892561983468, 0.0004132231404958671, 0.00103305785123967, 0.0006198347107438035, 0.00047023220126109753, 0.0006399787388175196, 0.0004932395889670094, 5.0800197225136716e-5, 622.8)	(333.801, ("2e2279ee949c439cfde84f8901e0f025a84af1381d3eaed2ad250c97814daf1a", "9c8c2e75348adb0c6810f912e33f054cadcc87192e2d3e611493a26ac72796c8", "dfc305204a5ae23218f3cb8405285f7ce759208d8f69b32fc59faaa9b9a6a741", "6bf6e6ed870c2da58acf24497b8534b575cdbb7f48005fe20d039a7e787e7bf8", "17072bd44ca3dc92a0a6f65365391e856fc116ceb8c8ba061c71c60f3aa20d16"))	
8	false,true,true,(120,100),Any["NG","Normalize"],false,stump_with_memoization,40,TestOp_80	(59.09, 79.55, 63.64, 95.45, 93.33, 72.41, 75.68, 7, 0.8227272727272728, 0.701371473354232, 5.941, 133e11b8405703a7e9bb988fa6e8e117dddbee4d28279c2cc3eea77a50df506c)	(59.09, 79.55, 63.64, 95.45, 93.33, 72.41, 75.68, 7, 0.8227272727272728, 0.701371473354232, 4.608, 133e11b8405703a7e9bb988fa6e8e117dddbee4d28279c2cc3eea77a50df506c)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, eb944795b9eef437b03c66b5abb2dfcb9c109c4f0e18e534f12aecf0fe6ee376)	(63.64, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 11, 0.8227272727272728, 0.7054924242424242, 7.977, 4d76d8f74d3ec241df1813cf904dc5cbbe60b42cea7d4063d1ade387a6da4bee)	(63.64, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 13, 0.8227272727272728, 0.7054924242424242, 8.296, fcd3ed542bc6e5dc0f272722f983fd66f2aab327c64cd5a7a8e504a3eb341c07)	(59.09, 79.55, 63.64, 95.45, 93.33, 72.41, 75.68, 7, 0.8227272727272728, 0.701371473354232, 4.754, 133e11b8405703a7e9bb988fa6e8e117dddbee4d28279c2cc3eea77a50df506c)	(59.09, 79.55, 63.64, 95.45, 93.33, 72.41, 75.68, 7, 0.8227272727272728, 0.701371473354232, 4.394, 133e11b8405703a7e9bb988fa6e8e117dddbee4d28279c2cc3eea77a50df506c)	(50.91, 75.45, 64.55, 86.36, 82.97, 71.01, 72.38, 0.0, 105880.0)	(0.012809917355371897, 0.0032024793388429743, 0.005578512396694215, 0.005165289256198348, 0.007412686436803821, 0.0025260905349794222, 0.004274093116967474, 0.0, 835.1999999999999)	(0.0, ("0e6b75a75237875af387f4de5754e0e601ed98da64376d78339e7d8e823fecfc", "9d7ad6d46b234ddb8769825714f7b7f8d776c8e407e2361b00ee8c9c979b6518", "a5b9798e84e527add5da18cb1f8e219d874ea0a9f7bc2a67c8f25216df1bf4a1", "fdc71b67b2eed299a3648612313f3dbaf7f4ce5c74b1419c27b1bd65cfb4d9f1", "1bfec161a7ac6917bdd9cedb09933f3600a504b51b8138d5e998dce1e4425f9a"))	(53.64, 76.82, 68.18, 85.45, 82.44, 72.9, 74.6, 23.37, 211520.0)	(0.0055785123966942156, 0.0013946280991735539, 0.00206611570247934, 0.0014462809917355345, 0.0019666300185938357, 0.0011616827785488767, 0.0018031399393226171, 4.103017295796005e-5, 1011.2)	(350.013, ("d73e320aa3fc28fe6a74fe729e080f60b7caa53fc81cabc9b9e24f8afbe3f690", "14853e824b6295cd2cbd27a16d6b230137c87ca0f0ad39a9c26851b0c48ccb7f", "5664b633370b172e067ae36ab6daa00f9008d8e2ec655c1cdc5916e701338574", "a0bd7e1ba09b35a2e06598865d01aca6cfa34a63b961bd5458a0710c15d142c3", "aae53eebf7a1abbf082841929bcf66f38f00406f3ca39574c97bd821c325e7fc"))	
