Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
4	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(92.0, 92.5, 92.5, 99.5, 92.77, 99.51, 92.1, 47, -Inf, -Inf, 9332.871, 2696b9d65d2211629a34c4b1f993f88c9db4e9d7fea8e2e3e7bfaf40a19b9c37)	
5	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(94.0, 94.38, 94.38, 99.63, 94.6, 99.63, 94.26, 47, -Inf, -Inf, 3479.973, 5f2e2443e75d9af4c75ef07b052f47198c58298732d699de0d19de77d1629c10)	
6	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(93.33, 93.75, 93.75, 99.58, 94.12, 99.58, 93.8, 51, -Inf, -Inf, 3871.708, 3cc415be79c289b855bcc3e12ecc2fe57d51659ec4a7b441657a5ea428c82373)	
7	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(89.67, 90.31, 90.31, 99.35, 90.47, 99.36, 90.13, 47, -Inf, -Inf, 3175.628, 0ac038c78b6a79f847fece404d17362a5beea091646ed774bb0f64e4d88740cc)	
8	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(95.33, 95.62, 95.62, 99.71, 95.74, 99.71, 95.51, 45, -Inf, -Inf, 2688.299, 3170ed0f5990dba70b04eb5ec5715e004250a27cc743d859cd80fcae32029f7d)	
9	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(91.33, 91.88, 91.88, 99.46, 92.51, 99.46, 91.79, 45, -Inf, -Inf, 2660.381, ce4bb12ca0b8fd7006461dd3ba599f0629a0f1522ad35b2982d645764af9e4d0)	
10	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(93.33, 93.75, 93.75, 99.58, 93.81, 99.59, 93.66, 41, -Inf, -Inf, 2642.876, 6a8d57999ed2f308949b39307fb2bbd460641dcba9b274c67041e6365206acdb)	
1	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(91.33, 91.88, 91.88, 99.46, 91.97, 99.46, 91.81, 47, -Inf, -Inf, 22737.55, 519baca1c941c8c794d9b97511c0a0865c9bd5196d58687810b626ee453b932f)	
2	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(91.67, 92.19, 92.19, 99.48, 92.42, 99.48, 92.19, 45, -Inf, -Inf, 7467.862, 453b5c816fcab3ef41b298c586af14113f73281789175222ae6b04a910bc5445)	
3	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(94.33, 94.69, 94.69, 99.65, 94.82, 99.65, 94.58, 43, -Inf, -Inf, 17353.891, 2c6363660abb412b8202c257ad2a4ac31386d9523f9de71ee3c4f4d78f72f51a)	
4	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(91.0, 91.56, 91.56, 99.44, 91.85, 99.44, 91.17, 47, -Inf, -Inf, 8014.012, b46700ae184b6b20d2b329a9d4df1e6ad528957e2c8b38534cd259cec2ff71db)	
5	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(93.0, 93.44, 93.44, 99.56, 93.68, 99.56, 93.36, 51, -Inf, -Inf, 7119.079, f7dd2adb1d9ed050c82b02d29f08d7c7a1218603ebb2362a7eaa7406372d67ad)	
6	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(92.67, 93.12, 93.12, 99.54, 93.6, 99.54, 93.2, 51, -Inf, -Inf, 3004.924, 849594be2247e9ee2c878dc8a8e9e3970f8cadc5ad15bc116b04c1074b5599a2)	
7	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(90.0, 90.62, 90.62, 99.38, 90.88, 99.38, 90.39, 49, -Inf, -Inf, 2825.252, 427a987eee06ed3efa2a23069909b8bf26d78e42b3b8f3ea9ba063bcae595c0e)	
8	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(94.67, 95.0, 95.0, 99.67, 95.09, 99.67, 94.88, 47, -Inf, -Inf, 3622.066, 9768bfd352372c3f685ac3fa22becee11c37090e704fda92166f9ef707bcbee1)	
9	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(91.0, 91.56, 91.56, 99.44, 91.85, 99.44, 91.56, 47, -Inf, -Inf, 2048.758, c948530cf0422c0cb3b034e7bc7019d74d5ed3daa4ef1affa62a9b7f04947ed9)	
10	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(93.0, 93.44, 93.44, 99.56, 93.58, 99.56, 93.36, 41, -Inf, -Inf, 2017.634, 1616002d26a5ae251c9c58995e60d0cd49056a75c6f75bf9d3bed097343deed7)	
1	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(79.09, 80.83, 80.83, 98.26, 81.16, 98.26, 80.88, 123, -Inf, -Inf, 21342.015, f04388810765a48fb37fdbc347b08d9560ff7c2ef31af7f9bb7f9ded250aca54)	
2	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(74.09, 76.25, 76.25, 97.84, 78.76, 97.85, 76.62, 125, -Inf, -Inf, 6255.863, 77b55908204372922c066feb952b63a9d4c0a3a26a91660eb36d435f65f3aa00)	
3	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(75.91, 77.92, 77.92, 97.99, 78.72, 98.0, 77.88, 123, -Inf, -Inf, 4047.816, d282a555191d7ea4b374e0c629b0b20795731c007bc16e3bfa401d7b03e415f3)	
4	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(76.82, 78.75, 78.75, 98.07, 80.28, 98.08, 78.62, 119, -Inf, -Inf, 3101.395, 27930eac05a751d23f0747cefc55c5a953a69ef3b92d13e01b499576a54ef118)	
5	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(77.73, 79.58, 79.58, 98.14, 79.97, 98.14, 79.66, 119, -Inf, -Inf, 2750.37, 56e1784138d3dbeabe1ad127458b3837920e5332ea92caf459bdc2928da8c57b)	
6	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(79.55, 81.25, 81.25, 98.3, 82.33, 98.3, 81.41, 101, -Inf, -Inf, 4735.25, 54fb1867ce00d134fbbb78277c7fce833c712af69a5fa29e914e9e85ba2f106c)	
7	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(75.0, 77.08, 77.08, 97.92, 77.71, 97.94, 76.53, 127, -Inf, -Inf, 2706.037, 27dcceb1ce3c69af5363b37b9f5c1a322ed3c1c40ccf2734237fb3d2f63de95e)	
8	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(79.55, 81.25, 81.25, 98.3, 81.8, 98.3, 81.21, 119, -Inf, -Inf, 3305.933, 6a8bd6ac7346693c9075c9edc495942f9db136d0e29afe365742abf0f504e0e3)	
