class_names,EEG_B2-TR,EEG_B2-FM,EEG_B2-FMAI,EEG_B2-LP,EEG_B2-C,EEG_B3-TR,EEG_B3-FM,EEG_B3-FMAI,EEG_B3-LP,EEG_B3-C,EEG_B4-TR,EEG_B4-FM,EEG_B4-FMAI,EEG_B4-LP,EEG_B4-C,EEG_B1-TR,EEG_B1-FM,EEG_B1-FMAI,EEG_B1-LP,EEG_B1-C,EEG_B5-TR,EEG_B5-FM,EEG_B5-FMAI,EEG_B5-LP,EEG_B5-C,EEG_B6-TR,EEG_B6-FM,EEG_B6-FMAI,EEG_B6-LP,EEG_B6-C,EEG_B7-TR,EEG_B7-FM,EEG_B7-FMAI,EEG_B7-LP,EEG_B7-C,EEG_B8-TR,EEG_B8-FM,EEG_B8-FMAI,EEG_B8-LP,EEG_B8-C,EEG_B9-TR,EEG_B9-FM,EEG_B9-FMAI,EEG_B9-LP,EEG_B9-C,EEG_B20-TR,EEG_B20-FM,EEG_B20-FMAI,EEG_B20-LP,EEG_B20-C
0.0,"[-1.9508, -3.0782, -1.0286]","[2.0, 2.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 3.0]","[1.0, 1.0, 3.0]","[-1.9986, -3.1162, -0.9957]","[2.0, 2.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 3.0]","[1.0, 1.0, 3.0]","[-2.1003, -3.2475, -0.8663]","[5.0, 2.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 3.0]","[1.0, 1.0, 3.0]","[-1.9371, -3.0688, -1.0355]","[2.0, 2.0, 3.0]","[1.0, 3.0, 1.0]","[2.0, 2.0, 3.0]","[1.0, 1.0, 3.0]","[-2.2593, -3.784, -0.4687]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]","[-2.4598, -3.5828, -0.4263]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.6076, -3.8262, -1.027]","[1.0, 2.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.5914, -3.8213, -1.0682]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.2858, -3.8409, -1.0147]","[1.0, 2.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 1.0, 3.0]","[2.0, 1.0, 3.0]","[-2.7056, -3.045, -0.6738]","[1.0, 2.0, 3.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 3.0]","[1.0, 1.0, 3.0]"
1.0,[-2.918],[5.0],[3.0],[2.0],[1.0],[-2.7019],[3.0],[3.0],[2.0],[1.0],[-2.1802],[3.0],[1.0],[3.0],[1.0],[-2.971],[2.0],[3.0],[2.0],[1.0],[-1.5392],[3.0],[1.0],[3.0],[1.0],[-1.5053],[3.0],[1.0],[3.0],[1.0],[-2.0987],[3.0],[3.0],[3.0],[1.0],[-2.7377],[3.0],[3.0],[2.0],[1.0],[-2.9568],[2.0],[3.0],[2.0],[1.0],[-2.5942],[2.0],[3.0],[2.0],[2.0]
2.0,"[-2.5749, -2.9849, 0.6156]","[5.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.4969, -3.0254, 0.6071]","[3.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.3422, -3.2863, 0.5896]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.5975, -2.9827, 0.6182]","[5.0, 3.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.1407, -4.1989, 0.5185]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.1383, -4.3574, 0.9295]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 1.0]","[-2.8241, -4.3622, 1.3215]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-3.735, -4.3918, 1.3201]","[2.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[1.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-3.2113, -4.4026, 1.8244]","[2.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 2.0]","[1.0, 1.0, 2.0]","[-2.2136, -4.6493, 0.1933]","[2.0, 1.0, 2.0]","[3.0, 1.0, 3.0]","[2.0, 2.0, 2.0]","[1.0, 2.0, 2.0]"
3.0,"[-1.168, -2.4795]","[1.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[-1.8088, -2.4812]","[1.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[-2.8857, -2.4823]","[1.0, 5.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[-0.9687, -2.479]","[1.0, 5.0]","[1.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[2.8973, -2.4365]","[1.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[0.4551, -2.0181]","[3.0, 5.0]","[3.0, 1.0]","[1.0, 3.0]","[1.0, 1.0]","[0.785, -2.077]","[3.0, 5.0]","[3.0, 1.0]","[1.0, 3.0]","[2.0, 1.0]","[1.4932, -2.0321]","[3.0, 5.0]","[3.0, 3.0]","[1.0, 3.0]","[2.0, 1.0]","[2.4057, -1.6957]","[3.0, 5.0]","[3.0, 3.0]","[2.0, 3.0]","[2.0, 1.0]","[3.3915, -0.3599]","[2.0, 3.0]","[3.0, 1.0]","[2.0, 3.0]","[2.0, 2.0]"
4.0,"[-2.8485, -0.9397]","[5.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.8513, -0.9622]","[5.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.8631, -1.0261]","[5.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.8478, -0.9337]","[5.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-2.9439, -1.2677]","[5.0, 1.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.3181, -1.4325]","[1.0, 1.0]","[1.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]","[-3.3233, -0.9985]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-3.4091, -1.0133]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 2.0]","[1.0, 2.0]","[-3.8375, -1.2521]","[1.0, 1.0]","[1.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[-3.2575, -2.4179]","[1.0, 2.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 2.0]"
5.0,"[-2.6696, -3.394, -1.4552]","[3.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.6046, -3.4283, -1.4491]","[3.0, 1.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.5057, -3.5965, -1.5086]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.6908, -3.3894, -1.4598]","[3.0, 1.0, 1.0]","[3.0, 1.0, 1.0]","[3.0, 2.0, 2.0]","[1.0, 2.0, 2.0]","[-2.4485, -4.3283, -2.1152]","[3.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 1.0, 2.0]","[-2.4993, -3.7576, -0.4232]","[3.0, 2.0, 1.0]","[1.0, 3.0, 3.0]","[3.0, 1.0, 2.0]","[1.0, 1.0, 3.0]","[-2.4236, 0.4244, 0.1503]","[3.0, 2.0, 1.0]","[1.0, 3.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 2.0, 2.0]","[-2.2043, 1.3356, 0.13]","[3.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 2.0, 2.0]","[-2.26, 1.1526, 0.4123]","[3.0, 2.0, 1.0]","[3.0, 3.0, 1.0]","[3.0, 1.0, 2.0]","[1.0, 2.0, 2.0]","[-3.2006, -1.924, -1.846]","[2.0, 1.0, 1.0]","[3.0, 3.0, 3.0]","[2.0, 1.0, 2.0]","[1.0, 1.0, 2.0]"
6.0,"[-2.115, -4.4391]","[3.0, 1.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-2.1621, -4.3889]","[3.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 1.0]","[-2.1929, -4.3292]","[3.0, 1.0]","[3.0, 1.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.0975, -4.4674]","[3.0, 1.0]","[3.0, 1.0]","[2.0, 2.0]","[1.0, 1.0]","[-1.7967, -3.6233]","[2.0, 1.0]","[3.0, 1.0]","[2.0, 1.0]","[1.0, 1.0]","[1.1573, -1.3209]","[2.0, 1.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[1.5596, 0.8291]","[3.0, 2.0]","[3.0, 3.0]","[1.0, 1.0]","[1.0, 1.0]","[1.6755, 2.1467]","[3.0, 2.0]","[1.0, 3.0]","[1.0, 1.0]","[1.0, 1.0]","[1.61, 3.2748]","[3.0, 2.0]","[3.0, 3.0]","[1.0, 2.0]","[1.0, 1.0]","[-0.0053, 2.9799]","[3.0, 1.0]","[3.0, 1.0]","[1.0, 2.0]","[1.0, 2.0]"
7.0,"[-2.6727, -3.3747]","[5.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-2.7135, -3.5299]","[5.0, 2.0]","[1.0, 3.0]","[3.0, 1.0]","[1.0, 1.0]","[-2.7694, -3.6974]","[5.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.6582, -3.324]","[5.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[1.0, 1.0]","[-2.8143, -2.2051]","[5.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.8297, 0.8316]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.8925, 0.6474]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-3.0194, 0.6317]","[1.0, 3.0]","[3.0, 3.0]","[2.0, 1.0]","[1.0, 1.0]","[-3.0205, 0.6789]","[1.0, 3.0]","[3.0, 1.0]","[2.0, 1.0]","[1.0, 1.0]","[-2.6328, -0.7841]","[1.0, 2.0]","[3.0, 3.0]","[2.0, 2.0]","[2.0, 1.0]"
8.0,"[-1.4314, -2.6079, -2.7464, -2.5723, -1.178]","[2.0, 3.0, 5.0, 5.0, 2.0]","[3.0, 3.0, 3.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 1.0, 1.0, 2.0]","[-1.9442, -2.3893, -2.7521, -3.1423, -0.925]","[2.0, 3.0, 5.0, 1.0, 2.0]","[3.0, 3.0, 1.0, 3.0, 3.0]","[2.0, 3.0, 2.0, 2.0, 3.0]","[1.0, 1.0, 1.0, 1.0, 2.0]","[-3.1221, -2.3713, -2.7578, -4.0146, -0.8083]","[1.0, 3.0, 5.0, 1.0, 2.0]","[1.0, 3.0, 1.0, 1.0, 3.0]","[1.0, 2.0, 2.0, 2.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 2.0]","[-1.3133, -2.6993, -2.744, -2.4115, -1.2727]","[2.0, 3.0, 5.0, 5.0, 2.0]","[3.0, 3.0, 3.0, 1.0, 3.0]","[2.0, 3.0, 2.0, 3.0, 2.0]","[1.0, 1.0, 1.0, 1.0, 2.0]","[-3.4345, -2.81, -2.7624, -4.5465, -1.4353]","[1.0, 1.0, 5.0, 1.0, 2.0]","[3.0, 3.0, 1.0, 1.0, 3.0]","[1.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 1.0, 1.0, 1.0]","[-4.1165, -2.9846, -2.7788, -4.4594, -1.9188]","[1.0, 1.0, 5.0, 1.0, 2.0]","[3.0, 3.0, 3.0, 1.0, 3.0]","[1.0, 2.0, 2.0, 1.0, 2.0]","[2.0, 2.0, 1.0, 1.0, 1.0]","[0.5509, -3.2181, -2.8416, -3.468, -1.8256]","[1.0, 1.0, 5.0, 2.0, 2.0]","[1.0, 1.0, 3.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 1.0, 2.0]","[1.0, 2.0, 1.0, 1.0, 1.0]","[2.5992, -3.3498, -2.9332, -2.2931, -1.8021]","[1.0, 1.0, 5.0, 2.0, 2.0]","[1.0, 3.0, 1.0, 3.0, 3.0]","[2.0, 2.0, 1.0, 2.0, 2.0]","[2.0, 2.0, 1.0, 1.0, 1.0]","[1.8553, -2.5339, -2.9377, -0.8761, -1.8936]","[1.0, 1.0, 5.0, 2.0, 2.0]","[3.0, 3.0, 1.0, 3.0, 3.0]","[2.0, 2.0, 1.0, 2.0, 2.0]","[1.0, 2.0, 1.0, 1.0, 1.0]","[-1.7663, -2.106, -2.2628, -2.1556, -2.1953]","[1.0, 1.0, 2.0, 2.0, 2.0]","[3.0, 3.0, 1.0, 3.0, 3.0]","[2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 1.0, 1.0, 2.0, 1.0]"
9.0,[-2.6094],[5.0],[1.0],[3.0],[1.0],[-2.5469],[5.0],[1.0],[3.0],[1.0],[-2.6725],[5.0],[3.0],[2.0],[1.0],[-2.6399],[5.0],[1.0],[3.0],[1.0],[-4.0941],[1.0],[1.0],[1.0],[1.0],[-4.4741],[1.0],[1.0],[2.0],[2.0],[-4.1409],[1.0],[1.0],[2.0],[2.0],[-4.3232],[1.0],[3.0],[2.0],[2.0],[-3.8618],[1.0],[3.0],[2.0],[2.0],[-0.894],[1.0],[1.0],[2.0],[2.0]
