Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	canonical_features	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(nothing, 2, 0.01, 0.4, false)train_accuracy	T,(nothing, 2, 0.01, 0.4, false)K	T,(nothing, 2, 0.01, 0.4, false)accuracy	T,(nothing, 2, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.4, false)n_nodes	T,(nothing, 2, 0.01, 0.4, false)n_leaves	T,(nothing, 2, 0.01, 0.4, false)height	T,(nothing, 2, 0.01, 0.4, false)modal_height	T,(nothing, 2, 0.01, 0.4, false)t	T,(nothing, 2, 0.01, 0.4, false)hash	T,(nothing, 2, 0.01, 0.5, false)train_accuracy	T,(nothing, 2, 0.01, 0.5, false)K	T,(nothing, 2, 0.01, 0.5, false)accuracy	T,(nothing, 2, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.5, false)n_nodes	T,(nothing, 2, 0.01, 0.5, false)n_leaves	T,(nothing, 2, 0.01, 0.5, false)height	T,(nothing, 2, 0.01, 0.5, false)modal_height	T,(nothing, 2, 0.01, 0.5, false)t	T,(nothing, 2, 0.01, 0.5, false)hash	T,(nothing, 2, 0.01, 0.6, false)train_accuracy	T,(nothing, 2, 0.01, 0.6, false)K	T,(nothing, 2, 0.01, 0.6, false)accuracy	T,(nothing, 2, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 2, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 2, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 2, 0.01, 0.6, false)n_nodes	T,(nothing, 2, 0.01, 0.6, false)n_leaves	T,(nothing, 2, 0.01, 0.6, false)height	T,(nothing, 2, 0.01, 0.6, false)modal_height	T,(nothing, 2, 0.01, 0.6, false)t	T,(nothing, 2, 0.01, 0.6, false)hash	T,(nothing, 4, 0.01, 0.4, false)train_accuracy	T,(nothing, 4, 0.01, 0.4, false)K	T,(nothing, 4, 0.01, 0.4, false)accuracy	T,(nothing, 4, 0.01, 0.4, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.4, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.4, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.4, false)n_nodes	T,(nothing, 4, 0.01, 0.4, false)n_leaves	T,(nothing, 4, 0.01, 0.4, false)height	T,(nothing, 4, 0.01, 0.4, false)modal_height	T,(nothing, 4, 0.01, 0.4, false)t	T,(nothing, 4, 0.01, 0.4, false)hash	T,(nothing, 4, 0.01, 0.5, false)train_accuracy	T,(nothing, 4, 0.01, 0.5, false)K	T,(nothing, 4, 0.01, 0.5, false)accuracy	T,(nothing, 4, 0.01, 0.5, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.5, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.5, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.5, false)n_nodes	T,(nothing, 4, 0.01, 0.5, false)n_leaves	T,(nothing, 4, 0.01, 0.5, false)height	T,(nothing, 4, 0.01, 0.5, false)modal_height	T,(nothing, 4, 0.01, 0.5, false)t	T,(nothing, 4, 0.01, 0.5, false)hash	T,(nothing, 4, 0.01, 0.6, false)train_accuracy	T,(nothing, 4, 0.01, 0.6, false)K	T,(nothing, 4, 0.01, 0.6, false)accuracy	T,(nothing, 4, 0.01, 0.6, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.6, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.6, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.6, false)n_nodes	T,(nothing, 4, 0.01, 0.6, false)n_leaves	T,(nothing, 4, 0.01, 0.6, false)height	T,(nothing, 4, 0.01, 0.6, false)modal_height	T,(nothing, 4, 0.01, 0.6, false)t	T,(nothing, 4, 0.01, 0.6, false)hash	RF,(half_f, 50, 0.7, identity, nothing, false)train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)K	RF,(half_f, 50, 0.7, identity, nothing, false)accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)σ² train_accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² K	RF,(half_f, 50, 0.7, identity, nothing, false)σ² accuracy	RF,(half_f, 50, 0.7, identity, nothing, false)σ² macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_sensitivity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_specificity	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_PPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_NPV	RF,(half_f, 50, 0.7, identity, nothing, false)σ² safe_macro_F1	RF,(half_f, 50, 0.7, identity, nothing, false)σ² oob_error	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_trees	RF,(half_f, 50, 0.7, identity, nothing, false)σ² n_nodes	RF,(half_f, 50, 0.7, identity, nothing, false)t	RF,(half_f, 50, 0.7, identity, nothing, false)hash	
1	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.78	41.46	70.73	70.73	76.42	65.04	68.61	73.39	72.31	153	77	13	9	889.616	7aa67b9e8ca499ec3ecfefec308ae54ead5f9b7050cfd7e8734eb8091e4c5158	98.78	41.46	70.73	70.73	76.42	65.04	68.61	73.39	72.31	153	77	13	9	107.198	7aa67b9e8ca499ec3ecfefec308ae54ead5f9b7050cfd7e8734eb8091e4c5158	98.78	41.46	70.73	70.73	76.42	65.04	68.61	73.39	72.31	153	77	13	9	105.744	7aa67b9e8ca499ec3ecfefec308ae54ead5f9b7050cfd7e8734eb8091e4c5158	97.66	43.9	71.95	71.95	76.42	67.48	70.15	74.11	73.15	133	67	13	11	104.736	ab310f0d623149f12852c8f736d0ad43c48ebf16c7ccec7e70d9b854a537ac05	97.66	43.9	71.95	71.95	76.42	67.48	70.15	74.11	73.15	133	67	13	11	104.051	ab310f0d623149f12852c8f736d0ad43c48ebf16c7ccec7e70d9b854a537ac05	97.66	43.9	71.95	71.95	76.42	67.48	70.15	74.11	73.15	133	67	13	11	104.578	ab310f0d623149f12852c8f736d0ad43c48ebf16c7ccec7e70d9b854a537ac05	99.27	61.46	80.73	80.73	79.67	81.79	81.4	80.09	80.53	17.8	5000.0	502120.0	0.0	0.03	0.01	0.01	0.0	0.02	0.01	0.0	0.01	0.01	0.0	324520.0	4374.156	("62830587bbc969a05c1e04c678bd385d0fa3aa395465b4d54d20158257a18740", "bb3e13adfd29604d754f2608beb39124945f74518e32a2bd6858381cc28e817e", "6c123ad1b8d4c912c4e173a894b04588b7adc2b19afe49b9749178da1b5e661f", "4285455b41d5220116577cc3521309cdaa0f5a6d70c687eb216a1b096f9818d7", "be107bc7ca5ae31d5d7c392737c9608dc727e348f2bbedd295725015b05333cc")	
2	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.88	39.02	69.51	69.51	71.54	67.48	68.75	70.34	70.12	149	75	21	16	342.307	abe5c7322c51e4e75f9312df0eff98311a4a82b441d70209cf881dec99e6a930	98.88	39.02	69.51	69.51	71.54	67.48	68.75	70.34	70.12	149	75	21	16	128.446	abe5c7322c51e4e75f9312df0eff98311a4a82b441d70209cf881dec99e6a930	98.88	39.02	69.51	69.51	71.54	67.48	68.75	70.34	70.12	149	75	21	16	136.965	abe5c7322c51e4e75f9312df0eff98311a4a82b441d70209cf881dec99e6a930	97.45	42.28	71.14	71.14	73.98	68.29	70.0	72.41	71.94	133	67	21	16	138.081	b0f84693e77298a1397adb55c7bd387f971f5e0f4b0f6b8110c5108a2a871dae	97.45	42.28	71.14	71.14	73.98	68.29	70.0	72.41	71.94	133	67	21	16	138.838	b0f84693e77298a1397adb55c7bd387f971f5e0f4b0f6b8110c5108a2a871dae	97.45	42.28	71.14	71.14	73.98	68.29	70.0	72.41	71.94	133	67	21	16	137.241	b0f84693e77298a1397adb55c7bd387f971f5e0f4b0f6b8110c5108a2a871dae	99.53	58.54	79.27	79.27	76.75	81.79	80.87	77.87	78.74	18.33	5000.0	501560.0	0.0	0.04	0.01	0.01	0.02	0.06	0.04	0.01	0.01	0.0	0.0	121480.0	3594.928	("75b795fa92cb92b66e225f74a9e01a53cdab71b435be94c4733d578be83e2a70", "36f6abecb54200d983d696e0bce89dc334dac17f1f7f04d85ee3bdd7854731e8", "8451a08873acdfe328384b646d0db9f1aaacb8d5892562d5ba7f2a2a8f4ec528", "3e3e7fe48ff5e42da8908881ab4639e954f37bbaf717611773737b2435be9b69", "fba64994569c9ff1b557b5e8a37fe73028de7aece10ac3a5ebabcb13d1d44db0")	
3	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.78	53.66	76.83	76.83	73.17	80.49	78.95	75.0	75.95	153	77	13	10	195.168	417a5097d25b3d777042e4aec0add1a8d8dc0287ff53bc47adf340ac2df42ebe	98.78	53.66	76.83	76.83	73.17	80.49	78.95	75.0	75.95	153	77	13	10	71.987	417a5097d25b3d777042e4aec0add1a8d8dc0287ff53bc47adf340ac2df42ebe	98.78	53.66	76.83	76.83	73.17	80.49	78.95	75.0	75.95	153	77	13	10	70.733	417a5097d25b3d777042e4aec0add1a8d8dc0287ff53bc47adf340ac2df42ebe	97.05	51.22	75.61	75.61	72.36	78.86	77.39	74.05	74.79	137	69	10	8	70.173	58a5aa4ba8fbf615726b925e091b2ef299af1fe949c089eeb413be173a4346f5	97.05	51.22	75.61	75.61	72.36	78.86	77.39	74.05	74.79	137	69	10	8	66.566	58a5aa4ba8fbf615726b925e091b2ef299af1fe949c089eeb413be173a4346f5	97.05	51.22	75.61	75.61	72.36	78.86	77.39	74.05	74.79	137	69	10	8	71.664	58a5aa4ba8fbf615726b925e091b2ef299af1fe949c089eeb413be173a4346f5	99.47	66.02	83.01	83.01	78.54	87.48	86.27	80.3	82.21	18.74	5000.0	516800.0	0.0	0.01	0.0	0.0	0.01	0.02	0.01	0.0	0.0	0.0	0.0	245000.0	3865.42	("a867a986d7cbdd9a08539859d46e03320fdb3d6a07310eea557b4a133624f814", "7e86eae0cbade0638e26151bf133aed67196310aa45629ad567e2a8c9f5a29bd", "e42750e047475291caf9a695a20be4b0beb9ad2c9ea2265047b04f375484989f", "ab170f80dd3477253f43a87e2dac6bd99790665189f5c8c60e69b24c83139cd7", "cc348b02b35623f2f6630f311b6f079846dcd05bd57f44c9afe0e6c2c1e8e2e0")	
4	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.47	53.66	76.83	76.83	76.42	77.24	77.05	76.61	76.73	159	80	13	10	192.665	d2b5165c8219a7ba34c625ade273cfceea14f14079c7266f622c6991a991037b	98.47	53.66	76.83	76.83	76.42	77.24	77.05	76.61	76.73	159	80	13	10	143.215	d2b5165c8219a7ba34c625ade273cfceea14f14079c7266f622c6991a991037b	98.47	53.66	76.83	76.83	76.42	77.24	77.05	76.61	76.73	159	80	13	10	136.88	d2b5165c8219a7ba34c625ade273cfceea14f14079c7266f622c6991a991037b	97.45	52.03	76.02	76.02	74.8	77.24	76.67	75.4	75.72	141	71	12	11	105.77	4d2aea6774aee1b1d83e7b396daf7e16b5a844e4f6cdaa94a9fc4a7e7f68b100	97.45	52.03	76.02	76.02	74.8	77.24	76.67	75.4	75.72	141	71	12	11	111.304	4d2aea6774aee1b1d83e7b396daf7e16b5a844e4f6cdaa94a9fc4a7e7f68b100	97.45	52.03	76.02	76.02	74.8	77.24	76.67	75.4	75.72	141	71	12	11	112.454	4d2aea6774aee1b1d83e7b396daf7e16b5a844e4f6cdaa94a9fc4a7e7f68b100	99.43	62.76	81.38	81.38	77.56	85.2	84.0	79.15	80.65	18.19	5000.0	502800.0	0.0	0.04	0.01	0.01	0.01	0.03	0.03	0.01	0.01	0.0	0.0	202400.0	3910.084	("e70066eca4fbb5c57b4d6312a38c07e4e767c7a72ad8e012907c0620191791f3", "d841bbdf920f4726a379f8d8570222ec92c8d10cc9199d6a841012793263cad9", "adf23c5ee21725101723f2b1eed1826c8b2b5be8d5facadc2b68691bced4a3e1", "dce3ca0c16736ebc11a9a80ead11663903ae29fb4eef59bde6fb6230bbcb8824", "888304afdf31fa684f7380e4dffe2aeccd6c26f3d0292d5ffe8c7f9c84bad194")	
5	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.88	43.09	71.54	71.54	76.42	66.67	69.63	73.87	72.87	153	77	14	12	117.685	225f9e0cd194f50869a25d8811a553d635c437166200411572eeb98a24d60ca5	98.88	43.09	71.54	71.54	76.42	66.67	69.63	73.87	72.87	153	77	14	12	109.245	225f9e0cd194f50869a25d8811a553d635c437166200411572eeb98a24d60ca5	98.88	43.09	71.54	71.54	76.42	66.67	69.63	73.87	72.87	153	77	14	12	108.386	225f9e0cd194f50869a25d8811a553d635c437166200411572eeb98a24d60ca5	97.15	50.41	75.2	75.2	72.36	78.05	76.72	73.85	74.48	139	70	13	10	105.036	3f1d2213c0fdb445ffc02989c03af08f70b77c8ab6d44bcf31b7740d1c894572	97.15	50.41	75.2	75.2	72.36	78.05	76.72	73.85	74.48	139	70	13	10	104.805	3f1d2213c0fdb445ffc02989c03af08f70b77c8ab6d44bcf31b7740d1c894572	97.15	50.41	75.2	75.2	72.36	78.05	76.72	73.85	74.48	139	70	13	10	107.637	3f1d2213c0fdb445ffc02989c03af08f70b77c8ab6d44bcf31b7740d1c894572	99.55	68.13	84.07	84.07	80.16	87.97	86.99	81.62	83.42	19.23	5000.0	514320.0	0.0	0.03	0.01	0.01	0.03	0.04	0.03	0.01	0.01	0.0	0.0	59920.0	4133.163	("ee4e9a3db5cb133490d34f2d23d1bd08d3a84a1ea7211012cd3ef09900ba4e75", "7b0fc684d293f4cd3f1271f75d804fd80a74da5a4b81c4d408855e7180706fa1", "d65c46085ef8503952b96e7f146d9869aba0d5a0d0898c36ee697bac2d7d2e82", "16d0f46edc9f59c852b9ee5049f36c44c15727d4fea5de974288eb52e8559e42", "7464980fb3f8d1619e17e81298f41a06246652513cc30c1ffa2cd2e6459fa261")	
6	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.57	47.97	73.98	73.98	67.48	80.49	77.57	71.22	72.17	151	76	19	15	164.408	e8aeb568effe26553b566df040c561b263bbe79291891d29f6d7d3e044e41e56	98.57	47.97	73.98	73.98	67.48	80.49	77.57	71.22	72.17	151	76	19	15	157.247	e8aeb568effe26553b566df040c561b263bbe79291891d29f6d7d3e044e41e56	98.57	47.97	73.98	73.98	67.48	80.49	77.57	71.22	72.17	151	76	19	15	155.399	e8aeb568effe26553b566df040c561b263bbe79291891d29f6d7d3e044e41e56	96.84	41.46	70.73	70.73	69.11	72.36	71.43	70.08	70.25	137	69	18	15	161.718	56b0755cc1fa41abbd4b158ec4c9fa274da19a64335b8b4b5835c1ab23effaa4	96.84	41.46	70.73	70.73	69.11	72.36	71.43	70.08	70.25	137	69	18	15	150.764	56b0755cc1fa41abbd4b158ec4c9fa274da19a64335b8b4b5835c1ab23effaa4	96.84	41.46	70.73	70.73	69.11	72.36	71.43	70.08	70.25	137	69	18	15	150.219	56b0755cc1fa41abbd4b158ec4c9fa274da19a64335b8b4b5835c1ab23effaa4	99.47	59.67	79.84	79.84	78.21	81.46	80.84	78.9	79.5	18.49	5000.0	510680.0	0.0	0.02	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.0	465920.0	3606.705	("2ec387d90ebf31c9727b798287033423ccb0b50d83f9a6d235bce643dc626bb2", "870534ef80a2fe680f090cb55fba2aab3c15ae06678640fee2b864fe8fa079c7", "515bcdc1187e1b5156767b38faff553c10a839d170cb29f9a296d1630ab39bf7", "55f7df6c5e3007ef4b395d43a15449efc2fbc4c2145253140a53e4141f98cbc8", "b51aea5af3d7f11e0ac6bee63e56e924d0441851a8efc1e0728fad782dccff09")	
7	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.88	53.66	76.83	76.83	74.8	78.86	77.97	75.78	76.35	157	79	12	10	70.067	2fba4eb6b8bbc73941a0a519559c5f21a0b13deb505bd2b9d6a2ad9c2c36a5ad	98.88	53.66	76.83	76.83	74.8	78.86	77.97	75.78	76.35	157	79	12	10	67.906	2fba4eb6b8bbc73941a0a519559c5f21a0b13deb505bd2b9d6a2ad9c2c36a5ad	98.88	53.66	76.83	76.83	74.8	78.86	77.97	75.78	76.35	157	79	12	10	68.115	2fba4eb6b8bbc73941a0a519559c5f21a0b13deb505bd2b9d6a2ad9c2c36a5ad	97.56	52.85	76.42	76.42	73.17	79.67	78.26	74.81	75.63	139	70	12	10	68.49	e2bf681b69a79a7bb006c6fe4770df408679e1657db461bb7233190f4a061759	97.56	52.85	76.42	76.42	73.17	79.67	78.26	74.81	75.63	139	70	12	10	68.833	e2bf681b69a79a7bb006c6fe4770df408679e1657db461bb7233190f4a061759	97.56	52.85	76.42	76.42	73.17	79.67	78.26	74.81	75.63	139	70	12	10	69.761	e2bf681b69a79a7bb006c6fe4770df408679e1657db461bb7233190f4a061759	99.27	66.02	83.01	83.01	75.12	90.89	89.19	78.51	81.55	19.06	5000.0	516120.0	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	267520.0	5186.395	("b20e467157ba73c168a66bf9c4952ba8d85dade7bd461bbb401623b928acc28c", "ac6efe93a269ff96a207bdd4be161ae55edfb2178489154efb251521d97053d9", "753f76e08799779cddbf556cbbc6a5c1819845165c9fea94f6fb7c93f841c79b", "d5ee4334321ab8c833ff8c290ddbb45ad2977c615be397bbf5966229916d912c", "4670f51dd4d53168f1c149708c62f3c55142e52a6fe2ebe40ce5f1e0aeb5912d")	
8	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.47	54.47	77.24	77.24	79.67	74.8	75.97	78.63	77.78	157	79	13	11	117.241	c14fa4f2ccd18bc5e13b25afe7c0340f05a0792ee1df6cf83aa0b98dbc0bdbe4	98.47	54.47	77.24	77.24	79.67	74.8	75.97	78.63	77.78	157	79	13	11	116.529	c14fa4f2ccd18bc5e13b25afe7c0340f05a0792ee1df6cf83aa0b98dbc0bdbe4	98.47	54.47	77.24	77.24	79.67	74.8	75.97	78.63	77.78	157	79	13	11	117.867	c14fa4f2ccd18bc5e13b25afe7c0340f05a0792ee1df6cf83aa0b98dbc0bdbe4	97.05	54.47	77.24	77.24	78.05	76.42	76.8	77.69	77.42	143	72	14	11	78.039	191b12cc76a16ca3b3142b7c09106b3a5400110e0a07809874251ac107b61e4f	97.05	54.47	77.24	77.24	78.05	76.42	76.8	77.69	77.42	143	72	14	11	79.094	191b12cc76a16ca3b3142b7c09106b3a5400110e0a07809874251ac107b61e4f	97.05	54.47	77.24	77.24	78.05	76.42	76.8	77.69	77.42	143	72	14	11	78.891	191b12cc76a16ca3b3142b7c09106b3a5400110e0a07809874251ac107b61e4f	99.57	71.87	85.93	85.93	85.04	86.83	86.6	85.3	85.81	19.67	5000.0	524040.0	0.0	0.07	0.02	0.02	0.02	0.03	0.03	0.01	0.02	0.0	0.0	226080.0	4579.304	("aa4d4ea0762766a11ecff43f368217a5e3d0bfabefd0723c722ab408f2781e32", "bf541df29dd5a209fd67f3bb04d951e92cfcbdbd137d5c2822d704fe94a72456", "b5f26f8a30ed60d4cf2d6d2cc79d0e765483db3ff1de5e6678e0817bada71114", "6ee5a408181a871d6e24ab6bb3c497036218116361b92742ab12b52235e09406", "06341bf3e72084d633f17db32e9ed335a04c8471392f3d29eccc99e40cd020b9")	
9	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.57	51.22	75.61	75.61	73.17	78.05	76.92	74.42	75.0	155	78	14	11	114.82	fa134031ef7d9712b20f64e959d7e1f21043d404b359596229c9bcf970f7f7b8	98.57	51.22	75.61	75.61	73.17	78.05	76.92	74.42	75.0	155	78	14	11	107.524	fa134031ef7d9712b20f64e959d7e1f21043d404b359596229c9bcf970f7f7b8	98.57	51.22	75.61	75.61	73.17	78.05	76.92	74.42	75.0	155	78	14	11	108.122	fa134031ef7d9712b20f64e959d7e1f21043d404b359596229c9bcf970f7f7b8	97.35	46.34	73.17	73.17	73.17	73.17	73.17	73.17	73.17	143	72	15	11	100.279	a247db222fe36468bc18f0e2d9d9747b6c09365e47e315aec183c24ba98caf68	97.35	46.34	73.17	73.17	73.17	73.17	73.17	73.17	73.17	143	72	15	11	100.772	a247db222fe36468bc18f0e2d9d9747b6c09365e47e315aec183c24ba98caf68	97.35	46.34	73.17	73.17	73.17	73.17	73.17	73.17	73.17	143	72	15	11	99.389	a247db222fe36468bc18f0e2d9d9747b6c09365e47e315aec183c24ba98caf68	99.53	60.33	80.16	80.16	78.21	82.11	81.39	79.05	79.76	17.64	5000.0	504800.0	0.0	0.03	0.01	0.01	0.03	0.0	0.0	0.02	0.01	0.0	0.0	180800.0	3861.285	("ffa520ff3b6e813c697e2fa91b30957000d3c691ccd2ebe83313b2f4393ab391", "df68ace504d1eb73bf1bed05079a1719bc7e470ba0b96a00f636040e08b47a6d", "17f3f29bc81af5dbf5112f638db6926bda720f1c247d40e713487e8086726a1e", "8c6a1c7ff853775fa0ebb6d59772b06b798695259970088870a0c7dfc44f0b8f", "14aba53563ab416886cefdfc2fe1b17e1ef1f3747c3709b9db77befa95e04d54")	
10	20.0	autocor	200	700	semitone	16000	true	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	982	246	(491, 491)	(123, 123)	[60]	[(44,)]	98.47	47.15	73.58	73.58	72.36	74.8	74.17	73.02	73.25	153	77	14	11	146.051	47793e58ce0bc322901116f52bd31aaec1d5a0d500b32552da1c8f64989d0a78	98.47	47.15	73.58	73.58	72.36	74.8	74.17	73.02	73.25	153	77	14	11	130.714	47793e58ce0bc322901116f52bd31aaec1d5a0d500b32552da1c8f64989d0a78	98.47	47.15	73.58	73.58	72.36	74.8	74.17	73.02	73.25	153	77	14	11	143.39	47793e58ce0bc322901116f52bd31aaec1d5a0d500b32552da1c8f64989d0a78	97.66	41.46	70.73	70.73	72.36	69.11	70.08	71.43	71.2	137	69	14	11	138.784	0fe7937a5c644799040cc805ffa772b53b69c599d8a40e83c2b860893b111029	97.66	41.46	70.73	70.73	72.36	69.11	70.08	71.43	71.2	137	69	14	11	153.803	0fe7937a5c644799040cc805ffa772b53b69c599d8a40e83c2b860893b111029	97.66	41.46	70.73	70.73	72.36	69.11	70.08	71.43	71.2	137	69	14	11	158.485	0fe7937a5c644799040cc805ffa772b53b69c599d8a40e83c2b860893b111029	99.53	60.16	80.08	80.08	77.24	82.93	81.91	78.46	79.5	18.07	5000.0	500200.0	0.0	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.0	177000.0	5190.047	("9612aeb41a72c91ece5c60e7dbe36e37a222c7baf1a4fecd2c8cbdd5943b68da", "091a4c70ce6b5c85af7051004d53ff086b7b88a252c0ed3252da948a06770d67", "e8e7d7d801e9fc6fef1ef8c788efde47059df91c0f71c0b8fca631d8729d07fe", "d6bf0ee2a695c73376b24b9d806fd2ab3986dcf5318923804297ee6b10e3dac6", "b78331b1f01b9028c5fa8cdf03c1d9fe6491153030481d7f59c19b73900e9940")	
