Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
10	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas	(94.0, 94.38, 94.38, 99.63, 94.54, 99.63, 94.32, 151.944)	
1	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(89.0, 89.69, 89.69, 99.31, 89.84, 99.32, 89.55, 4855.501)	
2	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(89.33, 90.0, 90.0, 99.33, 90.24, 99.34, 89.92, 4532.504)	
3	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(91.33, 91.88, 91.88, 99.46, 92.5, 99.46, 91.89, 2504.35)	
4	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(91.33, 91.88, 91.87, 99.46, 91.96, 99.46, 91.78, 1144.348)	
5	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(92.0, 92.5, 92.5, 99.5, 92.67, 99.5, 92.36, 1505.41)	
6	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(88.67, 89.38, 89.38, 99.29, 89.98, 99.29, 89.47, 1244.603)	
7	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(88.33, 89.06, 89.06, 99.27, 89.58, 99.27, 88.97, 636.395)	
8	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(91.67, 92.19, 92.19, 99.48, 92.73, 99.48, 92.1, 562.597)	
9	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(92.33, 92.81, 92.81, 99.52, 93.37, 99.52, 92.8, 686.023)	
10	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas	(91.33, 91.88, 91.88, 99.46, 91.97, 99.46, 91.74, 442.336)	
1	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(88.67, 89.38, 89.38, 99.29, 89.44, 99.29, 89.25, 6730.402)	
2	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(89.33, 90.0, 90.0, 99.33, 90.23, 99.34, 89.92, 6199.502)	
3	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(91.67, 92.19, 92.19, 99.48, 92.79, 99.48, 92.2, 3250.373)	
4	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(91.0, 91.56, 91.56, 99.44, 91.89, 99.44, 91.39, 1376.487)	
5	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(91.67, 92.19, 92.19, 99.48, 92.4, 99.48, 92.05, 1629.972)	
6	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(88.67, 89.38, 89.38, 99.29, 90.03, 99.29, 89.49, 1559.282)	
7	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(88.33, 89.06, 89.06, 99.27, 89.58, 99.27, 88.97, 636.875)	
8	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(92.67, 93.12, 93.12, 99.54, 93.6, 99.54, 93.15, 532.258)	
9	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(91.0, 91.56, 91.56, 99.44, 92.23, 99.44, 91.6, 641.614)	
10	((3,7),false,"o_RCC5","TestOp"),100,-1,Salinas	(91.33, 91.88, 91.87, 99.46, 91.92, 99.46, 91.81, 353.409)	
1	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(75.0, 77.78, 77.78, 97.22, 77.99, 97.23, 77.71, 1256.941)	
2	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(82.5, 84.44, 84.44, 98.06, 85.22, 98.08, 84.13, 559.968)	
3	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(78.12, 80.56, 80.56, 97.57, 80.61, 97.57, 80.57, 2306.658)	
4	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(81.88, 83.89, 83.89, 97.99, 84.32, 97.99, 83.95, 406.011)	
5	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(76.88, 79.44, 79.44, 97.43, 79.44, 97.44, 79.29, 652.347)	
6	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(78.75, 81.11, 81.11, 97.64, 81.43, 97.64, 81.17, 463.488)	
7	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(78.12, 80.56, 80.56, 97.57, 81.36, 97.58, 80.57, 3703.584)	
8	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(82.5, 84.44, 84.44, 98.06, 85.06, 98.08, 84.2, 404.027)	
9	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(79.38, 81.67, 81.67, 97.71, 81.86, 97.74, 81.22, 444.757)	
10	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(83.75, 85.56, 85.56, 98.19, 85.65, 98.2, 85.51, 402.665)	
1	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(77.5, 80.0, 80.0, 97.5, 80.81, 97.5, 80.09, 15906.595)	
2	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(78.12, 80.56, 80.56, 97.57, 81.92, 97.59, 80.5, 4251.343)	
3	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(81.25, 83.33, 83.33, 97.92, 83.39, 97.93, 83.18, 2237.816)	
4	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(80.62, 82.78, 82.78, 97.85, 83.72, 97.87, 82.6, 838.988)	
5	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(81.88, 83.89, 83.89, 97.99, 84.2, 98.0, 83.78, 1241.587)	
6	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(76.88, 79.44, 79.44, 97.43, 80.61, 97.47, 78.96, 4191.37)	
7	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(78.12, 80.56, 80.56, 97.57, 81.21, 97.58, 80.55, 520.355)	
8	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(81.88, 83.89, 83.89, 97.99, 84.73, 98.02, 83.51, 555.978)	
9	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(75.0, 77.78, 77.78, 97.22, 76.87, 97.24, 77.17, 1912.771)	
10	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(81.88, 83.89, 83.89, 97.99, 84.17, 98.0, 83.8, 777.515)	
1	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.54, 99.5, 97.5, 5747.843)	
2	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.41, 99.67, 98.33, 1434.085)	
3	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(99.0, 99.17, 99.17, 99.83, 99.21, 99.83, 99.17, 435.39)	
4	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.83, 99.51, 97.53, 378.996)	
5	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.48, 99.67, 98.33, 285.617)	
6	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.75, 99.34, 96.67, 285.631)	
7	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.65, 99.51, 97.5, 286.474)	
8	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.99, 99.34, 96.7, 6156.117)	
9	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.37, 99.67, 98.33, 285.642)	
10	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(99.0, 99.17, 99.17, 99.83, 99.21, 99.83, 99.17, 284.029)	
1	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.48, 99.67, 98.33, 16338.586)	
2	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.48, 99.67, 98.33, 9865.065)	
3	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.58, 99.51, 97.48, 2309.29)	
4	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(95.0, 95.83, 95.83, 99.17, 96.43, 99.19, 95.85, 760.237)	
5	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.48, 99.67, 98.33, 441.79)	
6	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 97.03, 99.35, 96.68, 311.742)	
7	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.61, 99.5, 97.5, 331.013)	
8	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.99, 99.34, 96.7, 380.488)	
9	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.5, 99.5, 97.48, 358.901)	
10	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.41, 99.67, 98.31, 331.985)	
1	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(85.62, 87.22, 87.22, 98.4, 87.64, 98.41, 87.17, 6971.62)	
2	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(91.25, 92.22, 92.22, 99.03, 92.72, 99.03, 92.24, 5119.693)	
3	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(88.75, 90.0, 90.0, 98.75, 90.28, 98.75, 90.02, 1972.043)	
4	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(87.5, 88.89, 88.89, 98.61, 89.82, 98.64, 88.61, 1441.243)	
5	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(89.38, 90.56, 90.56, 98.82, 90.96, 98.83, 90.51, 358.83)	
6	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(85.62, 87.22, 87.22, 98.4, 87.97, 98.4, 87.46, 345.581)	
7	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(88.13, 89.44, 89.44, 98.68, 90.07, 98.69, 89.51, 872.203)	
8	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(93.12, 93.89, 93.89, 99.24, 94.39, 99.24, 93.88, 676.813)	
9	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(90.63, 91.67, 91.67, 98.96, 92.2, 98.97, 91.63, 1952.489)	
10	((3,7),false,"o_RCC8","TestOpAll"),100,-1,PaviaCentre	(90.0, 91.11, 91.11, 98.89, 91.76, 98.9, 91.11, 874.037)	
1	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(86.87, 88.33, 88.33, 98.54, 88.66, 98.55, 88.29, 8895.081)	
2	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(90.63, 91.67, 91.67, 98.96, 91.78, 98.96, 91.63, 7449.534)	
3	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(88.75, 90.0, 90.0, 98.75, 90.28, 98.75, 90.02, 2118.642)	
4	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(90.0, 91.11, 91.11, 98.89, 91.52, 98.9, 91.06, 2060.789)	
5	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(87.5, 88.89, 88.89, 98.61, 89.84, 98.63, 88.82, 6761.607)	
6	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(86.87, 88.33, 88.33, 98.54, 88.75, 98.54, 88.38, 741.859)	
7	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(90.63, 91.67, 91.67, 98.96, 91.83, 98.96, 91.7, 685.359)	
8	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(92.5, 93.33, 93.33, 99.17, 93.94, 99.18, 93.29, 595.971)	
9	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(88.13, 89.44, 89.44, 98.68, 90.03, 98.69, 89.43, 2352.136)	
10	((3,7),false,"o_RCC5","TestOpAll"),100,-1,PaviaCentre	(91.25, 92.22, 92.22, 99.03, 92.65, 99.03, 92.24, 848.69)	
1	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(75.91, 77.92, 77.92, 97.99, 77.87, 98.0, 77.65, 15086.839)	
2	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(73.18, 75.42, 75.42, 97.77, 76.39, 97.78, 75.29, 11556.077)	
3	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(75.45, 77.5, 77.5, 97.95, 77.52, 97.96, 77.22, 2012.29)	
4	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(73.64, 75.83, 75.83, 97.8, 77.15, 97.81, 76.08, 4389.248)	
5	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(78.18, 80.0, 80.0, 98.18, 81.16, 98.19, 80.13, 6986.579)	
6	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(71.36, 73.75, 73.75, 97.61, 76.3, 97.63, 73.94, 978.099)	
7	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(74.09, 76.25, 76.25, 97.84, 76.4, 97.85, 76.11, 997.494)	
8	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(74.09, 76.25, 76.25, 97.84, 76.03, 97.86, 75.52, 3086.933)	
9	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(73.64, 75.83, 75.83, 97.8, 76.61, 97.8, 76.01, 5436.583)	
10	((3,7),false,"o_RCC8","TestOpAll"),100,-1,IndianPines	(72.27, 74.58, 74.58, 97.69, 75.07, 97.71, 74.11, 1116.103)	
1	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(72.73, 75.0, 75.0, 97.73, 74.94, 97.74, 74.64, 28911.982)	
2	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(68.18, 70.83, 70.83, 97.35, 73.07, 97.36, 70.99, 12365.233)	
3	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(72.27, 74.58, 74.58, 97.69, 75.48, 97.7, 74.51, 4094.263)	
4	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(77.27, 79.17, 79.17, 98.11, 79.73, 98.11, 79.02, 9381.532)	
5	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(73.64, 75.83, 75.83, 97.8, 76.36, 97.82, 75.47, 13310.76)	
6	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(67.27, 70.0, 70.0, 97.27, 72.17, 97.28, 70.26, 3393.801)	
7	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(77.27, 79.17, 79.17, 98.11, 79.22, 98.12, 78.69, 2417.172)	
8	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(71.36, 73.75, 73.75, 97.61, 73.01, 97.63, 72.98, 2320.459)	
9	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(72.27, 74.58, 74.58, 97.69, 75.32, 97.69, 74.7, 1349.339)	
10	((3,7),false,"o_RCC5","TestOpAll"),100,-1,IndianPines	(72.73, 75.0, 75.0, 97.73, 74.95, 97.74, 74.59, 1696.921)	
1	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(91.0, 91.56, 91.56, 99.44, 92.3, 99.44, 91.54, 26168.886)	
2	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(89.33, 90.0, 90.0, 99.33, 90.57, 99.34, 89.94, 15116.558)	
3	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(92.0, 92.5, 92.5, 99.5, 92.36, 99.5, 92.29, 6027.256)	
4	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(91.0, 91.56, 91.56, 99.44, 92.1, 99.44, 91.57, 3025.24)	
5	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(90.0, 90.62, 90.62, 99.37, 91.04, 99.38, 90.54, 5574.505)	
6	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(89.33, 90.0, 90.0, 99.33, 90.52, 99.33, 90.15, 2486.701)	
7	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(90.33, 90.94, 90.94, 99.4, 91.24, 99.4, 90.87, 6819.057)	
8	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(95.0, 95.31, 95.31, 99.69, 95.41, 99.69, 95.31, 1767.95)	
9	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(91.0, 91.56, 91.56, 99.44, 92.19, 99.44, 91.53, 4446.459)	
10	((3,7),false,"o_RCC8","TestOpAll"),100,-1,Salinas	(92.0, 92.5, 92.5, 99.5, 93.01, 99.5, 92.55, 1644.59)	
1	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(91.0, 91.56, 91.56, 99.44, 92.3, 99.44, 91.54, 38962.408)	
2	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(90.0, 90.62, 90.62, 99.38, 91.24, 99.38, 90.59, 26255.818)	
3	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(93.33, 93.75, 93.75, 99.58, 93.82, 99.59, 93.62, 8856.45)	
4	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(91.67, 92.19, 92.19, 99.48, 92.7, 99.48, 92.21, 2775.44)	
5	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(90.67, 91.25, 91.25, 99.42, 91.7, 99.42, 91.15, 4375.787)	
6	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(89.33, 90.0, 90.0, 99.33, 90.52, 99.33, 90.15, 1750.397)	
7	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(90.33, 90.94, 90.94, 99.4, 91.24, 99.4, 90.87, 6696.05)	
8	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(95.0, 95.31, 95.31, 99.69, 95.42, 99.69, 95.3, 1343.952)	
9	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(89.67, 90.31, 90.31, 99.35, 90.96, 99.36, 90.36, 4327.794)	
10	((3,7),false,"o_RCC5","TestOpAll"),100,-1,Salinas	(90.33, 90.94, 90.94, 99.4, 91.66, 99.4, 91.08, 2123.194)	
1	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(68.13, 71.67, 71.67, 96.46, 71.67, 96.48, 71.36, 173.647)	
2	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(66.25, 70.0, 70.0, 96.25, 69.94, 96.26, 69.87, 220.894)	
3	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(60.0, 64.44, 64.44, 95.56, 66.28, 95.56, 64.76, 166.163)	
4	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(50.63, 56.11, 56.11, 94.51, 57.22, 94.52, 56.27, 147.146)	
5	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(65.62, 69.44, 69.44, 96.18, 71.53, 96.22, 69.22, 164.912)	
6	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(64.38, 68.33, 68.33, 96.04, 69.91, 96.05, 68.47, 193.5)	
7	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(61.88, 66.11, 66.11, 95.76, 66.57, 95.78, 65.96, 207.65)	
8	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(55.0, 60.0, 60.0, 95.0, 61.04, 95.07, 58.94, 167.616)	
9	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(59.37, 63.89, 63.89, 95.49, 67.6, 95.51, 64.28, 155.327)	
10	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(60.63, 65.0, 65.0, 95.62, 66.54, 95.67, 64.64, 166.769)	
