Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
7	((3,7),false,"o_RCC5","TestOp"),100,-1,Pavia	(79.38, 81.67, 81.67, 97.71, 81.98, 97.72, 81.45, 200.61)	
8	((3,7),false,"o_RCC5","TestOp"),100,-1,Pavia	(78.75, 81.11, 81.11, 97.64, 81.92, 97.64, 81.35, 96.423)	
9	((3,7),false,"o_RCC5","TestOp"),100,-1,Pavia	(78.75, 81.11, 81.11, 97.64, 81.84, 97.66, 80.92, 180.236)	
10	((3,7),false,"o_RCC5","TestOp"),100,-1,Pavia	(76.25, 78.89, 78.89, 97.36, 79.81, 97.37, 79.01, 361.915)	
1	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.83, 99.51, 97.49, 4.181)	
2	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.82, 99.34, 96.66, 4.392)	
3	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(93.0, 94.17, 94.17, 98.83, 94.5, 98.86, 94.08, 4.313)	
4	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(92.0, 93.33, 93.33, 98.67, 93.35, 98.67, 93.29, 4.761)	
5	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(92.0, 93.33, 93.33, 98.67, 93.53, 98.68, 93.3, 4.558)	
6	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(95.0, 95.83, 95.83, 99.17, 95.91, 99.17, 95.81, 5.082)	
7	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(94.0, 95.0, 95.0, 99.0, 95.25, 99.02, 94.9, 4.738)	
8	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.58, 99.5, 97.5, 4.342)	
9	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.86, 99.34, 96.66, 4.389)	
10	((1,7),false,"o_None","TestOpGeq"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.58, 99.51, 97.48, 4.738)	
1	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(60.0, 66.67, 66.67, 93.33, 67.14, 93.36, 66.57, 41.458)	
2	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(62.0, 68.33, 68.33, 93.67, 69.36, 93.69, 68.41, 38.669)	
3	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(70.0, 75.0, 75.0, 95.0, 75.22, 95.04, 74.77, 38.418)	
4	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(72.0, 76.67, 76.67, 95.33, 77.33, 95.38, 76.49, 39.68)	
5	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(71.0, 75.83, 75.83, 95.17, 76.91, 95.19, 75.95, 38.867)	
6	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(69.0, 74.17, 74.17, 94.83, 75.54, 94.91, 74.0, 39.521)	
7	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(54.0, 61.67, 61.67, 92.33, 64.64, 92.47, 61.23, 41.109)	
8	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(57.0, 64.17, 64.17, 92.83, 64.44, 92.85, 64.13, 39.495)	
9	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(68.0, 73.33, 73.33, 94.67, 74.11, 94.72, 73.16, 41.421)	
10	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Salinas-A	(65.0, 70.83, 70.83, 94.17, 73.18, 94.28, 70.41, 38.04)	
1	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.66, 99.34, 96.64, 1684.727)	
2	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.61, 99.5, 97.5, 1387.339)	
3	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(94.0, 95.0, 95.0, 99.0, 95.52, 99.03, 94.91, 352.336)	
4	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(93.0, 94.17, 94.17, 98.83, 94.95, 98.86, 94.19, 131.282)	
5	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.41, 99.67, 98.33, 128.201)	
6	((3,7),false,"o_RCC8","TestOp"),100,-1,Salinas-A	(96.0, 96.67, 96.67, 99.33, 96.86, 99.34, 96.66, 90.545)	
