Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	use_catch22	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.2)train_accuracy	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)train_accuracy	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
2	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	94.39	64.29	66.67	66.67	66.67	97.62	64.85	97.66	64.08	107	16.786	b273b0de1a0984671a5a8ffd122499ab28e48367d2c7da3fba9db190e8c1e21b	89.82	64.29	66.67	66.67	66.67	97.62	66.91	97.66	64.06	75	2.93	1c78e53a3ba47c05632ea9225768d8129a12211d14b206f23175ffdda17dd388	88.42	65.71	68.0	68.0	68.0	97.71	67.66	97.75	65.89	85	3.443	cc31db0098804a8186a46b90cc689430b6c5e646e5e531a11a1d9a0598aed211	84.91	64.29	66.67	66.67	66.67	97.62	67.02	97.66	64.53	65	2.97	ecb19a992b600abf71cd3530bc9a29ae42633fc0298db9d75c72dd0f9576f2d6	
3	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	94.39	62.86	65.33	65.33	65.33	97.52	68.49	97.55	64.14	111	5.295	ed2333b2cf1112d35039a5e90e3d54bbe1b03a056feaaee0deda909245492d55	88.07	64.29	66.67	66.67	66.67	97.62	66.71	97.65	65.09	67	2.545	9126f67fc1b236835b303d7a76da05712df47fb1b6e34dbb8cb2f5e4c4e14727	86.67	60.0	62.67	62.67	62.67	97.33	66.5	97.36	61.39	81	2.593	ea828d4f8aa658b1f876605d1890041d6f5b1359663af159dfcc83588a38070a	84.21	61.43	64.0	64.0	64.0	97.43	63.9	97.46	62.54	55	2.492	7bfcd30c8d112150dde878be0548afc850fda17e9cf27ba7769db03415294caa	
4	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	94.74	55.71	58.67	58.67	58.67	97.05	62.56	97.08	57.56	101	6.148	16e92a1660f884f03731468526d312d4bb72e8820e884c22b6337ec6f3e67dc5	92.28	57.14	60.0	60.0	60.0	97.14	62.46	97.16	59.4	73	2.207	67c9d0bf3edd97abdce8330d0e063b08bd131d2f5a27ad69e26b4d99a7c4fa0b	88.77	57.14	60.0	60.0	60.0	97.14	64.87	97.17	59.57	79	2.193	79406439125b7b81858e0e47fd304f542ff0280dfdffd0cb8c4807092c9115f5	88.42	57.14	60.0	60.0	60.0	97.14	63.53	97.16	59.53	67	2.161	496d36900133c6ed90481256a8f260392ae581d772f9f496c613bbe581ddaeb6	
5	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	94.74	78.57	80.0	80.0	80.0	98.57	80.98	98.59	79.47	109	5.624	d1ae49ee0e21ea4872066844bf2082f1211a03881bc7c0e268189328f443a4d2	91.23	74.29	76.0	76.0	76.0	98.29	76.86	98.31	75.16	77	2.959	3f22c5b595c70c73827e4cf0b51ddcbfc896d574090f001202d1577f271dad17	89.82	72.86	74.67	74.67	74.67	98.19	77.43	98.21	74.28	81	3.116	156ae0d073f08c903a20bc984143e0a5bc9fcba97e60d62154a900f5f9d7c277	89.47	71.43	73.33	73.33	73.33	98.1	76.08	98.12	72.66	73	2.989	f1d873f8bd2eff67fe5775103d6ae510d18b4c1ea16df1196fb5b4b721f44a58	
6	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	94.39	67.14	69.33	69.33	69.33	97.81	73.98	97.83	69.37	111	4.543	2718768d598ccf792dae3a11eebbd79ebf1a52977fbb148e2b1712f6c929dc72	90.53	67.14	69.33	69.33	69.33	97.81	74.83	97.82	70.12	75	2.564	9be6349b40218d4f880ccd74dd65699d066e551cf8db5b8124d6bef5f5a586c7	89.82	70.0	72.0	72.0	72.0	98.0	76.34	98.02	72.08	83	2.553	cd4bf619928af4f87501f7275d8f8c1b9c6820412c81d7d8d30e220e4b4f8846	88.77	65.71	68.0	68.0	68.0	97.71	74.32	97.71	69.34	67	2.513	051e713fb21bec63873da92f63298aee690f3c3fcb5a16f39ca9270dea4f0244	
7	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	94.04	68.57	70.67	70.67	70.67	97.9	72.32	97.95	67.87	109	3.259	0315ae084b9692cf7c2e7ed64947f51d303c3cad332e95cfb205aa0331450d07	91.23	62.86	65.33	65.33	65.33	97.52	70.3	97.59	61.94	79	2.181	2c37e79c809df8eebe235e8bb6e04344853606ec44e55bc46c2bbbb6eeaa2363	87.02	64.29	66.67	66.67	66.67	97.62	75.61	97.68	64.88	85	2.313	6ab623016f83eeaa4a95dd987a839d613cd6319ccac4ab7854c9bffc98d0b78c	87.02	62.86	65.33	65.33	65.33	97.52	70.42	97.61	61.39	67	2.169	7be2469c316c9cbf4ee5414c7a262064aa8577b3ec127d2cb0b981c8a274adb1	
8	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	95.44	62.86	65.33	65.33	65.33	97.52	66.13	97.57	62.41	109	4.426	a8f09bdd0bc561f3d69517b3fd2895d17d4ea095a1cb3643f54348d341fe2443	89.12	57.14	60.0	60.0	60.0	97.14	60.19	97.19	57.68	69	3.153	71beed4568f583c15dc43b35333342c9509635849b94436c820696f8d8ddd73f	89.47	57.14	60.0	60.0	60.0	97.14	63.09	97.19	57.62	85	3.21	20c1384c40e9af86c0d82f2db96113fa1c1126a32249b232184d1de844e17d02	87.02	57.14	60.0	60.0	60.0	97.14	60.31	97.19	57.79	63	3.147	1aed91cbc48ddd654be14f3f8e9f69daaf8dd152333400bec8636834e3998d6d	
9	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	93.68	62.86	65.33	65.33	65.33	97.52	66.91	97.55	64.55	105	2.736	81b3469f4c6257f39a3cf809fd3bd877b05b0e6f9dc2a4bec70375a039c16bb5	85.96	52.86	56.0	56.0	56.0	96.86	56.94	96.89	54.07	67	2.543	d3a522526e6b1e097cc16240c845f200c113e12025ca02ab972cea05a47341f0	88.07	51.43	54.67	54.67	54.67	96.76	57.11	96.8	53.18	81	2.559	6687192105b31701a3fe63778d1974e710eaf9929dd9337daf7ac01a6ae68bdf	83.51	50.0	53.33	53.33	53.33	96.67	54.69	96.71	51.2	57	2.531	ac48fa4c7dc29944db3edbd8e6acde3c239131a72922d6a0d63be4278f905df8	
1	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	93.26	39.46	49.24	36.85	36.85	95.68	37.59	95.67	36.95	1395	637.483	07a9c2c837d5315aee8e0715bbaffd921ea048114069578c5b308f5db4e5d7a4	87.82	39.75	50.15	36.17	36.17	95.68	36.72	95.73	36.25	921	196.414	11543b5dc8b4458bb9400d05d96a153a769cbf65bd9e28f5e7bbf593953bf5c5	85.43	41.46	51.16	38.49	38.49	95.82	40.04	95.84	39.01	1017	189.443	1182637e089a3b11b7d618cf2ad6ab2e7f6d08940082493bc7aaf8babc9c6544	82.49	41.23	51.46	37.68	37.68	95.79	39.18	95.86	38.17	741	190.425	4378dacec81ef693601ec0b2e5b685adad1334be9242782bcc07c13c5f0f70c3	
2	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	93.34	37.59	47.83	32.24	32.24	95.54	32.86	95.55	32.49	1405	462.416	08c735b10f8a182afa2f731c07803dbe9f18d7ed9a4351d97af8c1a59070b8fe	87.65	39.31	49.75	32.8	32.8	95.65	32.74	95.71	32.69	909	222.317	59fd1f72a134fd793ba0972bd7302d5488eb9bc0a47bb09b73a1e3074e09670b	86.12	37.59	47.73	31.74	31.74	95.56	32.12	95.56	31.89	1001	221.45	7562584658a3c0ddd3461ee11d03446ed805f2bf4110633a9a17e6ab893d4eda	83.17	40.12	50.15	32.55	32.55	95.74	32.18	95.78	32.31	753	220.543	7f438a03d5f8e89b78353e0cf34f56da42fd06eee250a4851499445b7c07015f	
