Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	use_catch22	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.2)train_accuracy	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)train_accuracy	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
3	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	92.76	37.73	47.33	37.66	37.66	95.59	38.19	95.55	37.51	1405	335.434	9b92a6f260ca87a388ea7fd78d67abb52865599ef597ea2f19ab54eb7514d4a6	87.34	38.91	49.04	35.29	35.29	95.65	NaN	95.67	35.71	923	164.74	2f6535a718ea225a0c0660ad9535a7adb57bb9e8941850a3ae8275efb4ed533c	85.46	37.57	47.53	35.74	35.74	95.56	NaN	95.54	35.59	1015	178.944	8e03d36889d0c64a9f8661437ae83aa331b1d4a64270633fb802aa8d972884ea	82.69	39.4	49.55	35.91	35.91	95.68	NaN	95.7	36.22	763	159.717	1cf8e2e653bc8cbf936a1c7d644eca7c91b9851ad31617275c1e3d6af62bc3d8	
4	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	93.34	35.68	45.81	33.15	33.15	95.45	32.42	95.42	32.49	1337	348.204	0bd21f08bea26e7c523ed3ee194c327742f2b472cea4c7e6c39354160b717a85	89.25	37.21	47.73	34.46	34.46	95.52	34.22	95.55	34.03	929	248.431	769b73f7cc1867eb5c8d46070df16c52dd21a28d7b37750e7defe20816bf4f9d	86.27	35.5	46.01	31.74	31.74	95.43	31.67	95.42	31.4	983	252.154	c3d2f1139472471bf3e7a8c1d7439769903ad79fe90421e48c923fb64757caa0	84.37	36.19	46.82	31.49	31.49	95.47	31.08	95.49	31.07	761	251.013	30bcdf774878d6e57735a55f338301bed582a2b18947b2c0c3f32fd495f037e5	
5	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	93.49	36.44	46.52	34.07	34.07	95.48	36.9	95.46	34.85	1391	342.281	ca75eefb3bd9461fae9bc1fe34f408ba35a515c0e4d4718fac0289f419bfc20e	87.8	37.91	48.34	33.83	33.83	95.57	36.12	95.6	34.4	937	224.944	cfed9cedc35f871dd9be14126976c1d3174ba194345084fdb79de1a62ec22856	86.2	35.8	46.22	32.01	32.01	95.44	35.54	95.43	33.3	1021	234.644	41239e8d8b6e24776c1c148e5e4aca4daa81e154ab408366d63ec731c37f5bad	83.22	37.24	47.83	32.75	32.75	95.53	35.3	95.56	33.67	763	221.401	44ef8a32370d4719a409433317c739f5e1c1fed4d2618f9e33a7f6cda99a12ed	
6	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	93.85	37.37	47.53	33.3	33.3	95.53	NaN	95.52	33.06	1387	253.377	0e7aaeca61b20914daa4885d83b721568aec24c1ec88de214f8066b07d84a5e2	88.36	39.55	49.75	32.99	32.99	95.68	NaN	95.71	32.93	925	182.143	f5bc9218e5c5855901aec27a950d9bd6f29c639cea624c6af095c2f317953781	85.97	38.58	48.64	34.17	34.17	95.62	33.83	95.62	33.82	1023	192.912	7fd1351bf47de87551e99ee04873636cf2d6ea0432f22eb1f9e471a32e46f9da	83.45	38.27	48.54	33.1	33.1	95.6	32.74	95.62	32.77	759	177.127	9f12d4bc50a6fbe84cd468e55bb5d96ecc45aba7bb6131fca78e97a876663ca0	
7	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	93.37	39.61	49.14	38.48	38.48	95.71	NaN	95.69	38.29	1369	294.353	112c2099f62bf532953b08364aaf813eb9999a46668aacee6d0d306e9366a64d	88.15	40.99	50.76	38.71	38.71	95.78	NaN	95.8	38.64	919	237.939	4f674a01b39a9e22e68e0611f5c4abbc1686a362c02627ad807ae8a297a8a00e	86.1	38.26	48.34	36.03	36.03	95.59	35.68	95.59	35.75	997	238.232	166dcc2f71305b86e033abeec77f6cfb18b4238eba4cf63d0d07836a54481c3b	83.66	40.77	50.66	37.1	37.1	95.77	36.44	95.8	36.63	753	233.954	ccea39a744dda12b4b50cddb99b7ccf99bbb5a535608a1d9aedb4bf83d6edd88	
8	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	93.37	37.43	47.02	36.83	36.83	95.55	37.19	95.51	36.21	1361	289.619	d8a2d1cea29b6fbd9edf6ae6887c2b84ff53ee1879bf74f52d5ab2ea196051ff	88.38	40.68	50.25	35.89	35.89	95.78	36.2	95.77	35.63	947	236.133	0cf3853dc182da6427bb0256113468f1fda39d419c8037608a5662926cfd13c8	85.64	38.1	47.93	35.11	35.11	95.59	NaN	95.57	35.24	977	244.023	2daf6a71aeddebabf9baf95b5e5ad6d663841e7a0169c85cf24619b140165c6b	82.97	40.26	50.05	35.83	35.83	95.75	NaN	95.75	35.64	735	238.818	cf7cfca31d327b20ce83c05daadec2c2b7e198dee24a4f59d1cdac27e41f4f40	
9	stump_with_memoization	TestOp_80	LSST	(false,"interval")	false	30	3934	991	(197, 432, 610, 100, 11, 55, 244, 37, 500, 108, 192, 1243, 123, 82)	(50, 108, 153, 25, 3, 14, 62, 10, 126, 28, 49, 311, 31, 21)	[12]	[(30,)]	93.24	37.78	47.53	38.14	38.14	95.57	38.79	95.53	38.28	1389	238.744	cc11a03cdb3b0c6480a6e42c8a3954e0475354bc3d1c4f5fea357652289ace68	87.82	40.77	50.55	37.12	37.12	95.76	36.73	95.78	36.77	917	201.518	02a4512d3cb7be1a171d3a1b938a479163da6cab7759e30a0060845a6067994b	85.49	38.78	48.74	38.91	38.91	95.62	45.43	95.61	40.6	1007	201.735	53df481b09146fb8a93a5a051d865b22d375557321c367ccea72a73ec80645de	82.99	40.69	50.76	36.51	36.51	95.74	NaN	95.77	36.52	747	193.324	2f3a7fa4999ed79e83ceef1ffe6dc490e085ca7cbe2ef07d7934493144915313	
1	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	98.61	81.67	84.72	84.72	84.72	96.94	85.95	96.97	84.86	27	147.934	fe47b73ce4f34a855e1357988b1dc554d6c6a268e5e348288f674bc379d89d1d	89.58	80.0	83.33	83.33	83.33	96.67	84.29	96.7	83.35	11	14.683	d23062d3b9facc4cb2f31f20cbec94b0c04287509ad22affe8613c8644a6d0b6	97.92	81.67	84.72	84.72	84.72	96.94	85.95	96.97	84.86	23	17.034	fb307b41f84771dd192d8057d11fd3f7b0e400c785701db6fd3d561e4942b76d	89.58	80.0	83.33	83.33	83.33	96.67	84.29	96.7	83.35	11	14.096	d23062d3b9facc4cb2f31f20cbec94b0c04287509ad22affe8613c8644a6d0b6	
2	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	97.57	93.33	94.44	94.44	94.44	98.89	94.87	98.91	94.43	29	51.416	9387ed394ec15b680977c7bc7d333fe9a4475fe6fd1fd6aa4d0ff477ecabee46	93.06	90.0	91.67	91.67	91.67	98.33	91.97	98.36	91.59	15	14.467	639aea22ce550cb349649920a163087f612aeb25c2cbb65d3f45ade9e7983216	96.18	93.33	94.44	94.44	94.44	98.89	94.87	98.91	94.43	25	16.379	aa54bfcb561e0bbb46828a3093a0f84d99633e1639c038dac11eed278a41a36f	93.06	90.0	91.67	91.67	91.67	98.33	91.97	98.36	91.59	15	14.637	639aea22ce550cb349649920a163087f612aeb25c2cbb65d3f45ade9e7983216	
3	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	98.26	90.0	91.67	91.67	91.67	98.33	91.84	98.34	91.65	27	34.593	19e6f530eb97ba16e41d6ff9fa909e25026e7604d4ae12d88351e2ac7efd4505	89.58	81.67	84.72	84.72	84.72	96.94	84.52	97.03	84.05	11	14.599	0f344c4876cc3df0d059de3f63cf2cc91bddfb79b13f3cd9ca22011aded07c64	95.83	91.67	93.06	93.06	93.06	98.61	93.48	98.63	93.01	23	17.133	d4c7f425d8ad51a5bfdf000ee94a95bb1b2dd82b2c63bf0f2f5d5190a4f5cd96	89.58	81.67	84.72	84.72	84.72	96.94	84.52	97.03	84.05	11	14.771	0f344c4876cc3df0d059de3f63cf2cc91bddfb79b13f3cd9ca22011aded07c64	
4	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	98.61	83.33	86.11	86.11	86.11	97.22	86.81	97.29	85.79	27	17.635	4c7b901ebc3a17ff39f8504faba722d273a77a579c087183f8358aa3caefc3e4	94.1	88.33	90.28	90.28	90.28	98.06	92.32	98.16	89.96	15	14.656	a5f09647c3d510467e3924d7141752cad44be7980162e525f80a081d95bd1632	96.53	86.67	88.89	88.89	88.89	97.78	91.67	97.93	88.33	27	16.379	2f3e90521fde8ec6ac0f2021bd320ac7f93895406f1b73310218eb576c044b13	94.1	88.33	90.28	90.28	90.28	98.06	92.32	98.16	89.96	15	14.507	a5f09647c3d510467e3924d7141752cad44be7980162e525f80a081d95bd1632	
5	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	97.92	95.0	95.83	95.83	95.83	99.17	96.05	99.18	95.83	25	21.63	a6d52cc1396ea7cca454b361a2b8cbd272be7b5efc320af7c75495bc3780e9ba	94.44	95.0	95.83	95.83	95.83	99.17	96.05	99.18	95.83	17	15.006	1777eff225cbf0a7ba54783ec754a64ecaf611d6e989ea7c4e8fd7530c20dff9	96.88	93.33	94.44	94.44	94.44	98.89	94.82	98.91	94.43	25	16.064	e4ff82d3d583e985e5d894d5b6ed16a234c8ad16b7769d73e4a28e170d1ab791	94.44	95.0	95.83	95.83	95.83	99.17	96.05	99.18	95.83	17	14.852	1777eff225cbf0a7ba54783ec754a64ecaf611d6e989ea7c4e8fd7530c20dff9	
6	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	98.26	85.0	87.5	87.5	87.5	97.5	87.61	97.5	87.5	25	16.777	b95f875c458ef3d593968eae9af465a52ec13796bf6569f5fb35f64cea8007e2	93.4	88.33	90.28	90.28	90.28	98.06	90.64	98.1	90.03	15	14.451	10d659e4e65d713bec9125b8637db9400d4fcce9d5f733f3e168964abbf7005c	96.88	90.0	91.67	91.67	91.67	98.33	91.84	98.34	91.65	23	15.856	5f31accf9593488797cf2be0ee471fdcd83c6686a54d7eac0efdea851b26f9e9	93.4	88.33	90.28	90.28	90.28	98.06	90.64	98.1	90.03	15	14.394	10d659e4e65d713bec9125b8637db9400d4fcce9d5f733f3e168964abbf7005c	
7	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	98.61	80.0	83.33	83.33	83.33	96.67	84.6	96.67	83.63	25	14.637	a5d316b16f44833693d0c3022ef5aeda53de36d84e39dbcb4231a0ce153a60c4	96.18	78.33	81.94	81.94	81.94	96.39	82.76	96.48	81.64	17	13.831	9fbaa3e87632c703777414e9e7a9d085fd6cc1bffb938e4d023706118682a9fc	97.22	81.67	84.72	84.72	84.72	96.94	86.08	96.97	84.88	23	14.633	76f7ff7373bfea568062d63f48bf3cb2f6048090ac4b3edbf58a0f16fd4cfaa1	96.18	78.33	81.94	81.94	81.94	96.39	82.76	96.48	81.64	17	13.834	9fbaa3e87632c703777414e9e7a9d085fd6cc1bffb938e4d023706118682a9fc	
8	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	98.61	85.0	87.5	87.5	87.5	97.5	87.84	97.51	87.53	29	20.701	006ad438024bc4dbda3d793fcf71e6ee76cddb00a7f73a21a97b0f56a39d3fce	92.71	76.67	80.56	80.56	80.56	96.11	80.56	96.19	79.96	13	14.212	6afdbff964381229fb707d6e56b12c65eab0db13a1b742b25307d75b799a2029	97.57	86.67	88.89	88.89	88.89	97.78	89.1	97.78	88.94	25	16.517	403bb2d9ef85a21883ba5b750451ceb62fcd021738416b6d89abd4ae4563ce22	92.71	76.67	80.56	80.56	80.56	96.11	80.56	96.19	79.96	13	14.337	6afdbff964381229fb707d6e56b12c65eab0db13a1b742b25307d75b799a2029	
9	stump_with_memoization	TestOp_80	NATOPS	(false,"interval")	false	30	288	72	(48, 48, 48, 48, 48, 48)	(12, 12, 12, 12, 12, 12)	[48]	[(30,)]	98.61	88.33	90.28	90.28	90.28	98.06	91.99	98.09	90.48	23	17.869	a3a0f3426ce6d454bd5af3741dc5d14eb7b76aa020b0bb75a0687bc663024fdd	92.01	85.0	87.5	87.5	87.5	97.5	88.53	97.53	87.54	13	14.027	6af1775edba8d90c7f18eba8cdd751f3249e92a74216bcaedd446e22f5333864	97.22	86.67	88.89	88.89	88.89	97.78	91.17	97.82	89.17	23	16.552	b9ab6ba6074aee605a2a208e24d8b9947b9617aabbcbad1921cc24e999a9aeb8	92.01	85.0	87.5	87.5	87.5	97.5	88.53	97.53	87.54	13	13.967	6af1775edba8d90c7f18eba8cdd751f3249e92a74216bcaedd446e22f5333864	
1	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	96.68	67.8	75.81	77.5	77.5	91.88	75.67	92.03	76.15	49	29.843	c0decfe8dcc4a96122965e19d83d19634b6bbef59731f2ee1509463fdf431e14	90.87	69.92	77.42	78.89	78.89	92.43	77.29	92.53	77.74	31	4.578	f3f892ef56b340f8eec4ac532b1ff69ba74100908307297be421e9a1e4b388ff	93.36	69.76	77.42	78.5	78.5	92.29	79.44	92.31	78.7	39	5.198	c5552cf2e52760b493623ede55d2ff52920513eab965561d05cc82e13b66dff7	90.04	69.76	77.42	78.5	78.5	92.29	79.44	92.31	78.7	29	4.582	f9a9a45ee7bfc7f377cc6a9f4b6e5adaaa7c524e2700cf6cfe825bdf982db88f	
2	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	95.44	67.73	75.81	76.93	76.93	91.88	75.73	91.94	76.13	49	5.912	7757cf7b72269e5b5851035e89d5aa9ff13032f83858d30ff3e885617880347f	89.21	61.3	70.97	72.59	72.59	90.23	71.04	90.33	71.57	27	1.041	40317bac9f59b257301dbe6c538a2da0cdabf68e45453981e4cd505c10ffea28	93.36	65.51	74.19	75.2	75.2	91.29	74.08	91.49	74.21	37	1.52	917c4c3fc8b04a2512b5454a03bf442a52bbf68a2a3be5c12d74e6e48b8721e4	88.8	63.43	72.58	73.98	73.98	90.77	72.5	90.86	73.05	25	1.141	d8573dee94c6016f17a488682f99aa6c8e41ac5337b05bd327c666d10de090f1	
3	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	96.68	65.29	74.19	74.8	74.8	91.13	77.37	91.49	74.81	45	4.531	e5de0fceb2a5c44d75a8482719aaaf5509c7b5781a70b94c959a0d7cc143ee0c	91.29	54.73	66.13	68.03	68.03	88.48	69.19	88.55	67.95	27	1.287	d662b6d5a263e5346743b675b69115381aa9bd18a4257c65ae16b6fd8e6ef67f	92.95	56.61	67.74	68.85	68.85	88.9	72.5	88.91	69.9	35	1.401	e70248eedf8bc2d91dae88a12f3a16aea0820df46a1afde7216b2244f08c9863	89.21	52.44	64.52	66.25	66.25	87.87	69.68	87.82	67.18	23	1.365	4800055eca3998f6ce979a299dbdc54846b9ad22b63bce23b16419d9a762843d	
4	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	96.68	58.72	69.35	70.01	70.01	89.45	73.85	89.45	71.37	57	7.95	470ce7ee745dccb797f19b518b612afefa45c82b2d0a042536caf768766d2889	92.12	60.98	70.97	72.02	72.02	90.02	73.98	90.12	72.47	37	1.513	9c75ba25286620d5e39c75478878ffa67a576a9ae7d0e75451b9475efd50d9ac	92.95	65.41	74.19	75.37	75.37	91.18	76.73	91.24	75.61	45	1.976	e4e97e5d04fde080f8bd341d1d732c9f23a2622f23b5969332c60cb49527edfd	89.21	63.25	72.58	73.81	73.81	90.63	74.08	90.76	73.61	31	1.521	069a68e458c09281f130492032e4e018015e16f486c1c2ea935e0e6e4cbdd59b	
5	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	97.1	63.22	72.58	73.59	73.59	90.63	74.51	90.64	73.96	49	9.625	f1e7b5c6982f2c37d837625f3011b7666a7a52f36393f52d479552f5d1ff20ca	90.87	54.54	66.13	67.34	67.34	88.43	67.13	88.67	66.84	29	3.066	3122d1d7b74627a95f3415f9064de0fef4106a68b6936d3144e372562ee828e8	92.95	56.7	67.74	68.9	68.9	88.98	70.0	89.07	69.15	43	4.383	006ad50b3ef57e5f3ee0afdb8a6355c8fc42a8c34e99e59b06cdb06b9390e63a	89.21	54.57	66.13	67.34	67.34	88.46	67.65	88.64	67.08	27	3.005	7f3f4da963fa5faeab04a1b5ae2bf71d9891526975b29c6c3d2b585e7a363b18	
6	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	94.61	61.3	70.97	73.26	73.26	90.16	69.67	90.56	70.91	53	7.917	3fc2dc991edce591c9a7b7c4ed278543586502247e1c6c1753c10b7390bd72cf	91.7	65.65	74.19	76.39	76.39	91.29	73.42	91.58	74.4	35	3.34	373077ee51fd1aeacea753acc061274cde46bb76765510e0cbadedb1c1f20943	91.7	63.48	72.58	74.83	74.83	90.73	71.86	91.06	72.79	41	3.485	a9231f7badbd392feb8953cca122c35d82cfabcbc1aafa07ec4782961a85cbf6	90.04	63.53	72.58	74.83	74.83	90.77	71.45	91.15	72.43	31	3.299	29222c9b1ea59630f26f792a3126468966284cf8860e58015382945cbe0885a7	
7	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	97.1	56.76	67.74	69.47	69.47	88.95	70.61	89.14	68.91	49	3.221	98ae9a2afb198619c43d4635d45ee37565a2f8eae54e22994c81480b458e7344	87.14	59.04	69.35	71.21	71.21	89.56	70.31	89.71	70.45	27	1.128	40b938a3f62929ae7b185f5795cfab84ce4c5e2c577e5630a973e259e4c5a5fc	92.95	52.64	64.52	66.52	66.52	87.98	64.31	88.24	64.98	41	1.913	2e7c2f1b8602a1ce45c040d355bdad19689e6276db7567a03dab2cd10a33b0f6	85.89	63.5	72.58	74.95	74.95	90.73	72.17	91.0	73.12	25	1.113	9c0b9ffdc45a18e121ff342a9237e6b24d02318e9a4f74dff57fc8d233b61180	
8	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	97.93	69.71	77.42	78.77	78.77	92.22	79.19	92.36	78.67	43	3.682	277a138cf8fba32fac2582be7d5585703fe46294a585b25c9c0df83dfedf20d1	90.04	69.69	77.42	78.2	78.2	92.26	79.39	92.75	77.41	27	0.978	fcbf788dd7caa3d0d243e13a84450442125ea235ea88a7dc0a87b23da4a273c5	92.53	65.48	74.19	75.42	75.42	91.24	74.49	91.54	74.25	39	1.481	bc5333fd7b3f4784724c2fcd945c25bcc5217adbf09fc953dac5902ba57d4c7b	88.38	65.44	74.19	75.25	75.25	91.22	76.0	91.78	73.79	25	0.936	5a3a834eddd35fe26bcf80feff90729c98d224da20d2cb4b435976622f988b7d	
9	stump_with_memoization	TestOp_80	RacketSports	(false,"interval")	false	30	241	62	(68, 63, 54, 56)	(18, 16, 14, 14)	[12]	[(30,)]	97.51	50.42	62.9	64.19	64.19	87.46	63.48	87.67	63.52	47	2.751	3dee82b067f7baf49220a6b6187f5d9ed70c7a73b21cea1321729ef1031ee487	89.21	41.75	56.45	57.84	57.84	85.26	56.55	85.6	56.76	27	1.294	daf31a8f08ae5969a8a08bd494dfdb5e3ffdcf2243fad46f9e8cb83192750789	92.53	50.49	62.9	64.19	64.19	87.51	63.91	87.78	63.32	41	1.498	b556b4c74c4d65d93ad7f9704c8a4a05d70df4fad2eadbeada06845dfca7f6f7	87.14	46.29	59.68	61.41	61.41	86.45	60.12	86.9	59.72	23	1.39	990d55de8bb8133016e8d95449388abfec4a1c23b6db6e3ed930b3116a6ed954	
1	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	99.1	21.43	60.71	60.71	71.43	50.0	58.82	63.64	64.52	75	133.572	4ea9d26e659ffdd300878a9e4654397258307cd32631d930a89c56a1ee3a3b8f	91.87	26.19	63.1	63.1	71.43	54.76	61.22	65.71	65.93	47	130.508	941435865f9316e81bba9dfdbf30ed60fa54169d805acf5308e82b2a5b7dc267	95.78	19.05	59.52	59.52	64.29	54.76	58.7	60.53	61.36	67	129.021	5fa337331abd4413f11e8970120c116952c58b43dc67bc7babc9b873d23171ee	92.17	23.81	61.9	61.9	69.05	54.76	60.42	63.89	64.44	49	130.984	70a37e28565c59663e5d15261055f49b376fe76cb1a39a3fc12cefaf5bd4c569	
2	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	98.19	-4.76	47.62	47.62	35.71	59.52	46.88	48.08	40.54	73	117.957	bc96f2546b4e074b7dac5d72bd5107a995530fb57eef52854e18ed803b8a670a	80.12	9.52	54.76	54.76	47.62	61.9	55.56	54.17	51.28	21	111.112	7e3927952d41016ea8f454dfa8243622ee1acc29f5ea7f85bf62790fa0dae5ea	96.08	-4.76	47.62	47.62	30.95	64.29	46.43	48.21	37.14	67	116.755	77c9ae484e02a2b7408ca44fac6ea941cb7da7b749cb744c247c784be114dd9b	80.12	9.52	54.76	54.76	47.62	61.9	55.56	54.17	51.28	21	110.942	7e3927952d41016ea8f454dfa8243622ee1acc29f5ea7f85bf62790fa0dae5ea	
3	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	98.49	14.29	57.14	57.14	64.29	50.0	56.25	58.33	60.0	67	116.504	79194265657682163d211cc4fba863dc08e2c456ae9fdf4f0f45417d18411279	87.05	4.76	52.38	52.38	57.14	47.62	52.17	52.63	54.55	35	114.206	35cf5c148f78751dcd8824e515cbab90912e4500b31b26e72fe4ee8c133e6f33	96.39	2.38	51.19	51.19	59.52	42.86	51.02	51.43	54.95	63	115.746	1cba122bab7ec539909d24ea601c8615e04e1a7f704c43051fcfb66fab1d7297	87.05	4.76	52.38	52.38	57.14	47.62	52.17	52.63	54.55	35	111.59	35cf5c148f78751dcd8824e515cbab90912e4500b31b26e72fe4ee8c133e6f33	
4	stump_with_memoization	TestOp_80	FingerMovements	(true,"one_world")	false	30	332	84	(166, 166)	(42, 42)	[1680]	[()]	97.89	4.76	52.38	52.38	50.0	54.76	52.5	52.27	51.22	71	137.689	606c57aa907bba9085b7da6fa3915e3be75074be9b30d579de47da4e45cb0b8f	85.54	16.67	58.33	58.33	64.29	52.38	57.45	59.46	60.67	31	136.452	eaca068ce851ce84f4149202c53b69fd3dfdf45e3d97f4cbfd295e8c4b8925d0	95.78	7.14	53.57	53.57	52.38	54.76	53.66	53.49	53.01	63	136.911	16f21fb4032c9ff4b3f92fc1ce7ba66c34a200b5fc9e8ef0ba36f47cf828ae97	85.54	16.67	58.33	58.33	64.29	52.38	57.45	59.46	60.67	31	134.606	eaca068ce851ce84f4149202c53b69fd3dfdf45e3d97f4cbfd295e8c4b8925d0	
