;T(entropy,1,0.01,0.6)K;T(entropy,1,0.01,0.6)sensitivity;T(entropy,1,0.01,0.6)specificity;T(entropy,1,0.01,0.6)precision;T(entropy,1,0.01,0.6)accuracy;T(entropy,1,0.01,0.6)t;RF(50,all,all)K;RF(50,all,all)sensitivity;RF(50,all,all)specificity;RF(50,all,all)precision;RF(50,all,all)accuracy;RF(50,all,all)oob_error;RF(50,all,all)σ² K;RF(50,all,all)σ² sensitivity;RF(50,all,all)σ² specificity;RF(50,all,all)σ² precision;RF(50,all,all)σ² accuracy;RF(50,all,all)σ² oob_error;RF(50,all,all)t;RF(50,half,all)K;RF(50,half,all)sensitivity;RF(50,half,all)specificity;RF(50,half,all)precision;RF(50,half,all)accuracy;RF(50,half,all)oob_error;RF(50,half,all)σ² K;RF(50,half,all)σ² sensitivity;RF(50,half,all)σ² specificity;RF(50,half,all)σ² precision;RF(50,half,all)σ² accuracy;RF(50,half,all)σ² oob_error;RF(50,half,all)t;RF(100,all,all)K;RF(100,all,all)sensitivity;RF(100,all,all)specificity;RF(100,all,all)precision;RF(100,all,all)accuracy;RF(100,all,all)oob_error;RF(100,all,all)σ² K;RF(100,all,all)σ² sensitivity;RF(100,all,all)σ² specificity;RF(100,all,all)σ² precision;RF(100,all,all)σ² accuracy;RF(100,all,all)σ² oob_error;RF(100,all,all)t;RF(100,half,all)K;RF(100,half,all)sensitivity;RF(100,half,all)specificity;RF(100,half,all)precision;RF(100,half,all)accuracy;RF(100,half,all)oob_error;RF(100,half,all)σ² K;RF(100,half,all)σ² sensitivity;RF(100,half,all)σ² specificity;RF(100,half,all)σ² precision;RF(100,half,all)σ² accuracy;RF(100,half,all)σ² oob_error;RF(100,half,all)t;
1,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);35.71;67.86;67.86;67.86;67.86;00:01:53;34.29;75.71;58.57;64.75;67.14;0.0;0.0010204081632653062;0.0008928571428571422;0.002933673469387759;0.0005257818552411569;0.0002551020408163265;0.0;00:00:00;37.14;72.86;64.29;67.19;68.57;0.0;0.00229591836734694;0.00038265306122448945;0.001913265306122451;0.000821847989976428;0.0005739795918367351;0.0;00:00:00;38.57;77.86;60.71;66.54;69.29;29.58;0.0015306122448979604;0.00025510204081632634;0.001913265306122451;0.0004981053165282761;0.0003826530612244901;7.337129177628328e-5;02:35:38;36.43;74.29;62.14;66.28;68.21;31.59;0.0034438775510204044;0.0008928571428571421;0.0016581632653061254;0.0008381171233668622;0.0008609693877551011;7.439893492051044e-5;01:52:46;
2,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);0.0;64.29;35.71;50.0;50.0;00:00:13;37.14;75.71;61.43;66.4;68.57;0.0;0.0010204081632653045;0.0008928571428571422;0.0034438775510204117;0.0006401325229933312;0.0002551020408163261;0.0;00:00:00;32.86;75.0;57.86;64.04;66.43;0.0;0.001530612244897958;0.0006377551020408157;0.000892857142857142;0.00032540819636678184;0.0003826530612244895;0.0;00:00:00;37.14;73.57;63.57;66.89;68.57;29.2;0.0003826530612244871;0.00038265306122448945;0.00025510204081632785;7.878891345820294e-5;9.566326530612178e-5;0.0002838906727230019;00:24:04;33.57;74.29;59.29;64.65;66.79;29.29;0.001020408163265306;0.0008928571428571422;0.0016581632653061237;0.00034512294501133764;0.0002551020408163265;0.00024864907197118095;00:14:15;
2,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);7.14;67.86;39.29;52.78;53.57;00:00:12;37.14;79.29;57.86;65.39;68.57;0.0;0.008673469387755102;0.0021683673469387733;0.004081632653061227;0.0018636293594379665;0.0021683673469387755;0.0;00:00:00;36.43;74.29;62.14;66.21;68.21;0.0;0.005994897959183674;0.0021683673469387733;0.0010204081632653088;0.001058061264308012;0.001498724489795919;0.0;00:00:00;37.86;77.14;60.71;66.33;68.93;30.53;0.0010204081632653045;0.0010204081632653051;0.001913265306122451;0.0003700740431617017;0.0002551020408163261;0.0003034693398073449;00:25:02;42.14;78.57;63.57;68.35;71.07;30.09;0.0008928571428571428;0.0012755102040816315;0.0008928571428571452;0.0002145076675464216;0.0002232142857142857;0.00021536533792779455;00:15:32;
2,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);10.71;60.71;50.0;54.84;55.36;00:00:21;19.29;60.71;58.57;59.33;59.64;0.0;0.003571428571428578;0.004464285714285716;0.00038265306122448945;0.0004983454237678022;0.0008928571428571445;0.0;00:00:00;17.14;62.86;54.29;57.88;58.57;0.0;0.01683673469387754;0.005484693877551023;0.004719387755102042;0.0034232187162789134;0.004209183673469385;0.0;00:00:00;13.57;60.71;52.86;56.34;56.79;30.88;0.0002551020408163247;0.0006377551020408177;0.001530612244897958;0.00010462697475684503;6.377551020408118e-5;0.0002388597384290077;01:59:38;13.57;59.29;54.29;56.49;56.79;32.39;0.005994897959183667;0.0016581632653061237;0.0021683673469387738;0.001425561894569339;0.0014987244897959168;0.00033675307385073127;01:33:06;
2,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);3.57;64.29;39.29;51.43;51.79;00:01:43;22.14;66.43;55.71;60.02;61.07;0.0;0.0008928571428571428;0.0010204081632653051;0.0010204081632653051;0.00021955066497536866;0.0002232142857142857;0.0;00:00:00;15.0;62.86;52.14;56.83;57.5;0.0;0.004081632653061218;0.0016581632653061254;0.002933673469387755;0.000860578443172867;0.0010204081632653045;0.0;00:00:00;20.0;64.29;55.71;59.33;60.0;29.56;0.008035714285714294;0.0012755102040816354;0.004209183673469389;0.0019460047470687908;0.0020089285714285734;0.000248649071971181;02:50:57;13.57;60.0;53.57;56.39;56.79;30.35;0.0034438775510204044;0.002168367346938778;0.0019132653061224472;0.0008225755934772862;0.0008609693877551011;0.00010376693554702828;01:01:06;
3,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);25.0;57.14;67.86;64.0;62.5;00:00:02;37.14;58.57;78.57;73.44;68.57;0.0;0.004209183673469385;0.006122448979591837;0.0031887755102040787;0.0018616436996796652;0.0010522959183673463;0.0;00:00:00;36.43;55.0;81.43;74.65;68.21;0.0;0.006632653061224486;0.0035714285714285735;0.0008928571428571422;0.0019439344337354942;0.0016581632653061215;0.0;00:00:00;37.14;57.86;79.29;73.83;68.57;22.39;0.002933673469387758;0.00025510204081632634;0.0021683673469387733;0.002187848583792906;0.0007334183673469395;8.418826846268332e-5;00:19:28;38.57;57.86;80.71;75.15;69.29;23.27;0.002168367346938777;0.0015306122448979613;0.0016581632653061213;0.0013959970251490653;0.0005420918367346942;0.00029955360639047785;00:12:40;
3,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);32.14;57.14;75.0;69.57;66.07;00:00:05;36.43;57.86;78.57;73.18;68.21;0.0;0.0059948979591836595;0.0008928571428571422;0.003188775510204079;0.0034353888513906214;0.0014987244897959149;0.0;00:00:00;32.86;55.0;77.86;71.42;66.43;0.0;0.004719387755102041;0.0010204081632653051;0.0021683673469387738;0.0024007266516411436;0.0011798469387755105;0.0;00:00:00;37.86;57.14;80.71;74.76;68.93;24.51;0.0016581632653061224;0.0006377551020408157;0.00038265306122448945;0.0006409175240344059;0.0004145408163265306;0.00012334560263137196;00:21:57;39.29;58.57;80.71;75.36;69.64;23.36;0.005102040816326526;0.0010204081632653051;0.0022959183673469372;0.0028419685454522084;0.0012755102040816315;0.0002388597384290085;00:12:13;
3,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);17.86;50.0;67.86;60.87;58.93;00:00:01;35.0;60.0;75.0;70.95;67.5;0.0;0.004719387755102033;0.00025510204081632634;0.004464285714285711;0.0035413705710171154;0.0011798469387755083;0.0;00:00:00;40.0;63.57;76.43;73.68;70.0;0.0;0.011096938775510186;0.0021683673469387785;0.01058673469387755;0.006505391917321437;0.0027742346938775466;0.0;00:00:00;35.0;65.0;70.0;68.5;67.5;30.62;0.0021683673469387703;0.0008928571428571446;0.0016581632653061209;0.000872119437160783;0.0005420918367346927;0.00041506774218811075;01:47:24;39.29;62.86;76.43;73.07;69.64;30.44;0.004464285714285706;0.0010204081632653088;0.004209183673469384;0.003076315756460338;0.0011160714285714268;0.00018991307071814612;00:27:17;
3,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);25.0;53.57;71.43;65.22;62.5;00:00:01;36.43;62.86;73.57;70.46;68.21;0.0;0.0015306122448979576;0.0010204081632653088;0.0010204081632653053;0.0006601571928295983;0.0003826530612244895;0.0;00:00:00;33.57;60.0;73.57;70.07;66.79;0.0;0.008035714285714288;0.0015306122448979602;0.008673469387755102;0.0053197603617383855;0.0020089285714285717;0.0;00:00:00;34.29;63.57;70.71;68.5;67.14;29.56;0.0016581632653061193;0.0002551020408163279;0.000892857142857142;0.0006596186719263639;0.0004145408163265299;0.0004052784086459406;01:23:02;32.86;62.14;70.71;67.99;66.43;28.67;0.0021683673469387703;0.0010204081632653088;0.000892857142857142;0.0006977514792899406;0.0005420918367346926;0.00016054507009162868;01:47:11;
3,TestOp_80,1,60,false,Any[],1,(30,75,50);28.57;50.0;78.57;70.0;64.29;00:00:04;35.71;54.29;81.43;74.56;67.86;0.0;0.007653061224489804;0.003443877551020405;0.0021683673469387733;0.003551474339353127;0.0019132653061224513;0.0;00:00:00;41.43;57.86;83.57;78.08;70.71;0.0;0.0016581632653061193;0.0008928571428571421;0.0016581632653061241;0.0017192841519126749;0.00041454081632652984;0.0;00:00:00;37.14;56.43;80.71;74.52;68.57;25.49;0.007397959183673465;0.003443877551020409;0.0016581632653061209;0.002810121636958496;0.0018494897959183663;0.0001037669355470271;00:21:29;39.29;59.29;80.0;74.95;69.64;23.81;0.0012755102040816315;0.001020408163265308;0.0016581632653061209;0.0012370247933884307;0.00031887755102040787;0.00021928107134466248;00:12:52;
3,TestOp_80,2,20,false,Any[],1,(30,45,30);32.14;71.43;60.71;64.52;66.07;00:00:05;35.0;65.0;70.0;68.48;67.5;0.0;0.0034438775510204057;0.0008928571428571445;0.0016581632653061209;0.0011453953080489492;0.0008609693877551014;0.0;00:00:00;33.57;62.86;70.71;68.35;66.79;0.0;0.0022959183673469338;0.00038265306122449184;0.0021683673469387733;0.0011394268673938991;0.0005739795918367333;0.0;00:00:00;39.29;68.57;70.71;70.18;69.64;26.37;0.003188775510204079;0.00025510204081632634;0.0021683673469387733;0.0012682299184331512;0.0007971938775510197;0.000279974939306132;01:32:58;37.14;68.57;68.57;68.56;68.57;27.7;0.0016581632653061228;0.0008928571428571422;0.00025510204081632634;0.00032414372804214875;0.00041454081632653065;0.0005247082778604449;00:19:06;
3,TestOp_80,2,40,false,Any[],1,(30,45,30);-3.57;50.0;46.43;48.28;48.21;00:00:07;36.43;65.0;71.43;69.35;68.21;0.0;0.00918367346938776;0.004719387755102043;0.0012755102040816315;0.002134303632573879;0.00229591836734694;0.0;00:00:00;34.29;65.0;69.29;67.86;67.14;0.0;0.0054846938775510185;0.003443877551020412;0.0010204081632653053;0.0011110411242686376;0.0013711734693877544;0.0;00:00:00;36.43;67.86;68.57;68.32;68.21;27.02;0.004081632653061223;0.0025510204081632673;0.0008928571428571422;0.0008352453407398472;0.0010204081632653058;2.9655811866896092e-5;01:18:11;35.71;67.86;67.86;67.85;67.86;26.02;0.00510204081632653;0.0019132653061224513;0.0012755102040816315;0.0012431926769229935;0.0012755102040816323;0.0001703344036337998;01:35:39;
4,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);17.86;67.86;50.0;57.58;58.93;00:00:25;41.43;66.43;75.0;72.69;70.71;0.0;0.006122448979591831;0.0016581632653061241;0.0019132653061224472;0.0019230769230769234;0.0015306122448979578;0.0;00:00:00;45.0;70.0;75.0;73.72;72.5;0.0;0.005484693877551022;0.0035714285714285735;0.0019132653061224472;0.001356005049837787;0.001371173469387756;0.0;00:00:00;45.71;71.43;74.29;73.58;72.86;25.04;0.005994897959183676;0.002551020408163263;0.0021683673469387733;0.0016127248126558203;0.0014987244897959188;0.00016250293680006197;00:28:27;46.43;70.71;75.71;74.51;73.21;25.84;0.0025510204081632707;0.0015306122448979578;0.0015306122448979578;0.0010303579415060474;0.0006377551020408177;0.00027997493930613136;00:18:36;
4,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);25.0;57.14;67.86;64.0;62.5;00:19:57;41.43;66.43;75.0;72.87;70.71;0.0;0.009311224489795922;0.0029336734693877556;0.004464285714285711;0.0038813106738801095;0.0023278061224489806;0.0;00:00:00;42.86;68.57;74.29;72.74;71.43;0.0;0.003188775510204079;0.0008928571428571422;0.0008928571428571421;0.0009330281410053496;0.0007971938775510197;0.0;00:00:00;45.0;70.0;75.0;73.96;72.5;25.33;0.004846938775510204;0.0016581632653061209;0.00446428571428571;0.0024817352976693654;0.0012117346938775512;0.0003658763846468437;01:34:04;43.57;67.86;75.71;73.63;71.79;24.69;0.006632653061224486;0.0019132653061224472;0.0015306122448979578;0.001839763313609469;0.0016581632653061215;0.00020949173780248945;00:18:49;
4,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);7.14;53.57;53.57;53.57;53.57;00:00:13;30.0;64.29;65.71;65.25;65.0;0.0;0.004209183673469388;0.0012755102040816354;0.0016581632653061237;0.0011952546049416517;0.001052295918367347;0.0;00:00:00;31.43;62.86;68.57;66.7;65.71;0.0;0.0008928571428571412;0.0010204081632653088;0.0008928571428571422;0.00032385311934932364;0.00022321428571428533;0.0;00:00:00;31.43;64.29;67.14;66.17;65.71;30.53;0.0008928571428571412;0.0006377551020408177;0.00025510204081632634;0.0001876786217445554;0.00022321428571428533;0.0005188346777351387;01:09:54;33.57;64.29;69.29;67.68;66.79;30.71;0.002933673469387747;0.0012755102040816354;0.0010204081632653051;0.000784213174787045;0.0007334183673469366;0.000279974939306132;01:42:13;
4,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);21.43;64.29;57.14;60.0;60.71;00:03:27;30.71;62.14;68.57;66.54;65.36;0.0;0.0010204081632653053;0.0016581632653061252;0.0021683673469387733;0.0006285196160935084;0.00025510204081632634;0.0;00:00:00;27.14;62.14;65.0;64.02;63.57;0.0;0.0003826530612244919;0.0003826530612244919;0.0008928571428571445;0.00021796956918139948;9.566326530612295e-5;0.0;00:00:00;30.0;60.71;69.29;66.46;65.0;29.91;0.0003826530612244871;0.0012755102040816354;0.0010204081632653053;0.0001806802721088433;9.566326530612178e-5;0.0004953402772339261;02:07:22;30.71;64.29;66.43;65.81;65.36;29.2;0.00229591836734694;0.0006377551020408177;0.00229591836734694;0.0009991565136050272;0.0005739795918367351;3.9157334168689917e-5;01:08:40;
4,TestOp_80,1,40,false,Any[],1,(30,75,50);25.0;71.43;53.57;60.61;62.5;00:00:14;47.14;74.29;72.86;73.29;73.57;0.0;0.0040816326530612205;0.0008928571428571422;0.0016581632653061209;0.0012142857142857144;0.0010204081632653053;0.0;00:00:00;45.0;73.57;71.43;71.98;72.5;0.0;0.004846938775510202;0.002933673469387753;0.0006377551020408157;0.0007271073038268819;0.0012117346938775506;0.0;00:00:00;50.0;74.29;75.71;75.38;75.0;26.11;0.0;0.00025510204081632634;0.00025510204081632634;7.396449704142044e-5;0.0;0.00024473333855431074;00:26:58;49.29;74.29;75.0;74.83;74.64;27.26;0.00216836734693878;0.0008928571428571422;0.0006377551020408157;0.0005481147308871924;0.000542091836734695;6.460960137833837e-5;00:15:39;
4,TestOp_80,1,60,false,Any[],1,(30,75,50);17.86;64.29;53.57;58.06;58.93;00:00:09;45.0;72.14;72.86;72.74;72.5;0.0;0.00229591836734694;0.000892857142857142;0.001658163265306121;0.0009362056264783179;0.000573979591836735;0.0;00:00:00;50.71;73.57;77.14;76.48;75.36;0.0;0.003443877551020415;0.0003826530612244895;0.0029336734693877525;0.002031490282292576;0.0008609693877551038;0.0;00:00:00;47.86;74.29;73.57;73.78;73.93;27.61;0.0029336734693877617;0.0015306122448979578;0.0010204081632653053;0.0007790557325282301;0.0007334183673469402;0.00030934293993265037;00:28:04;47.86;72.14;75.71;74.88;73.93;26.81;0.0003826530612244918;0.0015306122448979576;0.0008928571428571422;0.00021549346016646855;9.566326530612297e-5;8.418826846268332e-5;00:16:30;
4,TestOp_80,2,20,false,Any[],1,(30,45,30);39.29;64.29;75.0;72.0;69.64;00:00:12;40.71;62.14;78.57;74.65;70.36;0.0;0.00994897959183673;0.0016581632653061254;0.005102040816326532;0.005346948669097929;0.0024872448979591827;0.0;00:00:00;42.14;64.29;77.86;74.92;71.07;0.0;0.0021683673469387703;0.0012755102040816354;0.005357142857142852;0.0032310647491762684;0.0005420918367346927;0.0;00:00:00;45.0;65.0;80.0;76.5;72.5;28.23;0.0003826530612244871;0.00025510204081632634;0.00038265306122448945;0.00027378071833648453;9.566326530612178e-5;0.00015075573654945617;01:01:40;42.86;65.71;77.14;74.38;71.43;28.67;0.001913265306122451;0.001020408163265308;0.0022959183673469364;0.0013679888160320684;0.00047831632653061283;0.00011159840238076626;01:34:56;
4,TestOp_80,2,40,false,Any[],1,(30,45,30);42.86;71.43;71.43;71.43;71.43;00:01:36;42.86;62.86;80.0;76.05;71.43;0.0;0.0006377551020408157;0.0016581632653061252;0.0016581632653061209;0.000874967841523028;0.00015943877551020393;0.0;00:00:00;40.71;62.14;78.57;74.54;70.36;0.0;0.004209183673469383;0.002933673469387758;0.002551020408163263;0.002182283838693443;0.0010522959183673457;0.0;00:00:00;42.14;62.14;80.0;75.65;71.07;27.52;0.0015306122448979556;0.0016581632653061254;0.00038265306122448945;0.00035884297520661094;0.00038265306122448885;0.00026822773905552593;02:38:54;42.86;62.86;80.0;75.89;71.43;27.61;0.0006377551020408157;0.0003826530612244919;0.00038265306122448945;0.00032563780093424437;0.00015943877551020393;8.418826846268332e-5;01:55:10;
5,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);28.57;64.29;64.29;64.29;64.29;00:00:08;33.57;65.0;68.57;67.42;66.79;0.0;0.0029336734693877547;0.0008928571428571446;0.0008928571428571422;0.000815183136102957;0.0007334183673469387;0.0;00:00:00;47.86;70.71;77.14;75.69;73.93;0.0;0.0016581632653061256;0.00025510204081632634;0.001658163265306121;0.0010240887721392415;0.0004145408163265314;0.0;00:00:00;37.86;68.57;69.29;69.08;68.93;25.22;0.0029336734693877504;0.0008928571428571422;0.0010204081632653053;0.0008442183678029758;0.0007334183673469374;0.00026431200563865496;01:31:51;45.71;69.29;76.43;74.65;72.86;25.58;0.0002551020408163247;0.0003826530612244895;0.00038265306122448945;0.00016957070153651417;6.377551020408118e-5;0.00025843840551335157;00:17:32;
5,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);17.86;60.71;57.14;58.62;58.93;00:00:10;37.86;67.86;70.0;69.36;68.93;0.0;0.005484693877551021;0.0019132653061224513;0.0016581632653061209;0.0015048262231078962;0.0013711734693877553;0.0;00:00:00;42.86;69.29;73.57;72.49;71.43;0.0;0.0012755102040816315;0.0010204081632653051;0.001658163265306121;0.0007154508505789725;0.00031887755102040787;0.0;00:00:00;35.0;66.43;68.57;67.89;67.5;24.25;0.002806122448979591;0.0010204081632653053;0.0008928571428571421;0.0007201894564531923;0.0007015306122448977;0.00031717440676638624;01:33:16;43.57;69.29;74.29;73.02;71.79;24.78;0.0021683673469387686;0.00038265306122448945;0.001530612244897958;0.0009440203788433324;0.0005420918367346921;6.852533479520637e-5;00:18:13;
5,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);39.29;57.14;82.14;76.19;69.64;00:01:32;51.43;70.71;80.71;78.99;75.71;0.0;0.0022959183673469446;0.001530612244897958;0.004209183673469389;0.002847064751826658;0.0005739795918367362;0.0;00:00:00;42.86;67.14;75.71;73.57;71.43;0.0;0.0031887755102040787;0.0008928571428571422;0.0021683673469387738;0.0015639257893363115;0.0007971938775510197;0.0;00:00:00;50.0;72.14;77.86;76.98;75.0;31.77;0.0025510204081632707;0.0021683673469387733;0.005357142857142852;0.002907067715721431;0.0006377551020408177;0.00026822773905552403;01:59:48;48.57;72.14;76.43;75.52;74.29;31.86;0.005484693877551023;0.000892857142857142;0.002933673469387753;0.0024244957725462397;0.0013711734693877557;8.810400187955135e-5;01:33:50;
5,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);35.71;57.14;78.57;72.73;67.86;00:01:03;50.0;68.57;81.43;78.65;75.0;0.0;0.0031887755102040826;0.003443877551020409;0.00025510204081632634;0.00028360222272737;0.0007971938775510206;0.0;00:00:00;49.29;69.29;80.0;77.73;74.64;0.0;0.00216836734693878;0.0016581632653061209;0.0016581632653061209;0.0011597006192517812;0.000542091836734695;0.0;00:00:00;50.71;70.0;80.71;78.75;75.36;33.27;0.0072704081632653135;0.0016581632653061209;0.005484693877551015;0.0036179573868737776;0.0018176020408163284;0.00032696374030855875;02:60:40;51.43;70.0;81.43;79.2;75.71;31.5;0.0022959183673469446;0.0003826530612244894;0.0021683673469387738;0.0016464678807491962;0.0005739795918367362;0.00018991307071814447;01:04:34;
