	n_task	aug	n_version	dataset_kwargs	Model	accuracy
91	2	0	2	75	T(,4,0.01,0.2)	66.66799999999999
92	2	0	2	75	T(entropy,2,0.01,0.2)	67.499
93	2	0	2	75	T(entropy,2,0.01,0.6)	75.833
94	2	0	2	75	T(entropy,4,0.01,0.2)	69.16699999999999
95	2	0	2	75	T(entropy,4,0.01,0.6)	75.833
96	2	0	2	100	RF(100,half,all)	69.836
97	2	0	2	100	RF(50,half,all)	70.5
98	2	0	2	100	T(,2,0.01,0.2)	60.83299999999999
99	2	0	2	100	T(,4,0.01,0.2)	58.33399999999999
100	2	0	2	100	T(entropy,2,0.01,0.2)	58.33299999999999
101	2	0	2	100	T(entropy,2,0.01,0.6)	75.833
102	2	0	2	100	T(entropy,4,0.01,0.2)	54.166999999999994
103	2	0	2	100	T(entropy,4,0.01,0.6)	75.833
104	2	0	3	75	RF(100,half,all)	72.333
105	2	0	3	75	RF(50,half,all)	71.499
106	2	0	3	75	T(,2,0.01,0.2)	69.16499999999999
107	2	0	3	75	T(,4,0.01,0.2)	65.834
108	2	0	3	75	T(entropy,2,0.01,0.2)	66.66600000000001
109	2	0	3	75	T(entropy,2,0.01,0.6)	73.332
110	2	0	3	75	T(entropy,4,0.01,0.2)	65.001
111	2	0	3	75	T(entropy,4,0.01,0.6)	73.332
112	2	0	3	100	RF(100,half,all)	74.833
113	2	0	3	100	RF(50,half,all)	74.16699999999999
114	2	0	3	100	T(,2,0.01,0.2)	68.333
115	2	0	3	100	T(,4,0.01,0.2)	69.167
116	2	0	3	100	T(entropy,2,0.01,0.2)	69.99999999999999
117	2	0	3	100	T(entropy,2,0.01,0.6)	73.332
118	2	0	3	100	T(entropy,4,0.01,0.2)	64.999
119	2	0	3	100	T(entropy,4,0.01,0.6)	74.16499999999999
120	2	1	1	50	RF(100,half,all)	81.18100000000001
121	2	1	1	50	RF(50,half,all)	80.819
122	2	1	1	50	T(,2,0.01,0.2)	67.272
123	2	1	1	50	T(,4,0.01,0.2)	65.909
124	2	1	1	50	T(entropy,2,0.01,0.2)	68.637
125	2	1	1	50	T(entropy,2,0.01,0.6)	74.54400000000001
