	Dataseed	n_task	aug	n_version	dataset_kwargs	Model	accuracy	Model_id
85	1	2	1	1	100	T(entropy,2,0.01,0.6)	90.91	1
86	1	2	1	1	100	T(entropy,4,0.01,0.2)	77.27	2
87	1	2	1	1	100	T(entropy,4,0.01,0.6)	90.91	3
88	2	2	1	1	100	RF(100,half,all)	96.36	7
89	2	2	1	1	100	RF(50,half,all)	96.36	6
90	2	2	1	1	100	T(,2,0.01,0.2)	95.45	4
91	2	2	1	1	100	T(,4,0.01,0.2)	95.45	5
92	2	2	1	1	100	T(entropy,2,0.01,0.2)	90.91	0
93	2	2	1	1	100	T(entropy,2,0.01,0.6)	95.45	1
94	2	2	1	1	100	T(entropy,4,0.01,0.2)	90.91	2
95	2	2	1	1	100	T(entropy,4,0.01,0.6)	95.45	3
96	3	2	1	1	100	RF(100,half,all)	85.45	7
97	3	2	1	1	100	RF(50,half,all)	86.36	6
98	3	2	1	1	100	T(,2,0.01,0.2)	77.27	4
99	3	2	1	1	100	T(,4,0.01,0.2)	81.82	5
100	3	2	1	1	100	T(entropy,2,0.01,0.2)	77.27	0
101	3	2	1	1	100	T(entropy,2,0.01,0.6)	81.82	1
102	3	2	1	1	100	T(entropy,4,0.01,0.2)	81.82	2
103	3	2	1	1	100	T(entropy,4,0.01,0.6)	81.82	3
104	4	2	1	1	100	RF(100,half,all)	86.36	7
105	4	2	1	1	100	RF(50,half,all)	87.27	6
106	4	2	1	1	100	T(,2,0.01,0.2)	81.82	4
107	4	2	1	1	100	T(,4,0.01,0.2)	86.36	5
108	4	2	1	1	100	T(entropy,2,0.01,0.2)	81.82	0
109	4	2	1	1	100	T(entropy,2,0.01,0.6)	77.27	1
110	4	2	1	1	100	T(entropy,4,0.01,0.2)	86.36	2
111	4	2	1	1	100	T(entropy,4,0.01,0.6)	77.27	3
112	5	2	1	1	100	RF(100,half,all)	69.09	7
113	5	2	1	1	100	RF(50,half,all)	70.0	6
114	5	2	1	1	100	T(,2,0.01,0.2)	59.09	4
115	5	2	1	1	100	T(,4,0.01,0.2)	59.09	5
116	5	2	1	1	100	T(entropy,2,0.01,0.2)	68.18	0
117	5	2	1	1	100	T(entropy,2,0.01,0.6)	68.18	1
118	5	2	1	1	100	T(entropy,4,0.01,0.2)	68.18	2
119	5	2	1	1	100	T(entropy,4,0.01,0.6)	68.18	3
120	6	2	1	1	100	RF(100,half,all)	67.27	7
121	6	2	1	1	100	RF(50,half,all)	65.45	6
122	6	2	1	1	100	T(,2,0.01,0.2)	36.36	4
123	6	2	1	1	100	T(,4,0.01,0.2)	59.09	5
124	6	2	1	1	100	T(entropy,2,0.01,0.2)	50.0	0
125	6	2	1	1	100	T(entropy,2,0.01,0.6)	59.09	1
126	6	2	1	1	100	T(entropy,4,0.01,0.2)	54.55	2
127	6	2	1	1	100	T(entropy,4,0.01,0.6)	59.09	3
128	7	2	1	1	100	RF(100,half,all)	76.36	7
129	7	2	1	1	100	RF(50,half,all)	78.18	6
130	7	2	1	1	100	T(,2,0.01,0.2)	68.18	4
131	7	2	1	1	100	T(,4,0.01,0.2)	68.18	5
132	7	2	1	1	100	T(entropy,2,0.01,0.2)	59.09	0
