Dataseed	windowsize_flattened_ontology_test_operators	n_samples_per_label	n_attributes	dataset_name	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.3)train_accuracy	T(entropy,2,0.01,0.3)K	T(entropy,2,0.01,0.3)accuracy	T(entropy,2,0.01,0.3)macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_sensitivity	T(entropy,2,0.01,0.3)safe_macro_specificity	T(entropy,2,0.01,0.3)safe_macro_PPV	T(entropy,2,0.01,0.3)safe_macro_NPV	T(entropy,2,0.01,0.3)safe_macro_F1	T(entropy,2,0.01,0.3)n_nodes	T(entropy,2,0.01,0.3)t	T(entropy,2,0.01,0.3)hash	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,4,0.01,0.3)train_accuracy	T(entropy,4,0.01,0.3)K	T(entropy,4,0.01,0.3)accuracy	T(entropy,4,0.01,0.3)macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_sensitivity	T(entropy,4,0.01,0.3)safe_macro_specificity	T(entropy,4,0.01,0.3)safe_macro_PPV	T(entropy,4,0.01,0.3)safe_macro_NPV	T(entropy,4,0.01,0.3)safe_macro_F1	T(entropy,4,0.01,0.3)n_nodes	T(entropy,4,0.01,0.3)t	T(entropy,4,0.01,0.3)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
6	3x3,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	97.5	76.88	79.44	79.44	79.44	97.43	80.45	97.47	78.92	65	553.174	382cf08bb57b0fc7ed192687cab07107bb96f4d95a3e7b08de5cf7885a3ec49b	96.11	76.25	78.89	78.89	78.89	97.36	79.32	97.38	78.62	55	546.613	5748f6b801f0dbed9df09a42340ee4c6f62d0803943d5332a517ddeb12d8cd9f	91.39	75.0	77.78	77.78	77.78	97.22	77.92	97.25	77.25	41	535.735	ec439fd07c3fd0de0fe8de3dd2776e6e892924c29a162e8b1fde7e4b70a060de	96.53	76.88	79.44	79.44	79.44	97.43	80.61	97.47	78.96	55	550.94	57b41f9544b483321a47a594ec7e0a4919fbd14494460f0946372f66382753cf	95.42	76.25	78.89	78.89	78.89	97.36	79.48	97.38	78.66	49	546.13	f2fbdc2fc2b0fcdfc595d55a6e073e985aa0bf4a7720a52a8762d40dbd70af86	91.25	75.0	77.78	77.78	77.78	97.22	78.15	97.25	77.31	37	538.507	6391edf9e589c32c2947beac0d36454cf880af452e40beddf7ef8e54c4d98ab3	99.58	86.37	87.89	87.89	87.89	98.49	88.51	98.49	87.93	13.11	323940.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	215280.0	9131.342	("9e02c56e240927104255361fd1685af61ed7b910d5653c16e5b3f99230075889", "92d23820517155954fefee5719dfaf8af2cb705d7ca20b66415559fb228cc6b3", "d11cc57c939f01532c44d7de7a3b2a6dbb3e8381571ddc255f578e1c46c74816", "0445318adaf3136c6005be3251aa7d7672030f49a43e0ac78fe2da2cf115c716", "fcd84a8d9812769e560cd2ae059436b99bf397514e6387cad643a8a213c05c3e")	
7	3x3,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	97.22	77.5	80.0	80.0	80.0	97.5	80.48	97.51	79.97	63	380.986	ed35fb699b9e551320062de6c290ebe0426ae31c20925f700ef63f2aad6bef8f	97.22	78.12	80.56	80.56	80.56	97.57	80.81	97.58	80.51	61	380.238	e6971e2be45dc40a587c5e3e0c5ef0dd04255ea8a0d31cf9be1c44c1bd83ab6b	94.44	73.12	76.11	76.11	76.11	97.01	76.6	97.04	75.84	53	374.62	ff008da8f3345d92375aee0d0d060bd1bf5f2787da7b74ad59c4417b50399e4b	96.81	78.12	80.56	80.56	80.56	97.57	81.21	97.58	80.55	57	378.251	c23c71fe4c08079e33abbd08a055955595e0b8c524290fce939213d7c06436ad	96.81	78.12	80.56	80.56	80.56	97.57	81.21	97.58	80.55	57	377.866	c23c71fe4c08079e33abbd08a055955595e0b8c524290fce939213d7c06436ad	94.17	73.75	76.67	76.67	76.67	97.08	77.13	97.1	76.4	49	375.323	7232a15ee364940671eaaee11f1c8a2e60ae4d735b9204fbadb3e90f034bc20b	99.67	83.87	85.67	85.67	85.67	98.21	86.19	98.22	85.65	11.86	315140.0	0.0	0.04	0.03	0.03	0.03	0.0	0.03	0.0	0.03	0.01	151880.0	8414.051	("b469c3940c85ca704b0cca93d42042d887a332b4c964ce92ca6f8883de30af15", "4f3b1de8abd93999d3c15db494e066cd6545e26114e30e0f3559a2d770f33c02", "27183bc76f77dcf085482d95ad00f10801019f28d0d09a64723a20ca488bd2c0", "a8c2d509052468731bb90865b9e2e00f3e8627ed1ff653101a7e1106472ae32c", "6486839e4f883888cd12626541d2fd6542c7c1d42a3193c3b5dfe3654af974bc")	
8	3x3,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	97.64	81.88	83.89	83.89	83.89	97.99	84.48	98.02	83.44	65	398.966	22f9f04ce1aa073ed9889e5a784e1e9b3ecc825b739d189189f9210071e43c2c	96.67	81.25	83.33	83.33	83.33	97.92	83.97	97.96	82.77	61	395.543	ee0901e447ec510254bc01e286b0ce0cc3d6ace40d4133b3803e8301268e0794	91.53	75.63	78.33	78.33	78.33	97.29	79.54	97.38	77.0	47	390.076	61f61b914a0f90a50a5f6b882baaee8672639bdd5c6c3631007c8d55625166fd	96.81	81.88	83.89	83.89	83.89	97.99	84.73	98.02	83.51	59	395.871	e76b1e4e8f89e80f874a20064614e0aaf4cbd312d7e6b69e3a3b330b59960ec0	96.11	81.88	83.89	83.89	83.89	97.99	84.73	98.02	83.51	57	394.565	dcf32834c5282f81a4675dac64d649986c68374945b37896412ae3649957676e	90.83	76.25	78.89	78.89	78.89	97.36	81.11	97.45	77.47	43	388.304	a37c925c9358fe5971e38044f260e979c0032f38ab46417caba460265aaa5cb6	99.67	88.75	90.0	90.0	90.0	98.75	90.27	98.75	90.01	13.25	320380.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	104520.0	8965.462	("1f9e5c62726faa93c0dd52370da4f71818d383177e30afec1876487b93a8d662", "2e39914c3dd602ff074228c9878879f7dc52608442aa94070a8095d559c4141b", "fba51d67e9aac85ea027a40e3f6577ac6bb40ed15e84513a9376b36613b32764", "1c8ee75c46b8958ae460b1e8004272df968ee9674df2d48fd8bcead1fdd1cac8", "412e2c31acec25a782d02f7bb993ec0e1ad901c8913fa49b831804c178e9a71e")	
9	3x3,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	98.33	77.5	80.0	80.0	80.0	97.5	79.86	97.51	79.7	69	460.788	59fd6bbd78e409dd510167e1e1837e356dc872f6b89b482ca5029dcc84c29242	96.25	78.12	80.56	80.56	80.56	97.57	80.32	97.59	80.07	55	453.857	49ba8d9538addb8a38c3570fe70a0e40910e17dccf4c9e7be9a01146ec72c366	94.72	76.25	78.89	78.89	78.89	97.36	79.25	97.39	78.48	47	441.381	465cf52ac65a0b571f17163de11938531b5ff301740c6d02552467fb65ce8e28	96.53	75.0	77.78	77.78	77.78	97.22	76.87	97.24	77.17	61	456.459	2e8aa3b3d7ce2c78bd21d2c70c3441c78f5211e3857785ab31b913031d7a2bf4	95.28	74.38	77.22	77.22	77.22	97.15	76.34	97.19	76.32	51	452.934	faa1e8c80da6a187fa8296366c40a300da73739024f13de1ebe9c1a493b744e4	94.17	76.25	78.89	78.89	78.89	97.36	79.25	97.39	78.48	43	441.327	ab4d2e8244f9a8aa0a8703703402840d6fd8229f4503013123430cce8f381ef8	99.86	85.38	87.0	87.0	87.0	98.38	87.5	98.39	86.87	13.42	322020.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	214520.0	8886.448	("60af3c386660fe829a4272872c21ccdda8a7415d8e6887a8b4680e1bd58323bf", "eb2aaab30b014129a5bd7cc706169f4cffc34a0d79b56b9d3dd2fda9fb6072b3", "27b885afcac83bdb3344bd8a81b085c7f95f99f997c4ce3c7b5f1897b41a8679", "b01f3a5545a888cb24af0d390babd15ba525fd2b63121365aac5d63b510c6367", "8cd63de2ba1aa62f979c5526d9f33ac7520f6fadc3b7e7efc0762cc5ec8004db")	
10	3x3,RCC5	100	-1	Pavia	720	180	[1030]	[(3, 3)]	97.64	82.5	84.44	84.44	84.44	98.06	84.96	98.07	84.35	75	430.242	882a426f319a0a6b07e109fa359c1368e4601585977a8a70583f4540bb3061ff	95.42	83.12	85.0	85.0	85.0	98.12	86.22	98.15	84.92	61	424.91	593c7c58712ed3f215e179ee7a5b448f30396dd972df7ece1ff4da8cdfec9d31	90.97	78.75	81.11	81.11	81.11	97.64	81.61	97.67	80.67	49	418.462	0649fe3b4dad79d39fabe12604107e13b0330bd619ed159f506265a4bc4363a1	96.67	81.88	83.89	83.89	83.89	97.99	84.17	98.0	83.8	65	428.171	76255e7a454eb133a26d50df78a2cafe896e484510130ee515de7a0397f691ef	94.86	81.88	83.89	83.89	83.89	97.99	84.98	98.0	83.86	53	425.503	b9b3f3fbb4c5321571260b655557214d198203ab1eaa5dc7ea71b825cf324a46	90.56	77.5	80.0	80.0	80.0	97.5	80.02	97.53	79.44	43	418.384	e0c9784741ed3a84a68ab94af2df0b84af566a457851c0b56c12cb1881d2ae6a	99.75	86.63	88.11	88.11	88.11	98.51	88.48	98.52	88.13	13.25	330100.0	0.0	0.03	0.02	0.02	0.02	0.0	0.03	0.0	0.02	0.0	130600.0	9002.749	("80ebfc77b569c9f57a917233662099bf07bab2a02e80379be301dd3d78c9ea5b", "e00d589e0fe80d49acc39776299943eca3f714f605486ebd37c2637a5e49290a", "685b289892e99552e79aa2e309b97e17783fba2377c29d2d2582ab8aea0ae00d", "f161c5c6adad58d594f8477ac83b387c0ec6e19ad2e371bd3fb3bafa8fd15a0e", "34b723a8063933fdd4a8cb887a7d1dea553958874e81400390a6e327210a63e7")	
1	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	97.64	80.0	82.22	82.22	82.22	97.78	83.04	97.8	82.0	109	11.335	58384c3d43156241fa3009d7f36a1b7a6b2d2538746f41fcb40845c891af6634	94.44	79.38	81.67	81.67	81.67	97.71	81.73	97.72	81.51	79	11.433	9069b4bd5d73dd6ff3cca14cc1a47022fec7043de80220f6ac92d9c83eda9765	94.44	79.38	81.67	81.67	81.67	97.71	81.73	97.72	81.51	79	11.876	9069b4bd5d73dd6ff3cca14cc1a47022fec7043de80220f6ac92d9c83eda9765	96.39	78.75	81.11	81.11	81.11	97.64	81.73	97.66	80.81	95	11.339	e00dfc3d374972a8ac57b1347a99f37ccb9a882e73114c3529272f45349b8102	93.06	78.75	81.11	81.11	81.11	97.64	81.12	97.65	80.88	67	11.467	0cfda2c2d87128215c078840347ac801644651587a3fc7fabae7d15715d69163	93.06	78.75	81.11	81.11	81.11	97.64	81.12	97.65	80.88	67	11.563	0cfda2c2d87128215c078840347ac801644651587a3fc7fabae7d15715d69163	99.5	81.38	83.44	83.44	83.44	97.93	84.97	97.96	83.27	15.03	494140.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	622280.0	103.051	("beb556df71750a35a897676784410de1d19243800bfc4f43898c591d0740e4fd", "dd7203d8f2e444d13ad91c6f745ffde5c00694bcffc4bccbe9a4a9f1cf45dd95", "1359a417136a6ebacd29cd6106872be52beb045fd55ebe22964c693fd6c006a9", "c83a09f3293c0ad8b2dd732995cd84d4d5e4d659ae40a45f19ce9d83796c33ff", "abdf9d589006517169c6683c650f30b0fba4a18a1cf09b53d176f0a6b4daa062")	
2	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	97.22	74.38	77.22	77.22	77.22	97.15	77.53	97.16	77.16	107	10.981	d4edfb9149fab3999d9f37c72aeba049dfdfed3cdd18a8b0b7d4bd112a9aa6be	95.42	73.75	76.67	76.67	76.67	97.08	76.82	97.09	76.51	93	10.995	2b25f07c1535356a2ae2b1f00a1257274c950831e8d48b70a1ca6125f4274a18	91.25	73.75	76.67	76.67	76.67	97.08	76.66	97.1	76.42	77	11.049	40ec56b6344cd1b97ffb554fb3dae8b2a112f14828c3e2baec059276ae2182b4	95.83	75.0	77.78	77.78	77.78	97.22	78.07	97.23	77.7	93	11.16	b4108bdbf0b706396022d598770361e2e54e3ad82de161a9c7dd1cdbba66f4ab	94.72	73.75	76.67	76.67	76.67	97.08	76.63	97.1	76.44	81	10.976	4e9683a17e028d6bace02f536a06e7fb787a1aa8f978ecd7a32477705444320e	90.83	73.75	76.67	76.67	76.67	97.08	76.46	97.1	76.35	67	10.961	ff0b6a52a69e2298f2db21a9ef079f09ed74db1033b86ecd3fbe598d78e33630	99.33	82.5	84.44	84.44	84.44	98.06	85.04	98.07	84.37	15.44	482460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	786280.0	97.949	("e542965a4a5990bcbb1361ce5c358ec6c86e1858833d77b92f0969768da44e83", "65b1a882ccb32f0e23c03b5d8d3e40e85ceb3bedcb0cc0cc6f02b2975d50330e", "61eee8b4fad3c41ca52467a5db591f9d4b18a7c50e7faa32dab6598f7d263c36", "d720677a7e79b76e52e2b0c487118ecfa1013847f568b64a73339bbdbaaf7573", "3d3cf9af634be779addda8ef560600d371ab2a443484e652737ad9c831fdb06e")	
3	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	97.5	75.0	77.78	77.78	77.78	97.22	78.57	97.22	77.96	109	11.23	c6b7a784ec101e34842cfbe0f895072995fec3edcd5100c59d2c1c6a683ed422	93.47	73.75	76.67	76.67	76.67	97.08	76.94	97.11	76.27	83	11.312	f41c1c93a8a6952580efd4bf0116a425dbce6cde845a834b35b754f47731904b	89.17	72.5	75.56	75.56	75.56	96.94	75.83	96.97	75.1	61	11.423	61d2f2200e20ebdad5afcf1e97c27f7c8d6f12f887a17b47e83cc533469328df	95.42	76.88	79.44	79.44	79.44	97.43	80.27	97.46	79.23	99	11.15	d35a0acedfd4180e8f76e797539ebc0fff6e05b38941de73e04c743adf6a9598	92.08	74.38	77.22	77.22	77.22	97.15	77.19	97.17	76.9	75	11.279	7a2b5c07494e548906eea2e20aa65ea0cd6c74f4218444e06ac4b22f0a6bbc30	88.75	72.5	75.56	75.56	75.56	96.94	75.44	96.97	75.08	59	11.249	4a2a45ce7bc7c3fc4b02ab8abae6c3ba5470e73b8e79b333c7a9a1fd555a1813	99.22	81.38	83.44	83.44	83.44	97.93	83.93	97.93	83.52	14.94	502180.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	448520.0	98.516	("02f15608b512ec659703ddb9f4bc48f3184aaf9e23a99fffe18650c979c3b385", "688ae7c2331bea4bed03a984609faa0c2cb46c50da620da1f34ff6d31688e5eb", "87f9fc9e825ba91b3f333947b0b088d4579f83c23de2a195fd4c028118459e8f", "1127ab9b6e3d59de3acfa658524838a4fa68155ae40105d2d4ed9a42a9b98c24", "dee1e0ea05c2288d4ea0490a64bd6f1ff28cf582647bc98c82e91b67c39b94f4")	
4	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	97.64	80.0	82.22	82.22	82.22	97.78	82.82	97.8	81.92	109	11.057	a745eb622af77c047b1ce3804d03dc5ead659437b74960982b20ffd7ae5ffa71	95.14	79.38	81.67	81.67	81.67	97.71	81.81	97.72	81.49	89	11.138	057d0073f1d8bf87104ca9ceebf2f56b79d7b402d9aa8d8e73513e99eeb375ed	93.89	78.12	80.56	80.56	80.56	97.57	80.65	97.58	80.32	79	11.24	b05b15543dd6af0ce94baa5c8b1e84baee5a3de853469293180655e61a31761e	95.42	80.0	82.22	82.22	82.22	97.78	82.23	97.79	82.01	93	11.121	ff345f0490f4f9d242e2449fa6f26f0053387c2fb30370d9d7eddf566d2ca465	93.89	79.38	81.67	81.67	81.67	97.71	81.97	97.72	81.56	79	10.828	5f96679353a84345c4913e9b9769fac504946954c0c10c553c85ae01d2cb02b4	93.19	78.12	80.56	80.56	80.56	97.57	80.66	97.58	80.36	71	11.094	29b64e578b35c1efa3e5cec369508d06f3d0cc0deda6f80998a89e8c4f23660b	99.22	79.38	81.67	81.67	81.67	97.71	82.22	97.73	81.47	16.0	494660.0	0.0	0.02	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.01	331880.0	96.256	("a5316c3571777c05777a3cb13ed1ad7b27d26bd2a425efdfc17df42431981be3", "adb3b4e611a4c7f5af6e0286b06faf726dbafb9e86dac23b851056ae27f7bf58", "f03cb3f622e1d3dd59ffa97c8bcc0de7f5395c772368af9494e9056801ab8e77", "1de1eb11b860378132eae77cfe0c639a39a42b2d9cadd1aff1a889443451711d", "b31951a9e8e36763e373c0179c2b760947a70f12c607b9c9b1cd78e955214e93")	
5	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	96.94	78.12	80.56	80.56	80.56	97.57	81.4	97.58	80.65	103	11.218	6efcf0bd6113a792415e61d540077806c022afa769b4024f74dd4ba7f6f11dac	95.56	77.5	80.0	80.0	80.0	97.5	80.97	97.5	80.16	85	11.386	b4d7040e4ace8882484e6495ab78222b4bd005c4056158d2010b5cc2817e062b	91.53	78.12	80.56	80.56	80.56	97.57	81.12	97.57	80.66	61	11.294	7e568bf532da787007762559c790794d4137d5aaf73f5cb050b3cb421fb54993	94.72	76.25	78.89	78.89	78.89	97.36	79.97	97.37	78.94	85	11.249	d63c5dcad38f4ac7021321e47587b99d03fb789ce6eb7698bd01146ee73420c9	94.03	77.5	80.0	80.0	80.0	97.5	80.82	97.51	80.05	75	11.338	2e626b15b13aead97cb405aa84ddccd841cb538a2989c58edaf606bc65ab79ac	90.69	78.12	80.56	80.56	80.56	97.57	81.23	97.57	80.67	55	11.273	ca736e549a4def25779ea9c8dc0af1bcadfb7606f4a985bea5dcd6f6afefc149	99.36	81.0	83.11	83.11	83.11	97.89	83.67	97.9	83.02	15.61	499580.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	194320.0	97.199	("b925f734d3430c2da70a3676fda11c85fa6e795cc362bcc4083e01f3ab778e30", "e89c78f847f3aee562c89b01441185b7f03d9f4b495b530be07bc124cbff65b4", "e3b027c7734a38a24d07dee86d93b900cc0c6a926abeba17d07e6ff5d2607560", "df48a7cead09dcc0f563f20685b8443d14abb9a10a9c723071097228fa4df124", "6958fe5af531e29806e488072cfe9f755a04a8693516e367bcb156a417306e2b")	
6	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	96.81	78.12	80.56	80.56	80.56	97.57	81.84	97.6	80.34	107	11.195	e7442ff173ecf4ded0a663c4ce930ce24ce2748779a196e76d8c5a460b6f6e65	96.67	78.75	81.11	81.11	81.11	97.64	82.15	97.67	80.86	101	11.275	3723524fc95a34c47c220470c74726f324ca5ce64a5b272633b4607eadd181b4	92.64	78.12	80.56	80.56	80.56	97.57	81.28	97.59	80.4	69	11.373	73ae41d46f5d9f6ee7d0e706a7bab25560ef42c23554dbb2ad13092a16fea0cd	95.14	78.12	80.56	80.56	80.56	97.57	81.91	97.59	80.48	93	11.425	7caf99b279b63ac304f41246fc324394bbae7ba7641af74e10e951e9148ae76b	94.86	79.38	81.67	81.67	81.67	97.71	82.52	97.73	81.54	85	11.372	ef880f71e07836919bfc05e60a35d864641883655de63ba7c0c9fc14446c0c05	91.67	79.38	81.67	81.67	81.67	97.71	82.45	97.72	81.66	61	11.268	059b6bbff41672610090765a828baf17afcb4b5660d7a837788533d744f4fea0	99.08	86.25	87.78	87.78	87.78	98.47	88.42	98.48	87.72	16.22	496820.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	387120.0	98.199	("59bb7bb6978fe6f80eaeb5e5c9d492e695e02f4c6c9ab4671ad268971580b759", "27d7f7709f592e17efd17f3fc08b9d42017be0e98e66f6727f526d44b6ca1912", "1cd08e7d75b48960c33956c115e42dec564b01cb4680cdefe2650f1cdb390add", "83fbc5843a1298c1dec6f32f406b71fa214f8f1880dfe4f70da2896e1bdbcc5b", "e8cc9026f05b0dd2227e724a67c96f1d32575604eef3d94a8fedccf12f3b4500")	
7	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	96.67	72.5	75.56	75.56	75.56	96.94	75.18	96.97	74.99	105	11.097	ad054356d9a546f722bcdd885020b3dd13c2d741fe9f5510d6983cfa5b1ac201	95.69	73.12	76.11	76.11	76.11	97.01	75.84	97.04	75.53	87	11.234	221b28aed51b765d6235936d468417b6639026a713505cd8aa1c047f8173141b	89.31	71.88	75.0	75.0	75.0	96.88	75.34	96.94	73.79	59	10.962	76fea57affd399087c838d48879394e2df75d13d8edca9a9a3dd5d726acc2a67	94.44	73.12	76.11	76.11	76.11	97.01	75.57	97.04	75.59	89	11.388	9f260e56450e02453cda35fb432c9a7fb9ee387e0610fa5225f2356b21ea1225	94.44	73.12	76.11	76.11	76.11	97.01	75.67	97.04	75.57	79	11.13	d31eb5f5d3fce1a8a42ecde330e9789535fee8a2bfd6dbb86a7a7f2e7b57b287	88.47	71.88	75.0	75.0	75.0	96.88	74.82	96.94	73.76	53	10.978	071301c5796c7f397747d4969de1ab17b8255ac586936eb543023ae4fecf6345	99.28	78.75	81.11	81.11	81.11	97.64	81.92	97.67	80.7	15.58	490740.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	133480.0	100.508	("462f0f173019fcf1a914fbe3dd037a80c1ceb86ad76ed2b30ac4419046e135e1", "8cb8293446a14e0471931c4e28a285ce4066699e0157b7b198465061a08e6bf6", "9776d4c7d4e53404cc6ff243677ff20461df5f644a1eb5ee2ee324e3db112702", "0895738e6ddbf30068ac6800878b82d2d6a8856c438134c4b446fdb1a097459b", "cb2d51214234e6ba3d1ec2e057bfb0b141b711fa9108e52cb24b2667e3a91c26")	
8	3x3 avg,propositional	100	-1	Pavia	720	180	[103]	[()]	97.5	71.88	75.0	75.0	75.0	96.88	74.77	96.89	74.58	113	10.979	fec83bb5f815aad7ef861d3e17c69a3822e00d3f2f8d416afbdba64b0bec3266	95.28	71.88	75.0	75.0	75.0	96.88	74.99	96.89	74.63	81	10.969	92e9a3c573dc01a571ec7c4bcab9cc6032c67a909045389217a40f9f03e630ea	90.28	68.75	72.22	72.22	72.22	96.53	71.58	96.55	71.65	67	10.994	be8d2d10a24e227a98ecfc5dec6cf9d6946125618efb5daadcdb1d5243faf9f1	95.28	75.0	77.78	77.78	77.78	97.22	77.88	97.23	77.72	97	10.938	18d7876252a9ef7047f96603ce0e9ed06c98ca698bf0f0aacb580e976c08380c	93.89	73.75	76.67	76.67	76.67	97.08	76.76	97.1	76.41	73	10.967	7bf6acf89e92b8123c00722faea59d87e1043e03b1c80f1b2d629f5f1839dab4	89.17	70.0	73.33	73.33	73.33	96.67	72.95	96.69	72.85	61	10.971	cebc37c38a1d4bca7bca75af6aedecac5c67eb839de305b1bd6ad5a6ab0a5141	99.19	81.5	83.56	83.56	83.56	97.94	83.68	97.95	83.53	16.53	498580.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	111120.0	97.902	("849af9e66828e211724c97372ad0a62e2eec29264ffd2bf9b2602e458c962ea0", "99a632e28ac213af95d41d3d5bdcac4721f25d806b0a90c0ed11171e936906e1", "435f8a7e05300280be32d6e8ad0e94a38c9b1cbf59eb9ab737398dcaed0043a7", "db7a63a59285d7dbfc797192e59330be8831f28b543812095013497959e23dde", "2d99ab462b39e21b308e760cc4f82065f40ddc0227c1627d95c192854e88adbc")	
