;T(entropy,1,0.01,0.6);
1,TestOp_80,3,40,false,Any[],1,(3,75,50);(28.57, 71.43, 57.14, 62.5, 64.29, 00:00:04);
(3,75,50),TestOp_80,1,20,false,Any["Normalize"],1,1;(25.0, 57.14, 67.86, 64.0, 62.5, 00:00:10);
(3,75,50),TestOp_80,1,20,false,Any["Normalize"],1,2;(14.29, 67.86, 46.43, 55.88, 57.14, 00:00:09);
(3,75,50),TestOp_80,1,20,false,Any["Normalize"],1,3;(57.14, 67.86, 89.29, 86.36, 78.57, 00:00:06);
(3,75,50),TestOp_80,1,20,false,Any["Normalize"],1,4;(28.57, 60.71, 67.86, 65.38, 64.29, 00:00:03);
(3,75,50),TestOp_80,1,20,false,Any["Normalize"],1,5;(39.29, 60.71, 78.57, 73.91, 69.64, 00:00:06);
(3,75,50),TestOp_80,2,20,false,Any["Normalize"],1,1;(25.0, 60.71, 64.29, 62.96, 62.5, 00:00:08);
(3,75,50),TestOp_80,2,20,false,Any["Normalize"],1,2;(28.57, 71.43, 57.14, 62.5, 64.29, 00:00:09);
(3,75,50),TestOp_80,2,20,false,Any["Normalize"],1,3;(10.71, 50.0, 60.71, 56.0, 55.36, 00:00:04);
