Dataseed	Params-combination	T(entropy,2,0.01,0.6)	T(entropy,2,0.01,0.7)	T(entropy,2,0.01,0.8)	T(entropy,4,0.01,0.6)	T(entropy,4,0.01,0.7)	T(entropy,4,0.01,0.8)	RF(50,half,all)	RF(50,half,all)σ²	RF(50,half,all)t	RF(50,half,all)	RF(50,half,all)σ²	RF(50,half,all)t	RF(100,half,all)	RF(100,half,all)σ²	RF(100,half,all)t	RF(100,half,all)	RF(100,half,all)σ²	RF(100,half,all)t	
1	stump_with_memoization,(1,false),1,40,(100,75),false,Any["Normalize"],TestOp_80	(42.86, 71.43, 67.86, 75.0, 73.08, 70.0, 70.37, 11, 0.7357142857142858, 0.6446428571428572, 53.689, db0fcb764ea97367f6f6c29593d4b9f0036bbd20b84ec0f941b21cd67d85756f)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.011, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(42.86, 71.43, 67.86, 75.0, 73.08, 70.0, 70.37, 11, 0.7357142857142858, 0.6446428571428572, 9.457, db0fcb764ea97367f6f6c29593d4b9f0036bbd20b84ec0f941b21cd67d85756f)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(48.57, 74.29, 82.14, 66.43, 71.03, 79.07, 76.12, 0.0, 146960.0)	(0.005484693877551024, 0.001371173469387756, 0.0031887755102040826, 0.0022959183673469403, 0.0011073153126244534, 0.00301888888888889, 0.0013647002876727653, 0.0, 152.8)	(0.0, ("3e7f38bc6c47a22b4db4f6c1df584dd8a1ac911915cc06c6abbe0a407fddfd52", "b929f8042852351cde478fa5756bec54444a1a9854e1860a45b16d3faa0a688e", "fb1d45b7ffaf14595c4b66cfcce366ad6ca3fe69f2f7e83c15f56208a6e713f2", "bdc258eeb42c2a943ecafd5b14d413a2a6269681bc8e72b4847a2afd9013fe89", "d3a70d5b305d2791366c4903514ed358f2b1f46fcbd49a22f4c36549ea1adc59"))	(48.57, 74.29, 82.14, 66.43, 71.06, 78.85, 76.16, 0.0, 182080.0)	(0.001658163265306125, 0.00041454081632653125, 0.0006377551020408157, 0.0016581632653061243, 0.0005529500980630448, 0.0005193975678181922, 0.0002792125812341248, 0.0, 1551.2000000000003)	(0.0, ("e01df8389afd91bec5c6a2cbdbe324864cdbf24d7f6a88d6734dff74eaa6a85c", "dfdc6ef9b708b0c700a55d4ae3151650c5e205ef7e71675ab68642a0f4dc638c", "e7d2d3fab0795e0c7e18844e36158572018a184c9910837dfe2e8864d8f0692e", "4b414bc204bd9cd8ca23ffd3e9bdfd2a74bca48531b14812cd38cbc4ecce4213", "f8283fbeca5ec9954ff72d46b59688618a13456b1bbe86f83e3b9a10e1f5c215"))	(49.29, 74.64, 81.43, 67.86, 71.64, 78.72, 76.2, 27.79, 295200.0)	(0.005994897959183675, 0.0014987244897959188, 0.0034438775510204052, 0.0006377551020408157, 0.0008418545451798291, 0.0030531818871029296, 0.0017015005339114588, 0.00018991307071814607, 1258.0)	(978.135, ("5291921668601696fe2ab5823cb8a2fce8b23895b1545d86898f18b7deaffbe2", "5c264c8e532b9999ebcef864521bfdc1ee29c608642e45af7787938591588652", "781c5495424c5a7567ec8ffc2eb1a1754035d986bc2c8f775a5d1e3daa2caf83", "e7b6038d4dd2e339a851706f1c144c3caac0c6e4109c6736d653267d38d5bfbf", "f5f8af452bc21953445b79b23fe5a8a49b5048b99c2b7e84f7b7479c1b0e81ce"))	(49.29, 74.64, 81.43, 67.86, 71.7, 78.55, 76.25, 29.58, 364040.0)	(0.0021683673469387785, 0.0005420918367346945, 0.0008928571428571421, 0.0006377551020408157, 0.00040012870074551134, 0.0009087282083595888, 0.0005136158752243807, 0.00036416077131246625, 2580.7999999999997)	(1161.381, ("d7ce0868c889862f33456e16f39305501a4a4e9536daacaf379521234078cef4", "f62e65b24a344275bb97e37ff1dd31e9ab2365946b406da1fe7fd1bed1fbb248", "291085fb8be79156c4cd5b64a79028b2c6668aba65bea53331fdddd544a8b828", "def6fc02fc0af6ab796ee1b5b1f70cce027079ad4f06bc33c48145e0feecffc6", "ddddb8b63884d9772ff20d8085a9f272a012f5acf8db6b53c5a43f69f8bd1848"))	
2	stump_with_memoization,(1,false),1,40,(100,75),false,Any["Normalize"],TestOp_80	(32.14, 66.07, 71.43, 60.71, 64.52, 68.0, 67.8, 15, 0.6618131868131868, 0.58125, 33.987, e413a3a833b5eaee2fad5929eb87c6027c9a6aae08fcaee6fc2a326cf1b3f441)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(32.14, 66.07, 71.43, 60.71, 64.52, 68.0, 67.8, 15, 0.6618131868131868, 0.58125, 16.669, e413a3a833b5eaee2fad5929eb87c6027c9a6aae08fcaee6fc2a326cf1b3f441)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(31.43, 65.71, 70.71, 60.71, 64.33, 67.62, 67.29, 0.0, 150000.0)	(0.0028061224489795878, 0.0007015306122448969, 0.002806122448979589, 0.0019132653061224513, 0.000588579604578563, 0.0014545408155492458, 0.0008940938530517592, 0.0, 80.0)	(0.0, ("a7e58bb2e1d982f317ccde89a22e912713f5dc9000e2278e530e0e4a8ab767be", "999cc17b9788bf4599fe969cacc1763dfa637305084ce830cb795d25020f4ea2", "8b01c9ae9a788ec8e81ce12a9847f55f6bb7ae2970e792e75c07b16e876f7020", "592cc00d94d336118a6794b20c2e2d6cffbe9cda318066ad4f1774e76b3866e7", "17125d46f7c3eead2fc37d8ecdb540eae6340cccc909c0a517c1dc500062dc59"))	(27.14, 63.57, 67.86, 59.29, 62.6, 64.95, 65.01, 0.0, 184840.0)	(0.0016581632653061256, 0.0004145408163265314, 0.0025510204081632673, 0.0029336734693877573, 0.0005542854588383722, 0.0006643285372149704, 0.0005916887573025905, 0.0, 460.8)	(0.0, ("b9827b31addbdd0409475300f8ad31b6dc2f9b9ee438e81b2042c5f34ea595ed", "9c7411151906f5515dd224a40d209d5239dde966b1464f24323396dd58137f8f", "5dc0212b5fb58ee4f1d74b34a8f803d7fd4885f2f48fe879eac001ea9372e7eb", "5f4224f06eb9b7e8922624264a8397401659a6e1d1e330b7fec70027d3cdd638", "828c6e3cdbba6bc961690ce75cf415df93ba138f527d861d35fc0f101a94ab55"))	(34.29, 67.14, 71.43, 62.86, 65.96, 68.78, 68.49, 30.65, 298520.0)	(0.004846938775510196, 0.0012117346938775493, 0.0019132653061224472, 0.004209183673469391, 0.0015690338880713023, 0.001405658975782312, 0.0009114223871166434, 5.567786179684798e-5, 327.20000000000005)	(941.088, ("f0b6bead9db6d962892a665f74abb0a43241c618ddbd753647e9ce792baf1b84", "43e7b26d669aeb1cf7fd2bd26e11bcf63730dad8182d1952c0a24f8e562ba52c", "1acd3b2bc86b170209bb50a69fb2631ba9763d60cbb06035173dca49792c5476", "1c859477c6ccaebc8cef3a7863449a156a6286837b4b5ef049573de3d7d8bfcb", "0f7c42bc6d95e1a245b5bb2367900db1c2801f715eaa55fed4211a607d44657a"))	(27.86, 63.93, 69.29, 58.57, 62.7, 65.47, 65.81, 29.67, 370640.0)	(0.005994897959183676, 0.0014987244897959186, 0.00038265306122448945, 0.003571428571428574, 0.001666334371608982, 0.0012554286694101517, 0.0009310113230429375, 0.00021509172001249208, 2244.7999999999997)	(1157.11, ("3739e284a0b351e4a2c2f41906fe4eb28078d589fef2cddba36d22d589af5370", "c738fb6c6f7cafe786fbbb5584f171a6494dde24ad08fab8bfa954600713846a", "aded5ab231ab63c64fa09ea1abd9a4953929e94f8980cf33d81420d54047e63c", "136b62ce9f6c58d14ea8038d89f1f647af36eeb07281314eb91e3a539e33a65f", "9be336cfbbfc76c24b10fd5f8648fb72b14ec5478ac90b88e9f8721e7f286159"))	
3	stump_with_memoization,(1,false),1,40,(100,75),false,Any["Normalize"],TestOp_80	(10.71, 55.36, 50.0, 60.71, 56.0, 54.84, 52.83, 5, 0.5976190476190476, 0.5458333333333334, 11.771, db87df505dff6fdb0cd961d78090f626f3fabc2fa9943f0a1c2b737de92968a3)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(10.71, 55.36, 50.0, 60.71, 56.0, 54.84, 52.83, 5, 0.5976190476190476, 0.5458333333333334, 5.404, db87df505dff6fdb0cd961d78090f626f3fabc2fa9943f0a1c2b737de92968a3)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(37.14, 68.57, 56.43, 80.71, 74.52, 65.01, 64.15, 0.0, 145280.0)	(0.0016581632653061228, 0.0004145408163265307, 0.0021683673469387733, 0.0003826530612244895, 0.0003022179316975377, 0.00047895240856368147, 0.0011209146924198994, 0.0, 671.1999999999999)	(0.0, ("1c5a65ef549bc5c440fcef8a54cb310c1e3e5f94741fd43b0762e88233173256", "ab1494a3fd1fcd1b462c3d49e917bd23eff712ae8b024808e2da4c9316167a59", "233545699c65a7693e9178986d3f03b8e94d17a182fc34862279a9d24d7afd4f", "6fa185e0657816d7167dfbf30702ad27d9d6159eb8663b769f96de975a3dc636", "96db87b6b8f97bab813c4443d7afccf22ef4e016bb1fbce98e0ba5174ed05a28"))	(39.29, 69.64, 58.57, 80.71, 75.26, 66.09, 65.86, 0.0, 179560.0)	(0.00573979591836735, 0.0014349489795918372, 0.0016581632653061243, 0.001658163265306121, 0.0023759219092241474, 0.0009817850329242068, 0.0018444107855226921, 0.0, 234.8)	(0.0, ("6fb10c0c69d97e9edc85fa6682dc3a81657f4286c305e23f7331fb0cdbbcd2d9", "252b055695b4832760c9f6fd3e69dbcce689d7a19a24fdc5a00d8628f59a11d9", "01381ad30eafce666e5eba41f1152ba651f14333c37f9630f6d49dceb68bd84f", "3916e5720375e7a17429462759e47160e8485eb4638ac2685190d8d30155b468", "ed51ff9dac9191a14cd14636c7730db1f43d0882b103e7ddbc682eed4fb1fc19"))	(40.71, 70.36, 58.57, 82.14, 76.62, 66.54, 66.33, 25.22, 290720.0)	(0.0054846938775510185, 0.0013711734693877546, 0.002933673469387756, 0.0012755102040816315, 0.001922260329326196, 0.0010765100207859833, 0.0023169533258498225, 0.00015662933667475845, 1333.2)	(1025.892, ("27e842aa025a0969d09d54a2f4c36272ba1db0a1db358a74d4e98e13a29765b8", "79c12877531a3a647e1274b91ede1ceedf2207063431c783e86bc9624ca7aec2", "1b5b4d9fb13681012cf438f051016ae838eedbf11da94ed05fafcedbf0b18942", "c624aacabc7ddd51b75ef143ae9599ace6177dc6f60b40afc5e01b55d734a13d", "c10da0965bbc24d2d5bafd53a90263e2c6c1249df7673f3c6b121287e6cfbac5"))	(41.43, 70.71, 60.0, 81.43, 76.38, 67.09, 67.17, 25.13, 357800.0)	(0.002933673469387755, 0.0007334183673469387, 0.0015306122448979604, 0.0008928571428571422, 0.0011111718664562821, 0.0005788371993677665, 0.001158333333333333, 0.0003269637403085587, 848.0)	(1078.16, ("c571ade9305bc1da41820d6005d33ed145f5a6c097f1b4c282829a9e5adeb665", "30c75c9ce85978ee1aeba9f46ecc68623b1bab21c18569efbb7961baa2abc8f7", "623ad79251077d055b1eef327b9b857091de8cf33eaff3a766208ecbf444b605", "49060432cf3412516c64f199a257c403a179fa0f72053ede5a425a08171d1753", "b9c3ee8adbf9aed54fdc2b00d11c34413fe027ee8cc24e85001993987f170a1e"))	
4	stump_with_memoization,(1,false),1,40,(100,75),false,Any["Normalize"],TestOp_80	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 7, 0.6083333333333333, 0.584698275862069, 8.502, c7d16effda4656bfd8b35f3eb331542393e24421f19e8930877c29f8d6fca16d)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(25.0, 62.5, 64.29, 60.71, 62.07, 62.96, 63.16, 7, 0.6083333333333333, 0.584698275862069, 6.241, c7d16effda4656bfd8b35f3eb331542393e24421f19e8930877c29f8d6fca16d)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(36.43, 68.21, 72.14, 64.29, 66.99, 69.93, 69.36, 0.0, 146240.0)	(0.002168367346938777, 0.0005420918367346942, 0.0028061224489795886, 0.002551020408163269, 0.000660642096326079, 0.0010966723961576348, 0.0007286831580011452, 0.0, 74.80000000000001)	(0.0, ("c6498342dd455f5465acb13b48c8aac94f91883f1b7c4b5e99616711fac4e05c", "d9bae0ee1f02632858023fd770d2cf1dcf48c2405a2e25c6e880fa9cada2332f", "8baef7a7ec03b689d2875f97ed6c4b3a39b98e393b0f64918069abe8315cc7d3", "c71da83b09396ae11ba6e85e75e4dfb0d61051c293465d28ea0b8a63291253a2", "fe221a08603cf18e739b5d820897034a32bddaebef5c0ecb7a21189eba73e007"))	(32.86, 66.43, 69.29, 63.57, 65.52, 67.54, 67.32, 0.0, 179640.0)	(0.0034438775510204057, 0.0008609693877551014, 0.002295918367346937, 0.0008928571428571452, 0.0006657632645309412, 0.0013313832058744546, 0.0011143404734706658, 0.0, 242.8)	(0.0, ("18903c5e47d181717b48bd5bde1cf09a08f7c10065b49bd761192fe69987d096", "a9da064c5f46f97ab9a380cfe95237126c47452a497ab1091c1f64bb893927ff", "128a52d84389dbfdd0e2fa4ec37126469a8d830c96b13d1685843ae17c5779fb", "683dbdf8cc714aa35ac75723df5cce8d35b4efcf218d1ec94cf11f2b748b1b8c", "848b1a898386404e265c104dcafc7d0048770d792c8c447c887a7384c4d55f4a"))	(37.14, 68.57, 72.14, 65.0, 67.33, 70.12, 69.61, 25.97, 291240.0)	(0.00293367346938775, 0.0007334183673469375, 0.0021683673469387733, 0.0008928571428571445, 0.0005278057667031051, 0.0013738961451578457, 0.0009122800402973298, 0.0004626856903631375, 294.8)	(875.674, ("4352bc2d6e4f3a27e12d3af28fec496313eccd408834f6c96a2d540587c54c12", "f5c35bb0ece98a49a119562684b27919346191d7dbc66d063b2652fb706c448e", "da21f9ea3d6994b09577746979fb3089df6aa782a0f3ec39d46babcda415a5a6", "27e5031335ce85f4b020e68c09ff9c4ccaa32ed8e69b10866b8827589e4d19a3", "5ed2ab831064dd5e4d3ecce4f3906f9d4293e518444b5c950032ecafe386bd4a"))	(30.0, 65.0, 70.0, 60.0, 63.62, 66.72, 66.65, 26.73, 358720.0)	(0.004209183673469395, 0.0010522959183673487, 0.0016581632653061209, 0.0008928571428571443, 0.0008159261547577751, 0.001477715318869165, 0.0010979179995634527, 0.0004268149424387185, 483.2)	(999.122, ("df3468e2e73bd4d4b0cb69e0375cfa9fc4a99d4bcbcfa8aaac9333b8e472f5ee", "1a4a9bf0d3f40052c0b7572849ed05fce5bc1f1f246d3087d2aa1bc93d26da66", "459a0c03f450269c46ed6bda2f73718f941c46295ad45c9e6d8827ca5bfde0a6", "9b8aecc8e37c5139267efa27a53b5582ff8f4f65c5d1bb12caf2c7e785cc9837", "014b40a3e175262994731060d592f5ddf06bb5d10cf300ce60a331bb1e913d24"))	
5	stump_with_memoization,(1,false),1,40,(100,75),false,Any["Normalize"],TestOp_80	(21.43, 60.71, 50.0, 71.43, 63.64, 58.82, 56.0, 9, 0.6214285714285714, 0.55625, 5.886, 7fc1d655af4fcdbd70ecb401dd5877bb800be523a711df3f85e9e0f1a6318624)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(21.43, 60.71, 50.0, 71.43, 63.64, 58.82, 56.0, 9, 0.6214285714285714, 0.55625, 4.663, 7fc1d655af4fcdbd70ecb401dd5877bb800be523a711df3f85e9e0f1a6318624)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(42.86, 71.43, 66.43, 76.43, 73.79, 69.72, 69.8, 0.0, 147760.0)	(0.005102040816326534, 0.0012755102040816336, 0.004846938775510202, 0.0010204081632653053, 0.0009858053594392212, 0.0022380690724939844, 0.0020451967404362687, 0.0, 98.80000000000001)	(0.0, ("5ae92f9cd52d82ca5c457dc63fda943e9a6d4fd3048191d6f57187c4b36c6a01", "a636b21877a0d6af0cc90c42b79613b4636e1c9f7ff64cfb4c1de6675f5113ed", "53144e5368872d6f3cfe593e2092dd8881e25e9d24c6f513a6cf0346acc6b5bd", "f18eca25e0daae0de56384b2c9da57edf1b91f3ad7595efcb5c35fabda575ade", "961d20cf19ca3464e2cd2b27cf70e79e07b4dfb206228a872bdb02c6909badb0"))	(40.71, 70.36, 57.86, 82.86, 77.13, 66.34, 66.07, 0.0, 183960.0)	(0.0016581632653061193, 0.00041454081632652984, 0.0015306122448979613, 0.00025510204081632634, 0.0003954515643686599, 0.0004541716901024274, 0.0008670580076768615, 0.0, 180.8)	(0.0, ("2c3f9edfba82dd45faff3647b370c56142df160889ba485fc73d1fedbe2a7766", "81a2a8080e16e8a8c4a03a63675cf32a45ceadb3a95f6ba60e7d743c0d9cd99e", "10b4d80ef2adc6794da62e5ac7e3316ae6bb63caab0127acae40a8175ef4a825", "c0293d0a0994dbda784d19dc25f123e862e10f1df3c512ee5845a017691898b2", "0387ea6bac13900e81ded96eea6c7869bf0f2b0b8b4496271c40bacc6d98607a"))	(45.71, 72.86, 67.14, 78.57, 75.83, 70.62, 71.15, 27.43, 298840.0)	(0.0015306122448979602, 0.00038265306122449005, 0.0021683673469387772, 0.0006377551020408157, 0.000347268835691976, 0.0006795383226232841, 0.0007938570023088782, 3.9157334168689917e-5, 224.8)	(908.911, ("540226830b5d8d83a5e66cf3bcf3d2be5906930cb843dd5d90c6112d5de3d28a", "72173895ec1d603b0da058ee51ea389fe5154a5fa403e05b15cc882157191c22", "fee3430685e5f08435dbf90bf0000f44ec70df2607feb6be6ca0b02507a97267", "0b49a8f230e3c5943cf24358984c9bb1d5bc9daaa5ec649c6ab7613e8b815201", "d3c315601db1de78581d5e238549fb603748c173fde286dc937e937958786e87"))	(41.43, 70.71, 60.0, 81.43, 76.54, 67.11, 67.16, 27.43, 368240.0)	(0.0035714285714285696, 0.0008928571428571422, 0.002168367346938778, 0.0021683673469387738, 0.0020125512990325323, 0.0007807162573436892, 0.0012182240133443167, 0.00015662933667475964, 928.8)	(1092.631, ("be6d10121d768f8087b487fad14505c00cea44612fefb9fc08defccb8aa7674c", "d86a26a0f0980d267dd5652a15d67dfafc2097de7b123d9ab919c509151ecd87", "468492d3abf6e6cff09f95f639953849b267c791e790835743c28faf521a053a", "e3f3d8e2f793610eaf600e3e80777fecf5e3408a8a3634afded5558f8392a0e8", "d395d38077a7b591876eac8422d37d365fa2e978ab28e5cc4ca1d9414919f9df"))	
6	stump_with_memoization,(1,false),1,40,(100,75),false,Any["Normalize"],TestOp_80	(42.86, 71.43, 82.14, 60.71, 67.65, 77.27, 74.19, 5, 0.6967532467532467, 0.6397727272727273, 1.14, 1808ddf6591e1b8a33f8596faa16296c0e65f3b2942643b8c85ffa41227de23d)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(42.86, 71.43, 82.14, 60.71, 67.65, 77.27, 74.19, 5, 0.6967532467532467, 0.6397727272727273, 0.606, 1808ddf6591e1b8a33f8596faa16296c0e65f3b2942643b8c85ffa41227de23d)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.001, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(0.0, 50.0, 0.0, 100.0, NaN, 50.0, 0.0, 1, -Inf, -Inf, 0.0, 9c77195418c27357ceb45b34a28cb1ace6baff713d8558a0764f47b8dcdefdb4)	(49.29, 74.64, 84.29, 65.0, 70.69, 80.56, 76.87, 0.0, 144160.0)	(0.0008928571428571476, 0.0002232142857142869, 0.0003826530612244895, 0.0008928571428571446, 0.00027598748592371625, 0.0003290376868771539, 0.00015609686509672943, 0.0, 114.8)	(0.0, ("39a47881745ed6ff0577368f988307fc86e5db16d5c16af05c2fda2076ba66c8", "55aad62a3e9ad3c480c301b293b4add47965b3314958dfceb2cb15a11c690e7f", "d3d7426ba95155745512ab4d8b75a007eb94a71e2486bd1783c9742ec8600d2d", "2929de9c31ad63bf1a41fd4cfb3604e77713c30fcd435e5d9da251e3c54eaea3", "1220c3f8d0973451c7ae8dcab4b27562525f61cdd7f3e61c8b568a44b9e817f7"))	(52.86, 76.43, 83.57, 69.29, 73.2, 80.85, 78.01, 0.0, 179120.0)	(0.0040816326530612205, 0.0010204081632653053, 0.0010204081632653051, 0.002295918367346937, 0.0011280396962706654, 0.0011875071315630766, 0.0007957783879120303, 0.0, 1209.1999999999998)	(0.0, ("5dcd516ea85968dcc312bc652ed8880c0ad7fd59f1bbf0a8f49d83fc0f5fbcbe", "1cb7398e52484bddf7d5cb812d869d335f2d17ce05141be711a1f520f221de79", "45720220e0bbfa669c9ce9a56e816335bf094f29877687f7cba4dfd3c5512230", "a8422763f97c54cc1d02c2f7341d3140fa1ec10d92cd660c7efe454759879b6e", "2252a240fa38bb3f46cedc6c5a10eb8fc1dcd3da9f6f5b54979efd01ab43a41d"))	(47.86, 73.93, 83.57, 64.29, 70.08, 79.77, 76.2, 26.73, 286480.0)	(0.00038265306122449184, 9.566326530612296e-5, 0.0010204081632653053, 0.0006377551020408177, 9.317900335290806e-5, 0.0006569624219156547, 0.0001558637668916158, 0.0002799749393061316, 755.2)	(890.871, ("cd94ce15b1920d62ba94663fb76b0ae62a3059317914d3374efa810c11c0229b", "4692dea4fccdd17cb94a4618af22682519c6291debc33beef8c31e6a2acd6f48", "ecac818674fbe189af54156438a5e98876a03f443945afd6e83499836e56089c", "b8a1d825a13dc1c12c09ad8207153f62482460fbdf88bd922b9107f5a68718fc", "cd303efd2b9bcfe3dfca4c34d08d82a91b396424e81e656ca7389f503446a08c"))	(51.43, 75.71, 85.71, 65.71, 71.47, 82.12, 77.94, 26.02, 358720.0)	(0.0010204081632653053, 0.00025510204081632634, 0.0, 0.0010204081632653051, 0.00038927335640138327, 4.591368227731856e-5, 0.00013319458896982376, 7.244106821207633e-5, 4191.2)	(1080.481, ("5d32525cdb8b02e84c80cd42d3ca958dd1085aabbc785cea8375e8fae60a8412", "9a7b1e89556f019e0cfbc0ea1c4ff06dccf145b76bb42000673713b42940ab6f", "7687c9f248aded6903de5d0ed1c68e011fb6d4a21da996ecd7225e36a9a4eeee", "d5bc84c620b1e97b7f94b9eea588b01733184dba86dfd72969d7a1e523ff80ac", "a97f15be98861cc9c83a4426296617d5932a09ed9390c4b4ef50f701b89e4253"))	
