Dataseed	Params-combination	T(entropy,2,0.01,0.2)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.2)	T(entropy,4,0.01,0.6)	
nothing	stump_with_memoization,TestOp_80,FingerMovements,(false,"interval"),missing	(10.22, 55.0, 49.02, 61.22, 56.82, 53.57, 52.63, 67, 0.58, 0.48999999999999994, 5443.882, ee193c3bdb6250f45905aa0ac4bfd33ae8b6de563b509fa4cf8494b3d28cc5f0)	(19.78, 60.0, 66.67, 53.06, 59.65, 60.47, 62.96, 29, 0.5940000000000001, 0.5295000000000001, 792.874, 4136bd1819e07637ea923cc99c8521f72e729ad123ff4d49c5882fbf60681e9d)	(4.27, 52.0, 45.1, 59.18, 53.49, 50.88, 48.94, 63, 0.58, 0.48999999999999994, 875.237, cc976244c585ffc6bcd6a0aeca264f4e30d58e51f77fb277c3296e2705265bc9)	(19.78, 60.0, 66.67, 53.06, 59.65, 60.47, 62.96, 29, 0.5940000000000001, 0.5295000000000001, 797.688, 4136bd1819e07637ea923cc99c8521f72e729ad123ff4d49c5882fbf60681e9d)	
nothing	stump_with_memoization,TestOp_80,Libras,(false,"interval"),missing	(51.19, 54.44, 54.44, 96.75, 59.65, 96.75, 55.56, 79, -Inf, -Inf, 76.424, 0ff15c2297b069a52f9804a254b0158fa3c9eab8dca943b62100c12365bb619a)	(52.38, 55.56, 55.56, 96.83, 62.34, 96.83, 56.8, 63, -Inf, -Inf, 4.987, b3a8f508429eea179ad056e6889b135af354983a55e5d64b41a0b45064593657)	(47.62, 51.11, 51.11, 96.51, 61.24, 96.51, 52.82, 59, -Inf, -Inf, 5.056, 177ea9130ea660e9426e93995c7cb4bdcce689eccf1661fa6f71e25facf05080)	(48.81, 52.22, 52.22, 96.59, 62.32, 96.6, 53.72, 51, -Inf, -Inf, 4.915, 1ffa5a74cc0bb9342223e8b3a2b8b92044f601bc8fe808dec12f91c65504ebe2)	
nothing	stump_with_memoization,TestOp_80,LSST,(false,"interval"),missing	(38.05, 47.89, 35.48, 95.58, 35.7, 95.56, 35.31, 919, -Inf, -Inf, 592.054, ec5c33c59c3d9816d82f22ebb3b37ee604cb4562643d40e9c2742539977cf9b0)	(39.57, 49.64, 34.57, 95.67, 33.08, 95.69, 33.65, 603, -Inf, -Inf, 96.15, 24cdfa84c4709ee32136a33d1e726fa697de8a7ec193554e105636136234065e)	(38.28, 48.38, 34.38, 95.59, 34.37, 95.58, 34.09, 631, -Inf, -Inf, 101.068, 5016d948c3bc5e5f133cca5c6e0727922977bee478514179b9af88669a76f1eb)	(38.76, 48.99, 34.67, 95.61, 34.03, 95.62, 34.05, 489, -Inf, -Inf, 95.58, 844b42f346927aa7be523f787fc6aecfba799354541a69968f7d2927f48530a7)	
nothing	stump_with_memoization,TestOp_80,NATOPS,(false,"interval"),missing	(81.33, 84.44, 84.44, 96.89, 85.11, 96.87, 84.71, 21, 0.8300000000000001, 0.7025, 550.131, 620adf775a635f9235510fd94733148f2728f7228706a3be3399d943621ca4b0)	(85.33, 87.78, 87.78, 97.56, 90.44, 97.65, 87.64, 13, 0.8300000000000001, 0.7025, 18.003, 3cbcb5e0a7b28968e7b5555be634dc54a6770422ffcaf46ce433c43a9dfa37e7)	(86.67, 88.89, 88.89, 97.78, 92.0, 97.9, 88.78, 19, 0.8300000000000001, 0.7025, 21.783, a232552d0a37342862546ce3db632dac45bfe4f8c2bd02ca6a99861baee05aeb)	(85.33, 87.78, 87.78, 97.56, 90.44, 97.65, 87.64, 13, 0.8300000000000001, 0.7025, 17.826, 3cbcb5e0a7b28968e7b5555be634dc54a6770422ffcaf46ce433c43a9dfa37e7)	
nothing	stump_with_memoization,TestOp_80,RacketSports,(false,"interval"),missing	(52.48, 64.47, 66.48, 87.89, 65.58, 88.02, 65.84, 37, 0.8128070175438598, 0.6974122807017544, 2.49, c5ce5ed9bd6e725bcfc161d9c08aff8578dd73dd04f21fd1160d4fe41bf8db0c)	(48.2, 61.18, 63.44, 86.83, 61.38, 87.02, 62.3, 19, 0.746451355661882, 0.6471989633173845, 0.612, 375d37e1dd1106dd67b1e404bb1411570f410cece8e88df8b21c76cb47c70504)	(52.57, 64.47, 66.43, 87.95, 64.72, 88.12, 65.39, 31, 0.8128070175438598, 0.6974122807017544, 0.741, ff75b29da2b7dcc2e8f6e63f8de626a0580cb2c537ba374ec2eef4e5fd1073c3)	(46.56, 59.87, 62.28, 86.44, 59.17, 86.75, 60.43, 19, 0.746451355661882, 0.6471989633173845, 0.652, 49b295112824fa12432399592bdccee3f0f856e4cb6a358a47160e642653683b)	
nothing	stump_with_memoization,TestOp_80,FingerMovements,(true,"one_world"),missing	(11.82, 56.0, 60.78, 51.02, 56.36, 55.56, 58.49, 71, -Inf, -Inf, 146.791, 9449bddbad98f1138ecf120eff8a4012ed1545ff70774a27e4389dd4cac94c77)	(15.7, 58.0, 66.67, 48.98, 57.63, 58.54, 61.82, 47, 0.5633333333333334, 0.48583333333333334, 145.175, 33820fdf54f63e39c3851aa720bc81e6307102531a03d0181dddb36c09b2bfd7)	(17.87, 59.0, 62.75, 55.1, 59.26, 58.7, 60.95, 65, -Inf, -Inf, 146.102, 0de5cc39f1263b2adaabc572ed97ee70416f2bc9f906e31bed961feb7aaab9ca)	(15.7, 58.0, 66.67, 48.98, 57.63, 58.54, 61.82, 47, 0.5633333333333334, 0.48583333333333334, 144.74, 33820fdf54f63e39c3851aa720bc81e6307102531a03d0181dddb36c09b2bfd7)	
nothing	stump_with_memoization,TestOp_80,Libras,(true,"one_world"),missing	(50.6, 53.89, 53.89, 96.71, 53.73, 96.73, 52.78, 93, -Inf, -Inf, 2.175, c682c1dde5258a736fef4bf154d03e2f965fefccab85870ef3a1db14c0e20071)	(52.98, 56.11, 56.11, 96.87, 55.9, 96.89, 54.91, 71, -Inf, -Inf, 2.295, ed1c0b4e77a2a00351f3b7a58e91340cecf4c14df6a146badead96e8f79e6eaf)	(46.43, 50.0, 50.0, 96.43, 53.58, 96.46, 48.83, 67, -Inf, -Inf, 2.172, 34e81120f67d096853647c4a64adff2af51e1b8a4b4fcf8e5e5575f60f637de7)	(46.43, 50.0, 50.0, 96.43, 53.58, 96.46, 48.83, 51, -Inf, -Inf, 2.219, 62e9433771fb8d5c22069cb33004c30aece27e698a3c872a387701d6fb3253ad)	
nothing	stump_with_memoization,TestOp_80,LSST,(true,"one_world"),missing	(22.71, 34.59, 23.82, 94.53, 24.45, 94.49, 23.91, 995, -Inf, -Inf, 1881.599, c457146080bf3d521273d51548be441793e478d2c3ea4e2fe073a29fd2efac24)	(23.91, 36.42, 24.06, 94.59, 26.28, 94.59, 24.83, 733, -Inf, -Inf, 1887.716, 94ede65e5532c35e8cfc030efa8912258c334f92739b1b3b85a9965cbc26e9ff)	(22.68, 34.83, 24.41, 94.5, 25.47, 94.48, 24.82, 719, -Inf, -Inf, 1891.218, e8ae9b4aab6e5ed2ef304e360878009aeb38e4e712bdcb399b6e812f6bf12ecc)	(23.46, 35.97, 24.24, 94.55, 25.93, 94.55, 24.92, 575, -Inf, -Inf, 1880.088, 735379d5cbb86da6e196522b49add85d8937e8993b9fffc7be6128366009323a)	
nothing	stump_with_memoization,TestOp_80,NATOPS,(true,"one_world"),missing	(64.0, 70.0, 70.0, 94.0, 72.99, 94.06, 70.18, 31, 0.7790058479532164, 0.652733918128655, 31.502, aa45ec9287cbd2ee95c075ed0ebe6886acdb53cd1c093f77e0b93007ef0f4ce1)	(68.0, 73.33, 73.33, 94.67, 75.81, 94.78, 73.09, 17, 0.7790058479532164, 0.652733918128655, 30.686, 75e06c831bedb446a7fe162030f63d7e4faadcd816af70e8b52c5b7b5cbd67ec)	(66.0, 71.67, 71.67, 94.33, 74.31, 94.38, 71.87, 29, 0.7790058479532164, 0.6543518518518519, 31.791, 86de22eff73d41d51dd5660ca36dedcbe24af4c25ed96e84629cfd64403aecb1)	(68.0, 73.33, 73.33, 94.67, 75.81, 94.78, 73.09, 17, 0.7790058479532164, 0.652733918128655, 30.406, 75e06c831bedb446a7fe162030f63d7e4faadcd816af70e8b52c5b7b5cbd67ec)	
nothing	stump_with_memoization,TestOp_80,RacketSports,(true,"one_world"),missing	(43.57, 57.89, 58.52, 85.77, 58.82, 85.99, 58.02, 31, 0.6979665071770336, 0.607805023923445, 3.652, 747d3d4a793514f3d13fc8f07bb4f41787d2682db3f37cd569feaabb1ab49fcf)	(43.68, 57.89, 58.63, 85.83, 58.19, 86.19, 57.32, 19, 0.6326315789473683, 0.5633552631578947, 3.681, 4d3a5eb18291026cdf130c09d1ea608ec04f0e7187124bdb37b57339c2da6b68)	(43.57, 57.89, 58.41, 85.79, 58.42, 85.93, 58.1, 29, 0.6979665071770336, 0.607805023923445, 3.852, 94c6eb6e915d3701fa6675426d63626073959a2396af75df03eb2f954b15b28b)	(43.68, 57.89, 58.63, 85.83, 58.19, 86.19, 57.32, 19, 0.6326315789473683, 0.5633552631578947, 3.653, ac8d4d2b3d05b76b7d4103bb377bdcc569dd4be7d54f231db6d56b05870f1c07)	
