index,attributenamesnormsorted,attributeabbrsnormsorted,meanmvarnormsorted,minmvarnormsorted,maxmvarnormsorted,DNHistogramMode5varnormsorted,DNHistogramMode10varnormsorted,SBBinaryStatsmeanlongstretch1varnormsorted,DNOutlierIncludep001mdrmdvarnormsorted,DNOutlierIncluden001mdrmdvarnormsorted,COf1ecacvarnormsorted,COFirstMinacvarnormsorted,SPSummarieswelchrectarea51varnormsorted,SPSummarieswelchrectcentroidvarnormsorted,FCLocalSimplemean3stderrvarnormsorted,COtrev1numvarnormsorted,COHistogramAMIeven25varnormsorted,INAutoMutualInfoStats40gaussianfmmivarnormsorted,MDhrvclassicpnn40varnormsorted,SBBinaryStatsdifflongstretch0varnormsorted,SBMotifThreequantilehhvarnormsorted,FCLocalSimplemean1tauresratvarnormsorted,COEmbed2Disttaudexpfitmeandiffvarnormsorted,SCFluctAnal2dfa5012logipropr1varnormsorted,SCFluctAnal2rsrangefit501logipropr1varnormsorted,SBTransitionMatrix3acsumdiagcovvarnormsorted,PDPeriodicityWangth001varnormsorted,meannormsorted
0,EEG_B2,EEG_B2,0.30476534526531807,0.287905043933655,0.3332665287676854,0.007015585571188967,0.010809747619512236,0.012948081938539904,0.011254389632686306,0.007846743327565818,0.025367139606311904,0.020893162814778213,0.0,0.015114113374030928,0.011369915240876478,0.010499116731056574,0.014773717917810975,0.018192387185669956,0.029790294936522296,0.017701173623808845,0.01663092239886667,0.015027187075604829,0.014155161411093542,0.0,0.0,0.015883292405968245,0.0,0.04804836203114205
1,EEG_B3,EEG_B3,0.2157230685993967,0.2132457304807744,0.21924177156351665,0.008011343580993808,0.0127513469617478,0.01383319743304058,0.012697018930954483,0.008100309365431902,0.023389994901702273,0.019125066579314995,0.0,0.015333290238650248,0.011546734314411874,0.010525120734948821,0.014487314721913462,0.01720442454166189,0.030682161885484262,0.01770637182471151,0.01593735243192191,0.016863850396279818,0.016501608791630314,0.0,0.0,0.01471933887652416,0.0,0.037105056686200476
2,EEG_B4,EEG_B4,0.12831712736207726,0.12263690761120542,0.12205189730556698,0.011431447052556267,0.011780312116522815,0.014262683854422814,0.010493801293210106,0.008762893986991482,0.02338999490170229,0.0185372908247072,0.0,0.01709882553521572,0.01330333243907609,0.010750441339825058,0.015768111990693848,0.017359915030428268,0.025703217700844556,0.017945489066234162,0.014520698882417717,0.016863850396279835,0.017653940520770066,0.0,0.0,0.014590452309813018,0.0,0.026128905260822437
3,EEG_B1,EEG_B1,0.08958723640443034,0.0763557709353443,0.09896777898548739,0.007094811418881869,0.011166588730651456,0.012926918839515236,0.011464446491080497,0.007820409836196128,0.025367139606311904,0.020455311606097273,0.0,0.014965638723804808,0.011342629158577193,0.010510702339658423,0.014466241444132544,0.01765654303976727,0.031021459094328525,0.017701173623808845,0.01593735243192191,0.016185555936039087,0.014135697540402453,0.0,0.0,0.015978606729787886,0.0,0.02164432051664901
4,EEG_B5,EEG_B5,0.07274613221406533,0.08520931263672989,0.06305391812528975,0.012764216455788643,0.012501365500430323,0.014795495994572304,0.013930151223862505,0.010974110886297177,0.021387980452380714,0.01914265216223688,0.0,0.015493885268486595,0.014326329247365701,0.011123756915730774,0.015705381907633393,0.015386381903777694,0.022149321793350503,0.018512092964624974,0.01156933732095073,0.016621123169156097,0.0189016995670415,0.0,0.0,0.015341068319247479,0.0,0.020065428561160763
5,EEG_B6,EEG_B6,0.04747792296968931,0.0637437540641526,0.03778069613152554,0.019828971981801013,0.017079864397083738,0.015839957175846693,0.016437285081167912,0.01563513885872987,0.013131225207973204,0.01895904675410378,0.0,0.016172626526662816,0.014980413125486234,0.013481573118971123,0.01685746051622705,0.016709247138975005,0.018124287475861405,0.014686217100261589,0.011569337320950756,0.01851241370921908,0.017057059494798667,0.0,0.0,0.019325109050317184,0.0,0.017735584287992184
6,EEG_B7,EEG_B7,0.03454764701171085,0.04819928383605157,0.026569048145716714,0.01232216956057837,0.014237577128270283,0.017109743117324473,0.016188374422207153,0.014523185948958683,0.011004862035091226,0.017875297948954722,0.0,0.013231414407899256,0.014116894432978366,0.015305217594456882,0.018386946422691255,0.016534619359283506,0.02087162544690296,0.015927287565773458,0.013064693845427383,0.013673791906381537,0.017406286650087716,0.0,0.0,0.017989828149242076,0.0,0.01556343179743954
7,EEG_B8,EEG_B8,0.02653399445406856,0.03148297108202449,0.0203494709978741,0.01641002724035903,0.014514268797853504,0.016050343277915095,0.017148186463867763,0.014192902380791841,0.008853629117497121,0.016645201326608662,0.0,0.012307235462614714,0.014673510355400106,0.016777178236798727,0.017764319811252077,0.01598203008382138,0.021164390467105654,0.014280757429853517,0.009252518495199142,0.014863402522107315,0.017402432925579255,0.0,0.0,0.02128888341042138,0.0,0.014317506173560536
8,EEG_B9,EEG_B9,0.01963960966768672,0.020542737328479936,0.01494108163903342,0.01536324809510556,0.015130743442134404,0.016651624267850103,0.016310646324854603,0.015105018069765691,0.01313122520797323,0.014124501754236395,0.0,0.014815144010310446,0.014877864771875407,0.018168465184493325,0.018753338312844193,0.01598203008382138,0.01652862117369692,0.017569919051016483,0.015233944593105625,0.018606659518718042,0.017855295264253418,0.0,0.0,0.016615103911784553,0.0,0.013837872866921593
9,EEG_B24,EEG_B24,0.0012654491605211657,0.0006848085250310091,0.002106793269630515,0.020325239088485447,0.01599269382987906,0.01917750238084866,0.019892390088462667,0.025444098935351833,0.019361096258346876,0.01701002765705488,0.0,0.017950282202838553,0.016527685976260195,0.023056244901527176,0.015626624311429867,0.015386381903777698,0.01469641624593809,0.01906180271008205,0.019306823547930105,0.01726320789498693,0.01702539125662859,0.0,0.0,0.01863479415304173,0.0,0.013431830171922126
