Dataseed	fake_dataseed	use_training_form	canonical_features	dataset_name	use_catch22_flatten_ontology	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)train_accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)K	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_F1	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)n_nodes	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)n_leaves	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)height	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)modal_height	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)t	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)hash	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)train_accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)K	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_F1	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)n_nodes	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)n_leaves	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)height	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)modal_height	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)t	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)hash	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)train_accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)K	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_F1	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)n_nodes	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)n_leaves	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)height	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)modal_height	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)t	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)hash	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)train_accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)K	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_F1	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)n_nodes	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)n_leaves	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)height	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)modal_height	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)t	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)hash	
1	1	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.03	52.48	64.47	66.48	66.48	87.89	65.58	88.02	65.84	39	20	7	5	4.574	bb06e9ab4c22dcd527dbee026150c36a4a9b52734860bc0a5941b7b6f0af5b1e	96.03	52.48	64.47	66.48	66.48	87.89	65.58	88.02	65.84	39	20	7	5	0.873	bb06e9ab4c22dcd527dbee026150c36a4a9b52734860bc0a5941b7b6f0af5b1e	92.05	52.57	64.47	66.43	66.43	87.95	64.72	88.12	65.39	33	17	6	4	0.892	794b929994b36500d1f5f6dccd0c5949c83be96d612976e265fef3c73c17fc55	92.05	52.57	64.47	66.43	66.43	87.95	64.72	88.12	65.39	33	17	6	4	0.919	794b929994b36500d1f5f6dccd0c5949c83be96d612976e265fef3c73c17fc55	
2	2	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.69	43.87	57.89	60.04	60.04	85.78	58.28	86.02	58.75	41	21	7	6	3.941	5d5902daa4e3434d3da661d25fe3a9e161c43982107aa14164056d45b769555f	96.69	43.87	57.89	60.04	60.04	85.78	58.28	86.02	58.75	41	21	7	6	0.996	5d5902daa4e3434d3da661d25fe3a9e161c43982107aa14164056d45b769555f	94.04	48.06	61.18	62.64	62.64	86.83	62.67	86.84	62.62	35	18	6	6	0.922	5a4d570bc08ce7e966058be9e5e07624a7012eb1568e2fcd5140e9493a29ac0a	94.04	48.06	61.18	62.64	62.64	86.83	62.67	86.84	62.62	35	18	6	6	0.876	5a4d570bc08ce7e966058be9e5e07624a7012eb1568e2fcd5140e9493a29ac0a	
3	3	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	97.35	62.15	71.71	73.12	73.12	90.37	72.94	90.46	72.82	31	16	5	4	3.783	8fc3b6bad4a3545493ce873d932d7378a08d47ad83d38c5f31668a770792320d	97.35	62.15	71.71	73.12	73.12	90.37	72.94	90.46	72.82	31	16	5	4	0.703	8fc3b6bad4a3545493ce873d932d7378a08d47ad83d38c5f31668a770792320d	94.7	58.64	69.08	70.42	70.42	89.5	69.99	89.63	69.93	25	13	5	4	0.737	b2e276d21374fc6f346cd6d18196e5d21d0560dc0d4133c2a2fef7e0795ea757	94.7	58.64	69.08	70.42	70.42	89.5	69.99	89.63	69.93	25	13	5	4	0.83	b2e276d21374fc6f346cd6d18196e5d21d0560dc0d4133c2a2fef7e0795ea757	
4	4	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.03	63.14	72.37	73.8	73.8	90.68	72.97	90.76	73.15	37	19	5	5	4.383	3342c079991d144f28cd7957cfa07209181dcbda27af7dfe79978ebaeb129522	96.03	63.14	72.37	73.8	73.8	90.68	72.97	90.76	73.15	37	19	5	5	0.753	3342c079991d144f28cd7957cfa07209181dcbda27af7dfe79978ebaeb129522	92.05	56.07	67.11	68.71	68.71	88.86	68.46	88.9	68.42	29	15	5	5	0.746	37d8a2feb1a81e33da80b9df1f4349b1184ed8fc1970bded72b2aed634938067	92.05	56.07	67.11	68.71	68.71	88.86	68.46	88.9	68.42	29	15	5	5	0.751	37d8a2feb1a81e33da80b9df1f4349b1184ed8fc1970bded72b2aed634938067	
5	5	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.69	57.84	68.42	69.65	69.65	89.35	69.83	89.35	69.54	39	20	8	6	18.271	b084edb84a225b30105aa8b16f6406e0f8c1ac79bd4d59afcf0681c647ab06ee	96.69	57.84	68.42	69.65	69.65	89.35	69.83	89.35	69.54	39	20	8	6	2.426	b084edb84a225b30105aa8b16f6406e0f8c1ac79bd4d59afcf0681c647ab06ee	89.4	61.11	71.05	71.5	71.5	90.12	74.19	90.33	72.0	29	15	5	5	1.983	ebd8a989692c0a7c5fc9c0bbbcbb4c659043264ee167a7e1425318a381e22dd5	89.4	61.11	71.05	71.5	71.5	90.12	74.19	90.33	72.0	29	15	5	5	0.751	ebd8a989692c0a7c5fc9c0bbbcbb4c659043264ee167a7e1425318a381e22dd5	
1	1	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	98.01	52.59	64.47	65.35	65.35	88.08	64.54	88.19	64.69	37	19	9	8	28.442	2a47ff72db44fc3ed5db5ada0b90811721efdb870a5d76ed05e7a5a08cd29fb3	98.01	52.59	64.47	65.35	65.35	88.08	64.54	88.19	64.69	37	19	9	8	3.023	2a47ff72db44fc3ed5db5ada0b90811721efdb870a5d76ed05e7a5a08cd29fb3	92.72	49.08	61.84	62.83	62.83	87.19	62.43	87.35	61.96	27	14	8	8	3.197	f150860985429fa72366267caab0694a64c94446aa1ca8cfbb60b8c0777ef608	92.72	49.08	61.84	62.83	62.83	87.19	62.43	87.35	61.96	27	14	8	8	3.117	f150860985429fa72366267caab0694a64c94446aa1ca8cfbb60b8c0777ef608	
2	2	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	96.69	55.91	67.11	67.32	67.32	88.89	68.57	88.96	67.57	39	20	6	6	8.205	1c3409d01f3500b3cd11f713b385abe7fe061a8ac38540d222670f7a77e09b96	96.69	55.91	67.11	67.32	67.32	88.89	68.57	88.96	67.57	39	20	6	6	1.191	1c3409d01f3500b3cd11f713b385abe7fe061a8ac38540d222670f7a77e09b96	92.72	48.8	61.84	61.78	61.78	87.13	63.28	87.4	61.37	35	18	6	5	1.552	60e9b9ab5b78b865d739e09c2dce2ff3a9287bc7f5885e8e64e4895c6d009313	92.72	48.8	61.84	61.78	61.78	87.13	63.28	87.4	61.37	35	18	6	5	1.14	60e9b9ab5b78b865d739e09c2dce2ff3a9287bc7f5885e8e64e4895c6d009313	
3	3	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	95.36	54.16	65.79	66.09	66.09	88.46	68.35	88.59	66.31	35	18	7	6	13.84	86a1428cec32529b83765bc1ef5bc15a5092d771bce98c17b2955fbf46ffe82b	95.36	54.16	65.79	66.09	66.09	88.46	68.35	88.59	66.31	35	18	7	6	3.167	86a1428cec32529b83765bc1ef5bc15a5092d771bce98c17b2955fbf46ffe82b	92.05	58.41	69.08	69.37	69.37	89.43	74.4	89.41	71.02	27	14	6	6	2.606	56c6605997e1eeeb8a42a774c109a4d7a3e041198bc0c46e55233bd2eff6a2d3	92.05	58.41	69.08	69.37	69.37	89.43	74.4	89.41	71.02	27	14	6	6	2.551	56c6605997e1eeeb8a42a774c109a4d7a3e041198bc0c46e55233bd2eff6a2d3	
4	4	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	97.35	56.9	67.76	68.96	68.96	89.09	68.94	89.17	68.66	35	18	5	5	12.089	8939374cfe8737327b7392618cdd57250540e478ed1c0118858786b6214094e3	97.35	56.9	67.76	68.96	68.96	89.09	68.94	89.17	68.66	35	18	5	5	1.568	8939374cfe8737327b7392618cdd57250540e478ed1c0118858786b6214094e3	93.38	58.57	69.08	70.17	70.17	89.47	71.08	89.48	70.49	33	17	5	5	1.529	828b5d0692d2be9166e36fb579c48fa71a9cd2f4f91be6c9256e80ce7f8e0005	93.38	58.57	69.08	70.17	70.17	89.47	71.08	89.48	70.49	33	17	5	5	1.914	828b5d0692d2be9166e36fb579c48fa71a9cd2f4f91be6c9256e80ce7f8e0005	
5	5	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	98.01	53.36	65.13	65.78	65.78	88.26	65.85	88.48	65.09	35	18	6	6	9.064	e4a82a1c25e6ea1aa643c80aab03f03d3deaaf14c9beb61aa2a4c68b96092b68	98.01	53.36	65.13	65.78	65.78	88.26	65.85	88.48	65.09	35	18	6	6	1.519	e4a82a1c25e6ea1aa643c80aab03f03d3deaaf14c9beb61aa2a4c68b96092b68	92.05	49.71	62.5	63.06	63.06	87.31	63.13	87.89	61.54	31	16	6	5	2.53	0f6d75690d54b71be2e84065eebf758d3d9205d2138802157786ce10bba74081	92.05	49.71	62.5	63.06	63.06	87.31	63.13	87.89	61.54	31	16	6	5	1.499	0f6d75690d54b71be2e84065eebf758d3d9205d2138802157786ce10bba74081	
1	1	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.03	52.48	64.47	66.48	66.48	87.89	65.58	88.02	65.84	39	20	7	5	5.074	bb06e9ab4c22dcd527dbee026150c36a4a9b52734860bc0a5941b7b6f0af5b1e	96.03	52.48	64.47	66.48	66.48	87.89	65.58	88.02	65.84	39	20	7	5	0.708	bb06e9ab4c22dcd527dbee026150c36a4a9b52734860bc0a5941b7b6f0af5b1e	92.05	52.57	64.47	66.43	66.43	87.95	64.72	88.12	65.39	33	17	6	4	0.715	794b929994b36500d1f5f6dccd0c5949c83be96d612976e265fef3c73c17fc55	92.05	52.57	64.47	66.43	66.43	87.95	64.72	88.12	65.39	33	17	6	4	0.788	794b929994b36500d1f5f6dccd0c5949c83be96d612976e265fef3c73c17fc55	
2	2	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.69	43.87	57.89	60.04	60.04	85.78	58.28	86.02	58.75	41	21	7	6	3.492	5d5902daa4e3434d3da661d25fe3a9e161c43982107aa14164056d45b769555f	96.69	43.87	57.89	60.04	60.04	85.78	58.28	86.02	58.75	41	21	7	6	0.978	5d5902daa4e3434d3da661d25fe3a9e161c43982107aa14164056d45b769555f	94.04	48.06	61.18	62.64	62.64	86.83	62.67	86.84	62.62	35	18	6	6	0.83	5a4d570bc08ce7e966058be9e5e07624a7012eb1568e2fcd5140e9493a29ac0a	94.04	48.06	61.18	62.64	62.64	86.83	62.67	86.84	62.62	35	18	6	6	0.796	5a4d570bc08ce7e966058be9e5e07624a7012eb1568e2fcd5140e9493a29ac0a	
3	3	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	97.35	62.15	71.71	73.12	73.12	90.37	72.94	90.46	72.82	31	16	5	4	3.11	8fc3b6bad4a3545493ce873d932d7378a08d47ad83d38c5f31668a770792320d	97.35	62.15	71.71	73.12	73.12	90.37	72.94	90.46	72.82	31	16	5	4	0.62	8fc3b6bad4a3545493ce873d932d7378a08d47ad83d38c5f31668a770792320d	94.7	58.64	69.08	70.42	70.42	89.5	69.99	89.63	69.93	25	13	5	4	0.828	b2e276d21374fc6f346cd6d18196e5d21d0560dc0d4133c2a2fef7e0795ea757	94.7	58.64	69.08	70.42	70.42	89.5	69.99	89.63	69.93	25	13	5	4	0.627	b2e276d21374fc6f346cd6d18196e5d21d0560dc0d4133c2a2fef7e0795ea757	
4	4	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.03	63.14	72.37	73.8	73.8	90.68	72.97	90.76	73.15	37	19	5	5	4.091	3342c079991d144f28cd7957cfa07209181dcbda27af7dfe79978ebaeb129522	96.03	63.14	72.37	73.8	73.8	90.68	72.97	90.76	73.15	37	19	5	5	0.67	3342c079991d144f28cd7957cfa07209181dcbda27af7dfe79978ebaeb129522	92.05	56.07	67.11	68.71	68.71	88.86	68.46	88.9	68.42	29	15	5	5	0.617	37d8a2feb1a81e33da80b9df1f4349b1184ed8fc1970bded72b2aed634938067	92.05	56.07	67.11	68.71	68.71	88.86	68.46	88.9	68.42	29	15	5	5	0.597	37d8a2feb1a81e33da80b9df1f4349b1184ed8fc1970bded72b2aed634938067	
5	5	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.69	57.84	68.42	69.65	69.65	89.35	69.83	89.35	69.54	39	20	8	6	14.565	b084edb84a225b30105aa8b16f6406e0f8c1ac79bd4d59afcf0681c647ab06ee	96.69	57.84	68.42	69.65	69.65	89.35	69.83	89.35	69.54	39	20	8	6	2.106	b084edb84a225b30105aa8b16f6406e0f8c1ac79bd4d59afcf0681c647ab06ee	89.4	61.11	71.05	71.5	71.5	90.12	74.19	90.33	72.0	29	15	5	5	1.837	ebd8a989692c0a7c5fc9c0bbbcbb4c659043264ee167a7e1425318a381e22dd5	89.4	61.11	71.05	71.5	71.5	90.12	74.19	90.33	72.0	29	15	5	5	0.713	ebd8a989692c0a7c5fc9c0bbbcbb4c659043264ee167a7e1425318a381e22dd5	
1	1	stump_with_memoization	[:neuro_simone]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((152, 12), (152, 24, 0), nothing)])	92.72	51.69	63.82	65.26	65.26	87.79	62.83	88.13	63.52	71	36	9	0	1.491	6b1426f5ab2d467f78bf32ab739b2933e151b94f3680c76081299a83a364fe9a	92.72	51.69	63.82	65.26	65.26	87.79	62.83	88.13	63.52	71	36	9	0	0.231	6b1426f5ab2d467f78bf32ab739b2933e151b94f3680c76081299a83a364fe9a	85.43	47.3	60.53	61.84	61.84	86.7	61.43	86.74	61.52	49	25	7	0	0.232	ac4aef92fb2c17c0021c0e6840ead74de55a5bcb9f85f7f71cf94ffcc71cabbc	85.43	47.3	60.53	61.84	61.84	86.7	61.43	86.74	61.52	49	25	7	0	0.235	ac4aef92fb2c17c0021c0e6840ead74de55a5bcb9f85f7f71cf94ffcc71cabbc	
2	2	stump_with_memoization	[:neuro_simone]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((152, 12), (152, 24, 0), nothing)])	95.36	43.76	57.89	59.29	59.29	85.8	57.57	86.14	57.59	55	28	10	0	0.273	476f00a240332e552a2a5a883df156216a4c3328c0cd49334d10b5c90fe684a3	95.36	43.76	57.89	59.29	59.29	85.8	57.57	86.14	57.59	55	28	10	0	0.277	476f00a240332e552a2a5a883df156216a4c3328c0cd49334d10b5c90fe684a3	87.42	47.22	60.53	61.88	61.88	86.65	62.25	86.64	61.94	39	20	9	0	0.266	2307bf527dafe402279b4dafff2926a2f68bba322226d8a9d6831ac52a2187b5	87.42	47.22	60.53	61.88	61.88	86.65	62.25	86.64	61.94	39	20	9	0	0.258	2307bf527dafe402279b4dafff2926a2f68bba322226d8a9d6831ac52a2187b5	
3	3	stump_with_memoization	[:neuro_simone]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((152, 12), (152, 24, 0), nothing)])	94.7	32.95	50.0	50.42	50.42	83.13	52.13	83.08	51.05	65	33	9	0	0.279	f82c651a098b0768c2ce795bfa686bf1db9e9240124a247bd65ab36298c73bcb	94.7	32.95	50.0	50.42	50.42	83.13	52.13	83.08	51.05	65	33	9	0	0.277	f82c651a098b0768c2ce795bfa686bf1db9e9240124a247bd65ab36298c73bcb	84.11	36.39	52.63	52.75	52.75	84.0	56.73	83.96	53.82	45	23	7	0	0.259	24bb420159fb21dd05ba2afae2eb1f265667820f6b0568f7185b706906425e41	84.11	36.39	52.63	52.75	52.75	84.0	56.73	83.96	53.82	45	23	7	0	0.261	24bb420159fb21dd05ba2afae2eb1f265667820f6b0568f7185b706906425e41	
4	4	stump_with_memoization	[:neuro_simone]	RacketSports	(false,true,"one_world")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((152, 12), (152, 24, 0), nothing)])	92.72	56.89	67.76	69.65	69.65	89.01	69.42	89.14	69.15	63	32	7	0	0.206	3c75baa546bdb03d93c89006fb9298cc080da06e9e54221305a70d8a5d3ac742	92.72	56.89	67.76	69.65	69.65	89.01	69.42	89.14	69.15	63	32	7	0	0.205	3c75baa546bdb03d93c89006fb9298cc080da06e9e54221305a70d8a5d3ac742	85.43	56.84	67.76	69.21	69.21	89.02	69.98	89.15	69.02	43	22	6	0	0.199	6e93a7fff9dfac2ccbfbe6535dc1587d635087560c8e91ec8219487b8cf8442f	85.43	56.84	67.76	69.21	69.21	89.02	69.98	89.15	69.02	43	22	6	0	0.195	6e93a7fff9dfac2ccbfbe6535dc1587d635087560c8e91ec8219487b8cf8442f	
1	1	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	98.01	52.59	64.47	65.35	65.35	88.08	64.54	88.19	64.69	37	19	9	8	14.885	2a47ff72db44fc3ed5db5ada0b90811721efdb870a5d76ed05e7a5a08cd29fb3	98.01	52.59	64.47	65.35	65.35	88.08	64.54	88.19	64.69	37	19	9	8	3.355	2a47ff72db44fc3ed5db5ada0b90811721efdb870a5d76ed05e7a5a08cd29fb3	92.72	49.08	61.84	62.83	62.83	87.19	62.43	87.35	61.96	27	14	8	8	3.193	f150860985429fa72366267caab0694a64c94446aa1ca8cfbb60b8c0777ef608	92.72	49.08	61.84	62.83	62.83	87.19	62.43	87.35	61.96	27	14	8	8	3.015	f150860985429fa72366267caab0694a64c94446aa1ca8cfbb60b8c0777ef608	
2	2	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	96.69	55.91	67.11	67.32	67.32	88.89	68.57	88.96	67.57	39	20	6	6	7.842	1c3409d01f3500b3cd11f713b385abe7fe061a8ac38540d222670f7a77e09b96	96.69	55.91	67.11	67.32	67.32	88.89	68.57	88.96	67.57	39	20	6	6	1.186	1c3409d01f3500b3cd11f713b385abe7fe061a8ac38540d222670f7a77e09b96	92.72	48.8	61.84	61.78	61.78	87.13	63.28	87.4	61.37	35	18	6	5	1.518	60e9b9ab5b78b865d739e09c2dce2ff3a9287bc7f5885e8e64e4895c6d009313	92.72	48.8	61.84	61.78	61.78	87.13	63.28	87.4	61.37	35	18	6	5	1.134	60e9b9ab5b78b865d739e09c2dce2ff3a9287bc7f5885e8e64e4895c6d009313	
3	3	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	95.36	54.16	65.79	66.09	66.09	88.46	68.35	88.59	66.31	35	18	7	6	13.558	86a1428cec32529b83765bc1ef5bc15a5092d771bce98c17b2955fbf46ffe82b	95.36	54.16	65.79	66.09	66.09	88.46	68.35	88.59	66.31	35	18	7	6	3.14	86a1428cec32529b83765bc1ef5bc15a5092d771bce98c17b2955fbf46ffe82b	92.05	58.41	69.08	69.37	69.37	89.43	74.4	89.41	71.02	27	14	6	6	2.552	56c6605997e1eeeb8a42a774c109a4d7a3e041198bc0c46e55233bd2eff6a2d3	92.05	58.41	69.08	69.37	69.37	89.43	74.4	89.41	71.02	27	14	6	6	2.461	56c6605997e1eeeb8a42a774c109a4d7a3e041198bc0c46e55233bd2eff6a2d3	
4	4	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	97.35	56.9	67.76	68.96	68.96	89.09	68.94	89.17	68.66	35	18	5	5	11.479	8939374cfe8737327b7392618cdd57250540e478ed1c0118858786b6214094e3	97.35	56.9	67.76	68.96	68.96	89.09	68.94	89.17	68.66	35	18	5	5	1.543	8939374cfe8737327b7392618cdd57250540e478ed1c0118858786b6214094e3	93.38	58.57	69.08	70.17	70.17	89.47	71.08	89.48	70.49	33	17	5	5	1.526	828b5d0692d2be9166e36fb579c48fa71a9cd2f4f91be6c9256e80ce7f8e0005	93.38	58.57	69.08	70.17	70.17	89.47	71.08	89.48	70.49	33	17	5	5	1.563	828b5d0692d2be9166e36fb579c48fa71a9cd2f4f91be6c9256e80ce7f8e0005	
1	1	stump_with_memoization	["TestOp_80"]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 12, 12), (152, 12))])	96.03	52.48	64.47	66.48	66.48	87.89	65.58	88.02	65.84	39	20	7	5	1.925	bb06e9ab4c22dcd527dbee026150c36a4a9b52734860bc0a5941b7b6f0af5b1e	96.03	52.48	64.47	66.48	66.48	87.89	65.58	88.02	65.84	39	20	7	5	1.406	bb06e9ab4c22dcd527dbee026150c36a4a9b52734860bc0a5941b7b6f0af5b1e	92.05	52.57	64.47	66.43	66.43	87.95	64.72	88.12	65.39	33	17	6	4	0.7	794b929994b36500d1f5f6dccd0c5949c83be96d612976e265fef3c73c17fc55	92.05	52.57	64.47	66.43	66.43	87.95	64.72	88.12	65.39	33	17	6	4	0.714	794b929994b36500d1f5f6dccd0c5949c83be96d612976e265fef3c73c17fc55	
