TIMESTAMP	FILE NAME	COMP TIME	ARGS	
01/10/2021 17:23:58	dataset_6024d79a3456e15e49134a53ec934e6d835c270375e37c47b44ab7b2a5dd3a93.jld	00:01:43	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[noise_gate!, normalize!], false, false, 8000)	
01/10/2021 17:24:32	dataset_195832e4de76a762d163c9c81c21aec791fc573e9c644ca69badefb2cdae74e1.jld	00:00:11	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), [normalize!], false, false, 8000)	
01/10/2021 17:24:36	dataset_98a3c10d410d866b3300e38d24f339bc19e4a2c885ba6ca30ff09cf78c8b3740.jld	00:00:04	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), [normalize!], false, false, 8000)	
01/10/2021 17:24:45	dataset_1268746c476bc4f2437cd81a8bcb5c7414af58753726a1429adac2a61e53d22c.jld	00:00:09	(3, true, "c+b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, maxfreq = 4000.0), (max_points = 50, ma_size = 100, ma_step = 75), Function[noise_gate!, normalize!], false, false, 8000)	
