Dataseed	Params-combination	T(entropy,2,0.01,0.4)	T(entropy,2,0.01,0.5)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.4)	T(entropy,4,0.01,0.5)	T(entropy,4,0.01,0.6)	RF(0.7,50,half,all)	RF(0.7,50,half,all)σ²	RF(0.7,50,half,all)t	
2	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.51, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 9, 41.149, adcd3984d9fe063aff94c930002a7527daa2e87aee1a47f6c2c5c8bc930132dc)	(90.7, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 5, 3.589, 2724979bdab390e48ddd425311994c96616c835146a6ced3ff1061f1a8cbe635)	(90.7, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 5, 3.681, 2724979bdab390e48ddd425311994c96616c835146a6ced3ff1061f1a8cbe635)	(96.51, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 9, 6.27, adcd3984d9fe063aff94c930002a7527daa2e87aee1a47f6c2c5c8bc930132dc)	(90.7, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 5, 3.702, 2724979bdab390e48ddd425311994c96616c835146a6ced3ff1061f1a8cbe635)	(90.7, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 5, 3.516, 2724979bdab390e48ddd425311994c96616c835146a6ced3ff1061f1a8cbe635)	(98.84, 65.45, 82.73, 82.73, 74.55, 90.91, 89.11, 78.21, 81.14, 13.95, 56920.0)	(0.01, 0.17, 0.04, 0.04, 0.17, 0.0, 0.0, 0.08, 0.07, 0.03, 12920.0)	(205.179, ("0c2f34363ce5af9c4a6f8b4ead608f37488675b0284352abb3948d7eb1b6ccba", "de60f82dcc38e2bec70ca611319672a75002bdc41e755096e02c323f260134d4", "df0e492d11ecd0881ad9827f4fb1043179cb7be1d06db331f5035cafa699d10d", "6cfe8dac86726c65e2b19aeb897ab5f46a35bfb6aa84c310618d9a4acb6b13db", "2a54819100135affa1b15abe2e4987e2bf12581262a40714538e9f4d5ff718e9"))	
3	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(91.86, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 7, 11.337, 38133ff98f4fcdb9ae3a2cbb58c5fd1d15f1ac3817490cce0a4141a9a489b4d8)	(91.86, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 7, 3.034, 38133ff98f4fcdb9ae3a2cbb58c5fd1d15f1ac3817490cce0a4141a9a489b4d8)	(80.23, 27.27, 63.64, 63.64, 72.73, 54.55, 61.54, 66.67, 66.67, 3, 0.102, 8f3d7ab88d1d22f99b801128ae20a8efcfa98602b71d83f7c2e41c328e38dcdd)	(90.7, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 7, 3.134, 7e235a8a19f91f35838f3c9d85412f8b231357f7691b2d6593fa4b76883644d2)	(90.7, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 7, 3.227, 7e235a8a19f91f35838f3c9d85412f8b231357f7691b2d6593fa4b76883644d2)	(80.23, 27.27, 63.64, 63.64, 72.73, 54.55, 61.54, 66.67, 66.67, 3, 0.108, 8f3d7ab88d1d22f99b801128ae20a8efcfa98602b71d83f7c2e41c328e38dcdd)	(99.07, 47.27, 73.64, 73.64, 58.18, 89.09, 84.48, 68.13, 68.74, 20.7, 54200.0)	(0.0, 0.17, 0.04, 0.04, 0.25, 0.17, 0.15, 0.05, 0.1, 0.08, 22400.0)	(210.946, ("08318a45cf447a434c32be5979c1e2ebea36ee05797cbe002eebed6ba7fab677", "c5a1feded163099164660cef666d6abbdd697d3aea0586be8fb8df9f1da72030", "202f7f46c3dec8069fc8326ef79ed5443513ded624b211e20fe72f9ad77152c6", "37aabaa8d90dd13f84ec76b47dab26a8f59683dbb40aa8223be00beb39551045", "70e95cd85b60ee0bb7b014c55968bbef56d6936ddea70da8f9a0ee27786de990"))	
4	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(98.84, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 13, 18.378, b77dcf232dd94a96c5f04827a779966310979d7734201f3829b56f87c0a1dab0)	(87.21, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 3.248, aab4cc7a57117501b4ef54575d55589646fc0cd4eba4201dd81c09c4766ee779)	(87.21, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 3.228, aab4cc7a57117501b4ef54575d55589646fc0cd4eba4201dd81c09c4766ee779)	(96.51, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 11, 6.445, bc2aa5a90cc35fa951acfb77eea08a9b93ed5ce02e03764561b0d83cab808f23)	(87.21, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 3.23, aab4cc7a57117501b4ef54575d55589646fc0cd4eba4201dd81c09c4766ee779)	(87.21, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 3.251, aab4cc7a57117501b4ef54575d55589646fc0cd4eba4201dd81c09c4766ee779)	(99.77, 70.91, 85.45, 85.45, 80.0, 90.91, 89.78, 82.05, 84.57, 18.7, 59920.0)	(0.0, 0.17, 0.04, 0.04, 0.17, 0.0, 0.0, 0.08, 0.07, 0.12, 52320.0)	(230.112, ("1fee5812ec3cae07b9d46529c8e3bd436a3e33c82f0ec17d26f2facbd634e298", "d61c472f7a81457b99cae4337383fa2d2f971598192554f246b4049566f4f8a1", "b7714513d01ae62b9d518f85f72b2de2e795532c88747acfa47a2cb2a3571980", "3b211470279b9b570cc3b53ab06af9581866276a7d057b2a7ad3188290b8796d", "c9228cef7281e72af97882525d65cc4c34a8168c02d37a1e101de76fc90031b3"))	
5	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 11, 14.147, d2c4f11b322cc27a11bcc18a83d622ebe0c039cdf6e61cb6225741810fd6d81b)	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 4.418, a8d1d34c976f8fb278e8d7362fabf4a55ee8cb92dfed68362d81b7285f9bba24)	(89.53, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 7, 3.662, 0bc03d3817e8397daefb61c425f278d096355c36c4e88a398d4d0621122a0f39)	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 4.343, a8d1d34c976f8fb278e8d7362fabf4a55ee8cb92dfed68362d81b7285f9bba24)	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 4.343, a8d1d34c976f8fb278e8d7362fabf4a55ee8cb92dfed68362d81b7285f9bba24)	(89.53, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 7, 3.644, 0bc03d3817e8397daefb61c425f278d096355c36c4e88a398d4d0621122a0f39)	(99.53, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 20.23, 59000.0)	(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 40600.0)	(222.759, ("79c5f48c5ae3a6db839a780ee14065356723dd69aadf75e377d77aa2cc31f794", "62186fef8491b8d2fe43a40546eabd4a2b55639905547af5f3ba225ad46dc2b6", "6ce3254f2c5ef5baf23e86eb34a1a07c822d84069d6f1ecbee055d27846feb69", "9de6530c9cb940cd0d5e6f9cf52d770db5d84457ecea1e0be6c821b5d4997092", "d5e5283f86749139da78eca7e980c60f8adfa62f3e4c0fd1d71c8d7b844bfe95"))	
6	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(94.19, 72.73, 86.36, 86.36, 90.91, 81.82, 83.33, 90.0, 86.96, 9, 10.102, c8ceb5d7ca6ea067e7a238185c7f5641d05e86aba78b0d008c6e948867e52950)	(94.19, 72.73, 86.36, 86.36, 90.91, 81.82, 83.33, 90.0, 86.96, 9, 4.653, c8ceb5d7ca6ea067e7a238185c7f5641d05e86aba78b0d008c6e948867e52950)	(89.53, 63.64, 81.82, 81.82, 90.91, 72.73, 76.92, 88.89, 83.33, 7, 3.93, be4f41e961badcdcda4afbd156f79fb432ca1f89ac197cf852366b84587ee6f0)	(94.19, 72.73, 86.36, 86.36, 90.91, 81.82, 83.33, 90.0, 86.96, 9, 4.653, c8ceb5d7ca6ea067e7a238185c7f5641d05e86aba78b0d008c6e948867e52950)	(94.19, 72.73, 86.36, 86.36, 90.91, 81.82, 83.33, 90.0, 86.96, 9, 4.659, c8ceb5d7ca6ea067e7a238185c7f5641d05e86aba78b0d008c6e948867e52950)	(89.53, 63.64, 81.82, 81.82, 90.91, 72.73, 76.92, 88.89, 83.33, 7, 3.912, be4f41e961badcdcda4afbd156f79fb432ca1f89ac197cf852366b84587ee6f0)	(99.07, 78.18, 89.09, 89.09, 78.18, 100.0, 100.0, 82.4, 87.57, 20.23, 59280.0)	(0.0, 0.66, 0.17, 0.17, 0.66, 0.0, 0.0, 0.34, 0.25, 0.02, 15720.0)	(222.839, ("67fa96c8eabe9534d31ad8d2790fa5d03156200cad180638d49bf9f9ff837ec4", "ca9119861c2edfe5fb9f8cd86a3de94c16230b9426a303d2727d9a56da8e676c", "9573386bc011f1e045ba50f1d3524cede564e3c886293433b43cda5df230ad30", "58448e362b4800d05295937d42eb5de12fb258fed668be05dd657846619c2526", "3a3d249dc894403d9984c3491d5c0f5f136339b2d15e5aed23651186e782e8ef"))	
7	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(94.19, 72.73, 86.36, 86.36, 72.73, 100.0, 100.0, 78.57, 84.21, 9, 9.167, 2442ca9db746361b0b2a0cdcec003d23eaf09baab851d8875e3be1af91c882de)	(94.19, 72.73, 86.36, 86.36, 72.73, 100.0, 100.0, 78.57, 84.21, 9, 6.195, 2442ca9db746361b0b2a0cdcec003d23eaf09baab851d8875e3be1af91c882de)	(88.37, 72.73, 86.36, 86.36, 72.73, 100.0, 100.0, 78.57, 84.21, 7, 5.371, 6acfcf72737e06b883a13bb7da9fc92e85f18fd213211a6c7f70e71d92d3781a)	(94.19, 72.73, 86.36, 86.36, 72.73, 100.0, 100.0, 78.57, 84.21, 9, 6.21, 2442ca9db746361b0b2a0cdcec003d23eaf09baab851d8875e3be1af91c882de)	(94.19, 72.73, 86.36, 86.36, 72.73, 100.0, 100.0, 78.57, 84.21, 9, 6.153, 2442ca9db746361b0b2a0cdcec003d23eaf09baab851d8875e3be1af91c882de)	(88.37, 72.73, 86.36, 86.36, 72.73, 100.0, 100.0, 78.57, 84.21, 7, 5.355, 6acfcf72737e06b883a13bb7da9fc92e85f18fd213211a6c7f70e71d92d3781a)	(99.3, 78.18, 89.09, 89.09, 87.27, 90.91, 90.51, 88.11, 88.73, 22.56, 59120.0)	(0.0, 0.66, 0.17, 0.17, 0.66, 0.0, 0.01, 0.39, 0.24, 0.04, 65720.0)	(194.198, ("545cbadd57ab5a5d46f1135f378e17df801458dfd402290def782f794861c4f8", "ae8c93201c50dae523841fb9a8f83c6b850eeff59bfbb64b37e5ceab72979c18", "02ad08c588c6f11fa6ca809951488dcaff41b26bb773ac96a5f284ba61b3faf3", "c71910973933f6891a1acf7dd57bb438c66505a20f20f9fa16b878b28ab85a66", "a9ccab5887d516520683099f94120abc78149af0fe81daef9ec7de11e2ab74ab"))	
8	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(94.19, 81.82, 90.91, 90.91, 81.82, 100.0, 100.0, 84.62, 90.0, 7, 9.592, cd30886bcb80f54b004ab3048ee610978a236693004f928743fc4aadd9ce1026)	(94.19, 81.82, 90.91, 90.91, 81.82, 100.0, 100.0, 84.62, 90.0, 7, 4.672, cd30886bcb80f54b004ab3048ee610978a236693004f928743fc4aadd9ce1026)	(88.37, 54.55, 77.27, 77.27, 54.55, 100.0, 100.0, 68.75, 70.59, 5, 3.066, 7b529a8de1cb5a5e43f8c74169dcc2b1fe3654091554df91c2b60fdeaeb7825f)	(94.19, 81.82, 90.91, 90.91, 81.82, 100.0, 100.0, 84.62, 90.0, 7, 4.655, cd30886bcb80f54b004ab3048ee610978a236693004f928743fc4aadd9ce1026)	(94.19, 81.82, 90.91, 90.91, 81.82, 100.0, 100.0, 84.62, 90.0, 7, 4.664, cd30886bcb80f54b004ab3048ee610978a236693004f928743fc4aadd9ce1026)	(88.37, 54.55, 77.27, 77.27, 54.55, 100.0, 100.0, 68.75, 70.59, 5, 3.063, 7b529a8de1cb5a5e43f8c74169dcc2b1fe3654091554df91c2b60fdeaeb7825f)	(99.3, 85.45, 92.73, 92.73, 85.45, 100.0, 100.0, 87.44, 92.1, 16.74, 57240.0)	(0.01, 0.25, 0.06, 0.06, 0.25, 0.0, 0.0, 0.15, 0.08, 0.03, 22880.0)	(174.358, ("2ed22d28551d9d99fcd3d7dde5bd1fd10aa027051733dbd9c0b5844b97eff471", "059df4f19bc9108a0045380265acc21c163b62330ac75d596173e9959bcd7c2e", "293745a051063c7ab50f451871c18211886efa6d2daa27f5d2084e5de496564c", "ace0c5c67a770dcb3ac2bb75f11e9c0e36a8fa71cc382305b59c88b0e8cbfe1d", "a3e8e386f7b61b169ea143361b4d8f272b01746f0059bdcd041bc8c4d0a2b625"))	
9	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(91.86, 27.27, 63.64, 63.64, 63.64, 63.64, 63.64, 63.64, 63.64, 7, 7.975, 74d5d31adeafa246178f95d39fab330cb312ac24270a27429e91ae44197d56f9)	(91.86, 27.27, 63.64, 63.64, 63.64, 63.64, 63.64, 63.64, 63.64, 7, 5.64, 74d5d31adeafa246178f95d39fab330cb312ac24270a27429e91ae44197d56f9)	(82.56, 18.18, 59.09, 59.09, 63.64, 54.55, 58.33, 60.0, 60.87, 5, 4.135, b569974bd714e5bff13a90bc7073f9bcfa8860d15ee9890b85c20bcbe585436d)	(91.86, 27.27, 63.64, 63.64, 63.64, 63.64, 63.64, 63.64, 63.64, 7, 5.648, 74d5d31adeafa246178f95d39fab330cb312ac24270a27429e91ae44197d56f9)	(91.86, 27.27, 63.64, 63.64, 63.64, 63.64, 63.64, 63.64, 63.64, 7, 5.645, 74d5d31adeafa246178f95d39fab330cb312ac24270a27429e91ae44197d56f9)	(82.56, 18.18, 59.09, 59.09, 63.64, 54.55, 58.33, 60.0, 60.87, 5, 4.111, b569974bd714e5bff13a90bc7073f9bcfa8860d15ee9890b85c20bcbe585436d)	(99.77, 50.91, 75.45, 75.45, 70.91, 80.0, 78.42, 73.32, 74.33, 23.72, 61120.0)	(0.0, 0.66, 0.17, 0.17, 0.17, 0.58, 0.44, 0.08, 0.15, 0.02, 34920.0)	(167.918, ("e0c4e1b1de3e2c0ac886283eabb21500a4b8dc73ee57536bcf6ec3a1520433cd", "b1b056ca26fc5a8944529a2f14bda24687b4dcb7defd3813287eeb3c8395a349", "18fe64668b788eb324d1aaac63a3d69d8ed7e9e374ed094cf3a7f963508dd20e", "56380f7812dae7061d1f63af59dfba8205ba19747aafbb15b7f776349c30ceed", "c8bf80fc1e81e2fedd83e09ce1ba0d6084b306ec13bbd6c12a9c01e97f82260d"))	
10	htkmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(97.67, 90.91, 95.45, 95.45, 90.91, 100.0, 100.0, 91.67, 95.24, 13, 9.088, bbae7215eb1dd2eeee77b4962c5329f41b0485052f155000786eef5d2f6cb9ea)	(89.53, 63.64, 81.82, 81.82, 90.91, 72.73, 76.92, 88.89, 83.33, 9, 4.329, 198462daff051cd2c5dbb9dbcb2d6640db7a192b30e41ee1b6bcf8832bb1a825)	(84.88, 63.64, 81.82, 81.82, 90.91, 72.73, 76.92, 88.89, 83.33, 5, 3.273, e451989be135b7a237048f02248fbdf6937afe56da74b16293aef164ed2c1cf6)	(95.35, 90.91, 95.45, 95.45, 90.91, 100.0, 100.0, 91.67, 95.24, 11, 6.658, 9a3cca8754fd6b3dafb1bf2a599283fbcead891a683c5d6df0cb2d13b797fa62)	(87.21, 63.64, 81.82, 81.82, 90.91, 72.73, 76.92, 88.89, 83.33, 7, 4.277, fae949f4992844a0529f953306483fcf000b212f1051ccfd26dd8acbbef3bab6)	(84.88, 63.64, 81.82, 81.82, 90.91, 72.73, 76.92, 88.89, 83.33, 5, 3.275, e451989be135b7a237048f02248fbdf6937afe56da74b16293aef164ed2c1cf6)	(99.07, 65.45, 82.73, 82.73, 72.73, 92.73, 91.33, 77.33, 80.83, 22.56, 61200.0)	(0.02, 1.4, 0.35, 0.35, 0.41, 0.58, 0.85, 0.26, 0.41, 0.22, 31400.0)	(187.372, ("42a4962e906f2fbb4633a06c5daad719c49927c928ae0f63b4c83a30fc6b68e6", "ed298a3f8c03380ec43f44f5f19712b9c78865fa3b9cb99d5d55fa330bbd2b7f", "423b4e7fb8ec2f5cbb5c2fbaabd534319c3dd220febaa7d1c59d7f480a45c7a4", "4aea7fa67ff6eb09617a073a2eba881906087586bb097218eb812fe4aa32094c", "75edcb43d634808df6a412cc6c66572e8d01b13bb1541ddff6fc411c2e9396ac"))	
1	fcmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.51, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 57.215, 9c1a839004a2298803461acafaebe2ecfbf395f769ed092071f03a6857024056)	(96.51, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 5.537, 9c1a839004a2298803461acafaebe2ecfbf395f769ed092071f03a6857024056)	(96.51, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 5.488, 9c1a839004a2298803461acafaebe2ecfbf395f769ed092071f03a6857024056)	(96.51, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 5.498, 9c1a839004a2298803461acafaebe2ecfbf395f769ed092071f03a6857024056)	(96.51, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 5.453, 9c1a839004a2298803461acafaebe2ecfbf395f769ed092071f03a6857024056)	(96.51, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 5.501, 9c1a839004a2298803461acafaebe2ecfbf395f769ed092071f03a6857024056)	(98.84, 70.91, 85.45, 85.45, 80.0, 90.91, 89.74, 82.28, 84.47, 16.05, 53920.0)	(0.01, 0.58, 0.14, 0.14, 0.58, 0.0, 0.01, 0.34, 0.21, 0.04, 25720.0)	(332.055, ("dd8e39e90775d70b16bdf8edbe9b2370b19573ac33a263f4da57346352f82d5b", "b5032c710b366d14df2bc44b1051d772465a49cdb4f1b6f100867970fd2acd45", "fa179691cb6dd0822ab9d2bb2ca4d6a12a170b0280bed1bd9bfacfbf09481e0b", "a25d1e13bb07c9219dc40bae4b1b291c916861e7269e6251df926edcdbbbf31b", "3a2d78263edc56197dce6e263d5f94f69927f1dc28a5a334c38fb51fa0bae380"))	
2	fcmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(96.51, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 9, 44.138, d3f807767eca6c640756b56fa3de3e3456cce2187580c087e5446baec2753e39)	(90.7, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 5, 3.841, 1f25e125130c9999f49b25c6631dffaa3e93b21c39315ca2e6662ef90af96da0)	(90.7, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 5, 3.769, 1f25e125130c9999f49b25c6631dffaa3e93b21c39315ca2e6662ef90af96da0)	(96.51, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 9, 6.223, d3f807767eca6c640756b56fa3de3e3456cce2187580c087e5446baec2753e39)	(90.7, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 5, 3.805, 1f25e125130c9999f49b25c6631dffaa3e93b21c39315ca2e6662ef90af96da0)	(90.7, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 5, 3.846, 1f25e125130c9999f49b25c6631dffaa3e93b21c39315ca2e6662ef90af96da0)	(98.84, 65.45, 82.73, 82.73, 74.55, 90.91, 89.11, 78.21, 81.14, 13.95, 56920.0)	(0.01, 0.17, 0.04, 0.04, 0.17, 0.0, 0.0, 0.08, 0.07, 0.03, 12920.0)	(202.638, ("67b5a9d3160a27d9e2fe00373a6fa8e6ec2063894d21c86eec984e06498b040e", "d9140bdc502f7c23a4f9a61633f658701819c8a31fb1cddf5c74ad2c323dc6c2", "b973a7aaa4337981b43ac8ac9a13aa87d87a8abd38b790788cd0a24f3f4c33d6", "a19b8ac002dad23e5edb69205c47223694a0b1ff920d497fec7bf573fd2d67aa", "91f31bf279c467e0d7647c98bc5ee0994078c4e0b1603553277e9ee373b7f18c"))	
3	fcmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(91.86, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 7, 11.904, 0d9f392cdd5807d7a210c710dec540a0c908e20b93fb65374b21898a6abf5570)	(91.86, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 7, 3.301, 0d9f392cdd5807d7a210c710dec540a0c908e20b93fb65374b21898a6abf5570)	(80.23, 27.27, 63.64, 63.64, 72.73, 54.55, 61.54, 66.67, 66.67, 3, 0.11, 2663654efc9a83f6c7486674b6c478997de560086145ffe69a21ae7e06965377)	(90.7, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 7, 3.298, 50dfdc1679e6b16ece1d6ebd3437857cf19a085ec51f84db10dccfccc29c526c)	(90.7, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 7, 3.282, 50dfdc1679e6b16ece1d6ebd3437857cf19a085ec51f84db10dccfccc29c526c)	(80.23, 27.27, 63.64, 63.64, 72.73, 54.55, 61.54, 66.67, 66.67, 3, 0.111, 2663654efc9a83f6c7486674b6c478997de560086145ffe69a21ae7e06965377)	(99.07, 47.27, 73.64, 73.64, 58.18, 89.09, 84.48, 68.13, 68.74, 20.47, 54120.0)	(0.0, 0.17, 0.04, 0.04, 0.25, 0.17, 0.15, 0.05, 0.1, 0.07, 19120.0)	(213.032, ("e8d8d7b2e8b51312b53df133105f71cf101d8501a0050be149de59d71d0db83d", "6b4c3c10d7017a99c9a4d79dbebc6d8bdef87998a91e199517046618767f8e30", "86e48bd7b570f4dad0a8891f2d93f2240503b08a4006081e5532d50a61d6c284", "f6d715a3cad36c1aa1d3644ab032ac13a720c2663a049a829b3c04c0812f936e", "3b74b0b01938e82ccebc26a72d7fdfca0e69b77ec2ecbd920dab1d8fae6645f0"))	
4	fcmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(98.84, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 13, 18.705, 22567367fd333e9556fb0a04920ecb2e437f544ace9c877996a66ec29ebb838a)	(87.21, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 3.255, f8dec21367686ba323bb42238fbd3726e83569b68a5edb4c8278d8532184b5d0)	(87.21, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 3.254, f8dec21367686ba323bb42238fbd3726e83569b68a5edb4c8278d8532184b5d0)	(96.51, 72.73, 86.36, 86.36, 81.82, 90.91, 90.0, 83.33, 85.71, 11, 6.401, 524a336fe0652271ba10572c5ca78396deafdf428b8c7ef4f1a86e763782da2a)	(87.21, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 3.243, f8dec21367686ba323bb42238fbd3726e83569b68a5edb4c8278d8532184b5d0)	(87.21, 54.55, 77.27, 77.27, 72.73, 81.82, 80.0, 75.0, 76.19, 5, 3.246, f8dec21367686ba323bb42238fbd3726e83569b68a5edb4c8278d8532184b5d0)	(99.77, 70.91, 85.45, 85.45, 80.0, 90.91, 89.78, 82.05, 84.57, 18.84, 59920.0)	(0.0, 0.17, 0.04, 0.04, 0.17, 0.0, 0.0, 0.08, 0.07, 0.11, 52320.0)	(212.217, ("86a0b300b3a2f261aec817f3a0240bf111087a3211eefbfa5684eeb6aa906dd7", "958eeca746b11416d7e5c00948d1904569a4a1837bd7dfb2ae83ac7f38c031d3", "3c3ce02fef17be12eeef8c04a6fa790d6c418fff736c73d84bd3fb3a57330c17", "405c76da784c1d396e4b4c5830343064769ea02c85258fbf6ccecb6665fa96e0", "974766ac9c403cf2a5686c21d8a689c1eae7bc1b4720610275bb8ce5683e9b19"))	
5	fcmel,8000,stump_with_memoization,(2,true,"b",["Normalize"]),30,(50,100,75),false,TestOp_80,IA	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 11, 13.182, d8cb048b5b9cc506c14fad97bb3175abc8be851a0d000da857a309a6a126602d)	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 4.067, 9f78cf6ac4190c589adba428eadb46035c9a1dddce25a27722b4c114f1ad8e6b)	(89.53, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 7, 3.428, f6b55023128b241e080431aec907d58be0f284116f44dfc7e5d44575a8fa348d)	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 4.054, 9f78cf6ac4190c589adba428eadb46035c9a1dddce25a27722b4c114f1ad8e6b)	(95.35, 63.64, 81.82, 81.82, 72.73, 90.91, 88.89, 76.92, 80.0, 9, 4.084, 9f78cf6ac4190c589adba428eadb46035c9a1dddce25a27722b4c114f1ad8e6b)	(89.53, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 7, 3.43, f6b55023128b241e080431aec907d58be0f284116f44dfc7e5d44575a8fa348d)	(99.53, 81.82, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 90.91, 20.27, 59000.0)	(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 40600.0)	(216.096, ("fa6b1d2e064c8378763810e816efa9591605e1fa56070b7f014685b3d09d6db2", "39a2c6f63544dbc314af444a1b7a73b892eb503325cebf5cc23742b0c8d9f4d5", "9b94b38370580ddb60088b3906e05877b3d2f4b1ca612cf6557445780ac9a61e", "8b7446ef236c441e0c5cd7d29c5327b8bfc78cf2d3af5c324c8600e1102f35a2", "c83b6e5adf5bb8bd11b201280f3ffdb7e3564579227e7949e56d6b3416d8f426"))	
