Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	n_chunks	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
7	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	17.2	23.08	22.62	94.09	NaN	94.07	24.05	93	-Inf	-Inf	6.212	7f2df2e2a623305a9600dd0a2783bb6e455b288f4be617523cde39162cc03730	19.96	25.64	25.0	94.29	NaN	94.27	26.43	81	-Inf	-Inf	6.182	f08f1a389b7bcf1ba31fdc9d33f328fa8322eef78715e8bb0048a9c430cdda64	17.31	23.08	22.62	94.1	NaN	94.11	21.79	61	-Inf	-Inf	5.921	065f12a66daa38d369610a917d08d20df6bafc2702f1da566f1a2197837f5a28	17.31	23.08	22.62	94.1	NaN	94.11	21.79	57	-Inf	-Inf	5.925	8c7ccf8acb023ac77e1b5297d2c112892c3cf55352fb8921d67aa8ffe3548aec	
8	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	3.53	10.26	10.71	93.11	NaN	93.11	10.52	91	-Inf	-Inf	6.03	983f267b30f79ab7a3876720f66e7b1c79cecba15ab7a19d45baf53cb4bb3b72	3.53	10.26	10.71	93.11	NaN	93.11	10.52	75	-Inf	-Inf	5.865	314715b03c03c5d1686d31ffb0057376ffba13b668277c1e426bdcf95c2ef7d5	0.71	7.69	8.33	92.91	12.14	92.88	8.47	61	-Inf	-Inf	5.726	efbcd6fabed0f75e6899a8836961dd2fa26d99ae09d78d39b1ecaac088adb7e6	0.71	7.69	8.33	92.91	12.14	92.88	8.47	53	-Inf	-Inf	5.667	f76023e17ea80fc2d495ce12d454f7599cff1506dde6307e8107e3b0a3d8babe	
9	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	17.43	23.08	25.0	94.1	NaN	94.15	20.67	89	-Inf	-Inf	6.518	3dee34618142ac5b5acd1bedea8b1085842f1425cdc482d5f3ab6d4c47085441	14.56	20.51	21.43	93.9	18.69	93.93	18.66	75	-Inf	-Inf	6.496	c6c6b6ef8a083bb8ea3e38367917c896345fdfb992e48e1cb7bb1739997d3459	11.74	17.95	17.86	93.7	22.09	93.7	17.65	63	-Inf	-Inf	6.447	dae00747e11a2bdc00b7994ab517307d4225f60330868780680abf848fd1fb4f	14.5	20.51	20.24	93.9	21.5	93.9	19.66	57	-Inf	-Inf	6.425	2455abebf9c8e71f014a19d001bab66a4fcd4eee76f7b5a23cbe1b31c258880a	
10	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	17.66	23.08	25.0	94.12	NaN	94.22	21.43	95	-Inf	-Inf	6.441	1316937e79c497ca82c8a15764460a437d430c03529d4bb7cdda13a42028563f	14.8	20.51	21.43	93.92	27.58	93.93	20.82	77	-Inf	-Inf	6.239	fa33b012155aef51bb466ec85ec13b90c39958cb95a8747b5406d464ee6bc8f7	11.61	17.95	17.86	93.69	NaN	93.75	14.37	63	-Inf	-Inf	6.03	d44808ee306d93324457e2d8576e9e121bc05e040b04bb7468cffb2c6d265daf	11.61	17.95	17.86	93.69	NaN	93.75	14.37	57	-Inf	-Inf	6.065	fed29c63616008f38be3bfce0575746f08b79a94fed7c39da40c01d5698acae8	
1	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	75.0	79.17	79.17	95.83	82.4	95.78	80.23	31	0.8305555555555556	0.7034722222222223	59.804	08d2e1e3ee27d40221760ce6aa0c8ea5728179cf23ef4dd4101c4b59d2c01508	71.67	76.39	76.39	95.28	79.99	95.26	77.37	25	0.8305555555555556	0.7034722222222223	58.871	1eb6b2f81a00c0ab03e3e6666cb9f5faa70fdc17f7bd521ed4e54412405b9158	76.67	80.56	80.56	96.11	83.42	96.07	81.48	31	0.8305555555555556	0.7034722222222223	59.476	8d7f50bc0041efd6608740b30427df7bbc3169bc2e59ac25559a63a6fb965347	73.33	77.78	77.78	95.56	80.62	95.51	78.7	25	0.8305555555555556	0.7034722222222223	59.026	04850bbb5f4b076dfebd67c86884e5d815b3a193c45d08de36109606876afd0a	
2	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	80.0	83.33	83.33	96.67	83.87	96.75	82.93	35	0.8222222222222223	0.6888888888888889	65.102	a75997ef485ce8fd40bd5a4d1de49b9b263ebe36e0fdaac6538add6df34a96d7	76.67	80.56	80.56	96.11	82.09	96.17	80.44	17	0.8222222222222223	0.6888888888888889	60.726	32f3e0bb7ecf5388cafd825bda66ab69a457a5f15e941ed199948e2e36948bf3	80.0	83.33	83.33	96.67	84.06	96.67	83.48	33	0.8222222222222223	0.6888888888888889	60.115	19b9d14fce449388bfe35c768dcb126e83192a24ea9667d5fe4343742100e9ae	80.0	83.33	83.33	96.67	84.81	96.76	83.01	21	0.8222222222222223	0.6888888888888889	58.825	07413b1dea1062f0f7221e26a090bd12e451154e1a1b5bd55bc016aa9c552075	
3	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	76.67	80.56	80.56	96.11	81.95	96.26	79.72	31	0.8305555555555556	0.7034722222222223	61.572	1edfc308ba1e057dfb19b9ea9f5842d66b686056320611bb03cf00ce1008b8e3	80.0	83.33	83.33	96.67	84.12	96.7	83.29	19	0.8305555555555556	0.7034722222222223	58.966	3a24abf77acb31fb8cd66a30601b1d1a53375aa3279a38af178d6531c1bc81d6	75.0	79.17	79.17	95.83	80.36	95.95	78.61	31	0.8305555555555556	0.7034722222222223	61.581	d0b7c71a53440cf66ab17ec75314bc248b95ee7a08ceb6686e1f416a40557ce2	80.0	83.33	83.33	96.67	84.12	96.7	83.29	19	0.8305555555555556	0.7034722222222223	58.809	3a24abf77acb31fb8cd66a30601b1d1a53375aa3279a38af178d6531c1bc81d6	
4	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	73.33	77.78	77.78	95.56	79.84	95.64	77.64	33	0.8222222222222223	0.6888888888888889	59.282	b53b304f42ffd01a707860e1b9cdafe7f3a6065d972d602848fc97a2514a03e6	68.33	73.61	73.61	94.72	77.32	94.87	73.44	23	0.8222222222222223	0.6888888888888889	58.596	9a7f285603b5323a69594a852d494b5b7a2d3842a894c8dff172ebbab6cb4cee	73.33	77.78	77.78	95.56	79.76	95.59	77.92	27	0.8222222222222223	0.6888888888888889	59.465	efdbc193eb1e09d3f9476ccef2823e84197bb3d8f324d69a0a7a375458db3b64	68.33	73.61	73.61	94.72	77.32	94.87	73.44	21	0.8222222222222223	0.6888888888888889	58.683	5231f7ff1c1c62cbaf97b587c06865518133677de54b2b89244418143d32fe5f	
5	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	81.67	84.72	84.72	96.94	84.74	96.99	84.42	39	0.8277777777777778	0.6986111111111112	63.949	6a08cd97caf155a770c9f607a4b98d4a4233ee14e9467b084bd4d9384e50a22c	73.33	77.78	77.78	95.56	79.91	95.63	77.74	19	0.8222222222222223	0.6888888888888889	60.404	ca28a0c8bb3d55d8ab064e6c71755fdbcee7ee35a197781f5992e20ee9415cd4	80.0	83.33	83.33	96.67	83.36	96.73	82.88	37	0.8277777777777778	0.6986111111111112	63.675	f115552f476707737485942bb1fb0bcf230240a7e2e54ba5a2ccb19116dce80d	73.33	77.78	77.78	95.56	79.91	95.63	77.74	19	0.8222222222222223	0.6888888888888889	60.193	ca28a0c8bb3d55d8ab064e6c71755fdbcee7ee35a197781f5992e20ee9415cd4	
6	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	73.33	77.78	77.78	95.56	79.41	95.62	77.55	33	0.7578282828282829	0.6443813131313132	62.153	d4835f510e6709312cbcf8010f1337cc263d2c3addc43dfd0a6deebfaeeb0a92	70.0	75.0	75.0	95.0	78.26	95.1	74.76	19	0.7000000000000001	0.6000000000000001	57.715	f1b55759e3fc63b6ccb7324aaf3f9440d3d289f4dd5933da6226b05201c6fbf0	71.67	76.39	76.39	95.28	77.9	95.35	76.1	31	0.7578282828282829	0.6443813131313132	62.519	a78fe6f3eb6d63f5bae9d6012f7c3c159d4531f635a28b89145da98eb139a81a	70.0	75.0	75.0	95.0	78.26	95.1	74.76	19	0.7000000000000001	0.6000000000000001	58.221	f1b55759e3fc63b6ccb7324aaf3f9440d3d289f4dd5933da6226b05201c6fbf0	
7	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	80.0	83.33	83.33	96.67	82.66	96.75	82.66	39	0.8305555555555556	0.7034722222222223	65.516	7e9c4d0229df63cee779bf1afc00009e61736538b9f609ed8b708df8bfdf0a75	78.33	81.94	81.94	96.39	81.71	96.47	81.39	23	0.8305555555555556	0.7034722222222223	62.281	ad2e85ccf23af81d71f0657f6980abc57c775987f14d1ae7f2a5ee36c7e69494	78.33	81.94	81.94	96.39	81.6	96.47	81.34	35	0.8305555555555556	0.7034722222222223	64.181	10a92d71879fe2ac4ddb3d7d63bb0f2f1984166e43c918bad9145eef69dd7fc9	78.33	81.94	81.94	96.39	81.71	96.47	81.39	21	0.8305555555555556	0.7034722222222223	61.938	e8abdfe742abcaee68e7608561982a33babe47a95c42026c9bb7ec580ecee5ff	
8	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	76.67	80.56	80.56	96.11	80.66	96.16	80.27	37	0.8277777777777778	0.6986111111111112	59.532	6e10ae402a9d0fc14d102539a8a5a48c6e42493fa49b0872c142891ee1465af6	73.33	77.78	77.78	95.56	78.52	95.65	77.37	21	0.8250000000000001	0.69375	57.885	3d1429dd2813f8ed455f6638787a473b616d74b6b3ac5d23189e18b25f9a5e10	75.0	79.17	79.17	95.83	79.33	95.89	78.86	31	0.8277777777777778	0.6986111111111112	58.601	8cf9fdbf66be1dcd0f09e032663dade2dc0663345050bee9eb80551ee834385d	73.33	77.78	77.78	95.56	78.52	95.65	77.37	21	0.8250000000000001	0.69375	57.368	3d1429dd2813f8ed455f6638787a473b616d74b6b3ac5d23189e18b25f9a5e10	
9	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	76.67	80.56	80.56	96.11	81.32	96.19	80.04	41	0.8333333333333334	0.7083333333333334	62.723	d57f1865eed9ff87013ec66326970d4eef5a81cf9d06d6cd34c1e97b88eef148	78.33	81.94	81.94	96.39	82.82	96.47	81.43	17	0.8333333333333334	0.7083333333333334	58.568	45bf9ec8669c8937fe669a799664312fac53efe0c994bcfe907a135b55c8a19f	68.33	73.61	73.61	94.72	74.59	94.74	73.71	35	0.8333333333333334	0.7083333333333334	63.375	a72fd511eeea51e7f9b7da3760e34e0acf6543fc825518e13e0525973a4b4d71	68.33	73.61	73.61	94.72	74.16	94.74	73.56	21	0.8333333333333334	0.7083333333333334	60.24	6c18136d09e0233187c648f7f530baa7bb921d46c430615a0806f35b16c73219	
10	stump_with_memoization	TestOp_80	NATOPS	(true,"one_world")	missing	70.0	75.0	75.0	95.0	76.45	95.05	75.02	35	0.8250000000000001	0.69375	54.894	723ff6b7bd93958300cca766caa73436bad7d4c2e31af5e5c07f2373bb3b953c	73.33	77.78	77.78	95.56	79.21	95.64	77.55	21	0.8250000000000001	0.69375	53.323	3b10e7e7e4eda2c1bd367d230f97a848d27023ce41837cc9feb75ce109f336f9	68.33	73.61	73.61	94.72	74.88	94.73	73.85	33	0.8250000000000001	0.69375	54.608	0b18d177a8a8db173feb28d1c93f841fd9b43f13330b66d360ee950e9ef0a959	71.67	76.39	76.39	95.28	77.49	95.36	76.15	21	0.8250000000000001	0.69375	53.572	3c0fb5e2a08e5ad45e7e317157b0fab4bb18f522d9eba1a5c9d09e34e3641281	
1	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	65.37	74.07	73.63	91.36	74.75	91.91	72.74	45	0.8333333333333334	0.7083333333333334	6.447	faa821f93da83e505a8925468c5dd192ed8767a4c00f0e7c7074beb61b94f6ad	62.91	72.22	71.84	90.75	73.33	91.35	70.83	27	0.8333333333333334	0.7083333333333334	6.147	592f9bc3c4990fbce4eb08fe6d3953da79feb500d77ce3f006accb3baf87b14a	62.93	72.22	71.84	90.76	71.62	91.04	71.1	37	0.8333333333333334	0.7083333333333334	6.389	895f931562449dc8478d3882225ab8668cd046a5a843121daea0843c83e4f4e8	65.38	74.07	73.63	91.37	73.61	91.81	72.6	25	0.8333333333333334	0.7083333333333334	6.145	9cba323ad44ba25c93486287781405ddd09801d701cf238a2b1740392c2ffbfc	
2	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	65.43	74.07	73.76	91.4	76.36	91.51	73.98	43	0.8222222222222223	0.6888888888888889	5.031	2b4d46b531c80ed7a9062bd9214f3ffb0b472f0db816f322db7d6a80def6bfef	62.96	72.22	71.84	90.79	76.97	91.09	71.82	29	0.8222222222222223	0.6888888888888889	4.792	210f896c6d50846eb6a744340061a99300512a5ccfb8edf5e467d99b7063d9e2	55.56	66.67	66.07	88.96	67.62	88.96	66.38	31	0.8222222222222223	0.6888888888888889	5.028	d747edea970542cad5b87f98c15804954f91cf06477119e6875e3a77a0057570	60.49	70.37	69.92	90.18	73.6	90.21	70.48	25	0.8222222222222223	0.6888888888888889	4.751	373ea438864bbba58a2ef50c8acf8ee252d22630386702e25cd16079b8a245fe	
3	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	65.45	74.07	73.76	91.42	75.07	91.36	74.1	41	0.7570370370370371	0.6498148148148148	7.396	cdadd0b47d59ad4e4c10fe6b54ba9d70e80a9575535864eba8c75277fd35008a	55.56	66.67	66.35	88.93	67.61	89.0	66.35	25	0.7570370370370371	0.6498148148148148	6.981	403bad13632e11c26652272fb6645e89edfec87ced30948f37dab9d15616396b	60.46	70.37	70.05	90.14	70.39	90.17	70.09	37	0.7570370370370371	0.6498148148148148	7.459	ada19b6e83610e60517d10cc105e15f3cb7739195ee0c0dc4aaeb4b9e9467a95	55.54	66.67	66.35	88.92	67.08	89.04	66.12	21	0.7570370370370371	0.6498148148148148	6.921	bfdcca2e3994060560adf471b37d08d6f181b277efbfdc36a3ae56bbb010f930	
4	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	70.38	77.78	77.61	92.64	78.72	92.61	77.82	43	0.768013468013468	0.6622053872053872	5.293	4e2f64436e2c47eece5d95c7894ef8c281471143a51441428ef43624a5c8dab0	55.58	66.67	66.35	88.95	67.25	88.95	66.44	23	0.6955555555555557	0.6172222222222222	5.11	8d857be7e4190725b68259ddaad41c7e5f449722f7af2f80ca607d06d12220b6	67.92	75.93	75.82	92.01	76.19	91.99	75.84	39	0.768013468013468	0.6622053872053872	5.211	6ef3f1fc6d60bb13a63a941637c961bdf080d66849fde8caa5139375e9925792	55.58	66.67	66.35	88.95	67.25	88.95	66.44	19	0.6955555555555557	0.6172222222222222	5.141	18067c3d41270f2edd6479b285e749ac53a0e87b9628d7b04e2227342c71a9d2	
5	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	53.02	64.81	64.15	88.31	63.57	88.47	63.68	49	0.7375661375661375	0.647883597883598	6.649	add219878ad5a29a220cc17dd0aea1706a8aee8be66bd698b801e4383d51c782	53.0	64.81	64.01	88.31	62.62	88.63	63.03	25	0.7488888888888889	0.6605555555555556	6.345	d7d7ffdeb30e629c31f51e18b4130b369e3bd6fdf4e94479a406d3bfd790c18a	53.02	64.81	64.15	88.31	63.22	88.5	63.52	37	0.7375661375661375	0.647883597883598	6.551	2b600073dc09c66b74b6c947c7b6a0061b0b2980738ce5684e26fa20213bc437	53.0	64.81	64.01	88.31	62.62	88.63	63.03	23	0.7488888888888889	0.6605555555555556	6.298	43b2dc735aa995a1b3d8eb4e267365b7d077da84a91d1fc3db0f3ab234e1db1b	
6	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	65.4	74.07	73.63	91.39	73.53	91.46	73.43	39	0.7777777777777778	0.673611111111111	5.527	949938b2c6095b596b8246e05e416e8c4c2085bced663e550da564ca34c67f89	55.49	66.67	66.21	88.9	66.35	89.03	66.0	23	0.7250712250712251	0.6342592592592593	5.513	969b7213a3e32b8228c8e27c2241dc6a5f6cb4fac01d069de4d726795fc5c2ad	60.49	70.37	69.92	90.18	70.2	90.28	69.66	33	0.7777777777777778	0.673611111111111	5.626	3808806c5a6670f9e7bebca95ec8d6ba1384c6620d064f04e401a69e62428723	53.06	64.81	64.42	88.31	64.42	88.31	64.42	21	0.7250712250712251	0.6342592592592593	5.444	ef22f202cba8f2e8d157f2a26e616cf9bbea20e2f133b2f4ec8dc1680424427a	
7	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	55.49	66.67	65.93	88.93	65.0	89.12	65.31	41	0.7866096866096867	0.6842592592592593	5.49	818b48e5c8db56805571e5b224feb47bb0392473ca56d74d89b2c488b813a621	57.99	68.52	67.86	89.56	67.56	89.65	67.58	25	0.7866096866096867	0.6842592592592593	5.387	f43c6db426b8ee9d8b4ee1877cdeed1a852ed1b53d0076c4ac91f457cd6d016d	55.47	66.67	65.8	88.93	64.16	89.32	64.45	35	0.7866096866096867	0.6842592592592593	5.499	883f5527739548f4577db69d505cdcd22c2fb6a2f093d325cc09dd6f4b2c7e35	55.51	66.67	65.93	88.95	65.47	89.03	65.66	23	0.7866096866096867	0.6842592592592593	5.432	95c0a719a51b4de736cc866bb3e37be2712b81ff15b9e13c530e6a7807e2c50a	
8	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	58.01	68.52	68.13	89.54	71.81	89.88	67.86	43	0.7947089947089947	0.6943121693121694	6.634	9f650415690159fb95d668cc67a1ab4fc084c02f590711480b415e157231f170	58.02	68.52	67.99	89.57	69.43	89.79	67.55	25	0.7947089947089947	0.6943121693121694	5.709	2becdb94a596eaf0c5131837cdd7ada9f19b19cd48afd89cb2d9b6c22b984bd3	57.99	68.52	67.99	89.54	71.14	89.95	67.33	39	0.7947089947089947	0.6943121693121694	6.461	6caf713477bdd068d88096ee6de9ddf66ddc76b7c265276d220ce6bf772f81a1	58.02	68.52	67.99	89.57	69.43	89.79	67.55	25	0.7947089947089947	0.6943121693121694	5.794	2becdb94a596eaf0c5131837cdd7ada9f19b19cd48afd89cb2d9b6c22b984bd3	
9	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	60.46	70.37	69.64	90.18	70.28	90.51	69.03	39	0.8444444444444444	0.7277777777777777	6.404	54429c7c63e981ce36cb8f96d3857c006be88484c27b3dd8315c6d5320fc289e	62.93	72.22	71.57	90.79	71.43	91.02	71.05	29	0.825925925925926	0.6953703703703704	6.236	4d6b8d8d2761988fa11793c9798bfd96b6473852df954203cf60969975ceb5c1	62.93	72.22	71.57	90.79	70.95	90.98	71.02	35	0.8444444444444444	0.7277777777777777	6.419	7093211cb89775d4a0edb50dc61a4d7e86df1c30a47fcf859f98c7f454cbebc8	62.93	72.22	71.57	90.79	70.95	90.98	71.02	27	0.825925925925926	0.6953703703703704	6.258	6a5d421e3c1000b60c87cff064742d7827c55ba145b3599df9241e259cda274e	
10	stump_with_memoization	TestOp_80	RacketSports	(true,"one_world")	missing	55.6	66.67	66.07	88.99	68.81	88.78	67.04	41	0.8222222222222223	0.6888888888888889	5.302	5e38a91728e430230a230f6f521610f977cf4164d453dd328b4197b3b36e4bf5	53.13	64.81	64.15	88.38	66.52	88.54	63.81	29	0.8222222222222223	0.6888888888888889	5.058	c02afe21ab23a501a411538ff7ac1551333e21a39e23633a8dbf9071415cc64f	50.73	62.96	62.5	87.79	68.14	87.49	64.12	37	0.8222222222222223	0.6888888888888889	5.24	57e972efa8ff71b375e7e6544dae626cc0e25671d2c5dae7611732bcb1c94611	53.13	64.81	64.15	88.38	66.52	88.54	63.81	27	0.8222222222222223	0.6888888888888889	5.035	af3c52940b4bf4b8f6c05203560238d0d1007755a9ca0b46e59c42f27b26deb1	
