Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	n_chunks	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
7	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	missing	56.82	59.72	59.33	97.12	61.59	97.14	58.46	111	-Inf	-Inf	3.368	fd0b5caea60c688c5599c39916fd2e142f6cf4dd6761a5472429af7e5bafa051	53.85	56.94	56.67	96.92	57.25	96.96	54.59	91	-Inf	-Inf	3.736	9b19cd94099b1994be064e2deffffc06cbe2c1f8e68c81785f8fa88ac0ab6c17	56.8	59.72	59.33	97.12	61.99	97.14	58.57	93	-Inf	-Inf	3.49	a5a85d0699a200a36ac7b5b7629c9b902bb781d31bc58fca5898bc33a5c2512b	53.79	56.94	56.0	96.92	56.5	96.97	53.84	77	-Inf	-Inf	3.558	f9a7dc068ba3bc524f0e787a7922b282fe3921e710197123ec4f29203c6b5a97	
8	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	missing	55.41	58.33	58.0	97.04	63.13	97.06	56.6	117	-Inf	-Inf	4.202	8c717a1e7dee097e252fa4c04112f4106eacb88e51a7b9c7f12f5fd1edcfdd7f	53.92	56.94	56.33	96.94	61.14	96.97	54.69	85	-Inf	-Inf	3.5	05f4f52e86dcce0e45ec283d7001f6d3e2d7e6d943fd02a7156e97094398f797	55.4	58.33	58.0	97.03	62.78	97.07	56.82	83	-Inf	-Inf	3.747	c4539cd8a8dbbfcd2830c31c63656cc18180e522a7211961a64b07461767c142	55.4	58.33	58.0	97.03	61.91	97.08	56.25	67	-Inf	-Inf	3.747	d474739304b5f5f664820d603baf9e6597243c7b7814474eca98058b0389858b	
9	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	missing	44.95	48.61	47.67	96.34	47.4	96.36	46.0	109	-Inf	-Inf	3.614	9235100e30e7771991f89d354c3f0e11848fec0daa23be15ea1e41493c597cb1	40.41	44.44	43.33	96.03	46.17	96.06	42.39	77	-Inf	-Inf	3.106	756773a1eca7563ad862ecc5ffcf6b3336c0bef60af69c5f2583e9c66ee4bf90	44.88	48.61	47.33	96.33	46.68	96.37	45.02	91	-Inf	-Inf	3.444	1302507ff8c6c224eefeb51463f24b35300d4ee88881c3bfdaf40c5567abec92	41.9	45.83	44.67	96.13	45.65	96.16	43.03	69	-Inf	-Inf	3.368	d227549a17643935eceec94c1b051b8c9b02093f80f9310acc0abf43385e46bb	
10	stump_with_memoization	TestOp_80	Libras	(true,"one_world")	missing	58.32	61.11	61.33	97.22	65.67	97.25	60.3	113	-Inf	-Inf	3.657	82c1528b0ce6a72d6234d1f51d7bdd3f4a58ccc87b48c7fd820436f540e11c51	56.85	59.72	60.33	97.12	62.45	97.16	58.61	89	-Inf	-Inf	3.186	64bb643af1e95d9e0c464ed265ffe8b32094ecdf5d10acc209f7388a8ce9d783	55.37	58.33	58.67	97.03	NaN	97.08	54.82	85	-Inf	-Inf	3.364	0047998822e9ac256f66a0a3a22afb2f4e15375319f55d1f07f6baa92a88ef95	56.85	59.72	60.0	97.12	65.47	97.17	57.41	73	-Inf	-Inf	3.455	3a49529d85dd140cf26007e755176167980a8e5ab79d0b2925934893f423967a	
1	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	11.74	17.95	19.05	93.69	29.17	93.65	20.95	89	-Inf	-Inf	7.453	fa0809be1bdacc3aa99da6fb7c04b793227fe2b976cbb9de1d6097c84b1a6174	14.5	20.51	21.43	93.89	NaN	93.85	22.86	75	-Inf	-Inf	7.243	dab7ce8aaac5bfe06e0a39b0cf300f0a6d242ebae6667b2bc35eb27f090c94f5	11.86	17.95	19.05	93.7	NaN	93.7	19.88	57	-Inf	-Inf	7.044	8acb1fcbcec8e6cf8a162e2bfda4100c2d3e7a1fcc56c594dfeca41f15d24963	14.62	20.51	21.43	93.9	NaN	93.9	21.07	53	-Inf	-Inf	7.046	78059e626429e36d6878917e0f7aa7c93f0e9add6c8f62e2dc70f9e5c55effcd	
2	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	6.29	12.82	11.9	93.31	NaN	93.31	12.38	89	-Inf	-Inf	5.878	35eb925c415d128c05620bd17e0dbc8aaeea0faa4ef241f25279ea5bcfb203af	11.61	17.95	16.67	93.69	NaN	93.71	16.35	75	-Inf	-Inf	5.943	d82c8fdd735a08e844e6582ae4342b06e4098913d096f747ae9bc4920d0a3fe9	17.31	23.08	22.62	94.1	NaN	94.13	20.61	57	-Inf	-Inf	5.684	17919bb3495b60ee85c14e6c7924d6cf4e975006435c453797506efa32e61129	17.31	23.08	22.62	94.1	NaN	94.13	20.61	55	-Inf	-Inf	5.902	6307e4027af0c9692cfb6d2b73265ddb19e32c48a63835317ff4002732ca28b0	
3	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	19.96	25.64	25.0	94.29	37.54	94.3	27.02	85	-Inf	-Inf	5.083	3b60af8525cb6fd4e11e0d20475452300a29ce876ec95a139d34c0c09e845c01	19.96	25.64	25.0	94.29	NaN	94.31	25.83	69	-Inf	-Inf	5.015	33bbcb2b296c0127d8ec968285fa6f8ac11350ca3154ac38bedd226df7965232	17.37	23.08	22.62	94.11	NaN	94.08	25.03	61	-Inf	-Inf	4.987	2c403b7dbdb469b22e2159bc670f27a8b700ef88580cada61500c287a06abdf9	17.37	23.08	22.62	94.11	NaN	94.08	25.03	57	-Inf	-Inf	5.047	46c08e05d204b2b1f4e3e478ba7d1fac3af8e15cefc5315a1b4352dc6ad74008	
4	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	14.56	20.51	21.43	93.9	NaN	93.93	18.7	99	-Inf	-Inf	6.015	34bd3eb7314a968657d90201a14c3262a763c7365a2f76e9f80e08c2396d224b	17.31	23.08	23.81	94.1	NaN	94.15	19.08	79	-Inf	-Inf	5.915	2bf5ec89ad632a3eb9f27884b3b4194fa70fbea46875576a05fc326fc7a99673	14.13	20.51	20.24	93.87	NaN	93.9	17.54	59	-Inf	-Inf	5.775	f2525d2df68cb227db3a266de0c06b68b7b997c3dd98b1c44149709bdba53a6a	14.13	20.51	20.24	93.87	NaN	93.9	17.54	57	-Inf	-Inf	5.673	ac6d8e57c5ab20d4cbc181b3b19b79aa7f2a8c38147baaa01c2d48ebe8950001	
5	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	8.98	15.38	14.29	93.51	NaN	93.49	15.49	95	-Inf	-Inf	6.149	75a8b9b3747838eb71d4b37a564009909cdb5c9371248de6961f29bd968cec7c	8.98	15.38	14.29	93.51	NaN	93.49	15.49	79	-Inf	-Inf	6.078	38ccfc3850fd90b444ccac79a6d90650b722662d89dae07d123b844dd1efe48b	6.29	12.82	11.9	93.31	NaN	93.31	11.09	57	-Inf	-Inf	5.968	f6f8a71ac797cd6389de3bc5468f361c6bb28ba190dd914f36be07113f95cd8e	6.29	12.82	11.9	93.31	NaN	93.31	11.09	53	-Inf	-Inf	5.932	1686a2a3f1031b55c08b3ca904db15c4af3a66af71d86158f2e7564e2ddd70c6	
6	stump_with_memoization	TestOp_80	LSST	(true,"one_world")	missing	3.6	10.26	11.9	93.11	NaN	93.14	9.18	93	-Inf	-Inf	5.988	18871118dc677530c5b5418f2eb97e6c437c5155dbe8f7beb2c4b67e428f57b9	3.47	10.26	11.9	93.1	NaN	93.12	8.93	75	-Inf	-Inf	5.944	021b0742edb5e04a5881872806ad78d36d33e1c87b8bd813d0006221623a2c6f	6.29	12.82	14.29	93.3	NaN	93.35	9.58	53	-Inf	-Inf	5.844	4b73174e90a969acc232e0d8844c4e246f97ff09604d3fdbe913d885245cd890	6.29	12.82	14.29	93.3	NaN	93.35	9.58	49	-Inf	-Inf	5.608	b3feb74756b87ff62b64133a30914ef98a76edd0d25c8256e23759cee7415747	
