,GANDALF,,,,GANDALF 7x7,,,COVID,"Iteration ""TestOp_80,1,1,4,false,stump,Any[],1,(10,45,30)""...",,,"Iteration ""TestOp_80,1,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,stump,stump+memoiz,stump+memoiz+view,,stump,stump+memoiz+view,,,ms,allocations,memory,ms,allocations,memory
,,,,,,,,,3053,64079649,1.82 GiB,2988,65326955,1.79 GiB
,,,,,,,,,1641,16130705,420.62 MiB,1610,16683196,426.10 MiB
,,,,,,,,,166.779,1730302,46.18 MiB,177.592,1734116,44.70 MiB
,,,,,,,,,3386,66447953,1.88 GiB,3378,67991691,1.86 GiB
,,,,,,,,,3532,66343803,1.88 GiB,3466,67875725,1.86 GiB
,,,,,,,,,3289,67721858,1.90 GiB,3457,69261744,1.88 GiB
,,,,,,,,,3095,66088838,1.87 GiB,3293,67547755,1.85 GiB
,,,,,,,,,3516,66418706,1.85 GiB,3227,67900463,1.83 GiB
,,,,,,,,,2875,28058013,688.36 MiB,3000,28928956,699.13 MiB
,,,,,,,,,2422,21468935,510.46 MiB,2576,22109105,518.42 MiB
,,,,,,,,,5174,96088020,2.64 GiB,5460,98981797,2.64 GiB
,,,,,,,,,3903,76244224,2.14 GiB,3830,78131733,2.12 GiB
,,,,,,,,,3722,74953853,2.10 GiB,3661,76665799,2.07 GiB
,,,,,,,,,5185,97061237,2.63 GiB,5446,99778890,2.62 GiB
,,,,,,,,,4003,73995950,2.08 GiB,3875,75707107,2.06 GiB
,,,,,,,,,"Iteration ""TestOp_80,1,1,4,false,stump,Any[],1,(20,45,30)""...",1650563628 allocations,55.16 GiB,"Iteration ""TestOp_80,1,1,4,false,stump_with_memoization,Any[],1,(20,45,30)""...",,
,,,,,,,,,483147,1650563628,55.16 GiB,229.385,14213949,853.43 MiB
,,,,,,,,,2470,27775979,719.21 MiB,2490,28777383,727.69 MiB
,,,,,,,,,2123,18747518,478.78 MiB,2288,19467377,484.78 MiB
,,,,,,,,,11933,198873242,6.00 GiB,13967,238991975,7.09 GiB
,,,,,,,,,9020,168964161,5.14 GiB,10061,188790564,5.59 GiB
,,,,,,,,,11555,200277486,6.05 GiB,12460,223600422,6.59 GiB
,,,,,,,,,11200,188667901,5.68 GiB,11264,197934494,5.75 GiB
,,,,,,,,,9671,175063562,5.34 GiB,9382,182892230,5.38 GiB
,,,,,,,,,3442,39002956,1.04 GiB,3535,40747236,1.06 GiB
,,,,,,,,,3209,28268677,767.40 MiB,3351,29597330,781.42 MiB
,,,,,,,,,9781,176940230,5.21 GiB,10650,199394933,5.73 GiB
,,,,,,,,,9922,168556805,5.07 GiB,9996,183413693,5.34 GiB
,,,,,,,,,9486,173054728,5.23 GiB,9766,182043260,5.30 GiB
,,,,,,,,,9129,165855286,5.15 GiB,9549,173083430,5.18 GiB
,,,,,,,,,10821,195120540,5.97 GiB,12374,207849983,6.15 GiB
,,,,,,,,,1761,20114233,525.47 MiB,1720,20702371,527.66 MiB
,,,,,,,,,1705,14653534,371.92 MiB,1659,15071435,373.23 MiB
,,,,,,,,,9720,169290690,5.06 GiB,10551,180256054,5.20 GiB
,,,,,,,,,8606,159699575,4.92 GiB,9140,167230601,4.95 GiB
,,,,,,,,,10251,177585380,5.27 GiB,9885,184725951,5.28 GiB
,,,,,,,,,11207,197757182,5.94 GiB,11065,206785082,5.98 GiB
,,,,,,,,,12760,202799710,6.04 GiB,13484,215402761,6.20 GiB
,,,,,,,,,3685,39621453,1.02 GiB,4119,41119289,1.04 GiB
,,,,,,,,,2479,21293947,536.88 MiB,2339,22049833,542.88 MiB
,,,,,,,,,9526,176853715,5.27 GiB,9784,186904588,5.38 GiB
,,,,,,,,,9312,168540086,5.05 GiB,8098,175256823,5.07 GiB
,,,,,,,,,11667,162400936,4.87 GiB,8903,169138623,4.89 GiB
,,,,,,,,,11895,209728222,6.47 GiB,12315,221211581,6.60 GiB
,,,,,,,,,9864,176489248,5.22 GiB,9194,181183876,5.16 GiB
,,,,,,,,,2127,25869223,684.57 MiB,2087,26810753,691.36 MiB
,,,,,,,,,1414,12795560,329.98 MiB,1397,13191838,331.10 MiB
,,,,,,,,,11871,206318909,6.25 GiB,12002,218890382,6.42 GiB
,,,,,,,,,10618,184659200,5.58 GiB,10583,193075975,5.63 GiB
,,,,,,,,,11270,188591724,5.78 GiB,10797,194067204,5.72 GiB
,,,,,,,,,11806,203717919,6.11 GiB,11095,210301275,6.07 GiB
,,,,,,,,,10957,197376595,5.93 GiB,18431,203436752,5.88 GiB
,,,,,,,,,2207,24472028,636.42 MiB,2160,25279668,642.18 MiB
,,,,,,,,,1254,11069671,281.41 MiB,1202,11449296,283.27 MiB
