,GANDALF,,,,GANDALF 7x7,,,COVID,"Iteration ""TestOp_80,1,1,4,false,stump,Any[],1,(10,45,30)""...",,,"Iteration ""TestOp_80,1,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,stump,stump+memoiz,stump+memoiz+view,,stump,stump+memoiz+view,,,ms,allocations,memory,ms,allocations,memory
,,,,,,,,,952.324,60270982,1.73 GiB,971.161,61489701,1.70 GiB
,,,,,,,,,1768,19515215,483.27 MiB,1809,20089011,489.59 MiB
,,,,,,,,,759.744,6907784,161.61 MiB,766.519,7091176,163.17 MiB
,,,,,,,,,1301,66952696,1.90 GiB,1323,68649783,1.89 GiB
,,,,,,,,,1174,65485366,1.86 GiB,1212,67212594,1.84 GiB
,,,,,,,,,1100,61964541,1.76 GiB,1119,63300641,1.73 GiB
,,,,,,,,,1057,62304492,1.75 GiB,1074,63634576,1.73 GiB
,,,,,,,,,1067,63183734,1.79 GiB,1068,64533517,1.77 GiB
,,,,,,,,,1616,20056646,498.51 MiB,1654,20650768,505.52 MiB
,,,,,,,,,1381,12406126,289.71 MiB,1410,12748876,293.70 MiB
,,,,,,,,,1547,75857236,2.10 GiB,1602,78228363,2.10 GiB
,,,,,,,,,1116,67838649,1.92 GiB,1138,69296015,1.89 GiB
,,,,,,,,,1255,68985788,1.92 GiB,1279,70492753,1.90 GiB
,,,,,,,,,1160,66764438,1.89 GiB,1198,68192799,1.86 GiB
,,,,,,,,,1644,74582107,2.08 GiB,1295,71512647,1.96 GiB
,,,,,,,,,2804,27206988,672.83 MiB,2755,28100079,683.55 MiB
,,,,,,,,,1842,17384114,410.92 MiB,1869,17892953,416.90 MiB
,,,,,,,,,1144,61171105,1.75 GiB,1184,62425320,1.72 GiB
,,,,,,,,,1507,73761868,2.06 GiB,1560,75690018,2.04 GiB
,,,,,,,,,1279,66960810,1.88 GiB,1304,68415546,1.86 GiB
,,,,,,,,,1344,66023173,1.87 GiB,1366,67513873,1.85 GiB
,,,,,,,,,1211,70669550,1.97 GiB,1228,72296995,1.95 GiB
,,,,,,,,,1512,20361300,517.38 MiB,1587,21026195,525.24 MiB
,,,,,,,,,1019,9018515,216.01 MiB,1044,9269874,218.56 MiB
,,,,,,,,,1454,76872778,2.14 GiB,1501,78969615,2.13 GiB
,,,,,,,,,1191,68843171,1.94 GiB,1181,70471203,1.92 GiB
,,,,,,,,,1314,78197272,2.12 GiB,1326,80136568,2.11 GiB
,,,,,,,,,1252,73170564,2.03 GiB,1273,74983082,2.01 GiB
,,,,,,,,,1323,73907638,2.05 GiB,1338,75661077,2.03 GiB
,,,,,,,,,709.985,10467893,281.67 MiB,730.67,10729823,282.72 MiB
,,,,,,,,,505.852,5216321,139.84 MiB,529.091,5315630,138.87 MiB
,,,,,,,,,1763,79278974,2.17 GiB,1790,81358302,2.16 GiB
,,,,,,,,,2017,78650803,2.19 GiB,2075,80646808,2.17 GiB
,,,,,,,,,1708,86470128,2.35 GiB,1744,88908198,2.34 GiB
,,,,,,,,,2107,82442260,2.25 GiB,2166,84521475,2.23 GiB
,,,,,,,,,1300,67680369,1.91 GiB,1310,69142594,1.88 GiB
,,,,,,,,,816.84,12526445,334.05 MiB,826.099,12870022,336.29 MiB
,,,,,,,,,189.689,1856723,49.66 MiB,193.265,1862362,48.13 MiB
,,,,,,,,,1053,66066081,1.87 GiB,1082,67594891,1.85 GiB
,,,,,,,,,1287,65337072,1.86 GiB,1302,66709785,1.83 GiB
,,,,,,,,,1156,65478370,1.87 GiB,1165,66825188,1.84 GiB
,,,,,,,,,1018,62422332,1.80 GiB,1031,63605482,1.77 GiB
,,,,,,,,,1044,64114033,1.81 GiB,1077,65393696,1.78 GiB
,,,,,,,,,1523,16130703,420.62 MiB,1563,16683195,426.10 MiB
,,,,,,,,,176.349,1730302,46.18 MiB,181.12,1734116,44.70 MiB
,,,,,,,,,1260,66447955,1.84 GiB,1280,67977340,1.82 GiB
,,,,,,,,,1364,70752757,1.99 GiB,1387,72468811,1.97 GiB
,,,,,,,,,1226,72339719,2.02 GiB,1246,73961595,2.00 GiB
,,,,,,,,,1050,66619992,1.89 GiB,1071,68019500,1.86 GiB
,,,,,,,,,1051,59789899,1.71 GiB,1086,61028794,1.68 GiB
,,,,,,,,,2689,28058014,688.36 MiB,2762,28928955,699.13 MiB
,,,,,,,,,2385,21468935,510.46 MiB,2478,22109103,518.42 MiB
,,,,,,,,,1995,89707003,2.47 GiB,2077,92040563,2.46 GiB
,,,,,,,,,1361,73042627,2.04 GiB,1385,74734584,2.02 GiB
,,,,,,,,,1814,79947678,2.21 GiB,1865,82046089,2.20 GiB
,,,,,,,,,1548,79469705,2.21 GiB,1567,81413359,2.19 GiB
,,,,,,,,,1318,69254012,1.95 GiB,1332,70688948,1.92 GiB
